Time,HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m
139,17.3603141,14.4957418,8.7257175,4.5048194,3.1530249,2.6824365,13.1212582,10.9467098,5.7217828,4.8512107,2.8980464,2.6529477,0,591.0359497,388.9020081,265.8980713,145.0891266,133.0250244,106.7498932,80.4069061,71.5507584,65.4779663,59.8876686,55.7718506,51.310791,180.9702148,144.5139008,139.5804901,113.8011017,81.7361984,66.7034836,56.5196114,47.4396477,43.8859596,41.0901718,36.5962486
140,14.9930918,12.29613,8.5178604,5.5116858,3.6951352,2.6019271,11.0367728,9.4382617,6.158469,5.0840396,3.4140441,2.6162927,0,584.8376465,381.2046204,259.8222351,143.7680511,132.7658844,106.0743713,80.9196472,70.8906555,65.12146,59.3475685,54.6822319,50.3243866,182.6581421,144.7067261,140.0849609,114.4000168,81.942009,67.0238037,56.9910774,47.4725723,44.1124115,41.5152588,36.6096611
141,13.7773694,11.9200124,7.6872004,4.2023014,3.3516147,2.3388137,9.962886,8.1312997,5.5009169,3.759743,2.7920403,2.2162615,0,577.8322754,374.2093201,256.6911926,142.6026611,131.3533478,104.9197922,78.8429337,69.9047623,64.79245,59.1631432,55.6393318,50.5387001,182.184433,144.8813629,140.1143036,114.5573044,82.3114471,67.4725037,57.3544884,47.6336174,44.2860603,41.6904602,36.7030334
142,15.7611534,12.6032478,7.4802657,3.6075728,2.8923851,1.8727986,10.6976374,8.8720367,5.4703179,3.4359859,2.6021762,1.8365412,0,568.4073486,367.2849121,254.1031952,141.2981262,128.8260956,104.3698196,78.5347061,69.4303436,64.1622696,58.2605591,54.7365799,49.9573593,181.8705444,144.9292145,139.3956757,114.0994949,82.3325577,67.5167313,57.1922798,47.7649307,44.3664474,41.8930931,36.8258362
143,18.2262496,14.4930359,7.743162,3.772657,3.4165354,2.4631753,11.2215954,8.8682836,5.3513401,3.8348862,2.6073328,1.9908571,0,558.3839111,361.466095,252.0642242,138.9312439,128.085495,103.4180679,77.4846954,68.7574768,63.5099449,57.8646622,54.6183662,50.1524429,182.203186,144.9895782,138.9828339,113.6976242,82.228569,67.4237518,57.1998634,47.8410835,44.3733559,41.8401108,36.9632378
144,14.4233848,11.2898126,6.1896142,2.8436698,2.5094116,2.1531802,9.7288951,7.3159732,4.7014378,3.1048296,2.1985247,1.7756876,0,556.335022,356.7774048,252.603775,138.2439117,126.8995132,101.8669891,76.6557693,68.1475525,63.3409653,56.888176,53.4034462,49.8150024,182.3018188,145.0676727,138.4142609,113.2730789,82.2206345,67.4752731,57.4044037,47.9493713,44.5242043,41.9012871,37.0568161
145,14.3503941,11.0719892,6.0597034,2.8173283,2.5144905,1.9793617,9.6081175,7.3115166,4.6215224,2.8938695,1.9713809,1.5172779,0,549.5709229,351.8457947,246.2282867,137.5849457,126.6476898,101.2124176,76.7775116,67.970726,63.4332542,57.0196762,53.3480721,49.4092712,181.8610229,145.0336151,137.3590851,112.5652313,81.9733124,67.3035507,57.0814362,48.0293617,44.588047,41.9042702,37.1222229
146,13.5029432,10.2824128,6.0497103,3.0876148,2.3975301,1.6975411,9.4159827,7.0011952,4.5582086,3.4761061,2.4967618,1.7717206,0,541.6361694,354.2601929,242.1846924,136.109024,124.5624847,99.7708817,77.438179,67.6565628,63.2607117,56.9591789,53.8020744,48.7050629,181.5086517,144.9465332,136.7078705,112.019577,81.6675644,66.9610748,56.704155,48.0437088,44.5705109,42.030674,37.1815414
147,18.6426286,12.5623888,5.9116514,2.7293052,2.0391411,1.5022889,11.6699097,8.180088,4.3127659,2.6429536,2.1664861,1.4954595,0,533.6633911,344.2497253,235.1646423,135.2787781,123.8530655,99.4395065,76.9549179,67.8228073,62.7367249,56.378994,53.4646912,48.1265182,182.1487122,144.8440552,136.0634003,111.4972534,81.41185,66.6366959,56.6430397,48.0067101,44.5315704,42.0191765,37.2492065
148,14.0342589,9.6914481,5.0244149,2.2988428,2.2674678,1.4784314,10.0544147,7.0110467,3.9550185,3.0120926,2.0137326,1.6108989,0,528.7852783,335.7074585,229.6570129,133.808136,122.3920898,98.5953369,74.9969025,67.9123459,62.1949692,56.5219574,53.4838982,48.1550446,183.2593384,144.8130798,135.2241058,110.9197235,81.1172409,66.3133774,56.4839096,47.9908028,44.4933548,41.9287796,37.3149796
149,16.2566847,10.3698127,5.1208102,2.4766888,2.0423798,1.8597716,10.3572412,7.2162857,3.9122125,3.5678565,2.2972608,1.9099306,0,523.6188965,326.8161621,223.9578552,132.5601196,123.3799667,99.6192932,76.6777802,68.4183044,62.3575974,56.2880554,53.3517723,47.7936974,183.7024994,144.7594299,134.641861,110.5425186,80.8402863,66.1130295,56.3539047,47.9538269,44.4154625,41.7450142,37.3426819
150,13.2768615,9.5531775,4.7358439,2.3338557,1.8786794,1.5054699,8.9593476,6.8480283,3.7785862,3.3813961,2.0594656,1.7810034,0,517.5766602,320.5731201,217.3844757,131.1095276,122.3355408,98.8228455,78.1183548,67.8432693,61.5510788,55.3255959,52.6399384,47.5668755,183.7969971,144.6476898,134.0709076,110.3511734,80.7348328,66.148468,56.6105385,47.9214516,44.4713554,41.981884,37.3578415
151,12.230345,8.5628244,4.654054,2.0467172,1.5299329,1.1220847,9.0042294,6.4706232,3.6739312,2.5382135,1.7418701,1.2803693,0,516.359375,324.0334778,216.1907501,130.6906738,121.3437347,97.4356384,76.2224808,66.9478683,60.9059334,54.8052559,52.0158043,47.2218933,183.11409,144.4554901,133.1556854,109.7022858,80.4903946,65.9468689,56.2272797,47.9076538,44.3190727,41.5951538,37.4033241
152,14.1397163,11.1317892,6.0876842,2.5486779,1.8996572,1.1432156,9.844882,7.9739108,4.7881891,3.0714508,1.781094,1.3381287,0,518.1422119,326.4344177,218.0386505,130.0610352,121.5596771,98.2642593,76.3654938,67.2740936,61.1348381,54.7927284,51.4665756,46.5915489,182.4954376,144.2486572,132.4376221,108.9324265,80.1272049,65.5577698,55.7176247,47.7976685,44.0406303,41.2355843,37.3809128
153,17.5292829,14.0987889,6.9792254,2.3693595,1.9240945,1.2428109,12.4326493,11.091198,6.1026422,3.4762705,2.0838115,1.6564399,0,513.5673218,322.7160339,216.0297241,127.9645081,119.8220673,97.5004196,74.9848557,66.5308685,60.8804321,54.7715912,52.0785179,47.4570236,183.7299957,144.2750244,133.3981476,108.6196365,79.7829819,65.207428,55.3666039,47.6423607,43.8745308,41.2544518,37.2948647
154,16.9517556,12.3231892,4.8843573,2.0462264,1.6044224,1.3552817,10.2947092,7.5690623,4.0601617,3.0025558,2.1154274,1.8823996,0,507.438446,315.0432739,210.3236237,125.4149857,116.6880875,95.502594,73.9967728,66.1125717,60.8323135,54.5544624,52.2955093,48.0330124,184.9346466,144.4815674,133.7893982,108.5307236,79.6704559,65.0874634,55.4275246,47.5376282,43.8801994,41.4380722,37.240036
155,14.7027877,13.6488007,7.4962547,2.8724655,1.803233,1.5044853,9.9399407,7.9117527,4.5892958,3.1676407,2.0516885,1.7065033,0,504.0812378,309.5166626,207.0149231,124.891449,115.2236633,93.6422958,72.3075638,65.5867233,60.4526405,54.0430031,51.6840668,47.5728455,185.8119049,144.786911,133.739151,108.3514023,79.5260773,65.0505371,55.5555801,47.4914818,43.9056015,41.4802856,37.2282372
156,16.5251863,12.3740594,6.6346929,2.7415761,1.9059874,1.4649501,12.8423854,10.365942,5.3414117,3.5555245,2.0508431,1.5675794,0,497.9772949,305.7311707,205.6521606,123.4236755,114.8182602,92.6286011,73.0625229,64.9221573,60.1466599,53.6459198,51.9057274,47.2449188,186.1763,145.1136169,133.8951721,108.2359848,79.3502808,64.9718781,55.6141014,47.4643517,43.9742165,41.5989304,37.2034874
157,15.9414974,10.6723303,5.3369693,1.9356249,1.5445805,1.1395044,13.4961982,8.2854049,4.0468153,4.2110957,2.3710593,1.8016317,0,494.1326599,305.5256653,203.5384064,121.8619461,114.2720261,92.2440643,72.6657257,64.0731888,58.9996529,52.7641258,50.6501579,46.3535919,187.5915375,145.372345,133.6623077,108.0127563,79.1939926,64.871994,55.4143028,47.4869308,44.0655365,41.5989113,37.2176628
158,15.7189705,9.8400009,4.9767553,2.2070567,1.7299947,1.3069609,15.3696379,8.3562417,4.4667372,3.371366,2.4796014,2.1062965,0,488.8562927,303.1403198,200.8282928,120.5445328,112.5911407,91.6398392,71.1814499,63.0798607,58.1367645,52.3186607,49.6843414,45.5880203,189.8595886,145.5749512,133.275528,108.0266953,79.0981064,64.805748,55.274807,47.479744,44.0304832,41.4770508,37.23209
159,10.1844715,7.0480712,4.0844454,2.0967824,1.7291851,1.4608602,7.8423438,5.9810989,3.4914768,2.2090302,1.9734097,1.7985375,0,490.2601624,308.1190491,207.1940155,121.7551193,112.864151,91.6573105,70.2489243,62.3518486,57.4651489,51.9450722,49.2284813,45.5600166,189.4174347,145.6863708,133.0091095,107.8726578,79.0744476,64.8661499,55.4699936,47.4825172,44.072628,41.5375328,37.2438545
160,12.0829416,8.2649067,4.3908503,1.8839236,1.6535178,1.1722989,8.9212736,6.2119048,3.7351291,2.3127838,1.5217426,1.3814482,0,495.3049622,309.0700378,218.1440277,124.4539185,116.0196381,92.8560715,71.5352097,62.465435,57.6623688,52.1840897,49.4376831,45.5133133,186.9046021,145.5419006,131.8830109,107.0417252,78.8892441,64.7604523,55.3520775,47.5114517,44.0960617,41.5204582,37.247261
161,14.0238316,8.5576832,4.3966924,2.5123561,1.9236529,1.5609857,9.7089756,6.4851658,3.6443088,2.7782771,1.7176933,1.6032029,0,490.7095032,305.4738464,213.061615,122.6007767,115.0229645,92.4107742,71.7687836,63.2192688,58.7215919,52.9424591,50.7633591,46.1574821,186.1419678,145.2312622,130.9366302,106.4799957,78.6478424,64.5481644,55.2639275,47.5099258,44.0540581,41.537159,37.2602882
162,12.507378,9.4370951,4.7813512,2.2693927,1.7676076,1.5100141,8.5059903,5.9674944,3.5518609,2.724345,1.9855826,1.7531551,0,482.9144897,299.8623657,206.9237671,120.3525085,112.6159134,90.6992493,69.8249512,62.3632965,57.6645851,51.8745651,49.9728622,45.8727417,185.6217957,144.9215393,130.6133575,106.0859451,78.4395523,64.5100327,55.3244324,47.4977531,44.0708199,41.5223236,37.276413
163,12.2827182,9.7820952,5.1123544,2.0779671,1.5481872,1.1688907,8.7805766,6.6341107,3.8578505,2.22202,1.6706076,1.2904455,0,480.4689941,293.5369873,202.7225494,119.4282379,111.8806458,90.3776169,69.2806931,61.9389839,57.2751236,51.1575127,48.7794991,45.1958504,185.2352753,144.6391449,130.1937103,105.544281,78.2302322,64.4014511,55.1962585,47.4978714,44.0976715,41.5879478,37.3026848
164,11.979854,8.7492597,4.1645442,1.9654022,1.6803105,1.2379637,8.9590955,6.4171437,3.5518609,2.1943962,1.7072955,1.3011563,0,488.6183777,293.2712708,199.3968506,118.247757,111.8772507,91.3215866,70.2079544,62.146183,57.5761909,50.9467812,48.5912933,44.4846382,184.8115692,144.3830719,129.710556,105.0422211,77.945549,64.1487427,54.859951,47.487812,44.0125885,41.3213806,37.3183212
165,9.5427218,6.801836,3.5503509,1.669265,1.4104699,1.14829,7.3688149,5.1601428,3.1638401,2.7654518,1.7592842,1.2572021,0,499.5065308,294.4635315,201.1200562,117.8670044,110.6281586,89.2469864,69.4316559,62.0170784,57.9036865,51.0556946,48.8100586,44.3567924,183.9293976,144.1197968,128.9063263,104.5701981,77.6384354,63.8900719,54.6492729,47.4217529,43.9003258,41.2062187,37.2763519
166,11.9473874,8.7135421,5.5474401,1.8237145,1.6755997,1.1492746,9.1766968,7.9126909,3.7437554,3.0816453,1.7939433,1.4096138,0,490.676178,288.61203,196.7694855,116.6086807,109.8312378,87.8424454,69.1693497,61.2003708,57.7175751,51.3842201,49.049633,44.5108566,183.1687317,143.7953949,127.9158325,104.0155334,77.3185959,63.6369972,54.4021568,47.3131905,43.7469368,40.9459381,37.2030983
167,12.7550251,10.3903775,5.3494223,2.0948191,1.5961049,1.3221085,9.635097,7.3180842,3.9603895,2.7088889,1.938497,1.6963478,0,481.2762451,286.0168457,193.1202087,115.0853958,108.0670853,87.1604691,68.3697891,61.4384346,57.3931084,51.4513321,49.3497467,44.7832031,183.3388062,143.6126862,127.8620682,103.9432449,77.0738297,63.4385147,54.2906342,47.1944885,43.6610069,40.8783989,37.1244965
168,12.7905726,9.0011774,4.6769613,2.3242027,1.8908981,1.2881779,10.0095328,7.779227,3.9359755,3.8886539,2.1586244,1.9243704,0,475.1193542,284.1273193,191.1948242,113.8280487,105.9833221,86.1629562,67.9258652,61.0366936,56.4571114,50.6560135,48.675148,44.7609787,183.7945557,143.5140839,127.6885376,103.803093,77.0144577,63.3728104,54.2585869,47.090786,43.5804596,40.8717422,37.0572777
169,13.8989417,10.3000009,5.0822213,2.2260356,1.575348,1.274848,11.9712234,12.9413982,5.1369846,3.569994,2.1942979,1.9209588,0,469.7675476,279.3200684,187.1721954,112.4764633,104.8405914,85.1807556,66.5794678,60.3878288,56.05299,50.0518875,47.5892487,43.7461739,185.0697937,143.5746307,127.7186127,103.8431168,76.9980164,63.3989563,54.4224281,47.0085945,43.5690117,40.9165001,36.9986725
170,11.4520931,6.8148242,3.52483,1.4043777,1.2154868,1.0128707,9.8468991,6.0127642,3.8339247,3.2457436,2.0124646,1.7456972,0,463.8556519,273.5939636,183.7480469,110.9766006,103.5238724,83.7464905,65.4367065,59.689045,55.5439186,50.0844269,47.3345757,43.2846909,185.9285583,143.7689209,127.9469299,103.8712082,76.9551086,63.4569893,54.5577698,46.983017,43.5927773,40.839035,36.9923172
171,9.7097947,6.1957185,3.0874383,1.3264985,1.3852965,0.9898464,7.7722474,5.8230061,3.2271539,2.503026,1.7529441,1.5651992,0,459.2268982,269.9349976,181.0233765,110.3507309,102.8013458,83.1082382,65.0695496,59.0853615,54.6771011,49.45298,46.4790344,42.5192604,185.3842926,143.7640076,127.2189484,103.1769638,76.7280807,63.3001328,54.326519,46.962635,43.5259171,40.6665878,36.9706383
172,10.5491882,6.5729183,2.924627,1.1803933,1.0989681,1.0102956,8.2006423,5.12707,2.6890679,2.1685811,1.4973967,1.4059642,0,453.6896362,266.7798767,179.5759583,109.7627258,102.4037476,82.5194016,65.2991867,59.0159874,54.5768585,49.2792358,46.1148605,42.1303864,184.0787659,143.5029755,126.2314682,102.5319061,76.4297028,63.0817299,54.1057358,46.9157372,43.4057236,40.5106773,36.8986664
173,10.9722027,6.1578362,2.7990211,1.2923037,1.0068131,0.955007,9.9104397,6.3690591,2.7370823,2.2810493,1.5363671,1.3815276,0,445.9754028,261.6199341,176.3876343,108.2803345,100.6594543,81.4633713,64.4913559,58.8533516,54.4491386,49.2611046,46.2792358,42.4346313,183.8760986,143.087616,125.0628204,101.7409363,76.0930252,62.833374,53.8932381,46.8493919,43.3184242,40.3978004,36.8549385
174,9.969291,5.770895,2.8145489,1.5656988,1.3541611,0.975229,6.9875712,4.6504465,2.5748101,2.2435599,1.564517,1.4287347,0,441.3127747,256.5192566,174.236084,107.3358765,99.6225662,80.529213,63.3118286,57.8171921,53.4900742,48.7261925,46.020134,42.3013878,183.4756165,142.5925293,123.8297806,101.0842667,75.7848358,62.5837975,53.710865,46.7740555,43.1845589,40.2065506,36.7983932
175,11.7213057,6.2852831,2.4735524,1.2396207,1.1755186,0.9245604,8.7309039,5.0719486,2.6031304,2.1991646,1.3516595,1.1666754,0,434.9164429,253.159729,171.4791107,106.2385864,98.8928146,80.4399872,62.9502182,57.0991058,52.9358521,48.056282,45.458828,41.7830772,183.0591431,142.0269318,122.6974411,100.3679581,75.5294952,62.3834457,53.6159515,46.698349,43.0986404,40.1896973,36.7336349
176,10.0034166,5.552801,2.2263377,1.0711007,1.0350043,0.9728811,8.1605512,5.3191738,2.6578179,2.3892424,1.4392371,1.129465,0,429.2807007,249.2411041,168.8852234,105.521759,98.4109039,80.3020096,62.5327644,56.3926048,52.3201447,47.4246445,44.6131668,41.2787437,183.2224579,141.4849548,121.7844467,99.8081512,75.2279892,62.1302223,53.3550072,46.5915604,42.9629631,40.0663071,36.693222
177,9.9602857,5.9730244,2.6431282,1.3240443,0.9928279,0.8726042,6.1731418,4.2155744,2.3174859,2.136189,1.3482781,1.0329879,0,423.3909302,246.5362549,165.9577942,104.6222229,97.6419907,79.4636078,61.6405716,55.7656517,52.2020187,47.2328568,44.846611,41.0875473,182.1826019,140.9463501,121.0248642,99.2564316,74.9351196,61.841156,53.0322189,46.4675369,42.8055458,39.9200058,36.6358109
178,8.1653771,5.8106715,2.6578873,1.3201177,1.1222277,1.0681594,5.3892221,3.7978251,2.2743544,1.8043749,1.3931659,1.0802744,0,419.6101074,243.677887,164.8192596,104.0462341,97.1456528,79.1558838,60.9299431,55.3654175,51.9266357,46.9449081,44.5799179,41.0522003,180.9095001,140.3677368,120.0784683,98.6991577,74.6241302,61.5346451,52.7963524,46.3329735,42.668045,39.813797,36.5651779
179,7.334752,5.2129421,2.682947,1.2168787,1.0634899,0.9381174,5.1136272,3.7464567,2.2133192,1.7404127,1.0994936,0.834321,0,419.2189331,241.4537659,164.5285339,103.0389633,96.4002609,78.1641617,60.1753883,55.5692902,52.0139313,46.7203178,44.3785896,40.7591896,179.1053467,139.7131042,119.1027985,97.9380569,74.3384781,61.2733421,52.5830002,46.1865654,42.5331497,39.7366829,36.5069008
180,8.7592562,5.0968597,2.4238942,1.2221142,1.0893257,0.769222,6.13532,3.9366839,2.131288,1.6460315,1.1972153,1.054965,0,415.3416748,238.1204987,162.7033691,101.9769058,95.9253616,77.663353,60.1288605,55.33358,52.0211411,46.7709198,44.2784462,40.4286194,177.5347137,139.0660095,118.3496475,97.2953796,74.0122528,61.0000076,52.1869545,46.0521469,42.4284973,39.6082573,36.4371681
181,7.9703401,4.6712244,1.8386041,0.9968209,0.9834799,0.7729331,5.8884698,3.6125236,2.0982476,2.3269245,1.3584223,1.4221495,0,409.0866394,235.798172,159.5206451,100.2928238,94.1623993,76.745575,59.18396,54.756073,51.6493683,46.71698,44.2325554,40.3446083,176.5681915,138.3881989,117.5945892,96.7855911,73.7483673,60.7586441,51.9223213,45.9058418,42.2896271,39.4891357,36.3707962
182,6.4157322,3.8364596,1.5308156,0.9606628,1.1170017,0.8434451,5.5304234,3.1417639,1.7172255,1.7603084,1.2743106,1.2860818,0,402.7463989,233.4194183,156.9152985,99.0308685,93.1538773,76.5207367,58.9311371,54.1969757,50.8722458,46.1496239,43.8300056,40.1083603,175.2887726,137.65802,116.7111282,96.3243637,73.5583496,60.643158,51.8720551,45.7871246,42.2174606,39.4163971,36.2952309
183,4.7596956,3.5269068,1.7970942,0.8968542,0.8962564,0.7782348,4.2361616,2.7889874,1.7188531,1.5024866,1.1874938,1.0329879,0,401.0638733,232.2584534,155.6428833,98.2700806,92.1199417,76.0838928,58.8464279,53.7258339,50.2260818,45.6283646,43.3711319,39.8772392,173.5171814,136.8433075,115.7484207,95.7246094,73.3000793,60.4989548,51.8420715,45.6865349,42.1612396,39.3454781,36.2222366
184,4.8547257,2.9616479,1.7105383,0.8184842,0.7677399,0.5989632,3.9275357,2.4993072,1.3949599,1.0304161,0.833633,0.6695323,0,403.3657227,232.1694946,154.4656219,97.7823944,91.2923813,75.6389618,58.9795418,53.8570786,50.514286,45.4063721,42.9518661,39.3347244,171.7780762,135.9664307,114.6582184,95.0553589,72.947525,60.2355576,51.5623131,45.5729256,42.047718,39.169735,36.1578064
185,4.7499793,2.7974008,1.6442761,0.7176994,0.6783818,0.508002,3.3743289,2.4031381,1.4107476,1.1195357,0.7907741,0.6009827,0,399.400177,228.2195587,153.3723602,96.8339844,90.6415558,74.8793564,59.2237663,54.2048111,50.790947,45.5821457,43.3787308,39.3301392,170.1755066,135.0639343,113.5103226,94.3148041,72.5641251,59.8912048,51.1295013,45.4236679,41.8653564,38.8891182,36.0757828
186,5.1587749,3.1884009,1.6933194,0.8629866,0.715185,0.5929042,3.9522459,2.6247962,1.6337294,1.2359501,0.8627128,0.6333533,0,393.7446289,224.6329498,150.3937531,95.9084625,89.7320557,73.8223495,58.4387169,54.1918259,50.4067726,45.2417755,43.2934875,39.5627136,169.010849,134.1416321,112.4724503,93.5487213,72.1752396,59.5615425,50.7790298,45.2454872,41.6413307,38.6144333,35.9649811
187,4.628881,2.9808597,1.6444299,0.8934183,0.7055426,0.6323636,3.7989416,2.5408241,1.4926161,1.1027641,0.8660942,0.7624392,0,390.8701172,221.9230194,149.514801,94.4387589,88.0316925,72.0876999,57.3110962,53.6193924,50.1255875,45.1724701,43.3609047,39.36409,167.8954163,133.2549286,111.7462311,92.9258804,71.7986374,59.2367973,50.5262718,45.0411072,41.4446068,38.453701,35.8491135
188,4.103253,2.6558832,1.549572,0.7783993,0.6691074,0.5991904,3.1985836,2.2992285,1.3991916,0.909891,0.8019326,0.6954764,0,387.6362915,219.10672,149.292923,93.6507339,87.8897705,71.5389175,56.3223381,52.3448067,49.0146599,44.5758057,42.7954521,39.0705338,166.8082428,132.4139404,111.0765762,92.3688889,71.4398193,58.9453354,50.2984428,44.8506432,41.2822914,38.2830658,35.7296944
189,3.7579688,2.4678243,1.3827635,0.768419,0.6268574,0.6266075,3.2603592,2.1369137,1.2750054,0.9751686,0.8050604,0.5895578,0,386.8042603,215.7558136,146.2522583,92.3447189,86.4074936,71.0032425,55.6536942,51.7618904,48.4398575,44.099514,42.0290146,38.4973564,165.8008575,131.5684052,110.3046722,91.7611542,71.0860519,58.6658936,50.1067429,44.6752853,41.118763,38.0940361,35.6109314
190,3.548476,2.5446714,1.4295007,0.8258467,0.6660896,0.5542021,3.0586429,2.0353497,1.1880914,0.9659607,0.8582325,0.6759588,0,384.2816162,213.2888794,143.7888794,91.3496552,85.1992493,70.3291092,55.2346687,51.2780304,48.0967712,43.9391289,41.7431717,38.1615677,164.8491669,130.7295227,109.5982666,91.1961136,70.7516022,58.3557434,49.8257675,44.5090637,40.9588165,37.9466743,35.4905396
191,3.3020137,2.2481067,1.2107279,0.6730334,0.6249437,0.5523844,2.6534454,1.8681093,1.1654677,0.8266909,0.7239074,0.5883677,0,377.7597961,210.5661774,143.1929626,90.5391006,84.2949142,69.3052139,54.7587013,50.7337227,47.6089325,43.4486732,41.5045052,37.9996071,163.7788849,129.9168549,108.9584656,90.5502014,70.4244156,58.0370293,49.5272865,44.3342285,40.7541084,37.738739,35.3667145
192,3.2489295,2.2037303,1.3114279,0.7260436,0.6098544,0.4812666,2.8821412,1.9225269,1.0894586,0.947216,0.6830773,0.5073617,0,376.3916016,207.3594971,140.1832581,89.4173355,83.593689,68.9144669,54.3382607,50.2376022,47.4186935,43.1286201,41.0455589,37.6829796,162.5658112,129.07901,108.3266296,89.9764557,70.0623169,57.727066,49.3123283,44.1663666,40.6081505,37.5859909,35.2570419
193,2.9112289,1.9964597,1.2041171,0.6733606,0.5787925,0.5394332,2.586879,1.7780387,0.9823622,0.8411604,0.6608448,0.5058543,0,377.852417,204.4760284,138.86586,88.7161789,82.4309921,67.8676758,53.6046066,49.7529335,47.1837082,42.7301674,40.7282143,37.5113411,161.1509705,128.2529602,107.5784302,89.4088593,69.7084122,57.4426041,49.0527,43.9863853,40.4243393,37.413578,35.1108246
194,3.2169368,1.9082479,1.1815172,0.6308216,0.5907904,0.4788429,2.4325661,1.7524718,1.1693739,0.8072884,0.6944895,0.5554417,0,373.2103882,201.1356659,136.5945129,88.1330719,81.7594757,67.1715469,52.9097176,49.3128242,46.5419693,42.4896278,40.7130356,37.389679,159.657608,127.4636154,106.8478775,88.7534409,69.3617859,57.1963501,48.8185234,43.805954,40.2605667,37.2437057,34.9941177
195,3.2200176,1.7518479,1.1839771,0.7471495,0.694796,0.5448864,2.3869278,1.6628703,1.1229872,0.9228808,0.7518883,0.5965397,0,370.6976318,199.3573608,134.5669403,87.0807114,80.8449173,66.7537231,53.086441,49.2853508,46.0990791,42.1041107,40.3211632,37.2767715,157.9591522,126.6826477,106.2644272,88.3052597,69.0486984,56.9480362,48.5981674,43.6394157,40.100666,37.030632,34.8839378
196,3.1778347,1.7580714,1.156765,0.6767965,0.633482,0.520726,2.1768908,1.6619321,1.0634169,0.8436268,0.6993079,0.5699608,0,367.4516907,198.2299957,133.1174011,86.3232498,79.841362,66.2981033,52.5813408,48.5773277,45.726635,41.7855072,39.7509079,36.5670738,155.9002686,125.9249268,105.5479507,87.7586899,68.7411423,56.7144585,48.4544716,43.4847908,39.9702187,36.9169731,34.7535629
197,2.9593364,1.5824596,1.0084054,0.6965935,0.6027146,0.5407965,2.0553567,1.6168968,0.9532281,0.9528065,0.7195962,0.6009827,0,361.8421631,195.4157562,131.57547,85.4161224,78.761261,65.5824738,52.1400032,48.0574722,45.4309845,41.5118752,39.5113678,36.2776604,153.73703,125.1585693,104.8050919,87.2541046,68.4141312,56.4908218,48.2333794,43.3312721,39.8282204,36.7879906,34.6404228
198,2.8465325,1.5337538,0.9921089,0.6290218,0.5464794,0.5011856,1.9567679,1.5477019,0.8987034,0.8673044,0.6659169,0.5537755,0,359.4795532,193.18367,130.0040894,84.6318665,77.8386688,65.2424622,51.488739,47.663784,44.9220581,41.1131096,39.1341133,36.1011734,151.6703339,124.376152,103.9164886,86.8029099,68.0893631,56.2520943,48.0104523,43.1915359,39.6773109,36.6268997,34.5475426
199,2.7917895,1.5724479,1.0383848,0.6697612,0.5729776,0.5350404,1.9497078,1.5570842,0.9421604,0.6331601,0.6766527,0.5425886,0,353.3213806,190.6145782,128.2750244,83.9530563,77.0096359,64.4968948,51.0131073,47.3333092,44.6440811,40.7123222,38.5614319,35.8531761,149.7163086,123.59478,103.2600555,86.3021469,67.7865524,56.0055847,47.7111511,43.0145836,39.5177765,36.4900513,34.4437561
200,2.6538655,1.5635185,0.9605921,0.6090612,0.5692237,0.5046696,2.1229317,1.5021975,0.8555718,1.0192351,0.6742858,0.5904305,0,347.7434692,187.6286469,126.6431885,83.3796692,76.2961655,63.3018265,50.323597,46.8215027,44.3991051,40.5330811,38.3739243,35.5366364,147.7672119,122.8212433,102.5084763,85.8289719,67.4851761,55.787384,47.533287,42.8591461,39.375721,36.3546677,34.3294563
201,2.6026771,1.5453891,1.019321,0.5843558,0.5843866,0.4935361,2.0298901,1.4215092,0.9167698,0.9970374,0.6549274,0.5857495,0,343.764801,184.6390839,124.711113,82.628334,76.034584,62.4084091,49.5882492,46.2902069,43.814949,40.1987648,38.0343361,35.3700638,145.8121948,122.0566101,101.7575302,85.3022156,67.176796,55.5750465,47.3991089,42.7014465,39.2340088,36.2184982,34.2192497
202,2.7128742,1.4439185,1.0030245,0.5081128,0.539634,0.5402664,2.0803191,1.4273732,0.8794976,1.1282503,0.7058171,0.5532995,0,337.7015381,181.8491669,123.0090103,81.74617,75.5937042,61.7577934,48.9691925,45.7706337,43.5877151,39.8174477,37.6618195,35.0234909,143.8937225,121.2987289,101.313858,84.838028,66.8746948,55.3656998,47.2912979,42.5582924,39.1005478,36.1306305,34.1375809
