Position,0.2 m,0.4 m,0.6 m,0.8 m,1.0 m,1.2 m,1.4 m,1.6 m,1.8 m,2.0 m,2.2 m,2.4 m
0,605.3883911,520.064976,448.9725332,266.4445872,256.3550507,219.5786453,170.6221074,149.1673121,130.7628771,114.3496478,114.2198878,93.61973497
0.076,656.9452799,545.5780863,440.0981801,254.8859879,244.8585342,210.087679,163.9864746,137.0833638,121.0287089,103.4140935,98.91567993,83.68680751
0.15,626.580601,361.3609009,292.0799062,157.990917,142.2321559,127.925384,102.17319,92.35145188,84.84036001,75.99945908,73.05365423,63.08217113
0.305,601.8702983,410.7324687,255.8929418,156.2754939,147.9967479,118.8736132,83.25430908,71.55820668,73.65610835,67.42016576,63.48778751,57.50941442
0.61,512.7178162,414.3349091,326.8367554,195.5541677,179.80678,136.2795316,106.0600385,86.9663386,73.26648611,65.60930303,59.01701813,53.55240503
