Position,0.2 m,0.4 m,0.6 m,0.8 m,1.0 m,1.2 m,1.4 m,1.6 m,1.8 m,2.0 m,2.2 m
0,590.7919311,507.1744212,482.0657145,328.8994202,193.3898361,152.5539556,134.227622,93.83447673,78.6019928,68.41721827,55.69259962
0.076,519.8216024,565.952654,448.4231974,442.51197,196.4549566,187.7954351,119.4769959,90.75569509,81.01630453,70.54389317,61.44129563
0.15,377.5802094,320.9516713,262.5101868,171.7622599,140.5599581,101.5827171,75.70637792,63.91539751,56.64238536,49.20277481,43.45984345
0.305,184.5773758,144.2475723,146.633875,117.6273163,83.29588623,67.98708216,57.53409398,47.54409065,44.0296145,41.0282538,37.11588198
0.61,109.4172984,97.4136533,90.80888545,74.76328659,58.90556209,49.35145022,42.49556452,35.49916865,32.99241689,31.1173434,24.54563523
