s,kW,kW
Time,"Basement_HRR","First_Floor_HRR"
 1.3830264E+002, 1.8522102E+003, 1.1567181E+002
 1.3860034E+002, 1.7849055E+003, 1.5738687E+002
 1.3890555E+002, 1.7437141E+003, 8.5712540E+001
 1.3920601E+002, 1.8977168E+003, 9.7608955E+001
 1.3950232E+002, 1.7241014E+003, 1.4186885E+002
 1.3980410E+002, 1.7606008E+003, 1.5164996E+002
 1.4010354E+002, 1.7709047E+003, 1.8118184E+002
 1.4040429E+002, 1.7514536E+003, 2.7018130E+002
 1.4070402E+002, 1.5317637E+003, 2.8438330E+002
 1.4100208E+002, 1.5044485E+003, 1.4735742E+002
 1.4130580E+002, 1.5950421E+003, 1.4677365E+002
 1.4160257E+002, 1.8484974E+003, 1.8136032E+002
 1.4190448E+002, 1.7938115E+003, 1.1164566E+002
 1.4220236E+002, 1.8070459E+003, 2.3551283E+002
 1.4250401E+002, 1.5534465E+003, 2.8929959E+002
 1.4280172E+002, 1.5335992E+003, 1.2903911E+002
 1.4310138E+002, 1.6951813E+003, 7.6875923E+001
 1.4340474E+002, 1.7493468E+003, 6.8046516E+001
 1.4370028E+002, 1.8782064E+003, 1.8151369E+002
 1.4400353E+002, 1.8775679E+003, 4.0757660E+002
 1.4430280E+002, 1.7622427E+003, 2.6506882E+002
 1.4460271E+002, 1.8372911E+003, 1.3661813E+002
 1.4490364E+002, 1.8883590E+003, 8.0779823E+001
 1.4520540E+002, 1.7770892E+003, 2.5723297E+002
 1.4550412E+002, 1.7549978E+003, 4.0196967E+002
 1.4580536E+002, 1.7169357E+003, 2.2798927E+002
 1.4610335E+002, 1.9076215E+003, 1.3016893E+002
 1.4640449E+002, 1.8503557E+003, 1.6442738E+002
 1.4670050E+002, 1.9600931E+003, 2.4813585E+002
 1.4700326E+002, 1.9736309E+003, 1.8462402E+002
 1.4730392E+002, 2.2416272E+003, 4.9846245E+001
 1.4760275E+002, 1.9787289E+003, 1.5792081E+002
 1.4790396E+002, 2.0877537E+003, 3.4741052E+002
 1.4820079E+002, 1.9837291E+003, 2.8207654E+002
 1.4850230E+002, 1.8641255E+003, 3.8295389E+002
 1.4880032E+002, 1.6559226E+003, 3.2464752E+002
 1.4910260E+002, 1.7024530E+003, 2.6126602E+002
 1.4940023E+002, 1.6302440E+003, 2.5019649E+002
 1.4970236E+002, 1.5800706E+003, 2.9379626E+002
 1.5000307E+002, 1.6067792E+003, 3.3854562E+002
 1.5030184E+002, 1.5696554E+003, 3.8020593E+002
 1.5060213E+002, 1.4964968E+003, 2.7489154E+002
 1.5090050E+002, 1.3120217E+003, 1.0840017E+002
 1.5120347E+002, 1.5915297E+003, 7.5245354E+001
 1.5150469E+002, 1.9257584E+003, 7.9323196E+001
 1.5180129E+002, 1.8745826E+003, 7.8090187E+001
 1.5210079E+002, 1.7838727E+003, 1.7427698E+002
 1.5240357E+002, 1.7635217E+003, 2.5026004E+002
 1.5270295E+002, 1.6659890E+003, 2.4994525E+002
 1.5300172E+002, 1.5587761E+003, 3.5101660E+002
 1.5330445E+002, 1.6094268E+003, 3.3237347E+002
 1.5360153E+002, 1.7509011E+003, 4.2272345E+002
 1.5390449E+002, 1.8459421E+003, 2.8181305E+002
 1.5420067E+002, 1.7622832E+003, 2.6490173E+002
 1.5450151E+002, 1.6361592E+003, 1.9452454E+002
 1.5480427E+002, 1.4209100E+003, 1.1125809E+002
 1.5510164E+002, 1.3985801E+003, 2.0012973E+002
 1.5540549E+002, 1.4995983E+003, 2.4104910E+002
 1.5570342E+002, 1.6597439E+003, 2.2669948E+002
 1.5600376E+002, 1.6561821E+003, 2.1296965E+002
 1.5630568E+002, 1.7591366E+003, 2.8075244E+002
 1.5660072E+002, 1.5368121E+003, 3.2230090E+002
 1.5690555E+002, 1.2815985E+003, 3.4414795E+002
 1.5720523E+002, 1.3913922E+003, 2.3952011E+002
 1.5750443E+002, 1.5318893E+003, 2.3868806E+002
 1.5780487E+002, 1.8237201E+003, 1.1547665E+002
 1.5810283E+002, 1.9912524E+003, 7.3852325E+001
 1.5840484E+002, 1.9665072E+003, 7.3041603E+001
 1.5870185E+002, 2.2629673E+003, 5.9072170E+001
 1.5900396E+002, 2.1376707E+003, 2.1406923E+002
 1.5930185E+002, 1.7699391E+003, 2.2253110E+002
 1.5960237E+002, 1.8735840E+003, 3.2465515E+002
 1.5990380E+002, 1.4825790E+003, 2.2342033E+002
 1.6020351E+002, 1.2067501E+003, 1.0640191E+002
 1.6050428E+002, 9.5704810E+002, 7.1723427E+001
 1.6080292E+002, 7.5343243E+002, 6.6223984E+001
 1.6110241E+002, 6.3974170E+002, 5.5542500E+001
 1.6140033E+002, 6.2767126E+002, 3.6411343E+001
 1.6170480E+002, 5.0986823E+002, 4.4413635E+001
 1.6200178E+002, 4.9419617E+002, 7.1309090E+001
 1.6230437E+002, 4.6773526E+002, 3.2007137E+001
 1.6260135E+002, 4.4868875E+002, 2.0762962E+001
 1.6290026E+002, 3.8038098E+002, 2.0263985E+001
 1.6320156E+002, 3.3049896E+002, 1.7250977E+001
 1.6350196E+002, 4.2703079E+002, 1.4054223E+001
 1.6380442E+002, 4.4683853E+002, 4.7236473E+001
 1.6410515E+002, 3.9880960E+002, 5.5542473E+001
 1.6440160E+002, 4.3826349E+002, 2.8153059E+001
 1.6470059E+002, 4.2333508E+002, 1.5501174E+001
 1.6500359E+002, 4.3301721E+002, 1.4127660E+001
 1.6530108E+002, 5.1444299E+002, 1.2006964E+001
 1.6560257E+002, 5.2799408E+002, 2.4746883E+001
 1.6590465E+002, 4.5832651E+002, 2.8811985E+001
 1.6620333E+002, 4.0351630E+002, 2.3627106E+001
 1.6650089E+002, 4.2750293E+002, 5.7816806E+000
 1.6680083E+002, 4.5203128E+002, 5.9816155E+000
 1.6710424E+002, 4.8502826E+002, 1.7322426E+000
 1.6740527E+002, 4.6567682E+002, 1.1207220E+001
 1.6770136E+002, 4.4457968E+002, 2.4983480E+001
 1.6800494E+002, 4.7181357E+002, 3.5324295E+001
 1.6830160E+002, 5.4227820E+002, 2.5431705E+001
 1.6860007E+002, 5.9990125E+002, 9.7563734E+000
 1.6890226E+002, 6.2469360E+002, 6.2279387E+000
 1.6920074E+002, 5.7384009E+002, 2.3007836E+000
 1.6950438E+002, 5.9974054E+002, 3.1950436E+000
 1.6980467E+002, 6.2759460E+002, 3.2711220E+000
 1.7010055E+002, 6.6125409E+002, 3.7095797E+000
 1.7040467E+002, 6.6584583E+002, 1.5331176E+001
 1.7070148E+002, 7.7271301E+002, 3.6357452E+001
 1.7100113E+002, 7.9639972E+002, 6.5476517E+001
 1.7130231E+002, 9.0028864E+002, 1.2136301E+002
 1.7160161E+002, 1.0230804E+003, 1.2345432E+002
 1.7190228E+002, 1.0727885E+003, 7.9673523E+001
 1.7220059E+002, 1.2593838E+003, 1.0831590E+002
 1.7250108E+002, 1.2189742E+003, 1.0734435E+002
 1.7280036E+002, 1.1370699E+003, 1.2940768E+002
 1.7310350E+002, 1.2291414E+003, 1.8193196E+002
 1.7340430E+002, 1.2350883E+003, 1.8131841E+002
 1.7370085E+002, 1.0593771E+003, 1.8969446E+002
 1.7400304E+002, 1.0469775E+003, 1.9500293E+002
 1.7430019E+002, 1.1847957E+003, 1.4828876E+002
 1.7460329E+002, 1.2022826E+003, 1.1490553E+002
 1.7490399E+002, 1.2127579E+003, 1.5586391E+002
 1.7520117E+002, 1.2255670E+003, 1.3733403E+002
 1.7550521E+002, 1.2396730E+003, 1.4230695E+002
 1.7580468E+002, 1.3187776E+003, 1.4167778E+002
 1.7610270E+002, 1.2625392E+003, 1.8164958E+002
 1.7640321E+002, 1.2617302E+003, 1.0577597E+002
 1.7670220E+002, 1.1597206E+003, 1.0171664E+002
 1.7700456E+002, 9.2366345E+002, 8.5088104E+001
 1.7730164E+002, 9.6981763E+002, 6.7189156E+001
 1.7760372E+002, 1.0022265E+003, 1.1359690E+002
 1.7790039E+002, 9.1684393E+002, 1.0498844E+002
 1.7820207E+002, 8.4221185E+002, 6.8215477E+001
 1.7850381E+002, 9.1724799E+002, 7.6342262E+001
 1.7880127E+002, 9.3374750E+002, 9.2901627E+001
 1.7910161E+002, 8.7942639E+002, 1.0132835E+002
 1.7940102E+002, 9.1434094E+002, 7.7652115E+001
 1.7970349E+002, 8.3008270E+002, 7.0312965E+001
 1.8000135E+002, 7.9975928E+002, 1.0203831E+002
 1.8030202E+002, 8.6709393E+002, 1.1411975E+002
 1.8060467E+002, 1.1230277E+003, 2.0744051E+002
 1.8090052E+002, 1.3370529E+003, 2.9592068E+002
 1.8120224E+002, 1.5984399E+003, 2.5921207E+002
 1.8150355E+002, 1.9804047E+003, 2.1542833E+002
 1.8180118E+002, 2.3206516E+003, 1.6463660E+002
 1.8210295E+002, 2.3863962E+003, 2.1443724E+002
 1.8240025E+002, 2.4431602E+003, 3.6032965E+002
 1.8270332E+002, 2.5115398E+003, 4.6397919E+002
 1.8300281E+002, 2.6337725E+003, 5.2328040E+002
 1.8330562E+002, 2.8197598E+003, 6.2953644E+002
 1.8360417E+002, 2.8671409E+003, 5.1226697E+002
 1.8390368E+002, 2.7210388E+003, 4.5992551E+002
 1.8420197E+002, 2.7956863E+003, 4.8542181E+002
 1.8450276E+002, 2.9104531E+003, 4.1722238E+002
 1.8480465E+002, 2.7731111E+003, 3.5794427E+002
 1.8510294E+002, 2.6926003E+003, 3.5699683E+002
 1.8540005E+002, 2.8095471E+003, 4.0729507E+002
 1.8570017E+002, 2.8426438E+003, 4.2620993E+002
 1.8600343E+002, 2.7221677E+003, 4.8978876E+002
 1.8630551E+002, 2.8745479E+003, 5.7627161E+002
 1.8660077E+002, 2.7669954E+003, 5.1714673E+002
 1.8690111E+002, 2.5023997E+003, 6.8249237E+002
 1.8720056E+002, 2.3660281E+003, 5.0348810E+002
 1.8750533E+002, 2.5085273E+003, 4.4215701E+002
 1.8780223E+002, 2.5617615E+003, 5.1547333E+002
 1.8810168E+002, 2.4527288E+003, 5.2324103E+002
 1.8840130E+002, 2.5375942E+003, 5.5501715E+002
 1.8870417E+002, 2.3286670E+003, 4.4517422E+002
 1.8900100E+002, 2.4364646E+003, 4.7338135E+002
 1.8930098E+002, 2.2823027E+003, 3.7425916E+002
 1.8960499E+002, 2.1868115E+003, 4.3961847E+002
 1.8990350E+002, 2.0319130E+003, 2.8572101E+002
 1.9020162E+002, 1.9270807E+003, 2.9628284E+002
 1.9050406E+002, 1.8326862E+003, 4.4944479E+002
 1.9080110E+002, 1.6860532E+003, 3.0957779E+002
 1.9110015E+002, 1.6082395E+003, 2.5016183E+002
 1.9140252E+002, 1.5849987E+003, 2.6228748E+002
 1.9170438E+002, 1.8019415E+003, 2.6686655E+002
 1.9200373E+002, 2.1394158E+003, 2.4993767E+002
 1.9230243E+002, 2.2545134E+003, 4.8504245E+002
 1.9260203E+002, 2.4197661E+003, 3.9442194E+002
 1.9290300E+002, 2.2270671E+003, 3.1912299E+002
 1.9320066E+002, 2.4199695E+003, 2.5394440E+002
 1.9350438E+002, 1.9883950E+003, 2.2914291E+002
 1.9380520E+002, 1.9812971E+003, 2.2305576E+002
 1.9410532E+002, 1.9234747E+003, 2.3807695E+002
 1.9440436E+002, 2.1839917E+003, 2.7935696E+002
 1.9470224E+002, 2.1846641E+003, 2.2123695E+002
 1.9500155E+002, 2.0502773E+003, 1.8280688E+002
 1.9530277E+002, 2.4728977E+003, 3.3123206E+002
 1.9560111E+002, 2.2547449E+003, 3.4612094E+002
 1.9590280E+002, 2.1662725E+003, 4.6154681E+002
 1.9620020E+002, 1.9433982E+003, 7.9922180E+002
 1.9650297E+002, 1.8287355E+003, 6.2696185E+002
 1.9680062E+002, 2.0750518E+003, 4.7696240E+002
 1.9710260E+002, 2.2831643E+003, 3.1501132E+002
 1.9740095E+002, 2.1505168E+003, 3.7713678E+002
 1.9770062E+002, 1.7875931E+003, 3.4409387E+002
 1.9800209E+002, 1.6839879E+003, 3.5593011E+002
 1.9830099E+002, 1.7448792E+003, 2.0455907E+002
 1.9860377E+002, 2.0691416E+003, 1.7930461E+002
 1.9890253E+002, 1.9518937E+003, 1.1228638E+002
 1.9920341E+002, 1.8158060E+003, 1.7842604E+002
 1.9950152E+002, 1.9948805E+003, 1.9421014E+002
 1.9980217E+002, 2.0456459E+003, 1.9489363E+002
 2.0010130E+002, 2.1856826E+003, 4.1036761E+002
 2.0040134E+002, 2.1080051E+003, 4.0420865E+002
 2.0070143E+002, 1.9689026E+003, 3.4031509E+002
 2.0100206E+002, 2.1212480E+003, 3.4700485E+002
 2.0130049E+002, 2.0057198E+003, 3.2717853E+002
 2.0160023E+002, 2.1549417E+003, 2.3872974E+002
 2.0190027E+002, 1.9174274E+003, 1.4059938E+002
 2.0220028E+002, 1.8762794E+003, 1.4257433E+002
 2.0250361E+002, 1.7729816E+003, 2.2554796E+002
 2.0280400E+002, 1.8569672E+003, 2.6048450E+002
 2.0310391E+002, 1.9878756E+003, 2.5950125E+002
 2.0340130E+002, 2.0894482E+003, 2.1902513E+002
 2.0370070E+002, 2.2816157E+003, 2.0605605E+002
 2.0400367E+002, 2.0185967E+003, 2.6871832E+002
 2.0430125E+002, 2.1579458E+003, 6.0588684E+002
 2.0460257E+002, 2.3144829E+003, 6.8489417E+002
 2.0490460E+002, 2.6125920E+003, 3.4323010E+002
 2.0520446E+002, 2.7114075E+003, 2.8464780E+002
 2.0550291E+002, 2.7568562E+003, 2.1867682E+002
 2.0580239E+002, 2.5411404E+003, 3.2070132E+002
 2.0610426E+002, 2.4973518E+003, 5.4639087E+002
 2.0640345E+002, 2.1083806E+003, 5.9126276E+002
 2.0670189E+002, 1.9129137E+003, 5.1647754E+002
 2.0700384E+002, 1.7481718E+003, 3.9267618E+002
 2.0730417E+002, 2.1022676E+003, 2.0069170E+002
 2.0760044E+002, 2.1787424E+003, 1.9437230E+002
 2.0790022E+002, 2.2671580E+003, 3.3228033E+002
 2.0820181E+002, 1.7217898E+003, 1.7002283E+002
 2.0850022E+002, 1.5964296E+003, 6.6153831E+001
 2.0880287E+002, 1.9065441E+003, 3.4928753E+001
 2.0910263E+002, 1.9478108E+003, 1.0242027E+002
 2.0940395E+002, 1.9236298E+003, 3.1006918E+002
 2.0970303E+002, 2.0974429E+003, 3.3465747E+002
 2.1000613E+002, 2.0629116E+003, 4.5540765E+002
 2.1030077E+002, 2.0482822E+003, 3.4137012E+002
 2.1060110E+002, 2.1418560E+003, 1.8285069E+002
 2.1090163E+002, 2.1384707E+003, 2.6459113E+002
 2.1120395E+002, 2.2490234E+003, 1.8475926E+002
 2.1150012E+002, 2.3958130E+003, 1.6463121E+002
 2.1180356E+002, 2.4958877E+003, 6.4712341E+002
 2.1210121E+002, 2.2514207E+003, 6.1318451E+002
 2.1240117E+002, 2.5243901E+003, 3.6516257E+002
 2.1270421E+002, 2.6957170E+003, 3.2104938E+002
 2.1300152E+002, 2.8410640E+003, 3.6474808E+002
 2.1330498E+002, 2.8263000E+003, 3.4337427E+002
 2.1360017E+002, 2.5500024E+003, 4.4477917E+002
 2.1390085E+002, 2.3727153E+003, 4.1392465E+002
 2.1420190E+002, 2.4819861E+003, 5.4957092E+002
 2.1450460E+002, 2.4714109E+003, 4.8675455E+002
 2.1480533E+002, 2.4939885E+003, 4.1102478E+002
 2.1510327E+002, 2.4197356E+003, 4.0092715E+002
 2.1540306E+002, 2.5075027E+003, 4.9521048E+002
 2.1570125E+002, 2.7260012E+003, 3.6772626E+002
 2.1600149E+002, 2.6877917E+003, 4.2463773E+002
 2.1630454E+002, 2.6789736E+003, 4.0883026E+002
 2.1660327E+002, 2.6249363E+003, 4.4175092E+002
 2.1690212E+002, 2.6622195E+003, 4.8259390E+002
 2.1720158E+002, 2.6240518E+003, 5.6629590E+002
 2.1750376E+002, 2.7440474E+003, 6.1134857E+002
 2.1780487E+002, 2.7083428E+003, 5.2765387E+002
 2.1810389E+002, 2.5153240E+003, 2.7752667E+002
 2.1840386E+002, 2.5191077E+003, 3.0864835E+002
 2.1870445E+002, 2.4625425E+003, 3.0944107E+002
 2.1900259E+002, 2.5976104E+003, 3.3553479E+002
 2.1930467E+002, 2.7079744E+003, 2.7921674E+002
 2.1960106E+002, 2.5371028E+003, 1.4486458E+002
 2.1990489E+002, 2.8116328E+003, 1.7597646E+002
 2.2020081E+002, 2.9711421E+003, 4.1293451E+002
 2.2050522E+002, 3.0616919E+003, 3.6644754E+002
 2.2080015E+002, 2.8378965E+003, 2.9508820E+002
 2.2110532E+002, 2.8543647E+003, 3.6071292E+002
 2.2140191E+002, 2.4045461E+003, 4.5313931E+002
 2.2170413E+002, 2.3831365E+003, 5.0043625E+002
 2.2200144E+002, 2.7516597E+003, 6.4333533E+002
 2.2230448E+002, 2.7801587E+003, 6.6308221E+002
 2.2260491E+002, 2.9938564E+003, 5.4875171E+002
 2.2290163E+002, 3.0847654E+003, 4.0217209E+002
 2.2320186E+002, 2.9933818E+003, 3.3714859E+002
 2.2350105E+002, 2.8170027E+003, 3.6070047E+002
 2.2380118E+002, 2.8029277E+003, 2.7851562E+002
 2.2410362E+002, 2.9718462E+003, 2.9075742E+002
 2.2440055E+002, 2.9785859E+003, 3.5519971E+002
 2.2470186E+002, 2.8876880E+003, 5.1693024E+002
 2.2500467E+002, 2.6406855E+003, 4.9022833E+002
 2.2530190E+002, 2.7396897E+003, 3.9214548E+002
 2.2560024E+002, 2.9150723E+003, 3.7023666E+002
 2.2590001E+002, 2.8008525E+003, 3.2510086E+002
 2.2620282E+002, 2.6212849E+003, 4.8299231E+002
 2.2650157E+002, 2.5094885E+003, 5.5570758E+002
 2.2680031E+002, 2.4199297E+003, 4.1700781E+002
 2.2710051E+002, 2.1349409E+003, 2.9504773E+002
 2.2740470E+002, 2.1281748E+003, 3.5334259E+002
 2.2770078E+002, 2.6032297E+003, 2.1537660E+002
 2.2800431E+002, 2.7251819E+003, 4.3700793E+002
 2.2830068E+002, 2.6253381E+003, 5.5783856E+002
 2.2860279E+002, 2.6881228E+003, 3.6152582E+002
 2.2890112E+002, 2.6106335E+003, 3.3884201E+002
 2.2920287E+002, 2.4421267E+003, 5.1579742E+002
 2.2950536E+002, 2.0077666E+003, 5.3936737E+002
 2.2980314E+002, 2.2729629E+003, 5.6349976E+002
 2.3010403E+002, 2.4642878E+003, 3.7091910E+002
 2.3040452E+002, 2.8086553E+003, 5.3809894E+002
 2.3070134E+002, 2.8360466E+003, 6.4598889E+002
 2.3100171E+002, 2.5411399E+003, 8.1767883E+002
 2.3130022E+002, 2.5466663E+003, 6.1340686E+002
 2.3160387E+002, 2.5497727E+003, 2.8970325E+002
 2.3190155E+002, 2.3314578E+003, 2.6832294E+002
 2.3220172E+002, 2.5292563E+003, 2.1363408E+002
 2.3250149E+002, 2.7098169E+003, 1.5682823E+002
 2.3280075E+002, 2.7577949E+003, 4.2546802E+002
 2.3310535E+002, 2.7715288E+003, 6.7594476E+002
 2.3340430E+002, 2.8839905E+003, 5.3582355E+002
 2.3370113E+002, 2.8384668E+003, 5.4333777E+002
 2.3400434E+002, 2.7046062E+003, 5.1354065E+002
 2.3430304E+002, 2.5971880E+003, 6.2376392E+002
 2.3460288E+002, 2.5553286E+003, 5.6990869E+002
 2.3490487E+002, 2.5933535E+003, 5.6867572E+002
 2.3520011E+002, 2.7567351E+003, 5.1284149E+002
 2.3550250E+002, 2.5783938E+003, 6.2146967E+002
 2.3580437E+002, 2.6006135E+003, 5.5632574E+002
 2.3610018E+002, 2.6825510E+003, 8.4285516E+002
 2.3640074E+002, 2.9574587E+003, 4.2364847E+002
 2.3670442E+002, 3.0377498E+003, 4.3024280E+002
 2.3700109E+002, 2.9157969E+003, 3.5352530E+002
 2.3730130E+002, 2.9157529E+003, 4.2524271E+002
 2.3760054E+002, 2.8585583E+003, 4.8286969E+002
 2.3790459E+002, 2.8254673E+003, 5.0657809E+002
 2.3820077E+002, 2.7908071E+003, 4.9337866E+002
 2.3850027E+002, 2.9598279E+003, 4.6941443E+002
 2.3880463E+002, 2.8902705E+003, 4.1101123E+002
 2.3910196E+002, 2.9198040E+003, 3.3709619E+002
 2.3940055E+002, 2.9898132E+003, 2.3709694E+002
 2.3970133E+002, 2.7309397E+003, 2.4958089E+002
 2.4000077E+002, 2.5904878E+003, 4.3086569E+002
 2.4030250E+002, 2.7106736E+003, 6.5475903E+002
 2.4060528E+002, 2.8640608E+003, 5.3666309E+002
 2.4090241E+002, 2.9057932E+003, 5.0883240E+002
 2.4120027E+002, 2.7411873E+003, 5.1050076E+002
 2.4150022E+002, 2.7167891E+003, 5.1254376E+002
 2.4180158E+002, 2.6969717E+003, 5.6982440E+002
 2.4210334E+002, 2.5358081E+003, 5.4395435E+002
 2.4240117E+002, 2.6271340E+003, 5.1898145E+002
 2.4270087E+002, 2.7481267E+003, 2.9238916E+002
 2.4300007E+002, 2.6827952E+003, 5.5011066E+002
 2.4330502E+002, 2.7365432E+003, 7.4295416E+002
 2.4360139E+002, 2.5569917E+003, 7.9032452E+002
 2.4390351E+002, 2.7461226E+003, 5.5290295E+002
 2.4420145E+002, 2.7407300E+003, 5.4670160E+002
 2.4450183E+002, 2.7780781E+003, 3.8585327E+002
 2.4480204E+002, 2.9057488E+003, 4.3895898E+002
 2.4510345E+002, 2.9977605E+003, 4.4595370E+002
 2.4540146E+002, 2.7108425E+003, 5.2383850E+002
 2.4570272E+002, 2.6198379E+003, 5.4008569E+002
 2.4600384E+002, 2.7758015E+003, 4.1059369E+002
 2.4630401E+002, 2.9138025E+003, 3.0535303E+002
 2.4660413E+002, 2.7200769E+003, 3.1364813E+002
 2.4690478E+002, 2.6896770E+003, 5.9887012E+002
 2.4720121E+002, 2.6103215E+003, 8.5762848E+002
 2.4750543E+002, 2.5614568E+003, 7.2763831E+002
 2.4780223E+002, 2.6923972E+003, 6.7574701E+002
 2.4810315E+002, 3.0634429E+003, 5.6912183E+002
 2.4840279E+002, 2.6606003E+003, 5.1964471E+002
 2.4870502E+002, 2.7129558E+003, 3.9297440E+002
 2.4900100E+002, 2.9162002E+003, 4.7814291E+002
 2.4930366E+002, 2.8837913E+003, 5.3418927E+002
 2.4960524E+002, 2.7837522E+003, 4.4884552E+002
 2.4990235E+002, 2.5984204E+003, 4.0255920E+002
 2.5020462E+002, 2.8077476E+003, 5.1089719E+002
 2.5050612E+002, 2.8809785E+003, 5.1800458E+002
 2.5080467E+002, 2.5768945E+003, 4.6887030E+002
 2.5110327E+002, 2.5015144E+003, 4.1158450E+002
 2.5140273E+002, 2.6476494E+003, 3.8353061E+002
 2.5170129E+002, 2.8631526E+003, 4.8831946E+002
 2.5200503E+002, 2.8613425E+003, 4.1712286E+002
 2.5230287E+002, 2.7547676E+003, 3.0925253E+002
 2.5260449E+002, 2.6756743E+003, 3.4485965E+002
 2.5290459E+002, 2.7921863E+003, 5.3339807E+002
 2.5320175E+002, 2.7244976E+003, 4.8201215E+002
 2.5350110E+002, 2.7851150E+003, 4.0065002E+002
 2.5380138E+002, 2.8862974E+003, 3.1721912E+002
 2.5410466E+002, 2.4651416E+003, 2.9673032E+002
 2.5440379E+002, 2.2994617E+003, 3.8676257E+002
 2.5470151E+002, 2.3826150E+003, 5.1456384E+002
 2.5500034E+002, 2.6717166E+003, 6.8931897E+002
 2.5530133E+002, 2.7481753E+003, 5.5632953E+002
 2.5560022E+002, 2.5732253E+003, 5.2594208E+002
 2.5590221E+002, 2.7752039E+003, 3.8939465E+002
 2.5620575E+002, 2.5826599E+003, 4.6585953E+002
 2.5650541E+002, 2.5236956E+003, 6.2575165E+002
 2.5680506E+002, 2.4691951E+003, 7.2582343E+002
 2.5710471E+002, 2.6600400E+003, 7.0822296E+002
 2.5740305E+002, 2.9264155E+003, 6.3217804E+002
 2.5770265E+002, 2.8586035E+003, 4.5658075E+002
 2.5800372E+002, 2.6884561E+003, 3.4850095E+002
 2.5830370E+002, 2.7828943E+003, 2.9819366E+002
 2.5860487E+002, 2.6013989E+003, 5.2944604E+002
 2.5890445E+002, 2.5208811E+003, 6.1468237E+002
 2.5920182E+002, 2.4328525E+003, 7.3545569E+002
 2.5950088E+002, 2.3852981E+003, 7.5663434E+002
 2.5980256E+002, 2.5495847E+003, 7.8070538E+002
 2.6010108E+002, 2.8487942E+003, 6.1943396E+002
 2.6040433E+002, 2.5516436E+003, 3.7900629E+002
 2.6070279E+002, 2.5736147E+003, 3.4540848E+002
 2.6100125E+002, 2.5545417E+003, 6.1418744E+002
 2.6130495E+002, 2.2738142E+003, 5.6176758E+002
 2.6160081E+002, 2.3630205E+003, 4.3757364E+002
 2.6190056E+002, 2.4781318E+003, 3.5046585E+002
 2.6220502E+002, 2.4062727E+003, 3.3259497E+002
 2.6250448E+002, 2.4583328E+003, 4.4466107E+002
 2.6280210E+002, 2.5358330E+003, 4.6283148E+002
 2.6310242E+002, 2.3496467E+003, 4.5165369E+002
 2.6340223E+002, 2.3870967E+003, 4.2400076E+002
 2.6370526E+002, 2.6520220E+003, 7.0378094E+002
 2.6400525E+002, 2.6468733E+003, 6.4309235E+002
 2.6430269E+002, 2.4930403E+003, 3.3243808E+002
 2.6460264E+002, 2.6739463E+003, 1.7867299E+002
 2.6490091E+002, 2.4166052E+003, 2.5661713E+002
 2.6520118E+002, 2.5892793E+003, 5.0002435E+002
 2.6550337E+002, 2.5785627E+003, 5.8302808E+002
 2.6580075E+002, 2.3812344E+003, 3.8481937E+002
 2.6610489E+002, 2.5860107E+003, 3.5109848E+002
 2.6640325E+002, 2.3852190E+003, 2.9626694E+002
 2.6670274E+002, 2.5593804E+003, 4.2248154E+002
 2.6700358E+002, 2.6682800E+003, 4.8994363E+002
 2.6730260E+002, 2.9315757E+003, 5.4406598E+002
 2.6760319E+002, 2.7970837E+003, 5.5592310E+002
 2.6790023E+002, 2.7905359E+003, 5.4645526E+002
 2.6820109E+002, 2.6777649E+003, 5.0845483E+002
 2.6850025E+002, 2.5922529E+003, 5.3035437E+002
 2.6880436E+002, 2.5512336E+003, 5.3506934E+002
 2.6910189E+002, 2.6410864E+003, 5.8418927E+002
 2.6940422E+002, 2.6606099E+003, 5.5176575E+002
 2.6970351E+002, 2.6527566E+003, 6.0399652E+002
 2.7000007E+002, 2.7404844E+003, 3.9535767E+002
 2.7030237E+002, 2.5825054E+003, 3.4739035E+002
 2.7060380E+002, 2.2581492E+003, 4.3680731E+002
 2.7090478E+002, 2.2873484E+003, 4.3797601E+002
 2.7120040E+002, 2.6119055E+003, 4.5661179E+002
 2.7150004E+002, 2.8388481E+003, 3.9877802E+002
 2.7180517E+002, 2.8564385E+003, 2.9578674E+002
 2.7210194E+002, 2.4991313E+003, 2.8390073E+002
 2.7240201E+002, 2.2355781E+003, 4.9073209E+002
 2.7270284E+002, 2.2887649E+003, 5.1649426E+002
 2.7300211E+002, 2.4821072E+003, 3.4165137E+002
 2.7330127E+002, 2.4844299E+003, 4.1595621E+002
 2.7360017E+002, 2.3389219E+003, 3.3603131E+002
 2.7390440E+002, 2.3639568E+003, 4.5094824E+002
 2.7420039E+002, 2.4650212E+003, 3.1680518E+002
 2.7450197E+002, 2.4482388E+003, 1.4167937E+002
 2.7480037E+002, 2.4826428E+003, 1.2178835E+002
 2.7510386E+002, 2.4423804E+003, 1.9843349E+002
 2.7540152E+002, 2.5323132E+003, 2.2404951E+002
 2.7570543E+002, 2.3729219E+003, 4.2123712E+002
 2.7600468E+002, 2.3194407E+003, 5.4482568E+002
 2.7630104E+002, 2.1990669E+003, 3.1828143E+002
 2.7660124E+002, 2.2217495E+003, 2.7405035E+002
 2.7690550E+002, 2.2466521E+003, 3.0557776E+002
 2.7720265E+002, 2.2349888E+003, 5.7221521E+002
 2.7750080E+002, 2.4761785E+003, 4.4919595E+002
