s,kW,kW
Time,"Basement_HRR","First_Floor_HRR"
 3.1501904E+001, 3.4293378E+002, 7.0075953E-001
 3.1805860E+001, 1.9365405E+002, 1.5677482E+000
 3.2100254E+001, 2.3484871E+002, 1.3703929E-001
 3.2407295E+001, 2.8546237E+002, 9.3670532E-002
 3.2700555E+001, 4.9111246E+002, 2.9521060E+000
 3.3005515E+001, 2.8883618E+002, 2.2407904E+001
 3.3303538E+001, 2.2093304E+002, 2.7402825E+000
 3.3605922E+001, 2.7229541E+002, 2.3163590E-001
 3.3904783E+001, 3.3011530E+002, 9.2021167E-001
 3.4200344E+001, 3.2307098E+002, 1.0931741E+000
 3.4500185E+001, 3.2202997E+002, 1.0627379E+000
 3.4804520E+001, 2.7086597E+002, 1.6926527E+000
 3.5104047E+001, 1.8986682E+002, 4.6013680E-001
 3.5403961E+001, 2.6830588E+002, 4.1012280E-002
 3.5706623E+001, 3.3690720E+002, 2.2616960E-001
 3.6000350E+001, 3.2645810E+002, 2.0805664E+000
 3.6304450E+001, 3.4788568E+002, 2.3371146E+000
 3.6602566E+001, 3.8180112E+002, 3.7329406E-001
 3.6905747E+001, 3.0444608E+002, 9.6423399E-001
 3.7203359E+001, 2.5519070E+002, 4.4256774E-001
 3.7504188E+001, 3.2151700E+002, 1.5606745E-001
 3.7802080E+001, 3.9326791E+002, 4.9874192E-001
 3.8101073E+001, 3.3802097E+002, 1.3060904E+001
 3.8405011E+001, 2.9325320E+002, 2.6339689E+001
 3.8704300E+001, 2.0965544E+002, 2.9311655E+000
 3.9004339E+001, 2.5490144E+002, 8.4313709E-001
 3.9301475E+001, 3.1122659E+002, 8.4728831E-001
 3.9602187E+001, 3.4273291E+002, 7.6288605E+000
 3.9905563E+001, 4.5066672E+002, 1.6860670E+001
 4.0200153E+001, 4.4309830E+002, 5.3177517E+001
 4.0501492E+001, 3.9777118E+002, 2.7197241E+001
 4.0802792E+001, 4.1527631E+002, 2.2225246E+001
 4.1101984E+001, 3.5455634E+002, 3.2768520E+001
 4.1406862E+001, 4.6585495E+002, 5.5295212E+001
 4.1704261E+001, 3.7659460E+002, 4.8413300E+001
 4.2006501E+001, 3.4354370E+002, 3.5381830E+000
 4.2302023E+001, 3.7702863E+002, 1.3928956E+000
 4.2601850E+001, 4.2925821E+002, 1.5368494E+001
 4.2906720E+001, 4.3064929E+002, 7.7406034E+000
 4.3204578E+001, 3.8737677E+002, 9.8528690E+000
 4.3502437E+001, 3.4104749E+002, 1.9968266E+000
 4.3801815E+001, 3.4883768E+002, 1.2037768E+000
 4.4104403E+001, 3.1290692E+002, 1.5683513E+000
 4.4402594E+001, 2.7174295E+002, 1.3010808E+000
 4.4705613E+001, 3.5671881E+002, 8.1379938E+000
 4.5002596E+001, 4.4437561E+002, 6.8557162E+000
 4.5305812E+001, 4.3160403E+002, 6.9873309E+000
 4.5604564E+001, 3.7758646E+002, 1.1822087E+000
 4.5903273E+001, 3.0944446E+002, 2.6576424E+000
 4.6205636E+001, 2.6987314E+002, 1.2199208E+000
 4.6504163E+001, 3.2323563E+002, 9.4997730E+000
 4.6800920E+001, 3.4017618E+002, 1.3445919E+001
 4.7105193E+001, 3.8664081E+002, 7.8723488E+000
 4.7401241E+001, 3.8652603E+002, 1.7027411E+001
 4.7700823E+001, 3.9918210E+002, 1.1530859E+001
 4.8000890E+001, 4.8737082E+002, 3.8042595E+001
 4.8304879E+001, 5.7097693E+002, 1.4818352E+002
 4.8604769E+001, 5.1667743E+002, 1.2973979E+002
 4.8904758E+001, 5.3044958E+002, 7.6193817E+001
 4.9202737E+001, 4.7441794E+002, 8.4151436E+001
 4.9502782E+001, 4.5463669E+002, 8.8700172E+001
 4.9805473E+001, 4.9427115E+002, 9.5785210E+001
 5.0103024E+001, 5.9234430E+002, 7.9175499E+001
 5.0400633E+001, 5.2440643E+002, 1.0617471E+002
 5.0705654E+001, 4.7456522E+002, 7.4263130E+001
 5.1002120E+001, 3.9252808E+002, 1.7808132E+001
 5.1300418E+001, 4.3067831E+002, 4.4870753E+000
 5.1603494E+001, 4.0380057E+002, 6.3778192E-001
 5.1900847E+001, 4.0078256E+002, 4.1734603E-001
 5.2202011E+001, 4.0898773E+002, 2.2237463E+000
 5.2503175E+001, 4.6072836E+002, 8.5809832E+000
 5.2804338E+001, 5.3735730E+002, 4.8335500E+000
 5.3104836E+001, 5.0364401E+002, 5.0362711E+000
 5.3404714E+001, 6.0098651E+002, 1.1951661E+001
 5.3705328E+001, 5.2371191E+002, 8.3812752E+000
 5.4002449E+001, 5.1776733E+002, 3.1122303E+000
 5.4302025E+001, 5.0106323E+002, 2.3897133E+000
 5.4603428E+001, 3.9950290E+002, 5.1452723E+000
 5.4904808E+001, 4.4379822E+002, 2.0041671E+000
 5.5205948E+001, 5.4009998E+002, 2.1513705E+000
 5.5505903E+001, 5.4662347E+002, 1.9132940E+001
 5.5805186E+001, 6.1738702E+002, 2.9475477E+001
 5.6102763E+001, 5.2052808E+002, 5.0883591E+001
 5.6405016E+001, 5.8580835E+002, 5.6865025E+001
 5.6703911E+001, 6.2870844E+002, 1.1397874E+002
 5.7002805E+001, 5.5335114E+002, 1.4709216E+002
 5.7301699E+001, 4.9847552E+002, 2.6560223E+002
 5.7601657E+001, 4.7631702E+002, 3.1895218E+002
 5.7902593E+001, 5.2556384E+002, 2.0943768E+002
 5.8201707E+001, 5.9435126E+002, 1.0819901E+002
 5.8505606E+001, 4.9944922E+002, 5.1507732E+001
 5.8803608E+001, 4.7031461E+002, 5.9981953E+001
 5.9101789E+001, 5.8561688E+002, 1.1845377E+002
 5.9402863E+001, 6.1679010E+002, 3.4750927E+001
 5.9701617E+001, 6.1724304E+002, 1.8972139E+001
 6.0003611E+001, 6.4259894E+002, 9.8605680E+000
 6.0302584E+001, 5.7438464E+002, 1.8541714E+001
 6.0601962E+001, 5.0286789E+002, 8.2752209E+000
 6.0900513E+001, 5.4375421E+002, 5.6326499E+000
 6.1203698E+001, 6.4283264E+002, 3.1448404E+001
 6.1501776E+001, 7.4264130E+002, 2.8853352E+001
 6.1804431E+001, 6.2209705E+002, 6.5553864E+001
 6.2100617E+001, 6.7804895E+002, 5.1766396E+001
 6.2404263E+001, 6.4629059E+002, 1.2153206E+001
 6.2704793E+001, 5.5301819E+002, 4.5619793E+000
 6.3004536E+001, 4.4635065E+002, 5.7004271E+000
 6.3301368E+001, 4.5960696E+002, 4.6142716E+000
 6.3603405E+001, 5.7074652E+002, 2.4680183E+001
 6.3901227E+001, 6.2131110E+002, 1.1469266E+002
 6.4202900E+001, 6.1009473E+002, 2.6001721E+002
 6.4505094E+001, 7.0489319E+002, 3.7179175E+002
 6.4803998E+001, 7.6764252E+002, 3.7019357E+002
 6.5102774E+001, 6.8138556E+002, 2.2135838E+002
 6.5400270E+001, 6.3292432E+002, 1.1318963E+002
 6.5701704E+001, 6.4293524E+002, 3.7346474E+001
 6.6005671E+001, 6.8838037E+002, 1.8867275E+001
 6.6302480E+001, 7.4438574E+002, 1.5846614E+001
 6.6604162E+001, 7.0848657E+002, 1.4621261E+001
 6.6900027E+001, 7.0959375E+002, 4.3492584E+000
 6.7204545E+001, 7.8254724E+002, 1.2137810E+001
 6.7505392E+001, 8.0558521E+002, 5.7151958E+001
 6.7802541E+001, 7.9134357E+002, 1.1480903E+002
 6.8105338E+001, 7.5951532E+002, 5.9651196E+001
 6.8403565E+001, 7.7343597E+002, 3.7216129E+001
 6.8703222E+001, 8.3563715E+002, 3.3471451E+001
 6.9000573E+001, 8.3504791E+002, 1.7148123E+001
 6.9303786E+001, 8.6225531E+002, 2.8013033E+001
 6.9600013E+001, 9.2195386E+002, 2.3833111E+001
 6.9900843E+001, 9.1265094E+002, 2.1054102E+001
 7.0205261E+001, 7.6033777E+002, 6.2092609E+001
 7.0504231E+001, 7.0027625E+002, 1.3161919E+002
 7.0801617E+001, 7.5243872E+002, 1.0010983E+002
 7.1101239E+001, 8.2268805E+002, 1.4988515E+002
 7.1402747E+001, 7.8804364E+002, 1.1721493E+002
 7.1700313E+001, 7.7780267E+002, 1.2680121E+001
 7.2005278E+001, 6.8191583E+002, 8.1525164E+000
 7.2300776E+001, 5.6965381E+002, 3.8147976E+001
 7.2603964E+001, 5.9177527E+002, 5.1425793E+001
 7.2902856E+001, 6.6157935E+002, 4.4490273E+001
 7.3200984E+001, 6.7416486E+002, 2.8379810E+001
 7.3500653E+001, 7.6264954E+002, 3.9332848E+001
 7.3800176E+001, 7.6847046E+002, 2.9843031E+001
 7.4103203E+001, 8.7005951E+002, 1.9982727E+001
 7.4403151E+001, 1.0735563E+003, 4.8108345E+001
 7.4704695E+001, 1.2119375E+003, 6.8242760E+001
 7.5002088E+001, 1.1214045E+003, 4.1907734E+001
