s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000,-3.7673803E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7673803E-004, 0.0000000E+000
 3.0677065E-001, 1.2459732E+001,-4.2731039E+000, 2.8165504E+003,-1.7409500E-002, 5.8497731E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.2543829E+002, 2.8247781E+003, 1.6674130E-003
 6.0371017E-001, 5.5755366E+001,-1.8839354E+001,-1.9926325E+003,-2.9178319E-001, 1.5547937E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4416456E-001,-1.9558528E+003, 4.8112067E-003
 9.0541989E-001, 1.0633540E+002,-3.5579079E+001,-2.0760618E+002,-1.2794896E+000, 2.3420157E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0841813E+000,-1.3789515E+002, 7.9354725E-003
 1.2137409E+000, 1.5947220E+002,-5.3032382E+001,-2.0266393E+002,-3.5759476E+000, 3.0085387E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1256261E+000,-9.9499207E+001, 1.1127369E-002
 1.5089332E+000, 2.1018892E+002,-6.9688585E+001, 1.0426645E+003,-5.7508728E+000, 4.4410234E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4513289E+000, 1.1778581E+003, 1.4276937E-002
 1.8090719E+000, 2.4282534E+002,-7.9244977E+001,-7.0898878E+000,-5.9755795E+000, 5.3499687E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2081351E+000, 1.5104989E+002, 1.7357177E-002
 2.1073549E+000, 3.0603677E+002,-9.9828478E+001,-6.4234627E+002,-5.5479058E+000, 6.5897019E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2843759E+000,-4.4102692E+002, 2.0467677E-002
 2.4019375E+000, 3.6244761E+002,-1.1770039E+002,-2.0838124E+002,-6.2687704E+000, 7.5093367E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5228011E+000, 3.0848137E+001, 2.3541065E-002
 2.7072806E+000, 4.0347849E+002,-1.3083924E+002, 7.2461904E+001,-7.3715221E+000, 8.3724783E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3202276E+000, 3.3856688E+002, 2.6661394E-002
 3.0007901E+000, 3.9567330E+002,-1.2781086E+002,-4.5814132E+002,-9.0546334E+000, 9.1197767E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1913339E+000,-1.9842154E+002, 2.9771124E-002
 3.3030953E+000, 4.8193762E+002,-1.5662789E+002,-1.6404438E+002,-1.2133007E+001, 9.9351313E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3774891E+000, 1.5012586E+002, 3.2867481E-002
 3.6063440E+000, 5.4428482E+002,-1.7579085E+002,-1.8525437E+002,-1.5328220E+001, 1.0570026E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7599792E+000, 1.6896838E+002, 3.6012172E-002
