s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.2450268E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.2450268E-003, 2.6587383E-004
 3.0244023E-001, 7.7296423E+000,-2.3533272E+001, 6.9606088E+004,-1.6429355E-002, 2.9942154E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4741525E-002, 6.9590298E+004, 8.3406836E-004
 6.0788602E-001, 2.6104117E+001,-1.0039940E+001, 1.2964300E+004,-1.1126577E-001, 7.8892628E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.5714653E-002, 1.2980332E+004, 2.2029028E-003
 9.0284073E-001, 5.1064892E+001,-1.7006402E+001,-2.1464380E+003,-3.8501376E-001, 1.2876113E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1665613E-001,-2.1126358E+003, 3.6322280E-003
 1.2045252E+000, 6.8677883E+001,-2.2601636E+001, 2.5553728E+003,-9.1552018E-001, 1.7658790E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2672973E-001, 2.6007101E+003, 5.0713593E-003
 1.5047286E+000, 9.4385858E+001,-3.1150560E+001, 1.5141253E+002,-1.8776301E+000, 2.1985623E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0933947E+000, 2.1299005E+002, 6.4951860E-003
 1.8086325E+000, 1.2304597E+002,-4.0400278E+001,-2.4093570E+003,-3.0033866E+000, 2.7448283E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5582807E+000,-2.3294402E+003, 7.9351502E-003
 2.1074076E+000, 1.4001125E+002,-4.6013456E+001, 2.5734524E+003,-3.7396802E+000, 3.1314404E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8310716E+000, 2.6640237E+003, 9.3723415E-003
 2.4052031E+000, 1.7431625E+002,-5.7025523E+001, 5.3278195E+002,-4.3078343E+000, 3.6263920E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4815849E+000, 6.4612749E+002, 1.0782831E-002
 2.7026680E+000, 1.8974881E+002,-6.1579864E+001,-9.4201594E+002,-4.2881313E+000, 4.1667839E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.6453661E-001,-8.1771844E+002, 1.2196792E-002
 3.0016718E+000, 2.1013029E+002,-6.8483019E+001, 6.6905344E+002,-4.4688831E+000, 4.6023772E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6000164E+000, 8.0669207E+002, 1.3606670E-002
 3.3054619E+000, 2.4572953E+002,-7.9583855E+001,-7.8627673E+002,-5.4312692E+000, 5.1015466E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7797883E+000,-6.2505217E+002, 1.5032735E-002
 3.6016574E+000, 2.5170732E+002,-8.1331193E+001, 3.3342579E+002,-5.9953884E+000, 5.5303428E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4043074E-001, 4.9835956E+002, 1.6453271E-002
 3.9027150E+000, 2.8139050E+002,-9.1120224E+001, 9.1120354E+001,-7.8129625E+000, 5.9114708E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0229379E+000, 2.7416881E+002, 1.7868656E-002
 4.2021208E+000, 3.0917403E+002,-1.0002814E+002,-3.3706485E+002,-9.6771088E+000, 6.3988314E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0952841E+000,-1.3695618E+002, 1.9284596E-002
 4.5017405E+000, 3.4663687E+002,-1.1242371E+002, 1.3316694E+002,-1.0459413E+001, 6.8971884E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2845860E+000, 3.5761041E+002, 2.0696637E-002
 4.8012295E+000, 3.4954583E+002,-1.1253804E+002,-4.6584388E+002,-1.2057741E+001, 7.3321830E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2606299E+000,-2.4016061E+002, 2.2107476E-002
