s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000,-3.7673803E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7673803E-004, 0.0000000E+000
 3.1056967E-001, 1.3439273E+001,-4.6475579E+000, 1.5894469E+002,-1.6108137E-002, 6.0281293E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.1779295E+002, 1.6778058E+002, 1.7668416E-003
 6.1911160E-001, 5.7824899E+001,-1.9778129E+001, 2.3221710E+003,-3.3323508E-001, 1.5177828E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7598651E-001, 2.3600363E+003, 4.9615455E-003
 9.1002256E-001, 1.0855300E+002,-3.6700077E+001, 3.9557990E+002,-1.6329590E+000, 1.8849584E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3821062E+000, 4.6598836E+002, 8.0881505E-003
 1.2194136E+000, 1.6060745E+002,-5.3872298E+001,-2.1217001E+003,-4.3175180E+000, 3.1246613E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9110322E+000,-2.0189700E+003, 1.1234601E-002
 1.5226866E+000, 2.0395553E+002,-6.7689056E+001,-4.7780309E+002,-6.9136531E+000, 4.1693486E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6252134E+000,-3.4803334E+002, 1.4413610E-002
 1.8096296E+000, 2.4203187E+002,-7.9538430E+001, 7.0270160E+002,-6.6087435E+000, 5.1231472E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8538757E+000, 8.5909861E+002, 1.7491016E-002
 2.1021273E+000, 3.1325625E+002,-1.0370692E+002, 1.5681835E+002,-5.3290776E+000, 6.4154937E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3060018E+000, 3.6168015E+002, 2.0522265E-002
 2.4059272E+000, 3.6235784E+002,-1.1899902E+002,-6.8648757E+002,-5.8462891E+000, 7.4540942E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1913503E+000,-4.4822963E+002, 2.3586089E-002
 2.7133944E+000, 3.9457610E+002,-1.2827823E+002, 8.8699522E+002,-7.3545559E+000, 8.3272653E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5535350E+000, 1.1467713E+003, 2.6750847E-002
 3.0021925E+000, 4.1736156E+002,-1.3561090E+002, 1.7009660E+002,-8.7658012E+000, 9.1150714E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0881487E+000, 4.4399297E+002, 2.9831352E-002
 3.3039761E+000, 4.7961731E+002,-1.5591059E+002,-2.7319578E+002,-1.1508648E+001, 9.7546435E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0960878E+000, 3.9977757E+001, 3.2898589E-002
 3.6023049E+000, 4.8769409E+002,-1.5757774E+002,-4.1594874E+002,-1.4633391E+001, 1.0353888E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6109105E+000,-9.9430394E+001, 3.6007760E-002
