s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,C,C,C,C,C,C,C,C
Time,"Basement_HRR_1","Basement_HRR_2","Basement_HRR_3","Basement_HRR_4","Basement_HRR_5","Basement_HRR_6","FirstFloor_HRR_1","FirstFloor_HRR_2","FirstFloor_HRR_3","FirstFloor_HRR_4","FirstFloor_HRR_5","FirstFloor_HRR_6","FirstFloor_HRR_7","FirstFloor_HRR_8","FirstFloor_HRR_9","FirstFloor_HRR_10","FirstFloor_HRR_11","FirstFloor_HRR_12","0.08 m BS, V, Rear","0.34 m BS, V, Rear","0.61 m BS, V, Rear","0.88 m BS, V, Rear","1.15 m BS, V, Rear","1.42 m BS, V, Rear","1.68 m BS, V, Rear","1.95 m BS, V, Rear","0.08 m BS, W, Rear","0.34 m BS, W, Rear","0.61 m BS, W, Rear","0.88 m BS, W, Rear","1.15 m BS, W, Rear","1.42 m BS, W, Rear","1.68 m BS, W, Rear","1.95 m BS, W, Rear","0.08 m BS, T, Rear","0.34 m BS, T, Rear","0.61 m BS, T, Rear","0.88 m BS, T, Rear","1.15 m BS, T, Rear","1.42 m BS, T, Rear","1.68 m BS, T, Rear","1.95 m BS, T, Rear","0.08 m BS, V, Front","0.34 m BS, V, Front","0.61 m BS, V, Front","0.88 m BS, V, Front","1.15 m BS, V, Front","1.42 m BS, V, Front","1.68 m BS, V, Front","1.95 m BS, V, Front","0.08 m BS, W, Front","0.34 m BS, W, Front","0.61 m BS, W, Front","0.88 m BS, W, Front","1.15 m BS, W, Front","1.42 m BS, W, Front","1.68 m BS, W, Front","1.95 m BS, W, Front","0.08 m BS, T, Front","0.34 m BS, T, Front","0.61 m BS, T, Front","0.88 m BS, T, Front","1.15 m BS, T, Front","1.42 m BS, T, Front","1.68 m BS, T, Front","1.95 m BS, T, Front","0.08 m BS, U, Stair","0.34 m BS, U, Stair","0.61 m BS, U, Stair","0.88 m BS, U, Stair","1.15 m BS, U, Stair","1.42 m BS, U, Stair","1.68 m BS, U, Stair","1.95 m BS, U, Stair","0.08 m BS, W, Stair","0.34 m BS, W, Stair","0.61 m BS, W, Stair","0.88 m BS, W, Stair","1.15 m BS, W, Stair","1.42 m BS, W, Stair","1.68 m BS, W, Stair","1.95 m BS, W, Stair","0.08 m BS, T, Stair","0.34 m BS, T, Stair","0.61 m BS, T, Stair","0.88 m BS, T, Stair","1.15 m BS, T, Stair","1.42 m BS, T, Stair","1.68 m BS, T, Stair","1.95 m BS, T, Stair"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 6.2800763E-004, 4.5064739E-003, 5.0564860E-003,-3.9660437E-003,-1.2904919E-002, 5.3675948E-003,-7.8607205E-005, 3.5030749E-003, 0.0000000E+000,-3.0906405E-003,-3.6465828E-003, 1.8016160E-003, 7.0679062E-003,-4.9317414E-003,-3.9561037E-003,-1.1509871E-002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 3.0640895E-001, 0.0000000E+000, 6.1370134E-001, 6.4560333E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3867313E-002,-2.4051905E-002,-2.4202522E-002,-2.4410859E-002,-2.4581268E-002,-2.4669528E-002,-2.4759734E-002,-2.4796380E-002, 4.3655161E-004, 9.5547839E-005, 7.2007373E-005, 5.8754486E-005, 4.6008437E-005, 3.6544508E-005, 2.1292350E-005, 5.3624467E-006, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001,-2.6550812E-003,-2.7938939E-003,-2.1282884E-003,-2.7988295E-003,-2.6599821E-003,-2.6401982E-003,-2.6295835E-003,-2.4117546E-003,-2.0760219E-005,-4.8580923E-004,-1.9424128E-003, 1.0166637E-003, 1.2317713E-004, 3.4882079E-005, 9.6072172E-006, 3.9647989E-006, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001,-8.2226300E-001,-6.6989362E-001,-6.3830376E-001,-6.7084199E-001,-7.4678105E-001,-8.1880057E-001,-1.0403578E+000,-1.4008243E+000, 4.6063783E-006, 1.1465401E-001, 1.1672681E-001, 1.8779573E-001, 2.4540731E-001, 2.7656659E-001, 3.5047752E-001, 2.8655344E-001, 1.9996878E+001, 1.9996363E+001, 1.9995596E+001, 1.9996265E+001, 1.9997005E+001, 1.9997297E+001, 1.9997513E+001, 1.9997467E+001
 6.0958033E-001, 0.0000000E+000, 1.1473745E+001, 2.7008585E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7591722E-003, 1.7594319E-003, 1.7620582E-003, 1.7669443E-003, 1.7715321E-003, 1.7740161E-003, 1.7765707E-003, 1.7775984E-003,-1.1115193E-005,-1.6564474E-006,-1.4731388E-006,-1.5783833E-006,-1.4807791E-006,-1.2936050E-006,-8.4061662E-007,-2.2383171E-007, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001,-7.0152024E-004,-7.3290541E-004,-5.3361547E-004,-7.3779916E-004,-7.1070355E-004,-7.0373144E-004,-6.8951130E-004,-5.9583480E-004,-6.5492568E-006,-1.0226334E-004,-3.9715579E-004, 2.0204688E-004, 2.1889142E-005, 5.8405235E-006, 1.9589968E-005, 1.8523705E-004, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.1610659E-001,-2.3764335E-001,-2.0250499E-001,-1.8538776E-001,-1.9725174E-001,-2.2600487E-001,-3.1943297E-001, 1.1706475E+000, 3.8435213E-005, 4.0420201E-002, 1.2460249E-002, 2.1504173E-002, 5.2919485E-002, 6.5932304E-002, 9.6093543E-002,-1.5686135E-001, 1.9992094E+001, 1.9991188E+001, 1.9989305E+001, 1.9991066E+001, 1.9992655E+001, 1.9993031E+001, 1.9992270E+001, 1.9992403E+001
 9.0860490E-001, 0.0000000E+000, 1.6934233E+001, 4.5122852E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.4255927E-004,-9.4616879E-004,-9.4557891E-004,-9.4437000E-004,-9.4334292E-004,-9.4282837E-004,-9.4231556E-004,-9.4210973E-004,-2.0505622E-005,-2.9321207E-006,-1.5232798E-006,-8.5282608E-007,-4.9634662E-007,-3.2328589E-007,-1.4042566E-007,-2.8957908E-008, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.5393602E-003, 2.6697079E-003, 2.0182515E-003, 2.6692851E-003, 2.5328996E-003, 2.5066675E-003, 2.4731755E-003, 2.2054296E-003, 1.8098786E-005, 4.4426188E-004, 1.7784310E-003,-9.1839209E-004,-1.0159821E-004,-2.4152036E-005,-3.2677508E-005,-3.0445415E-004, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.6151437E-001, 6.9648957E-001, 5.7464266E-001, 5.7539046E-001, 6.6475242E-001, 7.3856920E-001, 9.0643835E-001, 1.4453599E+000,-6.7675814E-005,-6.3588016E-002,-1.7461026E-001,-1.4681284E-001,-1.1853322E-001,-9.3426362E-002, 1.1333526E-002,-9.8721850E-001, 1.9991272E+001, 1.9990074E+001, 1.9987078E+001, 1.9989664E+001, 1.9991688E+001, 1.9992418E+001, 1.9992556E+001, 1.9992674E+001
 1.2040307E+000, 0.0000000E+000, 3.4015232E+001, 6.4973053E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4260058E-004, 4.4485249E-004, 4.4386988E-004, 4.4209638E-004, 4.4047850E-004, 4.3959363E-004, 4.3864679E-004, 4.3825110E-004, 1.7402810E-005, 1.9126403E-006, 6.2462419E-007, 3.4380161E-008,-2.1663072E-007,-2.8463023E-007,-2.4973937E-007,-7.4684515E-008, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.4503209E-003, 2.5963343E-003, 1.9687035E-003, 2.5986945E-003, 2.4519947E-003, 2.4265528E-003, 2.4476822E-003, 2.3964234E-003, 1.1490556E-005, 4.3649954E-004, 1.7544137E-003,-9.0827700E-004,-9.3912851E-005,-1.9785862E-006, 1.2004825E-004, 9.3759043E-004, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.5827223E-001, 6.1618012E-001, 6.3677794E-001, 6.3472193E-001, 6.4798170E-001, 6.0691690E-001, 2.5250950E-001, 5.6068116E-001, 1.5022795E-004,-5.5294268E-002,-3.3453244E-001,-1.3686447E-001,-9.6865058E-002,-1.3953882E-001,-5.9216011E-001,-5.9947681E-001, 1.9990181E+001, 1.9991617E+001, 1.9987307E+001, 1.9989721E+001, 1.9991743E+001, 1.9992809E+001, 1.9993996E+001, 1.9994087E+001
 1.5110619E+000, 0.0000000E+000, 5.6606716E+001, 7.7718536E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6192257E-004,-7.6603465E-004,-7.6389167E-004,-7.6016790E-004,-7.5698050E-004,-7.5527839E-004,-7.5346755E-004,-7.5271755E-004,-3.0220730E-005,-4.3084469E-006,-2.0154137E-006,-1.0055101E-006,-4.9648281E-007,-2.4174000E-007,-4.1072511E-008, 2.4999456E-009, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001,-3.2996342E-003,-3.5052409E-003,-2.6677898E-003,-3.5088789E-003,-3.3039188E-003,-3.2638835E-003,-3.2785744E-003,-3.1839884E-003,-1.2715631E-005,-5.8955507E-004,-2.3698898E-003, 1.2246665E-003, 1.2383025E-004,-1.7132410E-006,-1.6250502E-004,-1.1993031E-003, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001,-8.4417009E-001,-4.1449550E-001,-3.9426747E-001,-2.3852444E-001,-3.4039789E-001,-5.3389722E-001,-1.0912138E+000,-1.1200457E+000,-1.8678268E-004, 1.6042326E-002,-9.6647590E-002, 7.9172835E-002, 1.5806209E-001, 1.5527874E-001,-1.3943244E-002, 2.4077062E-001, 1.9990841E+001, 1.9992130E+001, 1.9989582E+001, 1.9990694E+001, 1.9992855E+001, 1.9994284E+001, 1.9995567E+001, 1.9993599E+001
 1.8058068E+000, 0.0000000E+000, 5.3012932E+001, 9.6596942E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.9816783E-004, 6.0154335E-004, 5.9987890E-004, 5.9675408E-004, 5.9379905E-004, 5.9213041E-004, 5.9030292E-004, 5.8951939E-004, 2.6501486E-005, 3.0719145E-006, 1.2676612E-006, 4.3412095E-007, 1.1688110E-008,-1.5292689E-007,-2.1028043E-007,-6.9696874E-008, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001,-2.3542931E-003,-2.4764361E-003,-1.8753641E-003,-2.4765797E-003,-2.3495548E-003,-2.3259874E-003,-2.2989013E-003,-2.0626078E-003,-1.6301316E-005,-4.1404690E-004,-1.6622879E-003, 8.6048286E-004, 9.6087162E-005, 2.3022738E-005, 2.4318857E-005, 2.1968514E-004, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001,-3.9162642E-001,-4.1301781E-001,-4.6920377E-001,-3.2509407E-001,-2.9776391E-001,-3.6019585E-001,-1.1652516E+000,-8.7335610E-001, 7.1752591E-005, 2.5417361E-001,-8.2682855E-002, 8.3432481E-002, 2.6324731E-001, 3.5133445E-001, 8.1761628E-001, 4.9843940E-001, 1.9993996E+001, 1.9993179E+001, 1.9992359E+001, 1.9992777E+001, 1.9995598E+001, 1.9997253E+001, 2.0006433E+001, 1.9997030E+001
 2.1053551E+000, 0.0000000E+000, 3.6833519E+001, 1.2123899E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3035389E-004,-1.3104254E-004,-1.3044654E-004,-1.2921421E-004,-1.2796166E-004,-1.2725452E-004,-1.2647318E-004,-1.2611035E-004,-4.2734669E-006,-3.6468055E-007,-2.3260554E-008, 1.1632348E-007, 1.3981780E-007, 1.1562675E-007, 5.8668157E-008, 9.0193533E-009, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001,-2.3847619E-004,-2.5527907E-004,-1.9606642E-004,-2.5592765E-004,-2.3970216E-004,-2.3667583E-004,-2.3968353E-004,-2.4085102E-004,-3.5414394E-007,-4.3681874E-005,-1.7589958E-004, 9.0222893E-005, 7.5892435E-006,-3.1831753E-006,-2.2681108E-005,-1.5073626E-004, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.4877332E-001,-8.7983422E-002,-6.2351745E-002,-9.6521758E-002, 1.0064746E-001,-1.0661076E-002,-4.9570641E-001, 3.2273805E-001,-3.6902700E-005, 1.8440509E-002,-1.5818563E-001,-5.0108422E-002, 1.6599090E-001, 2.3851454E-001, 6.9851470E-001, 8.2591951E-002, 1.9994146E+001, 1.9994680E+001, 1.9994011E+001, 1.9995356E+001, 1.9998095E+001, 2.0007702E+001, 2.0032339E+001, 1.9997688E+001
 2.4065109E+000, 0.0000000E+000, 4.5756535E+001, 1.5750975E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4656413E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1114017E-004,-2.1534556E-004,-2.1655670E-004,-2.1744340E-004,-2.1771561E-004,-2.1770671E-004,-2.1759840E-004,-2.1750989E-004,-9.1697002E-006,-2.5450611E-006,-1.8685140E-006,-1.2986968E-006,-8.2409503E-007,-5.7432032E-007,-2.9931192E-007,-7.3663323E-008, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.3714273E-003, 1.4676965E-003, 1.1296544E-003, 1.4679939E-003, 1.3713662E-003, 1.3500497E-003, 1.3324539E-003, 1.2164750E-003, 3.7450052E-006, 2.5258266E-004, 1.0094770E-003,-5.2949769E-004,-6.1923478E-005,-1.1720308E-005, 1.0442265E-005, 4.6309709E-005, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.5349470E-001, 3.5545278E-001, 3.4908542E-001, 2.2352341E-001, 6.2416339E-001, 2.9326966E-001, 2.7994403E-001, 1.1147829E+000,-3.2008884E-005,-2.1382217E-001,-1.1285529E-001,-1.2849490E-001,-3.7588801E-002, 2.0359221E-001, 3.9862111E-001,-4.2259178E-001, 1.9993401E+001, 1.9994434E+001, 1.9995293E+001, 1.9995749E+001, 1.9999907E+001, 2.0018944E+001, 2.0029768E+001, 1.9996143E+001
