Position,0.2 m,0.4 m,0.6 m,0.8 m,1.0 m,1.2 m,1.4 m,1.6 m,1.8 m,2.0 m,2.2 m,2.4 m
0,NaN,811.4051056,593.188175,508.7636063,418.5111231,317.8829163,259.8449326,204.6851573,174.2293691,151.9492948,137.5832322,122.540639
0.15,NaN,805.8274984,650.8292562,498.8109533,367.5365906,268.2903895,212.9167107,165.132972,137.171396,122.8740345,108.0400701,97.0546767
0.305,420.3025786,777.0241496,587.6864553,469.3359604,323.8453977,228.8382266,180.056868,142.1097764,117.5182884,101.9697472,90.9458753,81.75575549
0.61,354.0985052,728.9370911,557.8223078,432.4020655,284.1505,199.8580498,157.2615799,120.7248421,98.6057579,86.10540708,77.11328621,69.44023819
