Time (s),HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Water In,TC Water Out,TC Ambient,Event,Event
0,0.3629516,0.313942,0.2086473,0.1749994,0.1388478,0.1054552,0.2989125,0.268887,0.15912,0.1745726,0.1309835,0.1279589,0.0795785,19.9711037,30.0516548,28.3422585,27.112648,26.7975826,26.6714611,26.4625721,26.2660103,26.4014759,26.0891113,25.9007931,25.8419914,43.5425682,42.8058777,42.1801224,39.2749062,39.440567,38.9708786,39.7932625,38.0340347,36.4139633,35.1482925,34.6614571,39.9157677,40.6479912,41.2884674,39.2775955,39.520649,37.7770004,39.0121307,35.8087502,34.8935699,34.5618134,40.8575249,40.7869072,42.2737923,41.6417122,38.2486801,37.6776581,37.2737923,34.8667412,34.3868141,33.9899292,32.6679077,-3.88E+12,3327.824219,26.3160934,0,10
1,0.981714,0.6998008,0.3689986,0.2119756,0.1490055,0.1178762,0.749244,0.6392555,0.2478244,0.218968,0.1346185,0.124944,0.0873477,11.3911133,36.0123596,28.3222141,27.1144733,26.7967606,26.687254,26.4579811,26.2682133,26.3999023,26.0852757,25.9022427,25.8321095,43.6984901,42.8292427,42.2012749,39.2901459,39.3703766,38.9581337,39.8498726,38.0403175,36.443428,35.1845436,34.6643906,39.9820595,40.7235413,41.2641983,39.2629929,39.5101471,37.7242966,38.9960327,35.7974625,34.9092369,34.5591316,40.6786308,40.806591,42.2038078,41.6487236,38.2620544,37.6970291,37.2823257,34.8082657,34.3792572,34.0078621,32.6580849,-3.88E+12,3327.826172,26.3035736,0,10
2,5.7929411,5.6534596,4.8125605,2.4179522,1.1699246,0.5960852,4.2754962,5.4643656,2.326275,2.2082081,0.9248456,0.5274347,0.192687,-121.5778885,169.118042,118.7083893,65.9489288,39.6197548,34.5827675,30.7434883,28.0880871,26.9755707,26.1694927,25.9298439,25.8627129,46.8597145,45.7755547,46.511673,40.1022301,40.0249023,39.1021461,40.3739243,38.1568108,36.5140839,35.2687798,34.7172165,41.5045204,42.0996704,42.2701683,40.2229042,39.7413521,38.0368004,39.0657883,35.792244,34.9298477,34.5621452,40.5214005,40.7976646,42.1502647,41.6286354,38.2639389,37.67799,37.2722549,34.787693,34.3672791,34.0112572,32.700531,-3.88E+12,3327.82544,26.310009,0,10
3,8.8158951,10.6255185,9.3615882,5.9879594,3.985512,2.9460043,6.1156527,9.8079265,4.9127008,6.173863,3.476684,2.2364138,0.3302132,-12037.00586,303.5544739,267.7943115,145.8828888,89.4375305,71.9820175,54.7544785,42.1496277,37.5461655,33.6828041,32.7319183,30.1696243,53.8082886,53.5605087,52.5553741,43.255394,43.9719429,40.3482475,48.3248672,40.5573311,40.4120827,42.6543999,37.4500999,44.9001579,45.8127861,45.4995956,43.6011887,41.6031113,42.6757278,41.2985687,36.6130028,38.2172279,35.3599052,40.2990685,40.7449226,42.1418648,41.5963974,38.2726822,37.7132721,37.1763763,34.8223,34.3947945,33.994915,32.7284698,-3.88E+12,3327.824463,26.303751,5,10
4,10.9686479,13.6596241,12.1041652,7.2034308,5.127955,4.0504897,7.3125865,13.6922212,7.0416071,8.4235557,4.626013,3.0934422,0.4042736,-244738.5,379.7290955,320.2948303,187.5979919,115.1060944,88.1222992,69.8238373,53.9058151,46.7921867,40.7784653,39.7586937,36.2713623,61.3986702,63.1876907,60.4651566,47.155056,49.2161484,42.2139702,59.1566544,45.612442,46.7783165,54.2537117,45.6440163,48.4447479,50.8743401,50.3706474,51.201355,44.2710648,47.9678993,43.7922249,38.3278313,44.2853661,38.1100082,39.9248505,40.716671,42.1259308,41.523838,38.2921562,37.7454605,37.0407791,34.8523102,34.4402046,33.9803543,32.7626953,-3.88E+12,3327.824463,26.3155155,5,10
5,12.1713362,15.9520478,14.61567,9.4157881,5.1860304,3.8399384,8.7167838,16.3701796,8.2865615,8.3796537,5.5994261,4.0270335,0.4516964,-719722.9375,414.1923523,364.8118591,208.2084656,132.9273529,91.8345337,74.0068588,57.2734108,49.3836555,44.5560989,42.6899338,39.0535851,69.0781021,72.943718,73.998848,51.1396408,51.8969002,43.2518997,61.1461182,50.0489998,53.3357735,63.1699448,50.6317825,52.3268509,55.7526398,55.1824226,58.8990974,47.172039,51.5543289,47.1046448,40.4850082,51.0422745,40.4517517,39.6680107,40.656765,42.107399,41.5354538,38.3008118,37.7261047,36.9552689,34.9085503,34.4342804,33.9534264,32.7492561,-3.88E+12,3327.824951,26.3144569,0,10
6,14.2529941,17.8456244,12.2869626,7.408927,4.8292607,3.5128265,9.5173452,19.542119,9.2198297,10.4165777,6.4289616,4.1697658,0.467134,-1044552.125,400.4863281,366.4923096,204.295639,132.7958832,91.5278702,74.1628342,57.1085663,50.1908875,47.3612785,43.0832939,38.4773254,76.6298218,82.3253479,81.5069962,53.7180748,55.8048592,44.0490799,62.4463005,53.0668449,55.041851,63.3456612,52.1948051,56.338974,62.9185295,63.687767,66.2193604,50.6266861,55.7052956,50.0497284,41.4449158,52.689312,41.1238899,39.5163536,40.5976639,42.0952644,41.5125046,38.2931099,37.6806602,36.8133659,34.9996681,34.4175568,33.9426918,32.7291183,-3.88E+12,3327.82666,26.3168621,0,10
7,18.415362,19.0927655,13.4234124,9.8554127,6.3664543,4.6912322,11.4470133,24.5236799,11.3145563,10.671111,7.9035789,5.8745399,0.4870113,-1170145.125,398.8535156,354.839325,202.0599213,137.0966949,92.6669083,71.7044449,54.2117805,47.9442749,48.2709961,45.8230667,41.1028442,84.7348404,91.6720123,85.1689529,57.2554436,61.9403267,45.5651627,70.6940536,55.0360794,54.2198296,59.7279358,51.2878914,60.7041283,74.8293152,75.1625366,78.4199295,54.456913,63.3597107,53.6690521,42.538887,56.7910805,42.3364983,39.5401878,40.5890579,42.0862999,41.4960823,38.2923241,37.5827217,36.7015533,35,34.4130173,33.9445267,32.6479836,-3.88E+12,3327.825684,26.3194618,0,10
8,17.666733,19.8008949,13.8225228,8.7220745,6.8440118,5.5507056,12.0395548,26.5057022,12.807883,12.8696669,8.9462256,6.978077,0.4926616,-1246190.875,380.144104,353.1236267,208.2533417,132.338501,95.1488876,73.5572357,55.1824875,50.3298454,50.7134628,49.3856506,44.1476364,92.5613403,101.246254,92.2472076,59.1633224,67.3907471,47.4139328,82.5440674,60.103035,57.7733116,66.9629364,55.2683372,65.6927032,81.8706741,81.6050491,85.0273361,58.1406784,71.0214844,57.3162994,43.5343666,57.3791504,43.4912567,39.7294655,40.5769615,42.0738525,41.4642563,38.2843132,37.6098289,36.7182007,34.9762421,34.4154701,33.949604,32.736042,-3.88E+12,3327.824463,26.3245754,0,10
9,17.65204,17.3666833,12.2170107,7.7983229,5.8860261,4.3151936,11.5619915,31.1000064,11.4463922,14.7378887,8.8226364,6.9767282,0.4810582,-1522863,408.2424011,343.9301453,201.8017578,126.8344955,92.2129059,73.1717148,55.4050026,49.7763252,49.8184471,48.1600571,45.1546326,98.1695099,105.755394,93.4373093,59.8345528,67.4508209,47.5857086,77.3079987,57.7551498,56.4840508,65.4404755,54.480648,69.8272705,94.7236023,87.3645172,94.9550705,59.8483734,73.2129364,58.1431541,44.3222313,57.7829971,43.7921371,40.0257607,40.5936012,42.0614471,41.4183159,38.2576828,37.565609,36.7805023,35.0135498,34.4074669,33.9295998,32.6994896,-3.88E+12,3327.825195,26.3233128,0,10
10,16.0505095,15.8838596,12.8725601,7.9850038,4.8992603,3.4407998,10.9008665,22.708898,12.8951227,13.3284188,8.339438,5.6337436,0.4732889,-2870472.5,426.8304749,334.3460999,199.335495,137.0253143,96.1041946,74.2125015,56.5275307,50.9082069,49.2950859,48.133152,44.4216881,101.8784409,106.8130188,97.0417099,60.8910179,65.8426208,47.5728798,71.1435242,54.4349365,56.9882317,65.2277069,55.4526558,72.0088501,97.4617004,90.9995193,95.5723648,61.5904007,72.5480957,57.1800957,44.4612656,58.0714226,43.9895668,39.7429047,40.5836792,42.0552635,41.3920135,38.2275925,37.5257607,36.6729813,34.9889793,34.3750076,33.9372406,32.6921272,-3.88E+12,3327.823486,26.3102417,0,10
11,18.8687103,17.1339773,13.7680987,8.3896156,6.0174869,4.5344548,15.0143651,24.4303254,10.9838271,13.5102753,9.5077028,6.4169067,0.4929643,-3160889,442.8285828,370.7943726,220.4120941,143.644165,100.8633804,79.9666443,61.5667801,53.6142502,51.7965431,50.0369644,46.7137604,105.865448,108.8904114,98.9417801,62.4020309,67.721756,48.4738274,74.8880844,57.548317,55.2261963,62.0929909,53.4086838,76.020546,98.341568,94.6480255,97.5987015,63.8222198,75.196106,60.4455109,44.7905464,57.8791618,44.0318413,39.6156616,40.5765266,42.0444031,41.3286209,38.196907,37.4961624,36.5607376,34.9353714,34.3606911,33.9412918,32.7247124,-3.88E+12,3327.827881,26.2992191,0,10
12,17.3496499,18.8378714,14.5068218,9.1304493,6.4759068,4.5791401,12.9220633,30.2856181,10.9838271,13.8738237,10.4298035,6.6319175,0.5047696,-4464357.5,429.1237183,348.773468,213.4230957,138.7372284,98.1898956,77.6869812,60.1060028,52.21455,52.386692,50.3783684,47.518074,110.5442276,112.6329117,100.4450455,63.790226,70.3089981,49.1395988,78.8466339,61.2602692,57.0329933,65.8611145,55.0831413,80.9975281,103.7256088,95.0229187,100.8746109,66.0649796,75.2884064,61.9848366,46.282814,63.3316383,46.2109528,39.5905914,40.5052795,41.9851723,41.2130737,38.1527786,37.4542236,36.559166,34.8678932,34.306263,33.9284592,32.6206284,-3.88E+12,3327.825684,26.3168812,0,10
