Time (s),HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Water In,TC Water Out,TC Ambient,Event,Event
10,52.6977842,41.3045418,29.1898086,24.1869795,20.7337375,16.8086865,9.8451341,15.329911,8.0372125,11.2775185,9.2795446,8.0716967,0.522427,-4526691.5,480.624176,416.7681274,290.9740295,201.4757385,145.5547028,141.0755157,103.7676315,87.9473877,78.1379929,72.0904694,63.2637558,303.7453003,214.3317261,189.1551208,108.6178894,146.0216522,71.5785065,165.9678192,96.5374451,87.879303,117.8741837,88.651474,79.6878204,86.6211624,85.3913193,101.6515198,70.1947632,87.5971832,71.9265137,52.2412796,71.3002319,50.6268044,40.6981201,42.8106117,44.0426216,41.9317818,38.3771706,37.0998878,36.9027672,34.6751099,34.5105209,34.3468628,32.9986534,-3.88E+12,3327.953613,26.2414207,0,10
11,49.0243121,37.9952476,32.3001328,22.9378042,18.4991245,13.4463792,9.2525926,15.4865964,8.3467829,11.7675115,9.3474256,7.780599,0.5336269,-7576163.5,522.1835327,432.5482788,313.2507935,219.9013214,160.5672607,152.201004,116.2522659,97.6521912,88.3231659,79.863533,70.7230759,310.3233643,222.0928497,186.4917603,110.2158203,137.7767487,73.6431122,157.5409546,98.0734482,89.8198013,112.4307327,85.1781082,80.6148758,86.5604553,87.2071304,101.1388702,72.7141571,92.2658157,74.5364609,52.9936104,70.1729431,50.1922188,40.8645248,42.7509727,44.0205765,41.7294846,38.394207,37.0915298,37.0334473,34.659996,34.5358658,34.386837,32.9159393,-3.88E+12,3327.953125,26.2586498,0,10
12,52.1816354,42.7502946,28.4776826,17.988223,14.2109699,12.1357352,9.36278,19.7886403,8.5495823,10.8991715,8.3888907,7.5282984,0.5268666,-13364777,548.953125,445.212616,329.0274658,243.3113098,179.3383026,159.1590118,119.1578979,99.5845642,90.9814987,82.290657,74.6823578,317.0270386,224.315033,182.1002045,109.4797058,130.1462708,73.9842758,151.6926117,94.6021881,89.4085541,113.3092194,82.7665634,82.4378586,89.8241882,89.7550049,101.1117477,73.8008499,91.7004471,76.5279083,54.4361343,71.7378387,51.0186882,40.1067238,42.7671509,44.0103645,41.6161079,38.3981247,37.0748978,37.1913414,34.663559,34.5461731,34.456749,32.9701881,-3.88E+12,3327.953613,26.2384548,0,10
13,48.9183808,40.2516829,34.9647632,28.5223623,18.7326036,12.2844087,9.312351,24.7357211,11.9366266,13.938608,9.2426031,7.4507041,0.5491655,-17826076,554.8850098,465.8285522,357.1707458,260.859375,186.262558,167.2394867,127.0363998,105.7560577,94.1268234,86.3398361,77.1571503,316.4624329,228.1030273,201.1417084,113.7950287,132.433548,74.8993988,151.1051331,97.7823868,92.3540955,118.0840149,84.1843796,83.8703537,99.3366013,95.8346329,103.752121,74.7516251,92.5543365,77.4200134,55.1020851,73.6939468,52.7485733,39.1180305,42.793911,43.9791527,41.5352859,38.381691,37.1118889,37.263073,34.7200928,34.5870018,34.4818459,33.0951576,-3.88E+12,3327.954346,26.2629814,0,10
14,43.1668054,38.6749654,30.5182803,24.9546457,17.9376558,12.1673179,11.0246699,15.3214669,8.095318,14.0588044,11.6904642,8.3897699,0.5411944,-23930126,564.4829102,466.1863403,356.0941467,265.981781,194.5374908,170.4060516,127.2018204,104.1543198,90.3419571,84.1437378,75.556488,326.256958,229.9796295,211.0223083,123.4009247,138.7092133,75.0308685,143.7471924,94.0410385,89.5002289,115.7828217,85.3792877,85.579216,100.0448151,98.0649338,113.1801605,79.272789,95.9670486,79.2841492,56.4998398,73.8170013,53.1091042,39.3081551,42.7926521,43.961174,41.5496597,38.3371239,37.097538,37.3163528,34.7409134,34.6059608,34.4996834,33.230114,-3.88E+12,3327.951172,26.2401791,0,10
15,55.4522367,41.7661654,34.863602,23.5413677,17.1893007,11.0507902,14.8875361,16.9265531,8.4677139,10.8671082,10.3681779,8.8516068,0.551587,-24655084,557.7955322,465.9654236,362.5996094,273.2827454,199.9781189,173.5171967,128.1988983,107.2381821,92.1735382,83.7349014,74.0698395,336.0895691,245.1030273,221.6807861,125.3318787,137.1242218,74.2494049,133.9599762,90.0805588,82.7046738,103.5813293,79.7269363,94.9865265,101.2420349,98.0297241,114.1932449,82.2173462,99.6723404,77.390007,55.7100029,72.1570663,53.4894524,39.994175,42.8783836,43.9194107,41.4969788,38.3306122,37.0454025,37.3505592,34.7328796,34.6050377,34.4391708,33.2817307,-3.88E+12,3327.95459,26.2347202,0,10
16,52.1638617,42.5681889,33.4662546,26.3579432,23.6918266,14.2868424,8.3988285,14.6152103,8.5865289,13.7843753,8.4887257,6.9918028,0.5348377,-33351630,606.4024048,512.0455933,395.6655579,305.7505798,214.7386169,185.1038361,135.5718994,114.2658463,100.3370056,87.666008,77.8313904,341.9165344,251.1196594,225.6461182,135.9598083,151.5843964,78.0764542,145.4338837,95.4733963,87.4542618,107.8359604,81.8410416,94.505661,102.3074951,101.4209671,119.3892822,83.2183151,99.791153,79.4973602,56.1621933,74.3496704,53.1465988,40.1597137,43.0040855,43.9023399,41.4448586,38.320549,36.9811134,37.3475914,34.7014389,34.6414032,34.4380646,33.2626038,-3.88E+12,3327.953613,26.216238,0,10
17,49.3285983,43.0934005,35.3039148,25.365311,19.5770148,13.2644568,8.9792671,17.9145151,9.875917,13.8859914,9.6011977,6.2347425,0.5407908,-34700592,600.7374268,500.0372925,389.3460083,308.601593,225.5873108,188.9507599,139.4017181,115.9646759,105.5310135,90.8463745,81.3982773,351.7456665,249.24617,228.2655945,134.2515411,151.3795013,79.666748,154.8182678,98.1573181,92.6453323,111.4053192,84.4255066,94.0516739,104.471489,104.8625031,127.7655106,84.8727341,94.837532,77.2367477,55.8676987,72.294548,52.9416695,40.3068771,43.0519829,43.9074783,41.5047531,38.2924919,36.9092598,37.3856316,34.6965027,34.6473351,34.4893456,33.2756767,-3.88E+12,3327.952393,26.2222118,0,10
18,50.7208728,47.1454594,38.5712082,31.4359596,22.6519907,16.3518356,9.1852698,16.0584509,10.0891331,12.4788235,10.4344528,7.293532,0.5326179,-35213496,612.8080444,478.6016846,378.6644897,304.5443726,223.7559662,193.637207,145.1934052,126.5611725,116.6556549,100.7061157,85.4482193,359.6430359,258.7884827,243.5294342,140.2194672,156.8464203,81.346489,162.4321289,107.0974274,101.3485794,126.3835297,92.5020676,94.3144989,104.1493835,107.5722198,124.9227295,87.3684692,99.9415817,78.4213867,56.3931351,76.6069641,55.5068474,40.001564,43.0047417,43.8959389,41.6358109,38.3245697,36.9088669,37.3841171,34.6889954,34.6143379,34.5320511,33.3544502,-3.88E+12,3327.955322,26.2187939,0,10
19,48.916248,44.2977888,33.7565166,24.9690435,23.811216,15.696703,10.8406038,18.0658055,10.4032607,13.8919107,13.5867387,9.557731,0.5296918,-36174292,622.4505005,472.9546509,377.2262268,319.3725586,226.968399,188.903595,140.983902,123.8077698,115.8937149,101.1145096,85.2106018,352.0627441,268.2733765,246.1299744,147.2430267,166.5409241,83.5666046,165.8926239,110.1064911,105.3799133,128.4687958,98.259819,95.0632706,107.0124893,111.7123489,126.5021286,92.818512,109.0994568,83.6733932,58.4028778,81.2309265,58.0204926,40.2101631,42.9521561,43.8864937,41.7034187,38.3218002,36.9812393,37.4134712,34.7427559,34.589447,34.5135269,33.4237061,-3.88E+12,3327.953125,26.2091923,0,10
