Time (s),HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Water In,TC Water Out,TC Ambient,Event,Event
0,0.1681517,0.2749773,0.180974,0.1015377,0.0689218,0.0575889,0.2459619,0.2329995,0.1221734,0.1540192,0.0518593,0.0246585,0.0698921,30.574625,26.4781761,25.7851524,25.9066677,25.3495541,25.5047474,25.5180187,25.4532833,25.6740265,25.5047245,25.4157238,25.5126514,27.1812954,27.2850456,26.7452393,27.0614166,27.032856,27.109148,26.6564007,26.52384,26.4804668,26.6508636,26.4963856,27.5642509,27.4328671,27.385046,27.4185276,27.4127407,27.0114079,26.3229103,26.4281864,26.6667004,26.4661465,27.4434128,27.4539566,27.482439,27.1772079,27.0365772,26.9902096,26.7071877,26.4776249,26.5502625,26.507349,26.3885765,-3.88E+12,3328.07251,26.378685,0,10
1,0.6826416,0.7368714,0.5482601,0.3417197,0.183674,0.1281008,0.7363846,0.8292481,0.3681044,0.3965493,0.1635292,0.0912245,0.0984467,63.7471809,33.2195969,29.4732819,28.6712933,25.9504433,25.745472,25.6246052,25.4578667,25.6842804,25.4809704,25.3946037,25.5006142,27.3238373,27.4238987,26.8494606,27.1335487,27.0800724,27.1438999,26.6749401,26.5299263,26.521637,26.6531773,26.5130424,27.7158737,27.5211411,27.4488506,27.4743805,27.4478645,27.0359726,26.3580513,26.4531498,26.7124157,26.4556255,27.3914089,27.4457111,27.479475,27.1874409,27.0456772,26.9932747,26.6898785,26.4576759,26.5574856,26.5024872,26.3531246,-3.88E+12,3328.076904,26.3719444,0,10
2,1.6123255,1.741295,1.5119056,1.1589601,0.6948696,0.4734656,1.6292311,2.1786652,1.0207737,1.1876085,0.6518842,0.4189772,0.1922834,157.5359344,95.7555161,79.5376892,70.1737442,37.1747437,32.7478104,31.0718403,29.0300198,27.9735451,27.3700905,26.9786816,26.6850433,27.9777985,28.0805092,27.3156567,27.4869251,27.3979282,27.3292694,26.836256,26.6010571,26.5719948,26.7076931,26.5547428,28.2889709,27.9691277,27.8431664,27.826664,27.6927738,27.2375355,26.4601154,26.4907036,26.7782688,26.5256424,27.3418007,27.4470291,27.4709835,27.1910229,27.0552902,26.9866657,26.6730804,26.4480476,26.5335045,26.4811497,26.3487759,-3.88E+12,3328.076416,26.3902473,5,10
3,2.0962446,2.2970832,2.0516885,1.6317979,1.1050038,0.7651321,2.1060379,2.9660793,1.3861708,1.6529375,1.0507172,0.7049972,0.2775436,243.2468719,169.0387421,178.0048981,148.7487335,58.8279915,49.4937325,46.8425789,41.0144196,37.6566315,33.9152107,33.0895195,32.9338608,29.0760136,29.1665707,28.1882114,28.142374,27.9631882,27.7006302,27.1685848,26.7572193,26.7997704,27.3677444,27.7315426,29.2324142,28.7353249,28.506588,28.4604053,28.1217041,27.6088486,26.6894436,26.7204952,27.0751762,26.6154194,27.3530655,27.4597988,27.4754601,27.1913509,27.0537376,26.9858608,26.6666145,26.4253521,26.5206203,26.4716568,26.356657,-3.88E+12,3328.077637,26.3834019,5,10
4,2.0452933,2.2589303,2.0681387,1.7320919,1.2936567,0.9131239,2.0649383,2.9637337,1.4148166,1.7502784,1.2429483,0.8458253,0.3076117,319.8468018,248.6665497,242.0593567,183.7526703,78.8501663,63.6272926,60.5209312,49.4074135,44.3233566,39.878418,39.4462471,37.3364677,30.1637192,30.2312336,29.0717545,28.7835083,28.5590725,28.0620899,27.5460835,26.9409275,26.9777527,27.911335,28.3974514,30.0975647,29.4998703,29.1922188,29.1193924,28.5742283,27.9958801,26.9289379,26.815567,27.3565712,26.7871113,27.3636093,27.4594021,27.4724236,27.1894436,27.0574856,26.9813137,26.6545162,26.4204254,26.5326805,26.4814548,26.3396397,-3.88E+12,3328.075195,26.3705463,0,10
5,2.0616451,2.282742,2.0968882,1.7675957,1.3617425,0.9870441,2.0621647,2.9674866,1.4213271,1.7645835,1.3010234,0.9226262,0.3217376,377.4085388,310.3827515,301.0972595,244.4653931,114.7475052,88.7810211,78.1281509,54.8889427,49.0966034,46.3196831,44.8770103,41.1126595,31.1398849,31.129837,29.9029942,29.382822,29.1557446,28.3981781,27.8853683,27.1781521,27.2499466,28.1008663,28.4023209,30.7988567,30.1615639,29.806263,29.7124958,28.9990559,28.3952007,27.1770382,27.066061,27.6484394,26.8904743,27.4133682,27.4737015,27.4803104,27.2014885,27.0491562,26.9820404,26.6684532,26.4517212,26.5209465,26.46632,26.3328094,-3.88E+12,3328.07544,26.3807087,0,10
6,2.2791954,2.5308714,2.3587083,1.9323526,1.4931297,1.0665689,2.2817833,3.3007948,1.5678114,1.9378898,1.4115098,1.0044255,0.348476,418.204834,353.5600891,346.663147,259.8070984,126.1699829,99.0920639,86.0475006,60.5155563,53.2304459,49.0413094,45.4327545,41.6172447,31.9893131,32.0895081,30.7842159,29.9658585,29.7737827,28.7366657,28.2428856,27.3887997,27.3787155,28.1252003,28.3731556,31.5033112,30.8246002,30.4137993,30.3329659,29.4461746,28.7829437,27.4174175,27.0938206,27.8383141,27.0623646,27.4298077,27.4863663,27.471859,27.1915207,27.0599403,26.9932022,26.680748,26.4477901,26.5200348,26.4627628,26.3186779,-3.88E+12,3328.077881,26.3813076,0,10
7,2.2671093,2.520589,2.3613219,1.9815998,1.5172726,1.0730823,2.2386664,3.2306616,1.5461643,1.9133901,1.4150603,1.001966,0.3481733,445.1790161,364.7141724,370.9669495,298.7789307,140.3516846,107.932724,95.6906281,69.627594,59.3996773,52.4345512,48.6687813,45.2651062,32.7530823,32.9888,31.6205139,30.5039482,30.2795048,29.0209732,28.5149097,27.5365925,27.4424038,27.8489513,28.4025288,32.1462517,31.4377804,30.9624863,30.8934574,29.8729305,29.1225071,27.6364021,27.0994663,27.7365055,27.0310364,27.4505424,27.4867382,27.4786358,27.1862278,27.0595512,26.9965878,26.6845131,26.4568386,26.535881,26.4680405,26.3111115,-3.88E+12,3328.076416,26.3748817,0,10
8,2.3941322,2.6918714,2.5642593,2.2425604,1.7567874,1.2728031,2.3342295,3.4565419,1.69037,2.1613463,1.6099965,1.1592175,0.3594741,442.5018921,357.7349548,352.0016785,294.3338318,140.8352661,110.4157333,101.4100571,76.859642,64.3576584,57.0807037,52.8062553,46.7357712,33.5990677,33.7924385,32.3607445,31.1071453,30.8751755,29.3988819,28.8576202,27.7216339,27.5527782,27.7584286,27.9759045,32.7624855,32.071579,31.5187283,31.5107059,30.3246632,29.5360432,27.9054089,27.1635361,27.7492638,27.0509739,27.4629307,27.5096798,27.4842319,27.1876755,27.0632629,26.9867172,26.6999245,26.4496059,26.5275154,26.4755344,26.2944336,-3.88E+12,3328.075195,26.3759499,0,10
9,2.2936514,2.5484596,2.4129787,2.0948191,1.7252839,1.2812858,2.2404314,3.2731168,1.6044325,2.0270093,1.5963865,1.1811152,0.3517048,465.2224121,367.7291565,360.1376343,308.9909363,152.411499,116.0695877,109.1213531,82.4772491,67.9385147,59.7906647,55.6230469,48.6477394,34.3401184,34.5454865,33.0395012,31.6260281,31.4763546,29.7633152,29.257658,27.8947906,27.6995258,27.8373547,27.810957,33.2821846,32.5964012,31.9960098,32.0767365,30.7929516,29.9405956,28.1888695,27.2621326,27.8180294,27.0960159,27.4792976,27.5083179,27.4832478,27.1855621,27.0709553,26.9996967,26.6996956,26.4603233,26.5465431,26.4790802,26.2979851,-3.88E+12,3328.072754,26.3436375,0,10
