Time (s),HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Water In,TC Water Out,TC Ambient,Event,Event
0,0.2992032,0.2906714,0.2556919,0.186943,0.1404671,0.109848,0.2671422,0.2353451,0.1521213,0.1535259,0.102749,0.0855121,0.0878522,28.8887081,27.6375141,27.9358044,27.1161213,26.5348778,26.2664604,26.0749435,25.91576,26.0504112,25.7787838,25.6650352,25.6914558,34.4626274,34.0359993,33.9255447,31.8730621,31.8529587,31.0791664,31.5464859,30.7700901,30.4649754,30.3251953,30.3987541,33.9496689,33.9613991,34.2643013,32.7463646,32.1001396,31.0030727,31.3037853,30.4953957,30.4893436,30.5152874,33.0536575,33.3785095,33.4566917,32.7711601,31.0737495,30.7348194,30.5360909,29.6650333,29.764204,29.8967171,29.5488567,-3.88E+12,3327.974854,26.104023,0,10
1,0.5890333,0.4086479,0.2481586,0.1712363,0.1305303,0.1025014,0.4310366,0.3509826,0.1718153,0.179341,0.1126395,0.0989205,0.0912828,28.8887081,27.6036034,27.7827091,27.0531483,26.5753212,26.2951946,26.1708908,25.9573364,26.0640564,25.7674942,25.6646957,25.6914959,34.4503136,34.0484085,33.7887344,31.8836269,31.902956,31.0769482,31.5795822,30.8080902,30.4871864,30.3737411,30.3935337,33.9564552,33.9408226,34.2478485,32.7426529,32.1065636,31.0545883,31.3094597,30.487915,30.4803562,30.510067,33.1103516,33.3395424,33.4597321,32.7869682,31.061388,30.759304,30.5707226,29.7034531,29.7476807,29.8862152,29.5812798,-3.88E+12,3327.972168,26.0919781,0,10
2,5.8403377,6.4270715,3.9759047,1.7330736,0.7703897,0.2804097,4.3188652,5.5994715,2.2142958,1.6325485,0.4953265,0.2289584,0.1756349,28.8887081,104.3653793,57.7128716,34.2824326,28.5001965,26.9138031,26.4588566,26.0576897,26.1758347,25.7957344,25.7073174,25.7133179,36.1199074,36.419342,35.6797447,32.2948608,32.261528,31.1595383,31.7068348,30.8309326,30.5209293,30.3928356,30.417511,35.3253937,34.8112717,35.0619316,33.1960487,32.2007179,31.1375351,31.3762245,30.5111427,30.5035915,30.5257721,33.1338997,33.3342133,33.4558983,32.8030205,31.0474014,30.769371,30.5890636,29.7048702,29.7351742,29.8842487,29.5955029,-3.88E+12,3327.973877,26.0824528,0,10
3,8.2739152,8.9367774,7.4934874,5.2278195,3.0090511,1.9616391,6.3632594,9.5482699,4.0328179,3.865963,2.3397815,1.7003942,0.3156837,28.8887081,243.8738708,161.9890594,88.7212067,46.6276894,35.6241379,34.2711525,31.1192665,30.7912407,29.0495186,28.15028,26.862505,40.821888,41.420826,40.0613632,34.5746002,35.0075951,32.0488663,39.2461624,35.2655678,34.6641159,35.6654587,32.1491051,38.7737083,37.6923218,37.4434662,35.4593468,33.3296738,34.3600883,33.0265388,30.8283443,33.2845345,31.2646713,33.2418289,33.3112183,33.4362907,32.805912,31.0439053,30.7598572,30.6133881,29.6900864,29.7365685,29.8679466,29.6157227,-3.88E+12,3327.973877,26.0683651,5,10
4,8.4613687,9.3169539,8.1061433,5.7679017,3.5827384,2.7263644,6.6499487,10.6279443,4.5048231,4.1892268,2.4535648,1.9133422,0.3822774,28.8887081,341.0036621,281.6260376,156.7411346,81.8339233,60.6336784,53.856617,43.2551193,39.3400307,36.1292343,35.1460228,31.3227291,45.2229652,46.1989098,43.8926735,37.5750008,37.9060555,33.3764915,47.6051903,41.8391457,43.8460922,53.8394051,41.5459099,41.9627991,40.6786194,39.8365211,37.3603249,34.3347816,36.3035088,35.1667442,32.2364235,37.3065071,33.2960968,33.3495979,33.2839584,33.4536476,32.7688637,31.0233498,30.7434216,30.6135025,29.6743946,29.7212486,29.8368206,29.6037903,-3.88E+12,3327.973877,26.069994,5,10
5,8.984153,10.470201,10.1535056,8.17283,5.4258396,3.5029049,6.8077916,11.6116841,6.2754938,6.0012145,3.08529,2.1949191,0.4151707,28.8887081,389.1516113,323.7259827,185.7868652,99.0601196,73.8275299,68.6069565,56.6969376,51.9942207,45.5975418,44.1269989,39.3384171,49.3086815,51.9459038,48.0592728,40.7938538,44.6733055,34.8896675,60.5529213,47.6233749,48.571167,58.2777824,45.2469597,44.8177605,43.6858177,43.1396866,42.4455032,35.9537468,41.45121,37.9262199,32.9604073,38.6969109,34.331913,33.3252831,33.2547684,33.4443474,32.7145042,31.0346947,30.7265682,30.6090603,29.6872597,29.7122841,29.8022556,29.5055714,-3.88E+12,3327.9729,26.0719471,0,10
6,7.5650993,8.3290361,7.9207323,6.8744076,5.479057,4.1449349,5.9499932,9.490803,4.5445367,5.2742818,3.9316479,3.1707192,0.413859,28.8887081,469.9850769,438.0020142,267.8952942,128.2026825,90.9142532,83.443161,63.6388245,57.0144806,48.4590302,45.3288422,41.1687012,52.2439842,54.1669006,50.6549339,43.1904182,49.0292969,36.6262474,68.0696793,51.3083382,53.263195,69.1209259,52.8729553,46.7455025,45.9520569,45.4169464,45.6154518,38.4202919,46.3694077,40.2066727,34.3803101,42.5607414,35.6826859,33.0163155,33.2312851,33.4437447,32.700016,31.0491238,30.6853504,30.6001854,29.677248,29.7267342,29.7918606,29.4496098,-3.88E+12,3327.972656,26.0486889,0,10
7,8.5575838,8.6578009,8.811351,6.3680294,4.8792394,3.5104787,6.4434416,9.5846265,4.5046604,4.9707493,3.863006,3.0554384,0.4234445,28.8887081,522.8921509,520.9944458,341.7696228,173.7090607,124.0795364,109.6429367,77.2584457,61.8604202,53.3547363,49.1730194,46.4027901,54.7085838,56.0718994,54.3234673,44.4585648,47.964077,37.2651749,61.8282471,49.9039268,52.0537376,66.0836258,52.9868507,48.4224663,47.6433945,46.5005875,45.5366364,39.6151009,46.8047409,40.8738823,35.1617508,44.4620819,36.61203,32.8870621,33.2431183,33.4559441,32.6255112,31.0666103,30.6648693,30.6161785,29.689867,29.7626991,29.8266983,29.4419022,-3.88E+12,3327.974854,26.0685253,0,10
8,7.9890618,8.1691185,8.5169379,6.8802976,5.3720334,3.7459477,6.1756633,9.4192625,4.5723687,5.2395877,4.1968321,3.5548031,0.4275814,28.8887081,512.3902588,546.8290405,361.6016846,196.2716522,139.5444794,118.5287399,85.9503708,67.4567642,57.6218681,52.6790352,47.8543777,56.6331406,57.6013374,58.6195488,46.5013924,49.1041718,37.8757973,61.2333832,48.6751747,50.2307549,61.7823944,50.4152908,49.8670845,49.0511665,47.6864357,46.2690277,40.7018204,45.5670547,41.3387108,36.052681,46.8337402,37.0724678,32.9023514,33.2073822,33.4569702,32.5428162,31.0755291,30.6358109,30.6491642,29.6510124,29.7607155,29.8548317,29.4941502,-3.88E+12,3327.973877,26.0435066,0,10
9,8.98439,9.1608245,8.3293746,7.5075849,5.4559446,3.8474365,6.6093533,9.8637515,4.5147515,5.2264335,3.7499836,3.1462825,0.4476604,28.8887081,520.1223755,562.0784912,366.9326172,217.1480103,164.2097473,140.3666077,97.8460007,78.733757,66.6875839,61.2211189,54.3462563,59.1454582,59.866703,59.2971687,47.9506302,50.8074074,38.7903214,60.9050636,50.0802155,51.9923515,64.5476303,52.7468033,51.5937843,50.5182724,48.9239235,47.0707817,41.3211784,45.097744,41.9440689,36.6035538,48.2454224,37.9671974,32.8400536,33.2205124,33.4520988,32.4598427,31.0789108,30.6591282,30.6890163,29.6615486,29.7520599,29.8845711,29.5506382,-3.88E+12,3327.973877,26.0718231,0,10
