Position,0.2 m,0.4 m,0.6 m,0.8 m,1.0 m,1.2 m
0,42.8406972,39.89004622,33.70023224,22.6069841,16.78212675,13.85053545
0.15,18.75089429,21.25182503,17.16452617,11.8297015,8.839559007,6.23116622
0.305,10.24297466,10.74262913,8.949599592,7.145934867,5.499385792,4.30887706
0.61,3.994177615,4.322404513,4.018298588,3.28008492,2.437943617,1.698433555
