Time (s),HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Water In,TC Water Out,TC Ambient,Event,Event
0,0.3110524,0.3204361,0.2398566,0.1673096,0.1493735,0.1183307,0.2822709,0.2571591,0.1571669,0.1762169,0.1201631,0.1109008,0.0773587,23.5345192,28.4473076,27.3587818,26.8181839,26.5165615,26.5660477,26.3688812,26.2572765,26.3986073,26.0939503,25.9671383,26.0031815,40.7831802,41.8764458,40.8041344,37.354702,37.1690559,35.943779,37.4177322,36.2165718,35.4081001,34.7603836,34.6243248,39.4787292,41.1722755,41.0808754,38.1966743,37.4601974,35.7053909,37.2416,35.3801918,34.9477882,34.8591309,38.1831856,38.7257042,40.4383545,38.9977875,36.2427483,35.025547,34.7276649,33.3019638,33.3465805,33.2020302,32.1547356,-3.88E+12,3328.021973,26.5564747,0,10
1,0.3541832,0.3610244,0.2484661,0.1946328,0.148343,0.125753,0.3261442,0.3078238,0.1799533,0.203183,0.1344494,0.1166133,0.0808902,23.4111786,28.4149303,27.3414669,26.820116,26.5139618,26.5706177,26.3749638,26.2648678,26.3994045,26.0860615,25.9615135,25.999073,40.783226,41.9107285,40.7848015,37.2814751,37.166481,35.9591637,37.3763008,36.2132492,35.4279747,34.7948761,34.6363525,39.4642258,41.1484909,41.070118,38.1829033,37.4408112,35.6919632,37.2360382,35.3787384,34.9373474,34.839325,38.0842705,38.7529907,40.3918304,39.0149956,36.2510185,35.0195999,34.6303253,33.2217598,33.3083572,33.1870651,32.1021843,-3.88E+12,3328.022949,26.5821838,0,10
2,1.3774755,1.3337891,1.0580636,0.7525487,0.4485094,0.3043429,1.3145538,1.5756144,0.7377333,0.7538496,0.4145962,0.2929856,0.1497037,-130.4071503,110.857399,64.257515,42.1510391,30.5711994,27.7359867,27.197155,26.4931583,26.4276657,26.1139317,25.9924202,26.0250492,41.2212372,42.3735504,41.1922684,37.5755653,37.3461838,36.0032272,37.5234222,36.239727,35.4649315,34.7940521,34.6733589,39.7415733,41.446228,41.2641106,38.384758,37.5083618,35.7655869,37.2553902,35.3782883,34.9822083,34.8527336,38.3041382,38.7663498,40.3220901,39.0257416,36.2546844,35.0157776,34.5793114,33.1793098,33.250885,33.1704788,32.0190849,-3.88E+12,3328.026123,26.5851288,0,10
3,2.3746995,2.4118126,2.0718285,1.6214904,1.0338266,0.7209769,2.2328671,3.0345704,1.4089573,1.5417847,0.9798774,0.6792117,0.2928803,-5486.793457,282.2096558,207.4528351,110.9863815,57.9344559,41.8169212,37.4042473,34.8387604,29.8466244,28.4505138,27.403326,26.9118233,42.6723518,43.8454475,42.3875618,38.3365326,38.0163803,36.3165894,37.8498154,36.3959656,35.5995369,34.9598618,34.8230972,40.6530991,42.4165001,42.0787048,39.1062813,37.8904152,36.1455078,37.4525223,35.4426079,35.100853,34.9373055,38.2611351,38.6666489,40.2247925,38.9670868,36.2617302,35.0048561,34.59161,33.14925,33.2553291,33.1298904,32.0385628,-3.88E+12,3328.022217,26.5571365,5,10
4,2.688465,2.8049773,2.5587247,2.1288503,1.5239708,1.0851246,2.5175391,3.6045485,1.7097385,2.0291469,1.4345877,1.0343366,0.3701695,-84235.21875,375.2292175,335.1560364,166.7552948,84.9468384,56.7325401,49.3131599,42.7673759,36.9434395,33.3539047,31.1000767,29.8894138,44.3885269,45.6368828,43.9680977,39.2297401,38.9103966,36.7751884,38.3507385,36.6593819,35.8421135,35.3512535,35.8578682,41.7249908,43.5906448,43.0994415,40.1026764,38.4965935,36.7233086,37.784317,35.5408859,35.3638954,35.2063675,38.0100403,38.5220566,40.1359673,38.9258842,36.2679367,34.9346581,34.5790977,33.1678505,33.2979469,33.190155,31.9880657,-3.88E+12,3328.024902,26.5890656,5,10
5,2.7856279,2.9324244,2.6990897,2.2443601,1.697608,1.2319804,2.6027642,3.7699125,1.7898166,2.1486855,1.6056007,1.1657233,0.4099239,-330513.5313,417.0055542,401.9782104,201.6887665,114.5860062,72.8753586,61.3128853,50.2006989,41.7918091,40.3450165,38.2564735,33.346283,45.931591,47.3147926,45.6161499,40.2155914,39.8019676,37.2411957,38.9000626,36.9295845,36.0911102,35.467617,35.691349,42.690052,44.7003174,44.0176277,41.069664,39.055191,37.2826233,38.1030693,35.6404037,35.4941368,35.2422791,37.9767761,38.4567108,40.0852661,38.9363098,36.2540741,34.8791962,34.613163,33.1535721,33.3305588,33.2482948,32.0496521,-3.88E+12,3328.024414,26.5950832,0,10
6,2.8358683,3.0157656,2.7941014,2.2440329,1.7099002,1.2208469,2.6418467,3.8550574,1.8236708,2.150823,1.6279178,1.1793698,0.4079059,-1268435.5,447.3152771,450.6266785,235.3774414,128.9875946,88.2992859,69.352005,55.5779228,48.0721207,43.9980507,42.8143234,38.4524345,47.2488594,48.7256584,46.9856377,40.926075,40.5863342,37.6080933,39.4297981,37.1799889,36.2836838,35.58815,35.9416885,43.535862,45.7096786,44.8416252,41.9507179,39.6012802,37.7666817,38.3721733,35.7253952,35.6386528,35.3684807,38.0242538,38.4048691,40.0700302,38.8691673,36.2399101,34.8852348,34.6944847,33.158493,33.3140945,33.3027496,32.1691589,-3.88E+12,3328.025391,26.5996552,0,10
7,2.8605145,3.0872009,2.8760451,2.3953737,1.795946,1.2456889,2.6882415,3.931289,1.8864963,2.2787474,1.6930092,1.2000775,0.4011457,-2371847,498.2955627,474.5169067,271.8390198,141.7114716,97.4528732,73.0409546,56.5743484,49.8163109,44.7146034,44.5313301,40.7553177,48.4243126,49.9173355,48.1663818,41.7039719,41.2287254,37.9461937,39.7647552,37.3657799,36.4157486,35.670208,35.7192001,44.3187675,46.631218,45.6551437,42.7222481,40.1039352,38.1266785,38.6069641,35.7924881,35.7405586,35.3700943,37.6519585,38.4815063,40.079834,38.8476372,36.2336693,34.9014587,34.8608856,33.1623573,33.3134613,33.3460159,32.2684402,-3.88E+12,3328.023193,26.5858059,0,10
8,2.8180946,3.0027773,2.7505928,2.298352,1.7812983,1.2818917,2.6098243,3.7882081,1.8091851,2.1549337,1.6941082,1.2199124,0.3932755,-4359769,550.8167114,513.0777588,311.1899109,169.4598541,107.2622986,83.1326218,60.9085007,51.8297081,46.2074432,45.0153198,42.906311,49.3923378,50.9478683,49.0487785,42.3171005,41.8948288,38.2280617,40.1710548,37.5749435,36.5454216,35.7558708,35.6009445,44.9510918,47.3326912,46.2588158,43.2601509,40.5607986,38.5002365,38.79533,35.8785286,35.8385887,35.5310249,37.4001122,38.4479027,40.067524,38.864048,36.1985054,34.9317856,35.0151482,33.2512245,33.291317,33.3812714,32.3856163,-3.88E+12,3328.02417,26.5639038,0,10
9,3.0185821,3.1932715,2.8637458,2.3562705,1.7990374,1.2622755,2.8236435,4.0837523,1.8777073,2.2368184,1.6928402,1.2210232,0.4064933,-6444258,573.2030029,525.2802124,328.4326477,173.327652,112.5832291,91.6276169,65.4242477,52.7924271,47.7173424,45.7591972,43.0979652,50.3632622,51.9672356,49.9889412,42.7832069,42.4130898,38.511219,40.4805679,37.7223129,36.7541542,35.8649559,35.5663643,45.5777664,48.0547676,46.8375969,43.832222,40.9864235,38.8358612,39.0323753,35.97789,36.0352364,35.5563202,36.992569,38.1136093,39.9865074,38.6302071,36.1631966,34.9627228,35.0977402,33.3744354,33.3170509,33.3953705,32.4541855,-3.88E+12,3328.026611,26.5456314,0,10
