s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 6.5400475E+001, 3.5632503E+003,-1.1710322E+003,-2.2068328E+003,-1.8564931E+002, 1.8450581E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8841171E+000, 1.8186652E+001, 6.7756627E-002
 6.5700386E+001, 3.0500289E+003,-1.0066715E+003,-1.8765491E+003,-1.8742145E+002, 1.8207000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5057820E+000,-2.4062451E+000, 6.7876160E-002
 6.6001343E+001, 3.4475212E+003,-1.1281886E+003,-2.1319986E+003,-1.8522432E+002, 1.8186433E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.2775311E+000, 2.0296026E+001, 6.7994596E-002
 6.6301323E+001, 3.2610907E+003,-1.0749868E+003,-2.0110090E+003,-1.8110969E+002, 1.8182557E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4377503E+001, 1.2167722E+001, 6.8111998E-002
 6.6601280E+001, 3.5900487E+003,-1.1835146E+003,-2.2685863E+003,-1.7845622E+002, 1.8380953E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4838714E-001,-2.2127433E+001, 6.8227859E-002
 6.6900223E+001, 3.2321682E+003,-1.0696359E+003,-1.9656430E+003,-1.7954677E+002, 1.8271569E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5019783E-002, 3.5614136E+001, 6.8342324E-002
 6.7201630E+001, 3.2984847E+003,-1.0877868E+003,-2.0506541E+003,-1.8376558E+002, 1.8015573E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0648094E+000,-5.7062247E+000, 6.8455877E-002
 6.7500313E+001, 3.1816325E+003,-1.0440723E+003,-1.9589928E+003,-1.8144473E+002, 1.7969090E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9220628E+000, 1.5091757E+001, 6.8568318E-002
 6.7801674E+001, 3.8644511E+003,-1.2668388E+003,-2.4275798E+003,-1.8132440E+002, 1.8622118E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9440793E+001, 7.3302802E+000, 6.8679466E-002
 6.8101852E+001, 3.3327198E+003,-1.0979945E+003,-2.0167377E+003,-1.8818437E+002, 1.8704610E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6239773E+000, 4.8507855E+001, 6.8789794E-002
 6.8401566E+001, 3.4988542E+003,-1.1531483E+003,-2.1853936E+003,-1.9339476E+002, 1.8556332E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.2231832E-001,-1.4526075E+001, 6.8898548E-002
 6.8701546E+001, 3.3322338E+003,-1.0987453E+003,-2.0841026E+003,-1.9806403E+002, 1.8555307E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9296298E+001,-3.0122787E+001, 6.9006244E-002
 6.9002228E+001, 3.2544620E+003,-1.0697361E+003,-1.9715341E+003,-1.9766970E+002, 1.8418187E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5771601E+000, 3.3940210E+001, 6.9113018E-002
 6.9301369E+001, 3.6925484E+003,-1.2119985E+003,-2.3187739E+003,-2.0290268E+002, 1.8553520E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0059615E+001,-2.2573202E+001, 6.9218405E-002
 6.9600403E+001, 3.2473259E+003,-1.0683319E+003,-2.0256220E+003,-1.9595847E+002, 1.8335475E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4079720E+000,-2.4251014E+001, 6.9322443E-002
 6.9900688E+001, 3.7089203E+003,-1.2208170E+003,-2.2830207E+003,-1.9787779E+002, 1.8735721E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.6877825E-002, 2.5940578E+001, 6.9425618E-002
