Time,TC1_LR_0-03mBC,TC1_LR_0-30mBC,TC1_LR_0-61mBC,TC1_LR_0-91mBC,TC1_LR_1-22mBC,TC1_LR_1-52mBC,TC1_LR_1-83mBC,TC1_LR_2-13mBC,TC2_BED1_0-03mBC,TC2_BED1_0-30mBC,TC2_BED1_0-61mBC,TC2_BED1_0-91mBC,TC2_BED1_1-22mBC,TC2_BED1_1-52mBC,TC2_BED1_1-83mBC,TC2_BED1_2-13mBC,TC3_BED2_0-03mBC,TC3_BED2_0-30mBC,TC3_BED2_0-61mBC,TC3_BED2_0-91mBC,TC3_BED2_1-22mBC,TC3_BED2_1-52mBC,TC3_BED2_1-83mBC,TC3_BED2_2-13mBC,TC4_Kitch_0-03mBC,TC4_Kitch_0-30mBC,TC4_Kitch_0-61mBC,TC4_Kitch_0-91mBC,TC4_Kitch_1-22mBC,TC4_Kitch_1-52mBC,TC4_Kitch_1-83mBC,TC4_Kitch_2-13mBC,TC5_BaseB_0-03mBC,TC5_BaseB_0-30mBC,TC5_BaseB_0-61mBC,TC5_BaseB_0-91mBC,TC5_BaseB_1-22mBC,TC5_BaseB_1-52mBC,TC5_BaseB_1-83mBC,TC5_BaseB_2-13mBC,TC6_BaseD_0-03mBC,TC6_BaseD_0-30mBC,TC6_BaseD_0-61mBC,TC6_BaseD_0-91mBC,TC6_BaseD_1-22mBC,TC6_BaseD_1-52mBC,TC6_BaseD_1-83mBC,TC6_BaseD_2-13mBC,HF_FF_H_100672,HF_FF_V_100671,TC_FF_top_out,TC_FF_top_in,TC_FF_side_out,TC_FF_side_in
95,25.360908,24.896191,24.222936,23.794135,23.540103,22.856721,22.824354,22.108354,25.662684,25.659616,23.388699,23.197532,22.777693,22.37129,22.182006,16.255322,26.007831,23.130999,23.0154,22.062929,21.79531,16.274964,16.098433,21.105902,23.478949,23.311238,22.779106,22.734253,22.252309,21.731237,21.560889,20.971625,112.242456,107.973547,103.859902,33.046436,27.825842,29.258969,26.982946,25.832341,93.367421,83.986759,57.987166,34.782241,28.763039,27.333862,26.872958,24.467274,-0.000163,-0.000118,22.495679,21.967144,21.472642,20.939434
96,25.296394,24.869462,24.234012,23.805216,23.551186,22.86781,22.873318,22.195233,25.409329,25.406194,23.475477,23.322222,22.788784,22.420284,22.155203,16.304544,26.056643,23.142086,23.177995,22.149825,21.806411,16.362294,16.109584,21.117008,23.490032,23.322323,22.752314,22.821074,22.263405,21.780241,21.723661,21.172319,112.162737,107.671591,105.556256,33.153485,28.008793,29.66747,26.751076,26.129014,95.645038,85.96352,58.901742,34.514618,28.682214,27.06431,27.169154,24.688585,-0.000315,0.000188,22.490135,21.999492,21.505003,20.895946
97,25.17195,24.933987,24.185112,23.718448,23.540103,22.932472,22.862228,22.146246,25.209355,25.168376,23.426547,23.386867,22.853407,22.333389,22.144106,16.255322,25.781277,23.130999,23.204783,22.176627,21.87115,16.427322,16.136532,21.067968,23.478949,23.197733,22.816987,22.923571,22.290207,21.731237,21.788388,21.199126,114.907896,107.888564,110.33143,33.035457,28.530811,29.850097,26.368198,26.161258,98.256713,86.839394,59.889496,34.77128,28.450729,26.681485,26.861915,24.229314,-0.000315,3.49E-05,22.370946,21.956052,21.537363,20.928331
98,25.17195,25.122951,24.260758,23.794135,23.4644,22.970346,22.9001,22.259914,25.284923,25.017181,23.426547,23.349002,22.891262,22.40919,22.219905,16.255322,25.479131,23.168855,23.129033,22.252419,21.833231,16.427322,16.174631,21.030033,23.55467,23.122056,22.779106,22.999289,22.403893,21.844943,21.750475,21.237039,115.471425,111.716026,107.815303,33.078461,28.988284,30.118932,26.222742,26.053472,101.879516,88.203764,62.247377,34.739315,28.606895,26.762478,27.357684,24.801989,-0.000163,3.49E-05,22.565892,22.075278,21.505003,20.895946
99,25.139688,25.090695,24.531015,23.913197,23.394234,23.013762,22.943516,22.265462,25.063737,24.795883,23.432089,23.354545,22.896807,22.376838,22.149654,16.260897,25.409114,23.32581,23.134577,22.295861,21.876699,16.31863,16.065908,21.111455,23.333034,23.1276,22.784651,22.966975,22.333651,21.77469,21.718111,21.318413,116.588137,112.644941,109.001481,33.115973,29.214191,30.344591,26.033988,25.56232,101.620922,87.726221,64.047165,34.889087,28.569234,26.724743,27.206863,24.310485,-0.000315,3.49E-05,22.528014,21.885805,21.429183,20.933882
100,25.17195,25.085161,24.601102,24.021168,23.350836,23.083959,22.975842,22.373571,25.058203,24.790348,23.426547,23.462591,22.929116,22.40919,22.182006,16.293394,25.176901,23.395966,23.053279,22.403989,21.87115,16.351145,16.098433,21.030033,23.213885,23.197733,22.930623,22.88571,22.365999,21.882843,21.636727,21.199126,118.786454,112.384796,111.004921,33.303517,29.477689,30.495003,26.184994,24.84408,98.151468,89.600048,66.139569,34.963966,28.569234,26.460561,27.018306,24.348301,-0.000163,0.000188,22.528014,21.961598,21.505003,20.858008
101,25.064093,25.090695,24.720061,23.913197,23.507794,23.127371,22.905645,22.417001,24.874768,24.758074,23.469935,23.354545,22.93466,22.452635,22.149654,16.222825,24.955707,23.439355,23.0967,22.409536,21.952533,16.394808,16.142108,21.035587,23.219428,23.08976,22.936167,22.777664,22.333651,21.964187,21.60436,21.280503,119.345797,113.165348,110.856442,33.416027,29.402411,30.006085,26.260489,24.806265,98.409639,91.070486,65.442233,35.263427,28.456242,26.234067,26.67882,24.423929,-0.000163,0.000188,22.528014,21.961598,21.467093,20.858008
102,24.988493,25.015111,24.79567,24.026706,23.545644,23.203104,23.057122,22.417001,24.950359,24.795883,23.545623,23.392409,22.858952,22.452635,22.187554,16.260897,24.917914,23.477201,23.248198,22.485312,21.914617,16.35672,16.065908,21.035587,23.105811,23.08976,22.936167,22.777664,22.40944,22.002083,21.52852,21.242592,119.090205,114.100474,113.796672,33.459015,29.483197,29.672977,26.15277,25.076475,98.083106,90.230277,65.814639,36.204182,28.612408,26.08857,26.382488,23.97562,-0.000315,3.49E-05,22.495679,21.929249,21.510552,20.939434
103,24.994028,25.058437,24.801206,24.032246,23.589035,23.170782,23.214121,22.460429,25.031479,24.801419,23.551165,23.511535,22.978057,22.420284,22.155203,16.304544,24.734468,23.55843,23.443084,22.490859,22.071823,16.43847,16.147683,21.003205,23.111355,23.01962,22.941712,22.821074,22.377093,22.007632,21.609911,21.286055,117.966413,118.303441,115.353507,33.903434,29.778749,29.705099,26.222742,25.52453,97.082217,92.946375,67.423828,35.8621,28.644555,25.780936,26.641093,24.575169,-0.000315,0.000188,22.565892,21.999492,21.467093,20.933882
104,25.026294,25.052903,24.833473,24.026706,23.621342,23.203104,23.246438,22.379118,25.025945,24.871499,23.50778,23.505993,22.896807,22.490532,22.111753,16.222825,25.106863,23.779921,23.588993,22.561084,22.066274,16.35672,16.065908,21.035587,23.181557,23.1276,22.936167,22.739798,22.333651,22.002083,21.52852,21.166765,118.083668,119.726435,116.77366,34.883062,29.671368,29.973972,26.341503,25.718995,99.079045,93.982213,69.116562,35.306331,28.650067,25.559827,26.307011,24.39165,-0.000163,0.000188,22.495679,21.929249,21.434731,20.901497
105,25.037362,25.139552,24.844543,24.075618,23.67027,23.403498,23.333241,22.428095,25.188168,25.222771,23.632389,23.403493,22.983602,22.501626,22.160751,16.195903,25.760105,23.904499,23.637935,22.496406,22.1911,16.405958,16.11516,21.046695,23.306252,23.365697,22.985132,22.902344,22.344746,22.126859,21.539623,21.291608,116.10414,122.783872,118.668722,35.963092,29.741121,30.043702,26.637884,26.166783,102.58158,95.449622,71.311422,34.55207,28.682214,25.516521,26.150516,24.348301,-0.00062,0.000188,22.641644,21.961598,21.505003,20.971818
106,25.053026,25.041836,24.935805,24.091296,23.723797,23.457045,23.386784,22.330139,25.241607,25.238434,23.610224,23.381325,23.037126,22.479439,22.138558,16.287819,26.191062,24.033655,23.691487,22.549991,22.206815,16.459834,16.092857,20.986544,23.511268,23.381359,22.962955,22.880165,22.322556,22.066773,21.555338,21.193574,115.556743,121.225316,119.239013,37.880402,29.789762,30.054712,26.762121,26.404417,103.035932,95.644564,73.558535,34.113518,28.994456,25.79199,26.501217,24.548428,-0.000163,0.000188,22.576979,22.048478,21.478191,20.869111
107,25.05856,25.04737,24.86574,24.096835,23.729338,23.462587,23.468034,22.222026,25.360486,25.243966,23.691444,23.386867,23.04267,22.522882,22.106204,16.293394,26.498535,24.077019,23.65917,22.593422,22.326078,16.427322,16.098433,21.067968,23.706095,23.424731,22.930623,22.923571,22.328103,22.034428,21.598809,21.123297,119.644189,119.497077,118.780583,38.690818,30.267788,29.855603,26.411463,26.468887,103.06208,95.412791,73.584463,33.465405,29.021081,25.894237,26.527903,24.348301,-0.000315,0.000188,22.452255,21.847907,21.467093,20.744186
108,25.069627,25.096228,24.990205,24.221401,23.853942,23.587232,23.441265,22.308896,25.409329,25.330616,23.778197,23.435814,23.053758,22.496079,22.193102,16.266473,26.547324,24.050272,23.783818,22.680277,22.337173,16.400383,16.109584,21.079075,23.86858,23.473643,23.055335,22.972519,22.452879,22.007632,21.685746,21.172319,121.889249,119.987689,119.270853,39.479726,32.00191,29.560082,26.266014,26.587677,104.509698,95.528674,74.139711,33.208429,29.214803,26.315095,27.023827,24.883117,-0.000315,0.000188,22.647187,22.118714,21.510552,20.901497
109,25.037362,25.139552,24.957942,24.189111,24.010829,23.782017,23.48466,22.390213,25.301521,25.184976,23.821572,23.592792,23.021452,22.577415,22.12285,16.272048,26.024418,24.055811,23.865063,22.761581,22.380622,16.444045,16.153259,21.046695,23.87412,23.592662,22.947257,22.978064,22.344746,21.899492,21.729212,21.177872,121.558587,119.619941,120.097082,40.081731,32.382816,29.377405,26.120545,26.970666,105.773303,95.939252,76.124611,33.213917,29.333223,26.622576,27.293315,24.813054,-0.000468,0.000188,22.501223,22.048478,21.478191,20.907049
110,24.988493,25.204061,25.022466,24.253691,24.075416,23.884467,23.511428,22.379118,25.214888,25.211705,23.772657,23.695275,22.93466,22.566323,22.149654,16.337039,25.635746,24.006907,23.853983,23.053475,22.369527,16.470983,16.065908,21.035587,23.900888,23.619402,22.936167,23.004833,22.40944,21.812592,21.566441,21.128851,125.297044,119.769214,123.608448,40.677968,32.870652,29.527955,26.082793,26.668704,106.21757,98.851312,78.580832,33.176417,29.446121,26.773522,27.293315,24.69965,-1.00E-05,3.49E-05,22.614855,22.010585,21.554008,20.944985
111,25.05856,25.236314,25.016933,24.210325,24.145539,23.878928,23.581586,22.562973,25.058203,25.168376,23.842785,23.803288,22.929116,22.674453,22.144106,16.369533,25.403582,23.925711,23.886294,23.237255,22.439781,16.579662,16.212728,21.105902,23.971041,23.576038,22.968499,22.961431,22.403893,21.76914,21.522969,21.123297,124.618047,120.286314,123.939547,40.709771,31.513675,30.500506,25.73744,25.907898,105.841924,99.583745,82.352521,35.942385,29.327714,26.881197,27.514002,24.996502,-0.000468,3.49E-05,22.647187,22.080823,21.510552,20.939434
112,25.112959,25.290697,25.109122,24.37824,24.237809,23.933388,23.560361,22.579612,24.923634,25.033783,23.935066,23.895604,22.983602,22.766867,22.198651,16.348188,25.306845,23.980158,23.940762,23.253884,22.456422,16.558301,16.191357,21.046695,23.836272,23.554837,22.947257,23.053778,22.420534,21.709984,21.539623,21.215785,123.50157,122.906972,125.853502,41.013216,30.466825,30.129942,25.516358,25.384414,106.106493,99.441558,83.385028,38.451052,29.333223,26.698052,27.255609,24.624042,-1.00E-05,3.49E-05,22.576979,21.972691,21.5161,20.793232
113,25.139688,25.317415,25.173638,24.404987,24.302383,24.035824,23.662822,22.644271,24.874768,25.136113,23.923987,23.92237,22.896807,22.831548,22.187554,16.375108,25.182434,23.855588,23.967531,23.432089,22.521124,16.661399,16.180206,21.111455,23.938735,23.543754,22.936167,23.04269,22.485223,21.698883,21.490598,21.166765,125.927909,122.789341,126.784319,40.896027,29.821881,29.522448,25.170824,24.660524,107.54558,98.99346,82.976117,38.78141,29.478243,26.881197,27.363203,25.034294,-0.000163,3.49E-05,22.685061,22.118714,21.510552,20.939434
114,25.442014,25.468535,25.400355,24.367165,24.302383,24.07366,23.587127,22.644271,24.83697,25.022715,23.923987,23.92237,22.93466,22.755776,22.225453,16.489308,25.409114,23.89342,23.929683,23.432089,22.483227,16.623318,16.218303,21.111455,23.86304,23.430273,22.860412,23.080546,22.40944,21.660977,21.490598,21.166765,129.638289,122.527659,126.559562,39.852607,29.106753,29.447175,25.284171,24.471402,107.656742,99.546848,83.232912,38.818717,29.628751,26.805734,26.910677,24.73192,-0.000315,0.000188,22.609312,21.929249,21.510552,20.82562
115,25.528645,25.895067,25.562536,24.416062,24.275635,24.122573,23.59821,22.693237,25.074804,25.14718,23.972895,24.084818,22.983602,22.804753,22.312342,16.500457,25.83563,23.980158,23.940762,23.556731,22.608007,16.672546,16.26755,21.084629,23.949814,23.365697,22.871502,23.015922,22.420534,21.634172,21.463778,21.139957,130.426344,123.23803,127.758601,42.050153,29.708999,29.78586,25.926246,24.736163,110.660688,98.809029,84.11345,38.520225,29.892087,26.692529,26.722068,24.807521,-1.00E-05,0.000188,22.685061,22.005039,21.510552,20.82562
116,25.485331,26.002819,25.670328,24.864286,24.270097,24.192699,23.592668,22.536188,24.993687,25.519552,23.929526,24.07928,22.978057,22.874977,22.231001,16.494883,25.754574,24.088097,23.935222,23.58904,22.716136,16.705052,16.261975,21.041141,23.75503,23.208819,22.903835,22.972519,22.339198,21.552804,21.496149,21.096488,130.919857,127.736836,129.864383,42.873972,29.526342,29.904237,26.422511,25.082006,112.077116,98.851312,85.953809,39.271766,30.08565,26.735788,26.652138,25.002033,-0.000163,0.000188,22.690604,22.048478,21.554008,20.944985
117,25.560896,26.078334,26.878377,26.111154,24.988536,24.154867,23.516969,22.422548,25.06927,25.784007,23.967355,24.041439,23.015908,22.837093,22.344689,16.571011,25.641277,24.201564,23.97307,23.58904,22.90557,16.743131,16.338163,21.117008,23.679322,23.246655,22.865957,22.821074,22.339198,21.552804,21.458226,21.020652,130.570996,132.305894,130.191179,42.156339,28.875312,29.592208,27.166013,25.940149,112.437745,99.467655,86.236734,40.937759,30.187459,26.837944,26.263746,24.650781,-0.000163,3.49E-05,22.528014,21.923702,21.505003,20.971818
118,26.574982,27.054019,27.777998,27.200169,24.983002,24.187161,23.511428,22.417001,25.063737,25.816251,24.11312,24.073741,22.972513,22.831548,22.301247,16.527373,25.446889,24.498547,24.081067,23.659196,23.013671,16.851788,16.332589,21.111455,23.48449,23.1276,22.89829,22.929115,22.182058,21.585162,21.41475,21.128851,130.989454,137.166806,129.371102,40.486224,28.579507,29.710606,27.661702,26.587677,114.450649,100.395654,86.168687,42.097001,30.719289,27.107553,26.759793,24.958708,-1.00E-05,3.49E-05,22.647187,22.042932,21.510552,20.939434
119,27.900782,27.474398,28.009683,27.394292,24.799519,24.154867,23.365555,22.195233,25.409329,25.670677,24.118658,24.07928,22.940205,22.799208,22.344689,16.494883,26.283139,25.222234,24.351476,23.664736,23.094972,16.895436,16.490528,21.117008,23.490032,23.208819,22.790196,22.896799,22.187606,21.476982,21.34445,21.020652,133.560935,140.729231,131.527356,39.794408,29.574993,29.990489,28.16819,27.245853,115.620472,100.707179,87.396418,43.526122,31.299415,27.312706,27.002675,24.824119,-1.00E-05,-0.000118,22.739562,21.945889,21.527198,20.918152
120,28.320904,27.781529,27.223418,26.569728,24.653817,24.046903,23.219664,22.124999,25.565963,25.638429,24.086373,24.122658,23.021452,22.918405,22.38813,16.462391,26.854694,25.718857,24.735287,23.783812,23.138392,17.167497,16.572278,21.160493,23.533435,23.063006,22.833622,22.940205,22.268953,21.444621,21.387929,21.064125,135.850436,143.897651,134.905616,39.490641,29.381295,30.586708,28.878329,27.881556,116.285147,101.698786,87.391042,44.152192,31.594393,27.571159,27.072582,24.742986,-0.000163,3.49E-05,22.847628,22.016131,21.521649,20.950536
121,28.729829,27.248133,26.501008,25.884558,24.497023,23.776476,23.176259,22.081558,26.768491,25.784007,24.156481,24.07928,23.015908,22.91286,22.306795,16.380682,28.168739,25.864387,25.410314,24.080975,23.170723,17.314181,16.642876,21.192871,23.527893,23.133143,22.865957,22.821074,22.339198,21.514893,21.458226,21.058571,136.560337,144.988995,136.933324,41.906743,29.112263,31.257741,29.174003,28.215356,117.136341,101.139428,86.688028,44.629461,31.438667,27.829549,27.519521,25.039825,-0.000468,-0.000118,22.879953,22.12426,21.591915,20.869111
122,29.337876,27.969992,26.129035,25.512323,24.313459,23.517067,23.06821,21.859724,28.771849,26.620255,24.275478,24.046978,23.059302,22.766867,22.350237,16.386257,29.266366,26.171972,25.831534,24.237834,23.441356,17.395873,16.724616,21.236353,23.684863,23.138687,22.795741,22.788755,22.344746,21.444621,21.350002,21.102042,138.966588,151.158603,143.531506,44.652176,29.445559,31.440092,28.791997,28.47368,117.354432,101.54024,86.5358,44.698274,31.358047,27.748636,27.174674,24.73192,-0.000315,-0.000118,22.685061,21.967144,21.510552,20.901497
123,29.708775,28.454322,25.859176,25.204484,24.156616,23.360097,23.062665,21.816272,30.234041,26.690217,24.534634,24.192793,23.053758,22.837093,22.420475,16.456817,30.239033,27.222972,26.052676,24.345772,23.738696,17.542531,16.833286,21.2308,24.511813,23.700585,22.828077,22.821074,22.377093,21.514893,21.420302,21.096488,147.316832,153.16988,144.930438,46.433302,29.671368,31.890797,28.189323,28.737453,122.205006,104.164151,87.196691,44.995215,31.320483,27.937117,27.627088,25.336583,-0.000468,-0.000118,22.912278,22.156603,21.586367,20.939434
124,29.563737,28.987111,25.751402,25.058832,24.162154,23.10059,23.030343,21.632296,31.667653,26.657999,24.464551,24.160495,23.172842,22.728979,22.426022,16.462391,29.605067,26.813557,26.095979,24.540411,23.782091,17.700311,16.838858,21.236353,24.744282,24.462258,22.90938,22.788755,22.496317,21.596264,21.463778,21.177872,148.41495,159.060422,150.421197,51.319428,29.746628,31.740583,27.435498,29.076493,126.394983,107.828794,88.922922,45.254981,31.696056,27.786335,27.551699,25.223234,-0.000163,-0.000118,22.760805,22.005039,21.54846,20.901497
125,29.563737,29.213005,25.638086,24.832015,24.010829,22.873355,23.06821,21.632296,31.254453,26.469263,24.464551,24.311833,23.248529,22.842638,22.38813,16.538521,30.018888,26.511682,26.473644,24.653855,23.782091,17.700311,16.876937,21.274281,25.008976,25.217868,22.871502,22.940205,22.534207,21.634172,21.501701,21.026206,156.886501,167.870018,151.076877,54.800216,30.021003,31.676462,27.484239,28.560076,129.405005,112.774432,89.521533,44.968966,31.744599,27.835066,27.864255,25.536528,-0.000163,0.000188,22.923361,22.091915,21.521649,20.874663
126,29.149622,29.137712,25.600311,24.869821,24.010829,22.986979,23.06821,21.746016,31.404726,26.242736,24.464551,24.198332,23.210686,22.804753,22.426022,16.576585,31.033941,26.285221,26.73793,24.616042,23.668524,17.738361,16.800779,21.236353,25.386999,25.368927,23.060879,22.902344,22.572095,21.709984,21.463778,21.139957,159.813813,175.081424,154.112412,56.090458,30.2843,32.464893,27.89889,28.296259,134.627902,114.038166,89.888998,45.265844,31.819694,27.910456,28.316375,25.725381,-0.000163,-0.000118,22.80976,22.091915,21.559557,20.836724
127,28.950306,28.674814,25.475916,24.858752,23.886241,22.938016,23.019254,21.734915,31.093153,26.344951,24.340036,24.225091,23.237443,22.793663,22.414928,16.603499,31.248372,26.311913,26.50035,24.529337,23.619584,17.689173,16.751552,21.225247,25.26254,25.395624,23.049791,22.966975,22.485223,21.812592,21.490598,21.090934,161.672466,173.281733,155.815858,58.883827,30.917959,32.384336,28.345537,29.194992,136.316446,115.185749,92.56748,45.334622,32.039452,28.131079,28.310861,25.568773,-0.000163,-0.000118,22.728476,22.048478,21.478191,20.869111
128,28.966848,28.27698,25.454732,24.724125,23.902861,22.878901,23.035887,21.78947,31.297525,26.51254,24.432276,24.20387,23.254073,22.886067,22.50735,16.620221,31.94089,26.366241,26.101507,24.470311,23.560487,17.74393,16.692107,21.241906,25.127931,25.185633,23.255768,22.983608,22.653414,21.905042,21.46933,21.069679,162.477297,176.799571,163.77139,61.941773,31.224108,31.751576,28.539395,29.313478,144.058002,118.319403,94.375828,46.341453,32.532831,28.551054,28.655338,26.253994,-0.000163,0.000188,22.885495,22.129805,21.521649,20.9126
129,28.773012,28.196103,25.48698,24.832015,24.010829,23.024851,23.030343,21.821823,32.418512,26.620255,24.313296,24.198332,23.286371,22.766867,22.539691,16.652708,32.761048,26.473942,25.718181,24.313486,23.40349,17.548101,16.724616,21.312208,25.160201,25.10456,23.439539,22.940205,22.609982,21.93739,21.463778,21.064125,165.79034,182.719686,175.477429,63.485105,31.52467,31.075358,28.652385,28.371642,152.618843,127.138814,96.180077,48.860182,32.832956,28.588725,28.655338,25.838677,-1.00E-05,0.000188,22.80976,21.940342,21.521649,20.798784
130,28.740859,28.163939,25.832469,24.950964,24.092033,23.030395,23.035887,21.865274,32.724201,26.889963,24.356649,24.20387,23.291914,22.810299,22.50735,16.582159,32.503904,26.554948,25.421379,24.205544,23.333297,17.439502,16.806352,21.203977,25.241339,25.374459,23.48294,22.983608,22.653414,22.056624,21.507253,21.107595,173.720967,188.220903,180.746065,63.264678,31.937803,31.188091,28.840675,27.881556,156.492232,130.36385,98.501858,49.452162,33.207993,28.965353,29.44583,26.367234,-0.000315,3.49E-05,22.80976,22.129805,21.597464,20.9126
131,28.697674,28.422166,26.280051,25.021033,24.351282,23.10059,23.106075,21.935523,32.681187,26.808964,24.313296,24.236167,23.286371,22.804753,22.501803,16.576585,31.372075,26.511682,25.189041,24.124346,23.289884,17.510046,16.724616,21.236353,25.689322,25.670981,23.553111,22.978064,22.572095,22.051075,21.463778,21.064125,176.817699,191.20612,189.153725,64.372036,32.581456,31.343882,28.959144,27.811655,160.566602,130.632106,100.794573,50.640814,33.325966,29.384998,29.677084,26.372758,-0.000163,0.000188,22.815302,22.021678,21.527198,20.880215
132,28.805165,28.454322,26.689709,25.393436,24.950735,23.284375,23.138396,21.892074,32.750731,26.841177,24.345574,24.230629,23.356508,22.874977,22.609917,16.647134,32.00498,26.355186,25.032276,24.080975,23.284341,17.504476,16.719043,21.15494,26.137119,26.005162,23.698982,22.972519,22.604436,22.083419,21.496149,20.982733,179.473136,187.98051,195.513598,67.769957,33.052731,31.477658,29.657739,27.644251,166.719287,133.73413,102.661731,51.991565,33.272007,29.594297,29.735801,26.393929,-0.000468,-0.00027,22.760805,22.080823,21.54846,20.863559
133,29.520586,28.265945,27.067012,25.620135,25.442042,23.511526,23.062665,21.929974,32.150275,27.595659,24.421202,24.230629,23.318669,22.91286,22.609917,16.647134,33.130641,26.468415,25.032276,24.194468,23.322211,17.504476,16.68096,21.2308,26.590256,26.15611,24.077423,23.08609,22.604436,22.159201,21.458226,21.058571,196.328216,189.257942,200.376962,68.226394,33.444236,32.545443,30.802406,27.811655,169.404648,138.834179,105.043934,53.853183,33.250978,30.099937,30.015611,26.825597,-0.000315,-0.000118,22.853171,22.135351,21.678821,20.956088
134,29.945574,29.067928,27.191223,25.857847,25.793108,23.674016,23.111619,22.016867,31.973559,27.56899,24.356649,24.166034,23.291914,22.961831,22.583124,16.582159,33.291622,26.70589,25.005534,24.356848,23.409032,17.515616,16.692107,21.203977,27.01651,26.204901,24.315501,22.983608,22.615528,22.132408,21.583095,21.069679,205.400088,200.936539,206.243432,69.358372,33.851136,34.039999,31.961394,28.220871,175.38914,143.43404,108.222421,60.25547,33.395461,30.132047,30.085319,26.480462,-0.000468,0.00034,22.734019,21.940342,21.521649,20.836724
135,30.960983,29.180872,27.191223,26.00892,26.05748,23.863245,23.111619,22.092656,31.447792,27.644411,24.507898,24.279539,23.405431,23.037589,22.658894,16.582159,32.916591,26.894537,26.101507,24.545947,23.598348,17.705881,16.73019,21.279834,27.01651,26.50672,24.428983,23.059323,22.653414,22.170298,21.583095,21.183425,207.615574,211.805417,200.949179,68.629994,34.531093,35.468575,32.642454,28.980025,183.489832,149.305072,109.599358,64.70645,33.775786,30.588827,30.617169,26.976501,-0.000315,3.49E-05,22.891038,22.17324,21.640917,20.918152
136,30.955479,29.664647,27.185699,26.07892,26.089713,23.857705,23.106075,22.162891,31.292023,27.752011,24.502361,24.160495,23.47556,23.032045,22.691231,16.652708,32.648496,27.56787,27.756708,24.691668,23.782091,17.77641,16.762698,21.198424,26.897765,26.614354,24.574738,23.053778,22.647868,22.126859,21.615462,21.102042,225.730359,225.131102,205.551847,68.472495,35.194182,36.05626,32.969094,29.38328,188.329383,159.126207,114.192591,65.466611,34.326828,30.840979,31.01954,27.116342,-0.000315,3.49E-05,22.804217,22.12426,21.554008,20.907049
137,30.778523,29.901414,27.159026,26.278775,26.063009,23.944468,23.230751,22.173988,31.303027,27.800756,24.664663,24.285077,23.789277,23.118886,22.740205,16.663856,32.659486,28.181971,28.333308,24.929584,23.868876,17.939729,16.850005,21.209531,26.871072,26.474524,24.737081,23.027011,22.696845,22.175847,21.626565,21.113149,238.184554,245.392141,202.099036,72.523388,36.370485,37.754577,33.735445,30.528809,204.300521,166.337624,119.384518,62.802158,35.129589,31.346023,31.749662,27.472309,-0.000315,3.49E-05,22.820845,22.140897,21.608561,20.885767
138,30.928897,29.826171,27.309897,26.20326,25.911948,23.830943,23.230751,22.211878,32.429504,28.102341,25.156008,24.51205,23.97838,23.081011,22.740205,16.625795,31.983932,28.784687,28.597133,25.60983,24.095957,18.015813,17.002311,21.285387,26.871072,26.964814,24.661449,23.140576,22.621075,22.251623,21.664482,21.151065,240.698951,251.466839,216.672248,76.912946,37.592895,38.751563,34.361463,31.64561,211.946432,173.762101,132.963321,63.672932,36.83905,32.048645,32.601892,28.026711,-0.000468,-0.000118,22.923361,22.129805,21.597464,20.836724
139,31.111331,29.670157,27.606053,26.348757,25.906418,23.901087,23.263068,22.244218,33.399325,28.511363,25.603828,24.92251,24.161911,23.18909,22.848296,16.658282,33.254124,29.306269,28.930725,26.133086,24.39312,18.086325,17.110957,21.279834,26.90329,27.2232,24.618094,22.983608,22.615528,22.208187,21.734763,21.145511,243.404408,255.584561,221.4143,77.787663,37.587428,40.125867,34.880279,32.691654,220.608122,179.481884,135.740956,64.10823,38.551312,32.343479,32.483845,27.681965,-0.000163,0.000188,22.804217,22.12426,21.554008,20.831172
140,32.050521,29.519632,27.832255,26.462012,25.906418,23.938928,23.376641,22.282105,34.823185,29.189352,26.094746,25.338348,24.61555,23.416303,22.886173,16.658282,33.92887,30.171644,29.156736,26.435134,24.54444,18.276504,17.377428,21.39361,26.865547,27.562418,24.580275,23.135032,22.729181,22.28396,21.886411,21.221338,244.839461,262.69469,225.5159,84.800074,40.800708,41.286059,34.02428,34.160051,222.814837,189.988846,142.193315,64.88464,39.414645,32.949373,32.789456,28.328156,-0.000315,3.49E-05,22.923361,22.243468,21.635369,20.874663
141,32.688694,29.444362,27.71916,26.424261,25.906418,23.938928,23.414496,22.319992,36.619056,29.452898,26.245753,25.602889,24.880085,23.492031,22.961922,16.620221,34.565739,30.735637,30.173191,27.076701,24.8092,18.390598,17.567731,21.469454,26.639061,27.863853,24.731545,23.021466,22.729181,22.397611,21.886411,21.297161,247.389938,263.473152,227.328958,94.793599,44.105702,42.917655,33.306611,35.578047,230.348866,199.526088,144.341311,66.127264,39.073575,33.356463,32.971496,28.209609,-1.00E-05,0.000188,22.842086,22.048478,21.629821,20.869111
142,33.508505,29.175359,27.638235,26.418734,25.900888,24.046903,23.48466,22.276557,36.837858,29.597955,26.391211,26.050708,25.29012,23.675786,23.107861,16.766885,36.99189,31.218684,30.619129,27.59924,25.030551,18.613189,17.828539,21.501823,27.16193,27.971351,24.990683,23.470117,22.723636,22.429945,22.146197,21.405333,256.324815,277.847705,230.557532,96.572601,47.751633,41.812626,33.729959,35.73873,240.630555,201.406376,150.029668,66.578382,39.457387,33.929785,33.057479,28.672692,-0.000315,3.49E-05,22.853171,22.211127,21.678821,20.880215
