Time,TC1_LR_0-03mBC,TC1_LR_0-30mBC,TC1_LR_0-61mBC,TC1_LR_0-91mBC,TC1_LR_1-22mBC,TC1_LR_1-52mBC,TC1_LR_1-83mBC,TC1_LR_2-13mBC,TC2_BED1_0-03mBC,TC2_BED1_0-30mBC,TC2_BED1_0-61mBC,TC2_BED1_0-91mBC,TC2_BED1_1-22mBC,TC2_BED1_1-52mBC,TC2_BED1_1-83mBC,TC2_BED1_2-13mBC,TC3_BED2_0-03mBC,TC3_BED2_0-30mBC,TC3_BED2_0-61mBC,TC3_BED2_0-91mBC,TC3_BED2_1-22mBC,TC3_BED2_1-52mBC,TC3_BED2_1-83mBC,TC3_BED2_2-13mBC,TC4_Kitch_0-03mBC,TC4_Kitch_0-30mBC,TC4_Kitch_0-61mBC,TC4_Kitch_0-91mBC,TC4_Kitch_1-22mBC,TC4_Kitch_1-52mBC,TC4_Kitch_1-83mBC,TC4_Kitch_2-13mBC,TC5_BaseB_0-03mBC,TC5_BaseB_0-30mBC,TC5_BaseB_0-61mBC,TC5_BaseB_0-91mBC,TC5_BaseB_1-22mBC,TC5_BaseB_1-52mBC,TC5_BaseB_1-83mBC,TC5_BaseB_2-13mBC,TC6_BaseD_0-03mBC,TC6_BaseD_0-30mBC,TC6_BaseD_0-61mBC,TC6_BaseD_0-91mBC,TC6_BaseD_1-22mBC,TC6_BaseD_1-52mBC,TC6_BaseD_1-83mBC,TC6_BaseD_2-13mBC,HF_FF_H_100672,HF_FF_V_100671,TC_FF_top_out,TC_FF_top_in,TC_FF_side_out,TC_FF_side_in
10,23.588014,23.23644,23.054399,22.208222,22.181277,21.724457,21.8438,21.354858,22.906618,23.470828,22.8633,22.633954,22.176391,22.186394,21.959201,16.183802,21.813566,21.241167,21.503812,21.423041,21.230984,16.012943,15.912569,20.882899,21.55096,21.308883,21.191567,21.033568,20.89177,20.787857,20.958625,20.786607,24.426708,25.032287,25.316005,26.265746,25.252939,25.745799,24.370606,24.275809,25.370247,26.163079,25.171567,24.882008,24.379612,24.381666,24.941061,24.763268,-0.000163,3.49E-05,22.337684,21.960673,21.2766,20.78121
11,23.550164,23.274294,23.092262,22.208222,22.105482,21.762371,21.957516,21.354858,22.830886,23.357257,22.8633,22.633954,22.176391,22.148487,21.959201,16.221875,21.813566,21.203246,21.465881,21.347194,21.230984,15.974844,15.988777,20.731129,21.626811,21.308883,21.077757,21.07149,20.853826,20.711985,20.920684,20.74868,24.351076,25.183513,25.316005,26.303501,25.101779,25.632486,24.068067,24.010937,25.294666,26.163079,25.133783,24.882008,24.417421,24.381666,25.092201,24.801068,-0.000468,0.000188,22.337684,21.809083,21.238683,20.743268
12,23.550164,23.312147,23.130123,22.246117,22.105482,21.800284,21.957516,21.392775,22.944482,23.432972,22.825433,22.596064,22.138512,22.186394,21.997108,16.221875,21.775666,21.241167,21.503812,21.347194,21.30686,16.089139,16.02688,20.769073,21.664734,21.270982,21.077757,20.995644,20.777934,20.674047,20.958625,20.74868,24.426708,25.296919,25.316005,26.152474,25.063985,25.443605,23.954594,23.783853,25.181285,26.087565,25.058211,24.882008,24.455229,24.268208,25.092201,24.763268,-0.000163,0.00034,22.299798,21.922778,21.238683,20.705325
13,23.582474,23.268752,23.048857,22.202675,22.099935,21.908467,21.989871,21.463055,22.938938,23.427431,22.895622,22.666298,22.095084,22.180847,21.99156,16.216301,21.694314,21.273535,21.498262,21.341643,21.263371,16.045467,15.945099,20.76352,21.697107,21.341231,21.14808,21.028015,20.886217,20.668492,20.953072,20.705197,24.659106,25.453636,25.434893,26.195756,24.842729,25.411353,23.657477,23.827239,25.11122,26.206358,25.025954,24.887539,24.271712,24.349381,25.437717,25.600096,-0.000163,-0.000118,22.418994,21.966219,21.168394,20.78676
14,23.588014,23.23644,23.016536,22.170325,22.067583,21.838195,21.919612,21.392775,22.906618,23.319398,22.825433,22.633954,22.100631,22.186394,21.959201,16.183802,21.737766,21.165324,21.503812,21.423041,21.30686,16.012943,15.950674,20.731129,21.626811,21.195177,21.153632,21.033568,20.777934,20.674047,20.844799,20.74868,24.653574,25.448109,25.353793,26.001426,24.723787,25.292477,23.349205,23.821703,25.143488,26.125323,25.133783,24.957594,24.228364,24.306028,25.24332,25.216784,-0.000315,0.000188,22.299798,21.846982,21.162845,20.705325
15,23.631403,23.166271,22.946348,22.175872,22.03523,21.881654,22.038869,21.398326,22.950025,23.438513,22.868843,22.677387,22.181938,22.229847,21.964749,16.151302,21.743315,21.208798,21.471432,21.390669,21.160655,16.056616,15.994353,20.81257,21.821964,21.352333,21.121247,21.001196,20.745541,20.641662,20.964178,20.640445,24.810323,25.49143,25.434893,26.120238,24.615895,25.411353,23.279046,23.751537,25.375775,26.130847,25.177096,25.227633,24.120449,24.425016,25.513255,24.99558,-1.00E-05,-0.000118,22.418994,21.966219,21.244231,20.78676
16,23.620323,23.155186,22.821654,22.088979,22.062035,21.908467,22.027773,21.463055,22.938938,23.389574,22.782021,22.628409,22.170844,22.180847,21.953653,16.178228,21.694314,21.235616,21.422398,21.379567,21.263371,16.083564,16.021305,20.801463,21.810866,21.417027,21.186015,21.14178,20.772381,20.630553,20.953072,20.705197,24.766989,25.561487,25.353793,26.001426,24.534741,25.405825,23.197806,23.708148,25.559176,26.125323,25.209349,24.957594,24.152732,24.608549,25.469959,24.801068,-0.000315,0.000188,22.375568,21.922778,21.200764,20.78121
17,23.631403,23.090554,22.79487,22.100074,22.03523,21.881654,22.000967,21.436241,22.912161,23.438513,22.906709,22.715274,22.219816,22.116126,22.040561,16.151302,21.553793,21.246719,21.509362,21.390669,21.274474,16.056616,16.032455,20.81257,21.821964,21.503918,21.159184,21.001196,20.85938,20.603722,20.964178,20.602513,24.783583,25.615858,25.294802,25.94247,24.551339,25.157915,23.138717,23.459753,25.537976,26.066381,25.150371,24.936393,24.169336,24.587335,25.335457,24.439607,-0.000163,3.49E-05,22.240656,21.86362,21.217411,20.797863
18,23.658171,23.079469,22.821654,22.126879,22.099935,21.908467,22.065674,21.463055,22.938938,23.427431,22.782021,22.704185,22.208722,22.180847,21.99156,16.140153,21.542693,21.197695,21.498262,21.379567,21.263371,16.083564,15.983202,20.877346,21.810866,21.417027,21.14808,21.14178,20.848273,20.630553,20.877189,20.629336,24.772521,25.604804,25.359321,25.931419,24.578085,25.222433,23.165492,23.448677,25.564704,26.244111,25.365994,25.18985,24.649778,24.916515,25.513255,24.957786,-0.000163,-0.000118,22.305342,21.928323,21.244231,20.748819
19,23.544624,23.041609,22.783782,22.088979,22.137833,21.870557,22.065674,21.500968,22.938938,23.389574,22.857756,22.590519,22.208722,22.14294,21.99156,16.140153,21.5806,21.159772,21.498262,21.417491,21.301309,16.007368,16.059407,20.877346,21.848784,21.568603,21.14808,21.10386,20.810327,20.630553,20.801301,20.515535,24.621298,25.567014,25.170369,25.742566,24.615895,25.222433,23.165492,23.335083,25.526921,26.281863,25.668162,25.303195,25.216632,25.218866,25.022164,24.57978,-0.000315,3.49E-05,22.267455,21.814629,21.168394,20.78676
