Position,0.2 m,0.4 m,0.6 m,0.8 m,1.0 m,1.2 m,1.4 m,1.6 m,1.8 m,2.0 m,2.2 m
0,76.64541667,63.05125,52.51833333,42.09125,34.665,31.30375,30.23333333,28.94416667,28.57666667,28.11166667,27.475
0.15,58.74,50.49166667,43.48791667,36.7725,32.20666667,30.03583333,29.17625,28.115,27.68916667,27.33958333,26.82
0.305,42.10875,39.67958333,36.39875,32.19333333,28.985,27.72333333,27.11708333,26.32833333,26.1575,25.88541667,25.58291667
0.61,32.34208333,32.0825,31.305,28.88,26.81791667,25.89458333,25.17416667,24.67333333,24.53541667,24.42125,24.31833333
