Position,0.2 m,0.4 m,0.6 m,0.8 m,1.0 m,1.2 m,1.4 m,1.6 m,1.8 m,2.0 m,2.2 m
0,502.1291667,344.3958333,220.4291667,112.2083333,94.82083333,52.21708333,79.51458333,60.70125,54.31166667,48.3125,54.16291667
0.15,255.8625,181.8333333,130.7375,75.85458333,68.7275,44.95375,64.33791667,50.80958333,46.25625,42.3225,47.57541667
0.305,142.2166667,123.3458333,88.68333333,57.78,51.98041667,38.49,50.10333333,42.62416667,40.53833333,37.68041667,42.64708333
0.61,68.70291667,68.26416667,58.38416667,42.92125,38.1125,32.40333333,32.9375,30.2125,29.72333333,29.17541667,31.1775
