Position,0.2 m,0.4 m,0.6 m,0.8 m,1.0 m,1.2 m
0,62.0825,31.83416667,16.62358333,8.8915,6.430416667,4.317083333
0.15,35.18583333,19.78833333,9.140958333,5.0105,3.715333333,2.931458333
0.305,14.68375,10.90270833,5.875583333,3.794,2.630041667,1.916291667
0.61,4.999166667,4.534916667,3.539666667,2.341708333,1.561333333,1.032708333
