Position,0.2 m,0.4 m,0.6 m,0.8 m,1.0 m,1.2 m,1.4 m,1.6 m,1.8 m,2.0 m,2.2 m,2.4 m
0,668.4666667,491.925,368.625,261.3166667,175.2833333,144.5083333,115.7083333,100.4166667,88.83333333,90.36666667,77.495,68.895
0.15,562.3416667,379.5416667,271.375,189.6583333,141.3833333,123.4833333,102.5416667,87.90833333,78.9875,78.76333333,68.96666667,61.70916667
0.305,485.8166667,335.2333333,227.5083333,155.0608333,109.935,91.27,77.69,67.52583333,58.2975,55.01,49.89166667,43.56416667
0.61,528.3583333,378.1416667,263.575,182.8083333,137.8833333,110.185,86.8375,71.91,64.52083333,59.91,53.55583333,48.0725
