Position,0.2 m,0.4 m,0.6 m,0.8 m,1.0 m,1.2 m
0,31.56333333,20.23,14.45308333,9.157416667,6.010916667,4.150916667
0.15,17.4725,11.78075,7.988583333,5.09,3.6635,2.69975
0.305,12.07783333,10.15833333,6.730833333,4.26,2.730916667,1.95925
0.61,5.228583333,4.88475,3.653833333,2.609916667,1.685083333,1.185166667
