Position,0.2 m,0.4 m,0.6 m,0.8 m,1.0 m,1.2 m,1.4 m,1.6 m,1.8 m,2.0 m,2.2 m
0,415.330019,350.0297842,224.4165643,135.7720995,96.73853826,75.22807137,62.43894069,52.97985339,46.99421191,41.73999548,38.29018974
0.076,243.4921613,164.2894807,96.15745115,76.74905348,55.86181808,60.06053018,43.41518044,38.60600364,36.76456046,34.17179096,31.56011427
0.15,244.4438758,167.60883,123.1477449,71.78064919,63.51831687,52.48111343,45.29425621,40.876662,38.11997306,35.09956921,32.46995413
0.305,151.1949902,122.6018291,94.68794107,62.50194431,52.07484007,44.40709806,40.30528378,36.68816996,34.5766741,32.02954911,30.13893383
0.61,75.60485697,67.63316667,59.56707883,45.39426565,38.11366773,33.31338322,30.43589497,28.22494233,26.94572383,25.55328798,24.54563523
