Time (s),HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m
0,0.1745502,0.3393773,0.2885924,0.2934542,0.3056396,0.2778346,0.2852966,0.3190826,0.2837945,0.334067,0.2914297,0.2652167,0,18.9546871,19.262516,19.892086,20.3217754,21.0007172,20.8021603,20.0072708,19.0208969,18.6096878,17.8701134,17.221756,17.0639706,21.1889324,23.5068855,24.4810848,25.7810516,26.9576988,26.9193707,25.6876945,24.0226307,22.4253159,21.3533669,20.3748131
1,0.2250276,0.364542,0.3055038,0.2947631,0.3137363,0.2898769,0.3228663,0.3352672,0.2857476,0.3496876,0.2889782,0.265058,0,19.06987,19.2694187,19.8070469,20.299818,20.989397,20.7555466,20.0073338,19.0031033,18.5933895,17.8572445,17.2229614,17.0396824,21.1996078,23.5183029,24.4977875,25.8060513,26.9562531,26.9186802,25.694931,24.0151272,22.4526405,21.3435688,20.3771534
2,0.261049,0.3677891,0.2958182,0.3016348,0.3136627,0.2940425,0.3332042,0.3317488,0.2787489,0.3370267,0.2710569,0.2575207,0,21.8875008,19.6555729,19.7406216,20.293047,20.9822502,20.7282867,19.9591789,19.0122833,18.5824223,17.8322048,17.2146492,17.0542049,21.2792664,23.5316143,24.5137367,25.6953964,26.9593315,26.9149685,25.681776,24.0306988,22.4383144,21.3352909,20.3730392
3,0.2221838,0.4097303,0.3748408,0.3060523,0.2945251,0.3050245,0.3178234,0.3275267,0.2981174,0.3454125,0.2629416,0.2461752,0,21.1885395,20.4123421,20.3656178,20.3448277,20.9550762,20.6984577,19.9274368,19.0006542,18.610342,17.8441429,17.2357368,17.0448418,21.3226185,23.5491734,24.52561,25.7465572,26.9349518,26.9117203,25.6940098,24.0263081,22.4494438,21.3411274,20.3682575
4,0.2482519,0.4035067,0.3682299,0.3602078,0.3116017,0.3075239,0.3352214,0.3193172,0.3096734,0.3799422,0.2927822,0.2450644,0,20.9151382,21.0440693,20.8068676,20.4192982,21.0477295,20.7011757,19.9252205,18.9703255,18.6393185,17.8442097,17.223238,17.0449066,21.3715744,23.571949,24.6334629,25.7005196,26.9470921,26.9317799,25.6989822,24.0282631,22.4529171,21.3465004,20.3713551
5,0.2615229,0.3721185,0.3451689,0.3696973,0.3561335,0.3418331,0.3493415,0.32049,0.2833062,0.3595532,0.3065613,0.2823541,0,21.7546234,21.676857,21.1950855,20.4108944,21.1508846,20.8855457,20.0462837,19.0109272,18.6255722,17.8574696,17.2330856,17.0208855,21.4404984,23.6021786,24.7094307,25.8036308,26.9742146,26.9453125,25.7030888,24.0255661,22.460062,21.3479652,20.376997
6,0.2093867,0.3485773,0.3236452,0.3696973,0.3673217,0.3397882,0.3112676,0.3495753,0.2844455,0.3722141,0.3194951,0.297984,0,21.2284279,21.2368469,21.3814487,20.5699997,21.1369019,20.9398594,20.1613674,19.1530666,18.7716999,17.9259815,17.2582645,17.0334969,21.464426,23.6086674,24.7348194,25.8683014,27.0184212,26.9555511,25.7224064,24.0354557,22.4873791,21.3563633,20.3812256
7,0.2129414,0.3407303,0.2876699,0.3355025,0.3555447,0.3375161,0.3226141,0.3310451,0.314719,0.3658014,0.3156065,0.2911608,0,20.8512058,20.7284565,21.0712185,20.4934959,21.1928501,20.9950466,20.2013988,19.2284527,18.8989143,18.050127,17.4845428,17.1230774,21.4831676,23.6133804,24.7289429,25.8144398,27.0423679,26.9794903,25.7357998,24.0632381,22.4905815,21.3743534,20.38937
8,0.2072538,0.3493891,0.2944345,0.3089974,0.3256605,0.3203236,0.3306828,0.3397238,0.3060927,0.3674457,0.3063923,0.268311,0,20.6182365,20.4566021,20.7614651,20.439949,21.0877228,20.9513893,20.2214909,19.2652721,18.9650688,18.1200695,17.5549316,17.1976185,21.5108032,23.6436348,24.7054691,25.8646679,27.0310192,26.9628658,25.7304878,24.0669956,22.5257664,21.3974571,20.3984528
9,0.2134154,0.3355891,0.297663,0.3124332,0.3224219,0.309796,0.3316914,0.3437113,0.3747776,0.3697477,0.3040253,0.2776731,0,20.4806232,20.2581348,20.5470886,20.4214764,21.0586357,20.9393749,20.1764488,19.2247581,18.9119492,18.1593628,17.599968,17.2551899,21.5473118,23.6437626,24.6957664,25.9176941,27.0420895,26.9671421,25.7347679,24.0697727,22.5353622,21.4169216,20.4122429
