Position,0.2 m,0.4 m,0.6 m,0.8 m,1.0 m,1.2 m
0,58.96167713,48.67229852,32.09735232,11.3571398,7.669409621,5.006640188
0.076,35.99428058,14.5909044,7.112816284,3.478774631,2.917956397,2.459629825
0.15,24.90295442,13.85185187,7.602768056,3.79038845,2.778523094,2.310816734
0.305,12.28846503,8.622658175,5.228856116,3.211550706,2.303992613,1.780145109
0.61,3.457667044,3.384560378,2.572008809,1.812425256,1.379750769,1.0248728
