Position,0.2 m,0.4 m,0.6 m,0.8 m,1.0 m,1.2 m,1.4 m,1.6 m,1.8 m,2.0 m,2.2 m,2.4 m
0,512.7811368,401.1241366,303.8664373,141.4000176,150.1237467,134.4777498,108.252158,96.80636931,90.75115077,78.54545498,76.21820148,63.97844807
0.076,454.2200451,280.5030303,184.6303082,89.58796573,87.28541303,76.39371228,65.72332442,58.00592113,52.9438591,48.49253201,47.01664769,41.81873458
0.15,415.0306273,251.6089616,148.4397421,73.39078784,74.94690657,68.45126926,58.72431624,53.95530558,50.60465849,46.02395522,45.80356062,40.23208237
0.305,509.2668505,310.1163044,205.1508999,93.40111899,95.05182171,80.79251194,68.39210105,59.34198118,52.82419097,47.88090384,45.37265574,40.23527336
0.61,522.3586788,316.0363827,188.4901843,86.21130729,83.99276543,73.03200603,63.50412786,54.39753867,48.81720591,44.40136468,41.58593344,37.94319618
