Time (s),HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m
0,0.9850317,0.5139067,0.432186,0.3132513,0.3122642,0.3084327,0.9544903,0.8273717,0.6571669,0.488793,0.3724136,0.3029031,0,32.9532509,25.176302,24.3636761,21.8831596,22.8591633,22.3484135,21.1330624,20.2439194,20.0529861,19.1210022,18.7110577,18.2504139,23.0247021,23.5635242,23.6295185,23.2828255,23.8362179,23.9830799,23.3124447,22.0387402,20.9949646,20.2498131,19.5679874
1,1.0881193,0.5331185,0.3817591,0.3026165,0.3025482,0.2909373,0.8970012,1.0253393,0.5875054,0.5358192,0.3486594,0.2759276,0,32.6707497,24.8291588,24.0718937,21.82061,22.7466469,22.350317,21.2514057,20.2295055,19.9929562,19.0689583,18.7179089,18.2971745,23.330061,23.8572159,23.8445148,23.2669258,23.7715054,23.9115868,23.3306217,22.078537,21.05336,20.2722111,19.590023
2,1.134568,0.5179655,0.3673075,0.3050707,0.3102032,0.280334,1.1652838,0.9575518,0.6906955,0.5793924,0.3550841,0.2804499,0,32.2929955,25.0157757,23.7813301,21.826849,22.9279118,22.2227726,21.2125149,20.3173485,19.9391651,19.0197353,18.6751118,18.2840424,23.7274017,23.9058189,23.8007832,23.2568703,23.7977905,23.8504677,23.2789326,22.0794659,21.0800686,20.3042622,19.6296883
3,1.1980794,0.5388008,0.3699211,0.3168507,0.2988679,0.2802582,1.2189907,0.976082,0.6011773,0.575775,0.3715683,0.2957625,0,31.9437199,24.7883511,23.5968056,21.7789459,22.9111156,22.2309818,21.1755943,20.259531,19.9006557,19.005167,18.5764923,18.2580662,24.1439571,23.9401245,23.741991,23.2722702,23.7916069,23.8469334,23.2541962,22.0547066,21.064394,20.3121033,19.6246223
4,1.20353,0.7006126,0.3699211,0.3548086,0.2964389,0.2837422,1.4091083,1.4053247,0.6449599,0.5251314,0.4286289,0.355188,0,32.2362518,24.6212254,23.3139725,21.787735,22.8509483,22.2105865,21.1684589,20.2478352,19.8528404,18.9957371,18.5381546,18.2159443,24.5412788,24.3555737,24.1220093,23.3537693,23.798111,23.8935394,23.248209,22.0331764,21.0470257,20.3087578,19.6273518
5,1.5305664,0.7742126,0.4561695,0.3171779,0.357164,0.283212,1.1625102,1.4759269,0.8612685,0.6348043,0.4526367,0.3312274,0,32.2449837,24.5846291,23.1026955,21.7855568,22.8127804,22.1909752,21.199276,20.2930965,20.034586,19.0395298,18.5454769,18.2301064,24.9940166,24.7198467,24.5787067,23.4284706,23.8405972,23.9821625,23.2683697,22.0192547,21.0365047,20.2993641,19.615675
6,1.5729864,1.0859303,0.621748,0.5313457,0.4497607,0.3850795,1.2621076,1.0842136,0.881939,0.7048503,0.5119798,0.4471428,0,33.0538902,24.5470657,22.9881706,21.7721748,22.8676052,22.1529636,21.269331,20.3491535,20.1260452,19.138588,18.6495628,18.4360008,25.6744003,25.7427902,25.2878971,23.7327881,24.0236511,24.1530304,23.2633362,22.0236912,21.0417042,20.3201275,19.6326542
7,1.6241747,0.8756832,0.7350548,0.4575568,0.434009,0.4114362,1.2969036,1.217443,0.6900445,0.6657166,0.5017512,0.4012051,0,33.8196373,24.7264538,23.0204506,21.8249569,22.9468594,22.3717136,21.2443771,20.4543495,20.4851265,19.3852177,18.8329124,18.411377,26.4179249,26.4086342,25.8139744,24.1011715,24.1981602,24.3792763,23.3917446,22.0737858,21.06036,20.327795,19.6505814
8,1.8125761,1.3968362,0.8781872,0.4799716,0.4572686,0.3810653,1.4529816,1.1062621,0.6809299,0.6663743,0.5587273,0.4234996,0,35.9574165,26.758091,23.8828354,21.8644257,22.9211349,22.7976036,21.7998943,20.7063255,20.5052948,19.6207428,19.2682095,18.803957,27.1510868,26.8042316,26.3794079,24.5049496,24.4142094,24.6489105,23.5530224,22.1909008,21.1271191,20.3433895,19.6601105
9,2.1061979,1.1947067,0.9392222,0.5459071,0.6778666,0.4890676,1.2046184,0.770843,0.5892958,0.5747884,0.5914421,0.4327823,0,39.0734863,29.3538475,26.0796585,22.3286819,23.2403507,23.4272785,22.3966904,21.2789669,20.9145889,19.9005184,19.5440178,18.8327389,27.7412071,27.0954323,26.9021416,24.927742,24.6463528,24.8556042,23.6857643,22.3465157,21.2517414,20.4362679,19.7549458
