Position,0.2 m,0.4 m,0.6 m,0.8 m,1.0 m,1.2 m
0,27.76066801,25.05652923,13.48411533,8.977397917,5.295933665,3.663576283
0.076,24.50753385,13.52808123,6.15552915,3.962250519,2.434586809,1.583772116
0.15,16.35727535,10.68699443,6.278840522,4.163308997,3.003928291,2.354657341
0.305,10.26199331,7.883583669,4.939978381,3.365282203,2.137490841,1.702628075
0.61,3.700013941,3.327219328,2.452465163,1.8882636,1.277808203,0.935253622
