Time (s),HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m
0,0.3188728,0.3713067,0.3076562,0.315051,0.3020329,0.2774559,0.3329521,0.3179098,0.2704481,0.3075942,0.2653086,0.2545058,0,23.7448463,20.326437,20.6665726,21.0611248,21.6497307,21.44944,20.5685196,20.1100044,19.7840786,19.0719738,18.5323753,18.3851204,19.8096161,21.3261642,21.5370903,22.2541313,23.5252857,23.7061787,23.2904949,22.0858402,21.2330055,20.6111641,19.9010448
1,0.3053648,0.3672479,0.3085786,0.303271,0.3026218,0.2840451,0.3337085,0.3172061,0.2662164,0.3181176,0.2722404,0.2537918,0,27.2911205,20.5813847,21.115406,21.0711613,21.6373882,21.459095,20.590704,20.0908203,19.767149,19.0611305,18.5146732,18.3955574,19.8549461,21.3517475,21.5346088,22.2417946,23.5353012,23.7018089,23.2865028,22.0909367,21.220293,20.5904713,19.8959007
2,0.3039429,0.3748244,0.3207241,0.3117788,0.3245564,0.2904828,0.3286656,0.32049,0.2758192,0.3161444,0.271226,0.2610117,0,26.4162617,20.9629745,21.2027874,21.0868168,21.6723804,21.4633675,20.5873871,20.1061039,19.7759914,19.0616093,18.516674,18.3728542,19.8823681,21.3643608,21.5369873,22.2172527,23.5301018,23.7109909,23.277895,22.0876274,21.2340374,20.5951233,19.8830929
3,0.3293,0.3845656,0.3234915,0.3127604,0.3431788,0.3050245,0.3470722,0.3251811,0.2636122,0.3092385,0.2706342,0.2662481,0,30.7396488,22.3608532,21.7997093,21.1469212,21.6945381,21.4802151,20.5560532,20.1316986,19.7719727,19.0997677,18.5590496,18.3612309,19.9254074,21.3732471,21.549284,22.2049026,23.5260983,23.7338562,23.2712421,22.08741,21.2277565,20.6066685,19.8855343
4,0.30181,0.3791538,0.3354832,0.4029105,0.3662912,0.314416,0.3349692,0.338551,0.2808648,0.3529761,0.286104,0.2699771,0,33.5729294,23.3403549,22.3127995,21.3036346,21.7635994,21.5041504,20.5462265,20.1632423,19.796339,19.0785332,18.5511055,18.3627949,19.9755363,21.3729095,21.5534954,22.2057056,23.5295467,23.7399502,23.2928619,22.0832844,21.246748,20.6180897,19.8810196
5,0.2724241,0.3542597,0.3168806,0.3809865,0.3645247,0.3227472,0.3064768,0.3031326,0.2710992,0.3416307,0.3058851,0.2783871,0,30.2977428,22.4509563,22.3103733,21.2939987,21.8916149,21.5635338,20.54949,20.1444912,19.807209,19.0704002,18.5300369,18.3622608,19.9636211,21.3678246,21.5514469,22.2631741,23.5468102,23.7537994,23.2877884,22.1066227,21.2727528,20.6315956,19.8952942
6,0.27432,0.3710361,0.3171881,0.3163599,0.3350821,0.3172941,0.3087461,0.328465,0.2893283,0.3195974,0.2841597,0.2780697,0,28.6315517,21.931181,21.9543362,21.271244,21.8430824,21.5824986,20.530899,20.1217213,19.813673,19.0802822,18.5456333,18.3846912,19.9624863,21.3890686,21.5692768,22.296917,23.5914841,23.7753716,23.2953644,22.1013241,21.2947407,20.6353951,19.9104843
7,0.2792966,0.3621067,0.3145745,0.3078521,0.3097616,0.3038884,0.3142933,0.3589576,0.28412,0.3314362,0.2784959,0.2706912,0,27.5961208,21.633625,21.6909046,21.2361259,21.8242855,21.6497765,20.520813,20.1108742,19.7929325,19.0929813,18.5442734,18.3840885,19.9744053,21.4305649,21.5675392,22.3258877,23.5836926,23.7637997,23.2921181,22.0995884,21.2793579,20.6412449,19.9136829
8,0.2913828,0.3675185,0.3224153,0.3052343,0.3022537,0.2867717,0.3248834,0.5027422,0.3044651,0.3120338,0.2847515,0.2722779,0,27.0282822,21.4782295,21.5021229,21.2256355,21.8016644,21.6241226,20.5342274,20.1182175,19.7831821,19.1079311,18.5413628,18.4047451,20.0018597,21.5012283,21.5813236,22.2687778,23.5826874,23.7805805,23.2842999,22.1103287,21.2794914,20.6447906,19.9198875
9,0.2923307,0.3661656,0.3173418,0.3027801,0.2974693,0.2804097,0.3551409,0.3950797,0.311952,0.3242014,0.2705497,0.2668035,0,26.6892338,21.3816319,21.4131107,21.2231236,21.8355579,21.5696621,20.5389252,20.1217766,19.7962494,19.1031361,18.5430279,18.3976669,20.019455,21.5226078,21.5822258,22.2954597,23.5843468,23.7636967,23.2833042,22.1021366,21.2705364,20.6343117,19.9109192
10,0.3034689,0.361295,0.3150357,0.304089,0.2902559,0.2729874,0.3279092,0.3774878,0.31537,0.3376844,0.2642942,0.2587902,0,26.4721069,21.3060055,21.3260975,21.2074451,21.9196091,21.5774994,20.5494251,20.1330376,19.7923203,19.1079483,18.5326328,18.3979225,20.0428543,21.5152779,21.5927181,22.2509785,23.5766487,23.7491932,23.2669029,22.0989799,21.2802677,20.6288757,19.9035797
11,0.3240864,0.3707656,0.3167269,0.3106335,0.2945987,0.2685946,0.3516108,0.3866356,0.2794,0.3222282,0.2633643,0.2532364,0,26.4729042,21.2013187,21.2578354,21.2120361,21.9473286,21.589674,20.5502243,20.1247292,19.7992001,19.1053314,18.5414219,18.4036636,20.0736275,21.5077343,21.5904846,22.2377491,23.5838833,23.7329636,23.2661858,22.1077366,21.2640095,20.6273994,19.9066582
12,0.3394903,0.3715773,0.3198017,0.309979,0.2944515,0.2648834,0.381364,0.4086841,0.2974664,0.3138425,0.2736775,0.2461752,0,26.5355473,21.186512,21.2373371,21.2256851,21.9533863,21.5835991,20.5676727,20.1281376,19.7919712,19.0878448,18.5265808,18.4116383,20.2056446,21.5122757,21.5893383,22.2312965,23.5872822,23.7352257,23.2582283,22.0906773,21.2461853,20.6224575,19.8975391
13,0.3648475,0.3899773,0.3145745,0.3125968,0.3009288,0.2638988,0.3685046,0.3920304,0.3388075,0.3151579,0.2684363,0.2493487,0,26.5914726,21.2006207,21.2396812,21.2325802,21.9856815,21.6208286,20.6170712,20.1403522,19.7859554,19.0966511,18.5422401,18.4162655,20.2595806,21.5441952,21.6045723,22.2677574,23.5922699,23.7322674,23.2582951,22.0903664,21.2360191,20.6183529,19.9059601
14,0.371483,0.387542,0.3144208,0.3083429,0.3071118,0.2763199,0.3745561,0.4851503,0.3921929,0.3177887,0.2726631,0.2506975,0,26.6539516,21.2353649,21.2899837,21.2373486,21.9457054,21.6475868,20.6085587,20.1136189,19.7930145,19.1075058,18.5519638,18.416481,20.2950745,21.6418571,21.605547,22.2588749,23.5966492,23.7445889,23.2573738,22.076561,21.2309284,20.6090832,19.8993416
