Time (s),HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m
0,0.1878212,0.3572361,0.3185718,0.3076885,0.2969541,496.2925306,0.2724372,0.3193172,0.2748427,0.3385065,0.2811165,0.2476033,0,19.595768,19.9896278,20.3579559,20.9351616,21.6664524,21.2431011,20.6094589,19.882164,19.4117184,18.6022167,17.9451199,17.7360706,23.3427582,21.8656902,22.3317223,23.5506859,24.237545,24.7076511,26.9457817,23.8674889,26.0071869,22.4644527,21.5081139
1,0.2913828,0.4037773,0.3419403,0.312106,0.2948195,496.2925306,0.329422,0.3549701,0.2782606,0.3445903,0.2772279,0.2441123,0,19.8195267,20.0318928,20.4028683,20.9333687,21.6271133,21.2773437,20.6251202,19.8864422,19.4064999,18.6205654,17.9577789,17.720583,23.3337803,21.9010468,22.3488789,23.5810814,24.2444572,24.715313,26.9439983,23.8672123,26.0193653,22.4656906,21.5169373
2,0.3293,0.3840244,0.3036589,0.3014712,0.2862812,496.2925306,0.3485851,0.3244775,0.2730523,0.3292986,0.2648014,0.2435569,0,21.3339081,20.6060905,20.3880939,20.9182262,21.6828995,21.2656193,20.6797962,19.8804035,19.4000721,18.6107159,17.9418335,17.7267036,23.3440285,21.9556656,22.3364067,23.5515842,24.2501659,24.7270679,26.9379959,23.8649788,26.0080776,22.4786034,21.5128002
3,0.2823774,0.3696832,0.3174956,0.3019621,0.283705,496.2925306,0.3299263,0.3254157,0.3319716,0.3304496,0.2640406,0.2399867,0,20.9383545,20.8801765,20.4382324,20.8985081,21.7064266,21.3187351,20.7454529,19.9050922,19.4130116,18.609972,17.9612522,17.7145481,23.3606911,21.9659119,22.3542328,23.5799961,24.2619095,24.7240562,26.9304638,23.8649902,25.9933701,22.4842987,21.5067482
4,0.3461258,0.3905185,0.3274887,0.2905092,0.2914336,496.2925306,0.3551409,0.3371436,0.3282281,0.3674457,0.2668302,0.2376065,0,23.0187855,21.0098076,20.4160385,20.9878864,21.7498684,21.334877,20.7790508,19.9242859,19.4124622,18.6345081,17.9785824,17.729208,23.3707352,21.978632,22.3904457,23.5571079,24.2530384,24.7295589,26.9333153,23.8640652,25.981123,22.4780693,21.5240192
5,0.4089263,0.3910597,0.3789918,0.3351752,0.2948931,496.2925306,0.3326999,0.3359709,0.3436903,0.3712275,0.2927822,0.2588695,0,26.2676582,22.3806591,21.2114067,21.0027866,21.8910351,21.4024906,20.7628384,19.9289436,19.4194107,18.6391735,17.9855366,17.7464237,23.4029942,22.0549202,22.4155579,23.5719776,24.2614651,24.7247486,26.9130421,23.8596268,25.9717903,22.4694614,21.5135078
6,0.3871239,0.5458361,0.3636177,0.3366477,0.3146196,496.2925306,0.304964,0.3467606,0.3059299,0.3732007,0.3018274,0.2683903,0,24.5551548,22.1400185,21.5009975,21.0184326,21.8812637,21.4860134,20.7853146,19.9165058,19.4016285,18.6400223,17.9932327,17.7784557,23.4378872,22.1679497,22.4637737,23.5913773,24.2721462,24.7376919,26.9063396,23.8642578,25.961689,22.4699287,21.5242119
7,0.2811925,0.442742,0.4283425,0.3435194,0.3211706,496.2925306,0.3089983,0.3235392,0.2971408,0.3613619,0.300813,0.2670415,0,23.9769592,21.9713688,21.4054718,21.0044746,21.844944,21.48382,20.8252296,19.9367085,19.4176769,18.6226177,17.988369,17.7876606,23.4674702,22.2514019,22.5206928,23.5918369,24.2926559,24.7400379,26.8977451,23.8571491,25.9277973,22.4798565,21.5212574
8,0.2589161,0.378342,0.335637,0.33992,0.3325059,496.2925306,0.3135369,0.3218973,0.2917698,0.3630062,0.3064768,0.264344,0,23.5861683,22.0745716,21.3345852,21.0197163,21.9325981,21.4895725,20.7979794,19.944746,19.4166012,18.637886,17.9949017,17.8234692,23.4925041,22.2203922,22.5450096,23.5691833,24.3192024,24.7540932,26.8981857,23.8515396,25.9214458,22.4833317,21.523222
9,0.2674475,0.4240714,0.3310247,0.3111243,0.319036,496.2925306,0.3155541,0.3301069,0.2855849,0.3536338,0.2990378,0.2591075,0,23.137516,21.9440212,21.3519268,21.0742378,21.9495468,21.5034943,20.7436104,19.9131222,19.4385395,18.6487961,18.0183773,17.8123302,23.4946594,22.2206593,22.5433807,23.6243515,24.3232517,24.7611599,26.9010906,23.8449955,25.9043484,22.4707203,21.5124912
