Time (s),HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m
0,0.1866363,0.3650832,0.3294873,0.3197957,0.3035787,0.2876048,0.3125283,0.3240084,0.2758192,0.3064432,0.2556717,0.2410974,0,19.1115513,19.2512436,19.3723793,20.1150723,20.5067177,20.1818161,19.2157192,18.1577549,17.9589672,17.2088623,16.6853848,16.5776577,23.9213238,24.9998035,24.9177151,25.0939922,25.6083126,25.4786701,24.807148,23.5122375,22.6018696,21.9257317,21.2101402
1,0.1991964,0.3672479,0.3277962,0.3222499,0.2869436,0.2763956,0.3442986,0.3317488,0.2639377,0.3115405,0.2423998,0.2479206,0,19.1820335,19.2008953,19.4181881,20.0898323,20.4488354,20.1899891,19.2527714,18.1492119,17.9412804,17.2060204,16.677969,16.5713882,23.9491253,25.0105896,24.9232063,25.1074276,25.568079,25.4769802,24.8050804,23.5037327,22.5929832,21.9357834,21.2198238
2,0.2074908,0.388895,0.3281037,0.3219227,0.2838522,0.2828333,0.3304306,0.3338598,0.2554742,0.3184464,0.2417235,0.2350676,0,19.2498474,19.2341595,19.5589962,20.1663513,20.4847202,20.16399,19.1823044,18.1368618,17.9426212,17.1837673,16.6507454,16.5517941,23.9670906,25.0009575,24.911684,25.1129169,25.5660114,25.4454403,24.7852402,23.500145,22.5905266,21.9302959,21.213192
3,0.2155482,0.3845656,0.3268737,0.3168507,0.2926113,0.2744264,0.3460636,0.3441804,0.2756565,0.3284765,0.2317484,0.2441123,0,19.309803,19.2390404,19.6109943,20.2175465,20.6854687,20.2330246,19.1294327,18.1242542,17.9239063,17.1711464,16.6247845,16.5551567,23.9825325,25.012991,24.9456501,25.1192837,25.5572567,25.4480267,24.783287,23.4887314,22.5794849,21.9294758,21.213131
4,0.1949307,0.3859185,0.3270275,0.3081793,0.3084367,0.2692005,0.3306828,0.3310451,0.2730523,0.3192686,0.2396947,0.2307832,0,19.3064537,19.2516518,19.6281624,20.2825394,20.7121086,20.34091,19.1541977,18.1383915,17.9266415,17.1864395,16.620285,16.5498981,23.9999962,25.0289364,24.9374008,25.1295624,25.5913353,25.4469624,24.7791977,23.4827461,22.5787983,21.9272728,21.2086525
5,0.1863993,0.3929538,0.3393267,0.3147238,0.298647,0.2871504,0.325892,0.3188481,0.2754937,0.3108828,0.2330165,0.2476826,0,19.3328667,19.5695572,19.6257076,20.2793255,20.7942944,20.4344959,19.2254486,18.1709118,17.9489212,17.1961555,16.649435,16.5512466,24.008894,25.0230923,24.9338226,25.1392193,25.599472,25.4569855,24.7812881,23.4829464,22.57938,21.9297485,21.2122669
6,0.1991964,0.3851067,0.3448614,0.3189777,0.3063021,0.2851812,0.3337085,0.3322179,0.2722385,0.3212417,0.2422307,0.2441123,0,19.3541775,19.5935345,19.6816025,20.2801247,20.7943344,20.4546509,19.2714539,18.2397614,17.9672337,17.2277775,16.6875591,16.5482388,24.0062828,25.006876,24.9281921,25.1524906,25.6078262,25.4657154,24.7783051,23.4822273,22.5816917,21.9150085,21.2039642
7,0.2036991,0.3975538,0.3488586,0.326013,0.3146196,0.2974507,0.33623,0.3333907,0.275331,0.3314362,0.260152,0.248238,0,19.3807011,19.5528164,19.866951,20.4000282,20.8728333,20.4807796,19.2801285,18.2484436,18.0124645,17.2547302,16.7316761,16.6037445,24.0054665,25.0094624,24.9515705,25.155077,25.6224995,25.475853,24.7869377,23.4829235,22.6005592,21.9221458,21.2145195
8,0.2020402,0.4081067,0.3462451,0.3160327,0.310056,0.3009347,0.337995,0.3373782,0.275331,0.3291342,0.2621808,0.2626778,0,19.3987236,19.4975071,19.8029118,20.3922234,20.8866653,20.4380589,19.338419,18.2729416,18.0054016,17.2670765,16.7847786,16.628273,24.0283203,25.0107613,24.9744225,25.1503296,25.6306,25.4763985,24.7908859,23.4955826,22.6026211,21.9128399,21.2150669
9,0.2091497,0.3937656,0.3404029,0.3189777,0.3020329,0.2897255,0.337995,0.3359709,0.2810276,0.3149934,0.253981,0.2572034,0,19.3993607,19.5053673,19.8373661,20.3325024,20.9203205,20.4208565,19.2786579,18.2473507,18.0170822,17.2669563,16.7637138,16.615591,24.0338707,25.0140457,24.9746819,25.1551266,25.6251907,25.4728794,24.8108044,23.4912968,22.609314,21.9248466,21.2119122
