Panel,Channel,Device Name,Type,X,Y,Z,Serial Number,Calibration Slope,Calibration Intercept,Test Specific Name
SC1Mod4,18,BDP_A6_3,Voltage,,,0.90 m BS,6_7,99.52,-248.8,BDP 6 0.90 m BS
SC1Mod4,19,BDP_A6_4,Voltage,,,1.20 m BS,6_7,99.52,-248.8,BDP 6 1.20 m BS
SC1Mod4,20,BDP_A6_5,Voltage,,,1.50 m BS,6_7,99.52,-248.8,BDP 6 1.50 m BS
SC1Mod4,21,BDP_A6_6,Voltage,,,1.80 m BS,6_7,99.52,-248.8,BDP 6 1.80 m BS
SC1Mod4,22,BDP_A6_7,Voltage,,,,,99.52,-248.8,
SC1Mod4,23,BDP_A6_8,Voltage,,,,,99.52,-248.8,
SC1Mod4,24,BDP_A7_1,Voltage,,,0.08 m BS,6_4,99.52,-248.8,BDP 7 0.08 m BS
SC1Mod4,25,BDP_A7_2,Voltage,,,0.34 m BS,6_4,99.52,-248.8,BDP 7 0.34 m BS
SC1Mod4,26,BDP_A7_3,Voltage,,,0.61 m BS,6_4,99.52,-248.8,BDP 7 0.61 m BS
SC1Mod4,27,BDP_A7_4,Voltage,,,0.88 m BS,6_4,99.52,-248.8,BDP 7 0.88 m BS
SC1Mod4,28,BDP_A7_5,Voltage,,,1.15 m BS,6_4,99.52,-248.8,BDP 7 1.15 m BS
SC1Mod4,29,BDP_A7_6,Voltage,,,1.42 m BS,6_4,99.52,-248.8,BDP 7 1.42 m BS
SC1Mod4,30,BDP_A7_7,Voltage,,,1.68 m BS,3_3,99.52,-248.8,BDP 7 1.68 m BS
SC1Mod4,31,BDP_A7_8,Voltage,,,1.95 m BS,3_3,99.52,-248.8,BDP 7 1.95 m BS
SC1Mod5,0,BDP_A8_1,Voltage,,,0.08 m BS,6_1,99.52,-248.8,BDP 8 0.08 m BS
SC1Mod5,1,BDP_A8_2,Voltage,,,0.34 m BS,6_1,99.52,-248.8,BDP 8 0.34 m BS
SC1Mod5,2,BDP_A8_3,Voltage,,,0.61 m BS,6_1,99.52,-248.8,BDP 8 0.61 m BS
SC1Mod5,3,BDP_A8_4,Voltage,,,0.88 m BS,6_1,99.52,-248.8,BDP 8 0.88 m BS
SC1Mod5,4,BDP_A8_5,Voltage,,,1.15 m BS,6_1,99.52,-248.8,BDP 8 1.15 m BS
SC1Mod5,5,BDP_A8_6,Voltage,,,1.42 m BS,6_1,99.52,-248.8,BDP 8 1.42 m BS
SC1Mod5,6,BDP_A8_7,Voltage,,,1.68 m BS,3_8,99.52,-248.8,BDP 8 1.68 m BS
SC1Mod5,7,BDP_A8_8,Voltage,,,1.95 m BS,3_8,99.52,-248.8,BDP 8 1.95 m BS
SC1Mod5,8,BDP_A9_1,Voltage,,,0.08 m BS,6_5,99.52,-248.8,BDP 9 0.08 m BS
SC1Mod5,9,BDP_A9_2,Voltage,,,0.34 m BS,6_5,99.52,-248.8,BDP 9 0.34 m BS
SC1Mod5,10,BDP_A9_3,Voltage,,,0.61 m BS,6_5,99.52,-248.8,BDP 9 0.61 m BS
SC1Mod5,11,BDP_A9_4,Voltage,,,0.88 m BS,6_5,99.52,-248.8,BDP 9 0.88 m BS
SC1Mod5,12,BDP_A9_5,Voltage,,,1.15 m BS,6_5,99.52,-248.8,BDP 9 1.15 m BS
SC1Mod5,13,BDP_A9_6,Voltage,,,1.42 m BS,6_5,99.52,-248.8,BDP 9 1.42 m BS
SC1Mod5,14,BDP_A9_7,Voltage,,,1.68 m BS,3_6,99.52,-248.8,BDP 9 1.68 m BS
SC1Mod5,15,BDP_A9_8,Voltage,,,1.95 m BS,3_6,99.52,-248.8,BDP 9 1.95 m BS
SC1Mod5,16,BDP_A10_1,Voltage,,,Vertical Vent,,99.52,-248.8,BDP 10 1
SC1Mod5,17,BDP_A10_2,Voltage,,,Vertical Vent,,99.52,-248.8,BDP 10 2
SC1Mod5,18,BDP_A10_3,Voltage,,,Vertical Vent,,99.52,-248.8,BDP 10 3
SC1Mod5,19,BDP_A10_4,Voltage,,,Vertical Vent,,99.52,-248.8,BDP 10 4
SC1Mod5,20,BDP_A10_5,Voltage,,,Vertical Vent,,99.52,-248.8,BDP 10 5
