Time,TC1_BED1_0-03mBC,TC1_BED1_0-30mBC,TC1_BED1_0-61mBC,TC1_BED1_0-91mBC,TC1_BED1_1-22mBC,TC1_BED1_1-52mBC,TC1_BED1_1-83mBC,TC1_BED1_2-13mBC,TC2_BED2_0-03mBC,TC2_BED2_0-30mBC,TC2_BED2_0-61mBC,TC2_BED2_0-91mBC,TC2_BED2_1-22mBC,TC2_BED2_1-52mBC,TC2_BED2_1-83mBC,TC2_BED2_2-13mBC,TC3_BED3_0-03mBC,TC3_BED3_0-30mBC,TC3_BED3_0-61mBC,TC3_BED3_0-91mBC,TC3_BED3_1-22mBC,TC3_BED3_1-52mBC,TC3_BED3_1-83mBC,TC3_BED3_2-13mBC,TC4_BED4_0-03mBC,TC4_BED4_0-30mBC,TC4_BED4_0-61mBC,TC4_BED4_0-91mBC,TC4_BED4_1-22mBC,TC4_BED4_1-52mBC,TC4_BED4_1-83mBC,TC4_BED4_2-13mBC,TC_DataRoom,EVENT,,,,,,,,,,,,,,
12,17.242028,16.507092,15.676873,14.940433,14.684498,14.149013,14.192479,13.852662,25.014969,23.766304,22.77751,21.984028,20.571242,20.284548,19.257668,13.810776,44.233077,26.451927,24.302588,23.309919,22.780845,15.284249,14.536513,19.166666,26.125402,25.530572,24.745531,23.598376,22.060768,20.967446,20.078676,19.218112,9.025216,0.000234,,,,,,,,,,,,,,
13,17.215152,16.556342,15.726154,14.951629,14.695695,14.160214,14.279949,13.673166,25.101653,23.739575,22.750766,21.995161,20.544457,20.333666,19.268827,13.82198,45.28335,30.117636,24.578513,23.586018,22.943509,15.486021,14.700271,19.405771,26.174262,25.654931,24.832262,23.571655,22.0719,20.978588,20.127794,19.229271,9.074677,0.000387,,,,,,,,,,,,,,
14,17.160331,16.615698,15.70937,14.896717,14.602651,14.105271,14.263148,13.58007,25.085,23.798591,22.734078,21.902636,20.489803,20.278973,19.176096,13.84331,47.750701,31.979992,24.864424,23.79642,23.229845,15.469234,14.874153,19.502993,26.157625,25.638287,24.815604,23.630654,22.168911,21.03773,20.111068,19.288483,9.145542,0.000387,,,,,,,,,,,,,,
15,17.209563,16.664943,15.83483,14.869795,14.461343,13.963902,14.19808,13.476839,25.171678,23.998906,22.707333,21.913771,20.463016,20.328091,19.225252,13.854514,50.240783,33.716678,25.329224,24.148062,23.581763,15.442312,15.114129,19.628097,26.206484,25.687135,24.940138,23.603935,22.142141,21.086798,20.198151,19.261667,9.069066,0.000387,,,,,,,,,,,,,,
16,17.084218,16.691824,15.82364,14.820479,14.373884,13.914553,13.958048,13.23673,25.122789,24.063464,22.620461,21.864722,20.489803,20.316942,19.214093,13.805174,55.028942,36.47592,26.376018,24.363912,23.83564,15.43112,15.217312,19.730878,26.082085,25.713789,24.891226,23.592817,22.131009,21.075656,20.149035,19.250508,9.074677,0.000387,,,,,,,,,,,,,,
17,17.089807,16.735476,15.829235,14.902316,14.303221,13.805713,13.887365,13.127872,25.090551,24.220347,22.70177,21.908204,20.53331,20.246579,19.105681,13.772639,58.01793,39.729376,27.513855,24.709819,23.879049,15.47483,15.375397,19.812407,26.04986,25.719337,24.934587,23.636213,22.060768,21.005374,20.002736,19.370009,9.036438,0.000234,,,,,,,,,,,,,,
18,17.242028,16.773536,15.90541,14.787956,14.341353,13.767564,13.811077,13.166027,25.12834,24.333829,22.77751,21.946117,20.571242,20.284548,19.219673,13.887048,63.973257,44.67705,28.192653,24.861052,23.879049,15.512943,15.642211,19.660499,26.125402,25.832581,24.934587,23.674048,22.136575,21.005374,20.078676,19.180135,9.134321,0.000387,,,,,,,,,,,,,,
19,17.280081,16.849653,15.90541,14.635463,14.265088,13.767564,13.696638,13.089716,25.090551,24.447299,22.815379,21.984028,20.609173,20.284548,19.105681,13.810776,64.08342,50.382016,28.569575,25.050064,24.18181,15.665385,15.794653,19.660499,27.635127,26.398619,25.048004,23.711883,22.136575,21.005374,20.040707,19.218112,9.030827,0.000387,,,,,,,,,,,,,,
20,17.350594,16.920175,15.861729,14.629864,14.259487,13.800111,13.767329,12.931477,25.085,24.555203,22.885549,22.054281,20.641529,20.241004,19.024099,13.767037,68.078437,52.593205,29.581067,25.233493,24.516762,15.964625,15.941485,19.730878,29.250162,26.543969,25.042453,23.781989,22.244711,21.075656,20.111068,19.250508,9.063455,0.000387,,,,,,,,,,,,,,
21,17.39982,16.855243,15.872917,14.450425,14.308821,13.811315,13.168083,12.63738,25.058312,24.679756,22.820941,22.217037,20.690603,20.328091,19.03526,13.854514,69.813107,54.596414,32.524671,25.546891,24.792633,16.1663,16.219376,19.817984,30.277511,26.479612,25.129161,23.868764,22.293739,21.086798,20.160186,19.223692,9.101694,0.00054,,,,,,,,,,,,,,
22,17.437868,16.931355,15.83483,14.526683,14.385084,13.811315,13.09176,12.522875,25.171678,24.717568,22.858808,22.179133,20.690603,20.366058,18.959255,13.892649,68.089216,55.038852,34.625096,26.075706,25.20856,16.318669,16.181278,19.89393,30.879295,26.441889,25.129161,23.830935,22.407424,21.086798,20.160186,19.261667,9.101694,0.000387,,,,,,,,,,,,,,
23,17.464739,16.996283,15.82364,14.553611,14.335752,13.800111,13.08055,12.855155,25.198363,24.744274,22.885549,22.205905,20.717384,20.278973,19.024099,13.84331,67.895013,59.667583,35.962209,26.366681,25.499854,16.536009,16.322476,19.996688,32.145921,26.24216,25.080256,23.81982,22.358401,21.075656,20.111068,19.174554,9.222016,0.00054,,,,,,,,,,,,,,
24,17.470327,16.849653,15.829235,14.482955,14.303221,13.805713,13.200638,13.089716,25.279482,24.674203,22.891111,22.249374,20.722957,20.284548,18.991678,13.887048,66.212568,63.311796,39.032205,26.598718,25.618778,17.0366,16.442345,20.002265,33.615091,26.059032,25.0102,23.711883,22.363966,20.967446,20.078676,19.180135,9.210795,0.000387,,,,,,,,,,,,,,
25,17.426692,16.844062,15.82364,14.553611,14.373884,13.838259,13.576587,13.084111,25.311714,24.630835,22.885549,22.243808,20.75531,20.241004,19.024099,13.91958,67.858328,63.453324,41.598961,26.819621,25.802164,17.563881,16.665276,20.072623,34.771576,26.4308,24.891226,23.706324,22.396295,20.886013,20.149035,19.212532,9.298487,0.000234,,,,,,,,,,,,,,
26,17.464739,16.653761,15.70937,14.477355,14.412014,13.990843,13.729183,13.007796,25.349495,24.630835,22.885549,22.28171,20.565668,20.241004,18.910089,13.767037,71.15913,62.718635,42.752763,27.083747,26.028841,17.678039,16.779524,20.110589,36.156827,26.732556,24.966842,23.66849,22.396295,20.999803,20.0731,19.212532,9.249031,0.000387,,,,,,,,,,,,,,
27,17.546417,16.507092,15.829235,14.521083,14.341353,13.996445,13.849222,13.051559,25.355045,24.636389,22.966839,22.249374,20.495377,20.132663,18.953674,13.772639,73.547635,63.164866,43.502024,27.353348,26.336548,17.721676,17.089724,20.230054,37.022529,26.662668,24.934587,23.749716,22.477644,21.119152,20.192576,19.370009,9.249031,0.000234,,,,,,,,,,,,,,
28,17.502785,16.425364,15.861729,14.515484,14.488272,14.105271,13.805475,12.969637,25.387275,24.630835,22.999139,22.168001,20.413933,20.241004,18.948093,13.767037,76.914919,64.151118,44.722858,27.875734,26.633079,17.98241,17.198346,20.338357,37.465578,26.4308,24.966842,23.706324,22.50997,21.03773,20.187,19.326457,9.24342,0.000387,,,,,,,,,,,,,,
29,17.590048,16.284263,15.796741,14.56481,14.461343,14.040189,13.969251,12.866366,25.398374,24.56631,23.085982,22.179133,20.387144,20.214183,18.959255,13.816378,78.832124,64.93298,46.700775,28.452145,26.983896,18.526049,17.323723,20.387463,39.418114,26.25325,24.940138,23.793105,22.634761,21.124723,20.274078,19.299642,9.325501,0.000234,,,,,,,,,,,,,,
30,17.590048,16.284263,15.83483,14.56481,14.461343,14.002046,14.007392,12.866366,25.398374,24.452853,23.085982,22.141228,20.387144,20.138238,18.921251,13.778241,82.792839,67.171868,48.294512,28.791202,27.549873,19.096298,17.361787,20.539278,40.872103,26.25325,24.90233,23.717441,22.672646,21.162646,20.236115,19.337616,9.210795,0.000234,,,,,,,,,,,,,,
31,17.54083,16.235003,15.785551,14.515484,14.259487,13.952698,13.958048,12.855155,25.425053,24.403922,23.112718,22.130096,20.338057,20.013159,18.872083,13.767037,82.635327,69.618956,50.467469,29.156745,28.443743,19.541149,17.464799,20.679928,41.792257,26.053486,24.853416,23.81982,22.775168,21.303187,20.262928,19.326457,9.222016,0.000234,,,,,,,,,,,,,,
32,17.622503,16.164445,15.791146,14.635463,14.226953,13.996445,13.734786,12.784435,25.392825,24.371653,23.118279,22.097755,20.343632,20.056713,18.91567,13.810776,83.96147,71.824635,52.764357,29.576386,29.278127,20.002565,17.508447,20.913158,41.499855,26.134505,24.972394,23.863207,22.818611,21.498331,20.420343,19.370009,9.172558,0.000387,,,,,,,,,,,,,,
33,17.660545,16.27867,15.90541,14.597338,14.074408,14.034588,13.65849,12.784435,25.355045,24.333829,23.042562,22.097755,20.457442,20.056713,19.02968,13.696362,90.020206,72.814605,54.351699,30.291285,29.654662,20.382297,17.660676,21.02697,42.169954,26.398619,25.0102,23.976686,22.894367,21.536242,20.420343,19.40798,9.052234,0.00054,,,,,,,,,,,,,,
