Time,TC1_BED1_0-03mBC,TC1_BED1_0-30mBC,TC1_BED1_0-61mBC,TC1_BED1_0-91mBC,TC1_BED1_1-22mBC,TC1_BED1_1-52mBC,TC1_BED1_1-83mBC,TC1_BED1_2-13mBC,TC2_BED2_0-03mBC,TC2_BED2_0-30mBC,TC2_BED2_0-61mBC,TC2_BED2_0-91mBC,TC2_BED2_1-22mBC,TC2_BED2_1-52mBC,TC2_BED2_1-83mBC,TC2_BED2_2-13mBC,TC3_BED3_0-03mBC,TC3_BED3_0-30mBC,TC3_BED3_0-61mBC,TC3_BED3_0-91mBC,TC3_BED3_1-22mBC,TC3_BED3_1-52mBC,TC3_BED3_1-83mBC,TC3_BED3_2-13mBC,TC4_BED4_0-03mBC,TC4_BED4_0-30mBC,TC4_BED4_0-61mBC,TC4_BED4_0-91mBC,TC4_BED4_1-22mBC,TC4_BED4_1-52mBC,TC4_BED4_1-83mBC,TC4_BED4_2-13mBC,TC5_LR_0-03mBC,TC5_LR_0-30mBC,TC5_LR_0-61mBC,TC5_LR_0-91mBC,TC5_LR_1-22mBC,TC5_LR_1-52mBC,TC5_LR_1-83mBC,TC5_LR_2-13mBC,TC_DataRoom,TC_Bed1DoorIN,TC_Bed1DoorOUT,TC_DoorknobIN,TC_DoorknobOUT,DP_FRW_1-2mBC,DP_OBW_1-2mBC,DP_CBW_1-2mBC,CO2_OB_1-0mAF,CO_OB_1-0mAF,O2_CB_1-0mAF,CO2_CB_1-0mAF,CO_CB_1-0mAF
261,54.54025,51.310046,45.692254,35.998348,26.802981,18.620654,15.999892,15.431251,172.204942,167.208849,154.95476,149.131671,139.997584,124.433989,99.374814,64.753908,179.984782,168.546197,153.477044,145.509951,141.728122,120.533885,97.629736,60.970229,263.691576,252.045931,226.604183,197.861205,165.54016,124.907199,95.599912,55.775888,434.524448,386.401966,367.392929,350.143151,319.416033,279.166193,175.35951,87.345636,6.8318,85.952359,306.629443,20.016065,156.180191,-0.019784576,-0.045520448,-0.610495488,0.0025272,9.7356E-05,20.07413707,0.65739294,0.094352248
262,54.208266,51.346994,45.0243,35.960935,26.802981,18.506606,15.999892,15.507443,167.972636,165.570152,153.284563,148.26014,139.281149,123.648313,98.784474,63.872648,180.901016,164.659861,151.958725,145.509951,141.425939,120.235208,96.892183,60.565721,259.508126,248.558369,224.519408,196.106008,163.330736,124.233871,95.010543,55.665358,439.556681,383.286141,363.215089,340.524174,317.621962,273.822472,175.321357,92.969331,7.252736,85.989087,303.652707,20.813102,154.471126,0.785332224,0.652910912,-0.124539328,0.0028026,9.7356E-05,20.03259322,0.67744494,0.100076302
263,53.997956,51.210261,44.329978,36.009549,26.663326,18.517988,16.011296,15.556945,168.670137,165.429154,151.20966,146.983723,138.124075,123.472495,98.352867,63.663295,178.39295,162.082431,151.28713,146.050999,140.228955,119.462597,95.981603,60.245724,257.013127,244.475419,222.899803,195.926634,161.781075,123.160812,93.990505,54.755052,450.35215,380.587597,360.654519,335.619803,315.261112,270.125272,174.426752,104.829865,7.273822,86.082792,300.80408,20.90989,153.998512,-0.095718336,0.485916352,0.255129472,0.0028026,9.7356E-05,19.98463867,0.69475194,0.104459716
264,54.023804,50.977471,44.096003,36.03576,26.689766,18.506606,16.037978,15.431251,167.858298,165.03676,152.298121,145.874589,137.773719,123.872755,98.120533,63.762474,175.061252,163.631731,150.517159,145.131659,138.821489,119.414114,96.118006,60.639273,253.743547,242.997526,221.598213,197.021809,161.008437,123.598192,93.390493,54.264724,460.306659,379.039324,357.683827,335.557741,313.03635,267.232665,169.595086,111.845325,6.749534,86.13051,298.532934,23.649496,151.240173,-1.948780736,-1.381775488,-0.823169728,0.0033516,-0.000268128,19.95266897,0.70986114,0.106530526
265,53.518254,50.951581,43.847081,35.972137,26.550095,18.59402,16.011296,15.44266,165.888307,164.286297,150.830523,145.053464,137.558988,122.948964,97.725928,63.626568,174.652967,168.10022,150.338893,144.348781,138.040796,119.537228,96.64513,59.80431,249.891228,241.315419,222.710098,196.804296,160.563165,123.945897,93.511939,55.049932,468.23834,378.894271,355.610524,333.185207,311.312892,264.698305,168.108684,114.409314,6.481632,86.203971,296.286002,24.065727,149.875408,-1.402017856,-1.381775488,-0.549788288,0.0028026,-0.000632814,19.94946362,0.72469494,0.111766204
266,53.592063,50.914623,43.735617,35.897307,26.399103,18.556005,16.049382,15.480756,164.59327,161.697082,149.731356,144.486063,137.295337,121.043165,96.914853,63.296009,176.179302,167.566653,150.756072,143.176923,137.362211,119.126799,96.829476,60.907696,249.32804,244.776153,222.178862,195.392363,160.258756,123.75894,93.327898,54.791915,460.486121,376.137652,352.808769,331.943791,310.13904,262.011888,167.880047,105.025899,6.864343,86.461093,294.037447,24.746493,148.58717,-1.326084096,-1.138847168,-0.458627968,0.0028026,-0.000389424,19.91110417,0.73733094,0.11371492
267,53.265422,50.920157,43.852644,35.566113,26.253742,18.523678,16.131253,15.334069,161.363278,160.370826,148.941391,143.470777,136.322019,119.742075,95.96219,62.897444,175.727085,163.648834,149.510421,142.8047,136.614146,119.020464,95.950261,62.383644,252.185733,246.622936,221.80503,194.32945,159.00906,123.129032,92.744562,54.281291,459.409337,373.996864,352.00806,330.482942,307.423118,257.677252,161.977859,90.352857,6.94088,86.608028,292.156224,24.633062,147.753979,-2.510869696,-2.156240128,-0.640948608,0.0028026,-0.000511518,19.82160577,0.74804454,0.115784932
268,53.10672,50.53946,43.990123,35.330317,26.166923,18.550314,16.081766,15.32266,160.705098,157.925271,147.339585,142.32566,134.655207,118.910078,95.87747,62.519063,174.074956,160.32652,148.058968,142.528912,136.188461,117.853244,94.318073,62.556393,253.26188,244.131416,219.743489,192.753056,157.704767,122.258418,92.659949,53.79083,455.286749,375.272334,352.013507,330.159664,303.240665,253.827194,157.762713,81.437094,7.367528,86.760463,289.76237,24.789958,146.548267,-3.589268416,-3.249566848,-0.944683648,0.0030762,-0.000389424,19.88872957,0.76864734,0.121995766
269,52.811379,50.058807,43.544257,35.143122,26.091402,18.58833,16.04368,15.170253,160.895317,157.012951,146.27989,141.532368,132.813277,118.276073,95.656414,62.078145,172.701632,161.277612,146.695481,142.15115,135.88713,116.88425,93.876122,64.356563,251.574359,236.788303,217.349941,190.500724,156.602429,122.594662,93.101557,53.79083,440.413712,372.399904,350.333547,328.7294,298.821267,250.6724,150.280953,84.219807,7.51485,86.42436,286.948863,28.445363,142.572453,-3.437400896,-2.718030528,-0.868749888,0.0033516,-0.000389424,19.84398037,0.78540354,0.124309168
270,52.70614,49.657516,43.326828,34.961501,26.134816,18.632034,16.163635,15.175958,161.509784,156.562585,145.415465,140.669528,132.067626,116.790795,94.814733,61.826413,171.410584,160.408293,145.376322,141.552527,135.855104,116.405532,94.028942,65.904293,251.392396,236.492226,215.530822,189.284722,155.81013,121.517035,92.886253,53.501263,421.749956,367.248988,347.571506,327.163489,290.349577,244.329231,152.940707,86.464356,7.711875,86.282927,284.439588,29.806538,140.53922,-3.209500096,-2.262527488,-0.701655808,0.0030762,-0.000389424,19.83120087,0.80408394,0.1282066
271,52.263,49.694505,43.066619,34.886602,26.172575,18.59402,16.049382,15.061642,159.797896,156.600587,145.188541,139.876883,131.767202,115.599038,94.115094,61.348629,171.372448,158.544904,144.279216,140.646445,135.102,116.591783,94.470919,64.65587,246.547654,236.567661,214.313752,188.63566,155.05035,120.994346,92.812652,52.689497,401.933985,360.22373,343.771639,320.422861,281.466081,236.97129,150.843774,96.492736,7.853456,86.602533,281.985427,31.149089,138.792732,-2.738670976,-2.247300928,-0.382694208,0.0030762,-0.000268128,19.77685657,0.82276434,0.13198114
272,51.967505,49.731493,43.103795,34.736787,26.172575,18.517988,16.125552,15.061642,160.862969,157.398741,144.886013,138.631936,131.429284,115.4129,93.673316,61.017805,169.999733,155.619002,144.846615,139.778499,133.220575,116.51728,94.028942,62.157627,241.316152,231.886428,213.362631,187.222957,154.214832,120.173299,92.591863,51.397213,384.460979,353.899328,339.402431,314.238521,275.057607,232.82299,147.099879,104.360121,7.935693,86.82844,279.953339,33.369705,136.801029,-2.738670976,-2.004372608,-0.428274368,0.0017028,-0.000146034,19.76407707,0.84528954,0.138191974
273,51.498272,49.594612,42.966216,34.710544,26.146121,18.491351,16.136954,15.073052,161.17873,159.615642,144.557041,137.474443,130.614771,116.094236,93.757961,60.881767,169.553655,153.732033,144.630959,139.601159,132.367016,116.155962,93.0826,60.072824,237.292552,228.570479,212.765176,185.439841,153.201139,119.550292,92.308519,51.297461,370.089458,347.448959,333.960712,308.107274,271.076766,229.829901,143.350833,111.1344,8.235997,86.676002,277.685995,33.476597,135.778681,-2.465289536,-1.791797888,-0.534561728,0.0006048,0.000340746,19.79604677,0.86589234,0.144402808
274,51.814207,49.319033,42.837971,34.618804,25.978112,18.360218,16.157934,15.017828,160.552931,160.359435,143.746251,136.590826,129.772542,116.859731,93.336522,60.718198,165.5734,155.005708,143.555066,139.056139,131.636045,115.617927,93.323789,58.547672,238.181212,225.146361,210.768668,183.780882,152.34916,119.048741,91.445894,51.317804,356.38469,341.180107,328.336536,303.662577,267.169449,226.460324,140.368424,105.612358,7.776941,86.602533,275.459312,33.251578,134.800143,-2.115874816,-1.412228608,-0.762462528,0.0006048,0.000584136,19.71291717,0.88292394,0.148056052
275,51.84562,49.017477,42.646469,34.463343,25.896924,18.240454,16.114149,14.974014,159.102002,160.315692,144.005161,137.414188,128.454632,116.369886,92.07987,60.014058,165.37725,155.227859,142.075386,138.334045,130.991735,114.942327,93.060564,57.842691,235.910929,222.070804,209.239671,181.789821,151.926114,118.70761,90.999042,50.425467,348.416672,336.29735,322.492245,298.113338,261.843282,224.229991,139.657434,102.364147,7.438327,86.938651,273.087553,33.107151,133.978179,-1.614692096,-1.290714688,-0.215699648,0.0033516,0.00021945,19.69695327,0.90187794,0.151952686
276,51.313504,48.595508,42.482781,34.22349,25.69291,18.149141,16.098869,15.073052,156.958153,157.372108,144.897336,137.512135,127.802565,115.424042,90.888082,59.263681,165.819057,155.402505,142.32471,137.715803,130.150469,113.885646,92.199186,56.575637,234.3093,220.007266,208.500624,181.010963,151.417732,118.245366,90.101798,50.743263,340.913307,333.126958,316.787219,294.10317,256.766819,220.669701,136.949761,105.438415,7.291001,86.723727,271.271434,32.925187,133.306958,-1.386791296,-0.288548288,0.012201152,0.0028026,0.00021945,19.65538847,0.91753614,0.154266886
277,50.969802,48.32528,42.360054,34.062362,25.643824,18.137757,16.049382,15.023534,155.503243,154.587183,142.88284,135.918455,127.154537,114.259292,90.693207,58.700786,165.502924,153.682715,142.464552,136.498861,129.651212,112.907745,91.084304,55.827597,229.949037,218.401816,207.803438,180.808649,150.799548,118.234206,89.20856,51.508022,335.330539,329.693548,312.792708,290.635832,254.034349,219.454809,138.192895,101.372432,7.252736,86.466588,269.373948,33.225294,132.667941,-1.994360896,-0.759277888,-0.640948608,0.0030762,0.00021945,19.62662412,0.93072294,0.156823678
278,50.531705,48.219747,42.291224,33.805582,25.800577,18.10542,16.245499,15.02924,156.116645,153.567731,141.038204,134.832253,127.122694,113.744125,90.845804,58.411905,164.137639,153.005331,142.39463,135.600754,129.168942,112.17,91.384133,57.969684,227.948,217.648141,207.047039,180.050861,149.705725,118.277056,88.589292,50.922485,335.659082,332.506181,309.051119,287.903312,253.172765,219.226964,141.700511,97.351323,7.40579,86.650257,267.810188,32.925187,132.480037,-0.505840256,-0.015166848,-0.048605568,0.0028026,9.7356E-05,19.62341877,0.94445694,0.15816352
279,50.389335,48.22529,42.259592,33.661228,25.919539,18.263222,16.175037,15.149263,154.185693,152.586615,139.760964,134.612067,127.128303,113.93565,90.483589,58.196597,163.343817,151.986745,141.833542,135.079403,128.161681,111.878324,91.683992,58.232906,227.726402,218.792803,206.709755,180.018403,149.142886,117.798192,88.374312,50.151896,336.316113,329.985838,304.093256,283.799512,250.99865,217.593611,143.248808,89.549793,7.864906,86.797199,266.208133,34.799475,130.264251,-0.581774016,0.501142912,-0.549788288,0.003627,0.000340746,19.58187492,0.95407254,0.1609645
280,50.690664,48.304884,42.227959,33.741825,26.151773,18.306937,16.256899,15.116863,152.863102,150.847344,139.050058,134.241394,126.909215,113.234673,88.724649,57.907648,163.387585,151.006479,141.197075,134.294834,127.679818,112.515572,91.395143,59.489718,230.041724,218.342947,205.11453,179.642382,148.163458,117.058736,88.710537,49.713753,350.097682,325.051241,298.76026,280.652734,247.583432,215.161098,142.266827,80.593544,7.597097,87.091099,264.828754,21.382081,140.954383,-0.141298496,0.242988032,0.072908352,0.0033516,0.000340746,19.59144907,0.96313734,0.163886776
281,50.278397,48.114206,42.445586,33.661228,26.221637,18.339269,16.251199,15.111158,152.857422,148.453854,138.441205,134.198137,126.641498,111.891182,87.029102,58.122986,163.115413,151.304129,140.285249,133.574551,127.674207,112.212718,90.065409,59.557796,227.915792,215.070726,202.439493,178.109834,147.021657,116.047879,88.96229,49.52331,361.566152,319.604621,293.866374,278.545967,246.912924,213.493459,143.63227,73.7794,7.48804,87.133334,263.192941,-3.896132,159.378812,-0.976669376,-0.440316288,0.042554752,0.0028026,9.7356E-05,19.55950032,0.96945534,0.165956788
282,49.359125,47.712366,42.785869,33.704333,26.151773,18.34496,16.256899,15.116863,151.535504,147.134001,137.919192,134.166142,126.684547,111.228156,86.814216,58.459726,162.740469,149.983027,139.913444,132.715444,127.192478,111.698135,89.960585,59.26895,226.026982,213.936209,200.003583,177.35221,146.951601,115.383587,89.078048,49.565831,366.914603,312.904777,290.40439,276.585877,247.669786,213.232868,145.754889,79.211021,7.685066,87.212308,261.630671,-2.803452,158.015688,-0.034911616,-0.075874048,0.452577152,0.0025272,0.000340746,19.54031012,0.97027974,0.16705324
283,49.316582,47.447512,42.705929,33.54874,26.070599,18.225196,16.213118,15.187367,150.08923,146.863322,137.423714,133.897155,126.005113,110.888402,87.322966,58.527816,161.821392,148.68918,139.379484,132.258815,126.662197,111.729724,90.249295,59.226646,223.556591,212.371654,198.967538,176.506892,146.908075,115.005983,89.293073,49.44934,385.522647,308.973567,287.629259,275.615488,248.828114,212.16186,143.367797,87.387856,7.985397,87.353777,260.392457,-1.957479,157.059795,0.147309504,0.485916352,-0.185246528,0.0030762,0.000340746,19.56268472,0.97412454,0.167418724
284,49.723581,47.262262,42.519975,33.361234,25.995072,18.225196,16.175037,15.149263,148.422237,146.219851,136.783348,133.633837,124.845246,110.405783,87.506642,58.233401,160.870208,148.348311,138.398706,132.446719,126.137682,110.838389,90.396411,59.631378,223.36691,210.888245,197.975223,175.514734,145.81041,114.671222,89.550372,49.819148,401.0775,314.43368,287.06948,275.127375,249.04771,213.63992,140.417443,95.767005,8.170941,87.642226,259.078818,-1.267927,155.990244,-0.703287936,-0.440316288,-0.124539328,0.0028026,9.7356E-05,19.53071502,0.97220214,0.167662114
285,50.119394,47.140004,42.508839,33.199976,25.945999,18.251838,16.125552,15.023534,147.426416,146.019301,136.207222,133.020853,123.936622,110.060631,87.495645,57.743868,159.565641,147.958286,137.520224,132.360304,125.564669,109.862173,90.127956,59.951457,220.926575,207.984544,196.475086,174.625729,143.454206,114.027937,89.355581,49.549216,403.895751,319.159767,287.549836,273.270505,249.648173,215.503274,136.34732,101.261658,8.476942,87.458508,257.433366,-0.651133,154.812855,0.208116224,-0.060747008,0.756312192,0.0028026,0.00021945,19.54031012,0.97055334,0.167905504
286,50.087945,46.886136,42.365623,33.130568,25.951653,18.295555,16.169336,15.105453,148.681692,145.797923,135.497626,132.349774,123.344197,109.880633,87.464408,57.418039,157.290535,147.888226,137.375088,131.65203,124.933784,109.199878,89.067111,60.25123,218.843329,207.914107,195.488184,174.631443,141.986181,113.029972,89.103799,51.107218,402.022472,317.883488,289.660568,270.599711,249.503688,214.976675,130.52687,104.112336,8.865114,87.390519,256.054386,-0.029886,153.565737,-0.445033536,-0.470769408,0.999340032,0.0030762,0.00021945,19.58187492,0.96808194,0.16680985
287,49.427593,46.66929,42.073569,32.948604,25.957306,18.301246,16.136954,15.22547,148.04354,146.182006,135.014046,131.641369,122.71462,109.700652,87.727067,57.276272,159.120735,147.061033,137.229963,130.681192,124.340548,108.686161,87.896354,59.263443,218.051066,208.148223,195.379359,174.751616,141.614135,112.738302,89.035794,51.85146,400.282367,331.593147,292.348931,269.440914,249.272902,214.172405,135.857977,103.921929,9.012355,87.642226,254.813189,0.653656,152.57342,-0.779221696,-0.592183808,1.333528192,0.0033516,-2.4738E-05,19.59785977,0.96643314,0.166322272
288,49.945532,46.409781,42.073569,32.873563,25.919539,18.263222,16.213118,15.22547,149.445026,147.166195,134.524959,131.002739,122.266404,109.366738,87.396435,56.981681,156.992246,145.850144,136.702376,130.380849,123.779328,108.092893,87.124649,58.564202,215.237726,208.681144,194.577546,174.103027,141.500838,112.366832,88.999042,52.700551,399.311783,327.43322,294.198157,270.302156,246.011116,210.943995,132.291529,104.556105,8.826872,88.051936,253.320219,0.659385,152.047984,-0.323519616,-0.106327168,0.315936192,0.0030762,0.00021945,19.58187492,0.96093954,0.165956788
289,50.056495,46.001879,42.147982,32.948604,25.957306,18.263222,16.251199,15.149263,149.028281,146.219851,133.885578,130.214158,121.743633,109.292544,86.882179,56.871198,155.966551,145.736656,136.137267,129.93043,123.293084,107.685133,87.198138,58.674623,212.650513,207.957879,193.928415,173.607086,141.425311,111.884037,89.329828,52.552915,392.971228,322.558343,295.550747,272.335984,242.916072,209.257433,136.605229,106.691363,8.318223,88.040942,251.734449,1.337178,151.126414,-0.779221696,-0.713697728,-0.154892928,0.0030762,-2.4738E-05,19.56268472,0.95791734,0.166565662
290,50.500265,45.779333,41.961941,32.986123,25.730685,18.263222,16.289279,15.111158,147.059216,143.647848,133.171239,129.425926,121.29567,109.552238,86.808719,56.723879,156.156467,144.677726,135.53467,129.667738,122.956535,108.092893,87.565603,59.778536,211.394309,207.577166,194.577546,174.866079,141.349786,111.401375,89.660649,52.589825,389.899815,318.976682,296.256265,271.077594,240.286044,208.50147,136.046171,106.437734,8.017928,87.825953,250.352069,1.304614,150.563369,-2.100747776,-1.746217728,0.771538752,0.0030762,9.7356E-05,19.58826467,0.95846634,0.166444366
291,50.172986,45.710697,42.190756,32.9167,25.471889,18.230887,16.294979,15.154968,147.140585,140.933598,132.350083,128.306101,120.368378,109.780416,86.630574,56.508393,155.972238,143.436024,135.088482,129.335664,122.663029,107.950153,87.60785,58.459285,210.333824,206.250126,193.017647,176.703418,140.977856,110.516205,89.629391,52.595352,379.608633,315.86305,296.072069,269.478124,237.722942,207.358731,133.563537,106.585827,8.209194,87.899447,249.075886,1.91733,149.729485,0.071375744,0.349275392,0.908179712,0.0033516,9.7356E-05,19.58826467,0.95846634,0.164983228
292,50.036116,46.018535,42.201893,32.927931,25.256478,18.166215,16.382533,15.242582,145.033209,140.340961,131.572475,127.454968,119.894649,109.680203,86.384481,56.224719,155.793706,144.052032,134.610394,128.521695,121.590407,107.331154,87.361613,58.286248,210.53563,206.985068,192.532622,176.48587,140.498402,109.822465,89.677154,52.71713,363.674765,313.449312,295.230141,267.73422,236.1819,207.364431,131.953482,109.778241,8.406169,88.345939,247.917318,2.727291,148.939443,-0.505840256,0.015186752,0.619671232,0.0033516,9.7356E-05,19.57227982,0.95681934,0.165592102
293,49.327659,46.05007,42.34513,32.884795,25.06185,18.160524,16.376834,15.236878,146.578544,141.241284,130.365454,126.475037,119.665311,109.043987,85.975027,55.777062,155.446225,143.214966,134.266056,128.216107,120.800419,106.992119,87.062157,58.464794,210.111018,207.855073,190.311752,174.228904,139.737983,109.520218,89.708413,51.419338,377.697135,315.067767,295.419901,265.579103,236.074338,207.560607,135.116652,111.193736,8.144136,88.608709,246.720592,3.345775,148.339033,-0.308392576,-0.744051328,0.042554752,0.0028026,9.7356E-05,19.55308962,0.95654394,0.166444366
294,48.963104,45.944358,42.536678,32.777841,25.029709,18.204243,16.420609,15.242582,145.714002,140.265482,129.583091,125.694085,119.484455,108.048341,85.466452,55.156035,153.819464,142.200705,133.970664,128.334204,121.291545,106.404936,87.104398,58.507113,208.28824,206.375783,188.675038,171.106941,139.102299,109.340359,89.566876,51.498741,372.030267,311.688974,293.792639,263.075088,235.389324,205.802229,135.148643,102.818582,8.253169,88.492949,245.436799,2.688994,148.333366,-0.399453376,-0.546603648,0.710831552,0.0030762,0.000340746,19.57866957,0.95764374,0.16705324
295,49.470133,45.82198,42.451154,32.691555,25.09399,18.192861,16.371135,15.193072,144.795004,139.424105,128.934229,124.971544,119.100473,107.37009,85.345313,54.370731,153.011221,140.86804,133.696053,127.53574,121.317722,105.801317,87.05666,58.385665,206.52383,204.383666,189.274755,169.837289,138.78928,109.255099,89.261818,51.524615,367.884661,310.032451,291.721809,260.867174,233.797772,203.356976,133.037346,97.240754,8.323946,88.671225,244.302797,2.185404,148.365574,-0.840028416,-0.637763968,0.240002432,0.0028026,0.00021945,19.59785977,0.95874174,0.168636472
296,49.734655,45.864625,42.53111,32.659643,25.06185,18.236578,16.300678,15.198776,141.32482,139.656103,129.089853,124.00421,118.472453,107.22741,85.497675,54.118089,153.661977,140.60952,133.250307,126.716998,120.501696,104.585332,86.658002,58.391174,204.47083,205.036997,190.388142,169.233051,138.832638,109.223572,89.083548,51.197701,363.316694,320.159256,289.407644,259.570906,232.902409,201.004038,132.222024,96.920108,8.297143,88.68222,243.448606,0.167374,149.589241,-0.900735616,-0.425189248,0.422223552,0.0033516,0.00021945,19.56907447,0.95709294,0.16778341
297,50.036116,45.758898,42.57387,32.552667,25.256478,18.242269,16.306377,15.242582,141.519227,139.095917,129.132972,123.560945,117.360477,107.158847,85.539887,54.271136,150.481788,139.860589,132.428701,126.160769,120.171279,103.887916,86.296121,57.623518,202.798467,202.299282,190.088298,168.933812,138.385764,109.043742,88.243831,50.944615,352.07501,319.170725,287.930341,258.673946,232.751266,199.897819,133.725158,99.943865,7.876354,88.755732,242.432243,4.571218,145.840641,-1.720979456,-1.169200768,0.164068672,0.0030762,0.00021945,19.57548517,0.95709294,0.169245346
298,49.993593,45.79044,42.30793,32.359366,25.21303,18.198552,16.338757,15.198776,141.740105,138.713142,128.902343,122.844891,116.275292,106.782807,85.42424,54.191854,150.741449,139.176066,131.78411,125.481203,120.576372,103.808402,86.327362,57.765298,202.144278,202.064894,189.204078,168.585063,137.060885,108.370984,87.577005,50.458677,354.17014,312.411567,285.659353,258.619783,233.149924,200.643627,137.772789,103.546702,7.820924,88.923025,241.247868,1.069127,148.170537,-0.612127616,0.060766912,0.406996992,0.0030762,0.00021945,19.54351547,0.95269914,0.169488736
299,49.69766,45.530757,42.196325,32.17165,25.326401,18.046435,16.224518,15.236878,143.779985,138.788562,128.564873,122.097359,115.493929,106.375347,84.983662,53.97055,151.651385,138.912122,131.182937,125.181749,120.352353,103.475526,86.070216,59.053669,203.212326,201.188206,188.440139,167.327454,135.51665,107.555838,87.025992,50.606511,347.740823,305.747371,284.196659,259.384068,233.58244,201.347308,134.740469,106.115647,7.646807,88.718975,240.247488,-0.447131,148.717814,-0.688061376,0.212634432,0.133615552,0.0030762,0.00021945,19.57548517,0.95187474,0.170341
300,49.69766,44.936999,42.121915,32.021453,25.364189,17.932335,16.338757,15.198776,140.834138,141.165771,128.152499,121.835799,114.973216,105.634737,84.689968,53.859887,151.31012,141.817432,130.244007,124.732665,120.203024,103.179684,85.666163,58.538412,203.669998,198.137931,185.384268,165.003714,134.952002,107.407668,87.099455,50.569554,344.929402,302.470482,283.710178,260.910108,231.61176,199.243552,133.118131,107.961786,7.526301,88.823748,239.224132,5.484448,143.944134,-0.900735616,0.197407872,0.148842112,0.0030762,9.7356E-05,19.61063927,0.94720374,0.171680842
301,49.290654,44.417234,42.010292,31.871234,25.21303,17.856262,16.300678,15.236878,142.608699,141.769953,127.890129,121.499567,114.638555,105.116482,84.506419,54.118089,150.817265,140.496316,129.455687,124.470754,119.867081,102.772973,84.968344,59.200864,205.195286,196.383451,182.710425,163.061933,134.839093,107.25951,87.393325,50.75433,344.023567,300.268786,282.901613,260.915696,228.591439,197.303234,133.424432,111.305095,7.723325,88.866003,237.985323,6.294127,142.778299,-2.525996736,-1.199554368,-0.109312768,0.0030762,0.00021945,19.59144907,0.94308354,0.169975516
302,49.179633,44.194412,41.67536,31.758556,25.137443,17.970369,16.300678,15.236878,140.004024,141.769953,127.552854,121.238099,114.118098,104.487361,84.249462,54.191854,151.348036,138.308954,128.892817,124.134069,119.680474,102.329383,84.270635,58.57522,204.47083,194.247097,181.526367,162.452952,135.51665,106.592946,87.099455,51.08687,343.757476,298.859115,282.076181,259.036536,226.194768,197.253652,132.098096,112.593684,7.941418,89.14908,236.917641,4.789513,143.484923,-2.601930496,-0.668117568,0.133615552,0.0030762,9.7356E-05,19.61063927,0.93868794,0.171558748
303,49.100074,44.040281,41.223062,31.640244,25.09399,18.00271,16.294979,15.154968,139.922929,141.990915,127.060185,121.23251,113.40645,103.926889,83.7668,54.333853,151.569868,138.378697,128.024486,123.567476,119.600254,102.065137,83.861253,57.980706,201.909677,195.538512,181.215099,162.71367,135.887541,105.884068,86.579743,51.007446,338.875998,293.66947,278.006149,256.761156,223.547696,196.076245,134.208314,113.453856,7.679341,89.007539,235.677677,-3.158276,149.469889,-2.328549056,0.197407872,0.255129472,0.0033516,9.7356E-05,19.59144907,0.93484314,0.17362876
304,48.920549,44.26869,41.191401,31.683431,25.099647,18.160524,16.376834,15.160672,140.607709,139.467475,126.092081,120.640607,113.077652,103.636523,83.478673,54.67125,150.893082,138.949826,127.430194,122.675861,119.008859,101.775032,83.976894,56.586666,200.122092,192.415601,179.654947,162.833553,134.801458,105.482532,85.997648,51.197701,325.982598,290.090319,276.225686,254.927269,220.93051,195.160177,132.667211,111.707916,7.832373,88.934021,234.318126,-3.624132,149.128875,-2.024814016,1.199574272,0.558864512,0.0030762,9.7356E-05,19.62341877,0.93017214,0.174359728
305,48.587373,44.677144,40.930724,31.683431,25.06185,18.198552,16.338757,15.27498,138.646404,138.826273,125.418292,120.565935,112.966213,103.414626,82.964879,54.744992,149.793956,138.572817,127.205283,122.414262,118.598557,101.146951,83.573029,55.112375,199.854963,190.660193,178.432929,162.1485,133.183883,104.927569,85.520292,50.791282,313.642447,290.976289,274.295427,253.42914,219.336349,194.778457,131.615498,110.334664,8.29142,89.301626,232.957848,-0.106748,146.024155,-1.660172736,0.698491072,0.391869952,0.0028026,0.00021945,19.57227982,0.92330514,0.174116338
306,48.592914,44.682701,40.563805,31.613923,25.029709,18.356341,16.344456,15.356883,138.614348,137.700895,125.124516,120.683531,112.711776,103.235263,82.493319,54.639898,148.360149,139.671988,127.473291,122.120933,118.492253,100.930847,83.468382,55.191635,197.608755,191.047534,177.942235,161.431227,131.911503,104.452267,85.415636,50.501171,303.649841,290.786212,272.766871,251.437013,215.607907,188.167262,129.658333,108.919846,8.668174,89.369653,231.591195,14.651319,134.096639,-0.915962176,1.123640512,0.346289792,0.0028026,0.00021945,19.55950032,0.91588734,0.176064256
307,48.333723,44.459926,40.228458,31.613923,25.029709,18.50842,16.344456,15.280683,136.353786,136.269218,124.712955,120.160884,112.451815,103.050385,82.052997,54.529277,148.398019,138.917766,127.360829,122.04621,118.305796,101.263302,83.615235,56.59218,195.432565,193.260785,177.827683,160.860568,131.53579,104.48925,85.342203,49.724827,295.230365,288.138359,271.328415,248.596684,208.923828,175.4258,124.874908,107.74503,8.794351,89.821842,230.505641,21.848404,128.399837,-1.705752896,-0.470769408,0.467803712,0.0028026,0.00021945,19.58187492,0.90709794,0.17594296
