Time,TC1_BED1_0-03mBC,TC1_BED1_0-30mBC,TC1_BED1_0-61mBC,TC1_BED1_0-91mBC,TC1_BED1_1-22mBC,TC1_BED1_1-52mBC,TC1_BED1_1-83mBC,TC1_BED1_2-13mBC,TC2_BED2_0-03mBC,TC2_BED2_0-30mBC,TC2_BED2_0-61mBC,TC2_BED2_0-91mBC,TC2_BED2_1-22mBC,TC2_BED2_1-52mBC,TC2_BED2_1-83mBC,TC2_BED2_2-13mBC,TC3_BED3_0-03mBC,TC3_BED3_0-30mBC,TC3_BED3_0-61mBC,TC3_BED3_0-91mBC,TC3_BED3_1-22mBC,TC3_BED3_1-52mBC,TC3_BED3_1-83mBC,TC3_BED3_2-13mBC,TC4_BED4_0-03mBC,TC4_BED4_0-30mBC,TC4_BED4_0-61mBC,TC4_BED4_0-91mBC,TC4_BED4_1-22mBC,TC4_BED4_1-52mBC,TC4_BED4_1-83mBC,TC4_BED4_2-13mBC,TC5_LR_0-03mBC,TC5_LR_0-30mBC,TC5_LR_0-61mBC,TC5_LR_0-91mBC,TC5_LR_1-22mBC,TC5_LR_1-52mBC,TC5_LR_1-83mBC,TC5_LR_2-13mBC,TC_DataRoom,TC_Bed1DoorIN,TC_Bed1DoorOUT,TC_DoorknobIN,TC_DoorknobOUT,DP_FRW_1-2mBC,DP_OBW_1-2mBC,DP_CBW_1-2mBC,CO2_OB_1-0mAF,CO_OB_1-0mAF,O2_CB_1-0mAF,CO2_CB_1-0mAF,CO_CB_1-0mAF
10,14.473938,14.57642,14.584047,14.114258,14.163239,13.742235,13.709199,13.101846,18.241761,18.088144,17.856078,17.743444,17.201867,17.028147,16.189145,10.654373,18.322723,17.330899,17.409021,16.982767,17.249468,11.328192,10.807913,14.726181,20.154729,19.142062,18.501747,18.186525,17.478193,16.533597,15.869798,14.587997,24.675412,23.576127,23.148167,22.214563,20.762397,19.475978,16.614946,15.599112,8.922771,16.443645,19.465946,13.990028,14.607019,0.162536064,0.121474112,1.060146752,0.0025272,0.001558494,20.94680932,-0.00271926,-0.001729346
11,14.359546,14.5383,14.584047,14.152396,14.125103,13.742235,13.785492,13.101846,18.165729,18.126172,17.818051,17.743444,17.201867,16.952007,16.189145,10.654373,18.436748,17.254812,17.409021,17.058886,17.249468,11.366405,10.769685,14.726181,20.154729,19.142062,18.577785,18.186525,17.516242,16.571662,15.869798,14.626107,25.096942,23.619643,23.30524,22.182355,20.730151,19.481669,16.62065,15.719089,8.813776,16.525518,19.547603,14.033883,14.650851,0.238469824,0.151827712,0.270356032,0.0019782,0.001315104,20.94680932,-0.00024786,-0.001972736
12,14.485374,14.587856,14.55736,14.125697,14.136541,13.791826,13.758787,13.113292,18.21515,18.137578,17.867486,17.868983,17.213281,16.963422,16.162481,10.551212,18.296116,17.342311,17.420433,17.070301,17.260882,11.377863,10.895827,14.737615,20.242056,19.191426,18.627203,18.159917,17.489604,16.545017,15.919316,14.713757,28.386049,23.890187,23.537973,22.415328,20.92548,19.639271,16.664409,15.839055,8.551794,16.531223,19.629255,14.039597,14.732801,0.147309504,0.136700672,0.467803712,0.0025272,0.001680588,20.96597857,0.00085194,0.000340666
13,14.473938,14.57642,14.545924,14.114258,14.163239,13.742235,13.709199,13.140002,18.165729,18.088144,17.856078,17.819532,17.201867,16.913935,16.151059,10.50154,18.322723,17.330899,17.409021,17.058886,17.249468,11.404618,10.807913,14.688057,20.1927,19.255965,18.577785,18.148512,17.516242,16.533597,15.984077,14.664215,33.942794,25.547981,23.872807,22.75051,21.147329,19.785473,16.848964,15.985679,8.163567,16.487435,19.585585,14.033883,14.688971,0.162536064,0.683364032,0.650024832,0.0025272,0.0014364,20.97875807,0.00194994,0.00046276
14,14.479656,14.582138,14.513519,14.119978,14.168959,13.633502,13.71492,13.145725,18.247464,18.055817,17.899808,17.825237,17.207574,16.919643,16.118683,10.583689,18.366434,17.260519,17.414727,17.064594,17.3313,11.333921,10.813643,14.693775,20.12245,19.223696,18.583486,18.078184,17.369745,16.425107,15.989789,14.669933,39.413062,26.31457,24.035446,22.686123,21.158694,19.87279,16.898418,16.111328,7.983762,16.422673,19.558984,13.969031,14.662275,0.116955904,0.759297792,1.044920192,0.0011538,0.001315104,20.95638347,-0.00162126,0.001315024
15,14.441527,14.505897,14.551642,14.119978,14.168959,13.747956,13.71492,13.107569,18.209448,18.131875,17.861782,17.787193,17.131502,16.919643,16.042506,10.507271,18.44245,17.260519,17.376668,17.026535,17.293238,11.333921,10.851871,14.731898,20.12245,19.185729,18.545468,18.002149,17.369745,16.577371,15.951697,14.70804,43.057007,26.384412,23.954129,22.491083,21.039251,19.829132,17.006853,16.257922,8.054539,16.455054,19.629255,13.963316,14.618443,0.041022144,0.455562752,0.832245952,0.0008784,0.001558494,20.97236832,-0.00134586,0.001315024
16,14.43009,14.570702,14.502083,14.108538,14.119383,13.736514,13.703477,13.134278,18.236059,18.158497,17.850374,17.775784,17.234195,16.946298,15.992991,10.457598,18.431046,17.287149,17.403315,17.091236,17.205697,11.360676,10.840409,14.796707,20.111062,19.136363,18.610102,18.142809,17.434437,16.527887,16.054545,14.658497,48.812882,26.201314,24.111088,22.648253,21.082856,20.024652,17.240801,16.492045,7.830738,16.422673,19.7109,14.045311,14.700394,0.041022144,0.744071232,0.209549312,0.0008784,0.001680588,20.95958882,0.00057654,-2.40198E-05
17,14.359546,14.500179,14.545924,14.152396,14.086965,13.665933,13.709199,13.101846,18.241761,18.126172,17.932129,17.857575,17.163832,16.913935,16.074883,10.50154,18.436748,17.330899,17.409021,17.096944,17.249468,11.328192,10.807913,14.726181,20.002831,19.180031,18.653819,18.148512,17.402091,16.495531,16.060257,14.702322,52.615436,25.780279,24.445748,22.831917,21.342588,20.170807,17.387243,16.638598,7.442409,16.531223,19.819136,14.001457,14.656563,0.041022144,1.882878592,0.619671232,5.58E-05,0.001558494,20.95319907,0.00030294,-2.40198E-05
18,14.435808,14.5383,14.584047,14.037979,14.086965,13.665933,13.709199,13.063689,18.241761,18.1642,17.894104,17.819532,17.163832,16.913935,16.074883,10.539749,18.360732,17.330899,17.447079,17.058886,17.211404,11.328192,10.84614,14.726181,20.040808,19.142062,18.615803,18.034464,17.325985,16.533597,16.098346,14.664215,54.68205,25.553642,24.634773,23.172648,21.607941,20.322631,17.501338,16.75278,7.404147,16.531223,19.781162,14.077736,14.656563,-0.080491776,1.214800832,0.422223552,-0.0007686,0.0014364,20.93082447,-0.00079686,0.00021937
19,14.353827,14.494461,14.540206,14.108538,14.119383,13.736514,13.741625,13.057966,18.160026,18.044411,17.850374,17.813828,17.158124,16.83208,16.031082,10.534017,18.27901,17.287149,17.327194,17.091236,17.243761,11.322463,10.802182,14.720463,20.073088,19.2123,18.610102,18.066777,17.396385,16.451754,15.978364,14.696605,56.55654,25.396863,24.553501,23.091266,21.602261,20.392849,17.571696,16.861249,7.85753,16.487435,19.813446,13.957602,14.650851,-0.141298496,1.548889472,0.164068672,-0.000495,0.001315104,20.94039862,-0.00299466,0.001680557
20,14.403396,14.582138,14.589765,14.158116,14.168959,13.786106,13.71492,13.031255,18.247464,18.131875,17.899808,17.787193,17.169539,16.843497,16.042506,10.583689,18.366434,17.298563,17.338607,17.026535,17.293238,11.333921,10.775416,14.731898,20.12245,19.10979,18.583486,18.1162,17.407798,16.539307,16.142145,14.669933,57.457171,25.187131,24.532693,22.843265,21.46768,20.447858,17.740895,16.954465,8.027748,16.466463,19.868486,14.012885,14.744224,-0.065364736,0.865585152,0.027328192,-0.000495,0.001558494,20.91483962,-0.00354366,-0.001607252
21,14.409114,14.549736,14.55736,14.087558,14.098404,13.753677,13.758787,13.113292,18.177134,18.175605,17.829459,17.792897,17.175246,16.887279,16.048217,10.58942,18.372136,17.266226,17.382374,17.070301,17.260882,11.301437,10.781146,14.699492,20.09017,19.26736,18.627203,18.121902,17.451554,16.468885,16.07168,14.789968,59.623427,25.105887,24.716039,23.102612,21.803122,20.70779,17.925298,17.062918,8.060271,16.498843,20.052641,14.045311,14.738513,0.041022144,1.230027392,0.862699072,-0.0002196,0.001680588,20.90206012,-0.00162126,-0.001241768
22,14.441527,14.505897,14.551642,14.081839,14.168959,13.709806,13.71492,13.069413,18.133414,18.169903,17.937833,17.825237,17.169539,16.843497,16.080595,10.660104,18.366434,17.260519,17.376668,17.064594,17.217111,11.257493,10.775416,14.731898,20.008525,19.185729,18.697534,18.192228,17.407798,16.501241,16.104057,14.669933,66.122321,28.42084,25.277214,23.702466,22.17635,21.081456,18.071661,17.095266,8.169299,16.531223,20.198807,14.039597,14.770919,-0.034911616,0.850358592,1.044920192,-0.0002196,0.001558494,20.93082447,-0.00354366,-0.001120472
23,14.485374,14.511615,14.55736,14.087558,14.098404,13.753677,13.720641,13.151448,18.21515,18.09955,17.943536,17.754853,17.137209,16.849205,16.086307,10.58942,18.486156,17.342311,17.344314,17.070301,17.298944,11.301437,10.742918,14.699492,20.09017,19.229394,18.627203,18.121902,17.527653,16.506951,16.147856,14.713757,70.756769,33.731006,26.496788,24.394619,22.490736,21.434128,18.273104,17.22081,7.912983,16.504547,20.551778,14.051025,14.744224,0.223243264,1.214800832,1.181561152,-0.0002196,0.001680588,20.94999372,-0.00217026,-0.000389504
24,14.441527,14.505897,14.551642,14.119978,14.092685,13.747956,13.753067,13.107569,18.247464,18.093847,17.899808,17.787193,17.131502,16.919643,16.042506,10.660104,18.480455,17.222474,17.300546,16.988475,17.293238,11.257493,10.813643,14.731898,20.12245,19.261663,18.583486,18.154214,17.407798,16.425107,16.142145,14.70804,73.025201,39.184712,29.392908,26.240136,22.712282,21.693839,18.49543,17.291198,7.677706,16.498843,20.697883,14.083449,14.77663,0.147309504,1.245154432,0.847472512,-0.0007686,0.001680588,20.97236832,0.00140094,0.00046276
25,14.496809,14.52305,14.568794,14.137135,14.109842,13.726967,13.732081,13.086581,18.226554,18.110954,17.992965,17.880389,17.186658,16.860621,16.05964,10.677296,18.573565,17.239593,17.355725,17.081715,17.310356,11.274679,10.792606,14.710925,20.1775,19.278754,18.638603,18.247345,17.462965,16.556435,16.235448,14.687083,83.379468,41.87835,32.560668,28.589165,22.950804,21.894725,18.65881,17.416722,7.574391,16.51025,21.050703,14.094876,14.864282,-0.019784576,0.911065792,0.923406272,-0.0002196,0.001558494,20.96918392,-0.00134586,0.000584854
26,14.491092,14.517333,14.486831,14.055138,14.180397,13.759397,13.764508,13.080859,18.182836,18.105252,17.949239,17.874686,17.142916,16.892987,16.053929,10.633359,18.453851,17.309975,17.388079,17.076008,17.228524,11.268951,10.748648,14.743332,20.665333,19.235091,18.632903,18.279655,17.495309,16.51266,16.267822,14.681367,90.463015,43.248892,36.936049,29.524697,23.323652,22.040645,18.729104,17.563173,7.492137,16.54263,21.120885,14.089163,14.820457,0.192889664,1.260380992,1.151207552,-0.0007686,0.001801884,20.94039862,-0.00244566,-0.001729346
