Time,HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Water In,TC Water Out,TC Ambient,Event,Event
10,3.131623,2.8793891,1.8768855,1.0509764,0.5993287,0.4141628,2.4214717,2.1502835,1.4291396,0.9756619,0.5117262,0.2682316,-661.1752922,195.5093689,80.4363861,53.9359932,33.7933006,33.412323,30.5387821,29.9082699,27.9989491,28.2273178,28.5117702,28.5024452,25.0168419,21.196085,31.7640343,22.0920429,20.7491417,20.4237537,18.8406296,19.2914867,18.9235535,19.2375393,19.5565853,19.2258816,15.513175,23.2565517,22.7153244,20.2274456,3321.273926,3319.713135,19.2816029,19.2939014,19.1189423,19.4558868,17.0431824,18.1804333,18.4634209,18.6673794,18.7236958,18.4463558,18.3561001,18.3119259,18.6949158,18.7520485,18.7650433,21.3543243,20.7728062,21.6971588,0,10
11,2.826389,2.5933773,1.68225,0.9228685,0.5492028,0.4789944,2.290104,2.0116593,1.2979547,0.8927906,0.4643024,0.2499041,-661.1752922,198.3607025,74.8016815,50.7200851,32.2528305,33.1307564,30.2929897,31.6295242,29.3983364,27.8472519,27.7495365,27.7847328,24.5094223,21.1856689,32.7651329,22.4200821,20.9493675,20.6532135,18.832468,19.8621216,19.1023064,19.4427586,19.5195694,19.277359,15.56252,23.6908054,23.1170578,20.3904438,3321.272949,3319.711914,19.4112797,19.3279076,19.1347179,19.4253178,17.0388145,18.21105,18.4780579,18.6462879,18.6881733,18.4457932,18.380249,18.33531,18.7871113,18.84692,18.8097305,21.3355503,20.7779388,21.7337494,0,10
12,3.5970574,3.524742,2.5032243,1.4073227,0.7267412,0.4555914,2.9416475,2.7538035,1.885357,1.2939929,0.6332021,0.3331316,-661.1752922,247.249649,94.0719528,70.5730362,33.9813881,33.2925262,31.5825195,32.7356262,32.5856819,30.3745461,28.2128448,28.0725384,25.6049271,21.1857262,33.9653282,22.9460011,21.2651424,20.8411255,18.8564625,19.9525414,19.2934246,19.8573055,19.8176861,19.3989639,15.6825771,24.3403072,23.688488,20.5988083,3321.272949,3319.712158,19.6049576,19.7894096,19.168211,19.5909748,17.0407734,18.220993,18.4701347,18.637598,18.6859512,18.4530773,18.4141388,18.3452492,18.8533134,18.9184532,18.8265171,21.3363667,20.7795143,21.7626152,0,10
13,4.3260169,4.3137773,3.1224911,1.8138978,0.9679489,0.5726064,3.4101335,3.2728823,2.3204156,1.6279445,0.8288146,0.4443659,-661.1752922,256.5866699,106.9652176,85.9075928,42.3723679,38.679863,40.3788414,45.6328354,39.1070213,35.8014526,31.5722084,30.4223156,26.0231094,21.1851406,36.6418457,23.8018742,21.8088951,21.2468872,18.8858967,19.9037361,19.3110695,19.7534904,19.8300076,19.4883919,15.7463665,25.3016434,24.572588,20.92029,3321.273682,3319.712891,19.7683563,19.7835083,19.2124577,19.8452015,17.0382843,18.2470226,18.4824677,18.6332073,18.6804237,18.4718819,18.4439621,18.3716507,18.8531075,18.9539833,18.8650932,21.3638573,20.791832,21.7419376,0,10
14,4.408013,4.4720714,3.428281,2.1743343,1.259209,0.7733875,3.5253639,3.425111,2.5232151,1.8403845,1.0272167,0.5766254,-661.1752922,285.6193542,118.7982254,101.7380295,45.5588493,44.0554924,45.4144554,52.1002312,45.0833015,41.0432129,36.9238434,36.4823952,30.4002647,21.1961231,40.419323,24.7215691,22.442791,21.7641792,18.9132423,20.1561871,19.4417057,20.0168514,19.8858032,19.5537014,15.8423424,26.2902546,25.5222969,21.3260517,3321.276367,3319.715332,20.0359135,19.6790676,19.2519569,19.8201275,17.0534954,18.2397861,18.4832172,18.6419411,18.6777515,18.4996262,18.4743614,18.3811417,18.8223038,18.9623337,18.8833313,21.3630848,20.7994118,21.8207741,0,10
15,4.3850256,4.5970832,3.7877263,2.4686718,1.4386611,0.8492012,3.5432662,3.5536492,2.7466851,2.0424655,1.1581604,0.6474758,-661.1752922,339.3465881,154.3447723,117.1088181,49.4660568,49.5987396,47.4431572,54.5845261,46.7012901,40.8643608,37.3200645,35.5490417,29.9776573,21.1772461,43.7532196,25.7259655,23.1889286,22.3366642,18.953598,20.6834126,19.6195011,20.4281864,20.3303432,19.6950436,15.9498291,27.3165073,26.5354519,21.7537441,3321.270996,3319.710449,20.3771,20.3693371,19.3382759,20.0609264,17.0665169,18.222374,18.4802551,18.646965,18.6782093,18.4837379,18.4782429,18.3762779,18.7798061,18.9510098,18.8617401,21.3889637,20.7884827,21.8075867,0,10
16,4.338577,4.8227538,4.2690878,3.0025368,2.0336206,1.2179689,3.7263237,3.8806244,3.1583062,2.4546844,1.4086357,0.7900494,-661.1752922,379.8577271,191.2237549,146.8451233,61.3927345,56.8804398,50.9987869,55.5084572,50.1398201,47.2641754,43.2373734,41.5304642,33.4019661,21.1737785,45.6235466,26.6855087,24.0324631,23.1484661,19.0196514,20.7763138,19.8176384,20.5104408,20.5036983,19.8578796,15.9444399,28.3322163,27.5784454,22.2959366,3321.270752,3319.710205,20.8576126,20.527916,19.3952045,20.3182392,17.0538998,18.225359,18.485899,18.6495705,18.6861324,18.454401,18.4964294,18.3754616,18.7786121,18.9365082,18.8670063,21.360075,20.8024693,21.8405075,0,10
17,4.2425989,4.7402244,4.2155861,2.9938653,2.1892979,1.8141774,3.6317692,3.8543538,3.2237359,2.5745519,1.5493853,0.8954127,-661.1752922,417.0424194,255.8111115,197.1893768,86.6528625,73.4529495,56.7809525,58.4297409,50.7032318,46.4531288,43.2830734,40.6146164,33.8285179,21.1885414,47.2488594,27.581995,24.8417225,24.414114,19.0686417,22.3349552,20.2913246,21.5825806,21.2361279,20.0271797,15.881958,29.305212,28.655489,22.818594,3321.273193,3319.712402,22.5135937,21.2934341,19.5106602,20.4077911,17.0512142,18.2241974,18.4965191,18.6427059,18.6967545,18.468071,18.4998322,18.3959656,18.7656631,18.9026508,18.8517761,21.3600521,20.8089008,21.8655052,0,10
18,4.4658368,5.126895,4.771973,3.5833583,2.3638184,1.4821426,3.962836,4.3382487,3.8246474,3.1883585,1.9131367,1.0889224,-661.1752922,463.9037476,351.5148926,290.802124,113.0898056,90.0897903,68.5773544,67.6412201,57.3786774,53.8400955,49.6391182,45.0921021,36.0295219,21.1813736,47.785408,28.521492,25.6867123,24.9980412,19.1211033,22.5316105,20.697731,22.3925133,22.3815022,20.3650246,15.9078894,30.2536755,29.8203278,23.4583855,3321.274902,3319.714356,23.5442753,21.9584484,19.6250172,21.0801601,17.0763683,18.2356377,18.5144157,18.6176434,18.6929855,18.4745655,18.4907417,18.3857365,18.7352829,18.8768291,18.8571301,21.3487015,20.8358784,21.8477211,0,10
19,4.130032,4.5088714,3.9219417,2.9356196,2.103473,2.0610829,3.813566,3.9592016,3.3974013,2.7838677,1.8346043,1.116612,-661.1752922,487.2501221,384.5343018,353.8269043,136.9169312,104.3040085,81.8262711,79.3063736,62.221653,56.1476173,52.7584839,49.0817909,38.6722565,21.1751862,48.9069443,29.1727028,26.3405628,25.4397964,19.1821442,23.7040806,21.050745,22.5559692,22.4548683,20.6624031,15.8993883,31.0485859,30.9404888,23.9391651,3321.270752,3319.710205,23.8403397,22.1288681,19.7498474,21.2044487,17.0587406,18.2625103,18.5275936,18.5992718,18.6525841,18.4516315,18.4765549,18.3761139,18.7229977,18.8675861,18.8444653,21.3709698,20.8399334,21.8078003,0,10
