Position,0.2 m,0.4 m,0.6 m,0.8 m,1.0 m,1.2 m,1.4 m,1.6 m,1.8 m,2.0 m,2.2 m,2.4 m
0,666.9588237,643.1655436,576.6966207,352.5886465,356.8543152,306.3060659,233.0218124,201.3454895,178.9683395,150.5042267,139.8512329,111.9069349
0.15,565.1516235,493.7617076,372.7990285,183.0421651,178.3771118,145.6120811,108.1241397,93.69311524,85.78172379,80.67804311,73.59915276,65.78635303
0.305,708.1066176,631.7735925,487.8619402,255.5572666,218.1749054,160.6010846,113.3280311,94.43946601,79.8894218,71.16250598,64.40236727,56.95614552
