Time,HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Water In,TC Water Out,TC Ambient,Event,Event
10,26.9138063,31.550377,22.9997547,15.4237734,13.2203029,7.8623013,12.1088947,15.8074729,13.1539117,14.2786435,11.4617143,8.1085897,-661.1752922,436.3199463,532.1660767,489.528656,233.6554108,220.0526581,173.5536346,152.6557159,122.7963867,110.536499,94.4172897,87.3102722,62.7791634,20.0813084,124.7884674,56.7715225,63.8658295,72.2473068,40.2839241,57.1008072,31.4715042,35.8880157,31.6302338,25.6392231,16.857029,73.4676285,108.1018677,45.8896637,3319.97876,3318.408447,86.7380447,48.1381683,23.7038555,30.0613251,19.494173,19.5159664,20.252203,20.2393494,20.2068863,20.1316948,20.3511105,20.2306232,19.8873138,20.0861225,20.3362465,20.0664864,20.4471416,21.1151161,0,10
11,34.2730737,35.5180123,30.5494897,21.5330342,15.3845483,12.2263935,10.8501853,14.3604793,15.5477919,18.3878433,12.8095299,9.1894357,-661.1752922,462.0289612,552.9971313,520.7003784,255.1061707,232.3847504,186.690918,146.8278351,117.4618454,102.3570786,89.4620056,82.9095078,59.9578476,20.0884094,137.3829498,61.205616,67.1861267,75.8073883,43.2859993,62.7066269,33.4535751,38.6579361,32.8387566,26.1572361,16.8139133,88.8361053,127.4528961,49.8400345,3319.978516,3318.408203,89.9399643,52.3041573,24.2924728,30.5505352,19.5802975,19.5143414,20.2456455,20.2453194,20.180212,20.1456394,20.3863029,20.2210293,19.9289875,20.0970325,20.3410759,20.0956268,20.5662365,21.2249985,0,10
12,27.9615078,28.1336595,23.2906317,16.8563574,14.6671816,8.7279852,11.746814,13.865091,10.2398492,10.4336782,9.0737034,7.0503556,-661.1752922,482.818634,565.5739746,533.7602539,264.1825562,251.5732727,196.4797668,160.1545105,121.9476318,108.347229,94.7693939,86.4818192,60.600769,20.0867195,143.3678741,65.2366257,70.029129,78.9002151,44.5897751,60.3115578,34.4086418,38.6111412,33.1941605,26.6496449,16.8700714,96.0613251,128.0274811,52.8970947,3319.977783,3318.407715,88.6232224,52.1847115,24.6670876,31.2134533,19.6735668,19.5225258,20.2519245,20.2516022,20.1770039,20.1610374,20.3823338,20.2231369,19.9307137,20.145853,20.3390064,20.1060905,20.5926361,21.2957458,0,10
13,25.0629698,27.9580477,24.7605447,18.1765402,14.4455531,10.5934849,14.9679705,22.3000619,13.0941787,13.4704838,11.8933466,7.170238,-661.1752922,494.6812134,578.6001587,555.3363647,274.1150513,260.6094971,217.1186981,174.0564423,122.2334366,104.2550125,90.638176,86.1203461,61.663063,20.087122,144.3209229,69.8721161,72.1924973,80.6082611,45.9661942,62.1019783,34.8640633,38.4619446,32.4975548,26.9085159,16.9035873,110.2173233,124.0235672,56.5108948,3319.97583,3318.405518,86.0389404,51.5124283,24.9948959,30.9902363,19.7260056,19.4986191,20.2511883,20.2402344,20.1717148,20.1257458,20.3679371,20.2425137,19.9166851,20.1534748,20.3306751,20.0742092,20.687933,21.333313,0,10
14,27.9503696,28.4654006,27.1040112,20.4023137,15.9350497,11.4742407,10.5188664,15.1157589,12.3135797,13.0650064,11.1633925,7.3303457,-661.1752922,506.7812805,583.6921387,580.5032349,288.866333,274.3840332,234.0139618,186.004837,126.7412872,109.8949203,95.95578,89.5924072,63.7294807,20.0822105,144.9101257,73.985199,74.4152756,84.8486328,48.9201393,69.1168823,37.2054482,41.9236221,34.6306419,27.3377914,17.0322399,119.8508606,128.9295807,60.4989662,3319.976807,3318.406982,86.0235519,53.2417641,25.6210976,31.7973022,19.7324791,19.4891415,20.2432365,20.2356949,20.1804619,20.1356354,20.3706093,20.252018,19.9277191,20.1702003,20.3284149,20.0734673,20.8446999,21.3223324,0,10
15,28.2435174,29.0726006,25.6756082,15.6664095,13.0150886,9.2659514,9.1282849,14.2007447,11.6677464,12.0062598,10.4205047,6.224825,-661.1752922,529.8555298,603.743042,591.8500366,303.4346924,286.0189819,250.598938,202.9611969,143.7517548,121.0024033,99.4047012,90.3435974,63.2687988,20.0851002,149.1352844,77.7252426,74.9972992,87.1269302,50.9149246,68.724205,38.7387009,43.7940369,37.1248322,27.9827175,16.9909935,117.9557114,130.6309052,63.7695732,3319.978272,3318.407959,83.3409958,55.0546875,26.5914383,33.3332748,19.7612,19.4897575,20.257513,20.2366905,20.1852512,20.143465,20.3549061,20.2625027,19.9442844,20.160944,20.3259907,20.0756016,20.9485359,21.2603741,0,10
16,28.2928099,25.8761418,22.5039415,15.5171956,11.7245497,8.0524034,15.8678771,23.9067901,16.7797256,14.5499484,11.4813262,6.7071316,-661.1752922,548.6525269,593.6444092,584.3381348,316.191864,300.5893555,247.734848,203.5580444,149.246521,124.9355469,106.9368973,96.6710205,67.7315826,20.0818233,155.1057129,81.0066681,75.5880203,87.0789337,51.8384018,65.5961685,38.6843605,43.0374489,36.9485893,28.6365719,16.8579254,125.7663345,143.3193054,66.8114395,3319.980713,3318.410645,83.2765656,52.6441078,27.1334591,33.9943848,19.7552586,19.4891319,20.2572708,20.233408,20.1948757,20.1428432,20.3425159,20.2675743,19.9934101,20.1603184,20.3128338,20.0901699,21.0302544,21.0557003,0,10
17,26.7159255,30.6466124,29.2943522,17.885475,12.7953739,8.2817377,20.575178,32.0220573,21.4711319,21.3881462,11.6385601,7.6055754,-661.1752922,569.1607056,607.5645142,568.0665283,309.02771,306.0919495,253.6788025,197.7314301,150.8309326,126.3614426,108.8651657,98.4468079,70.611969,20.0820312,157.9574432,83.9434814,75.6689224,86.4598312,52.3803825,66.2677765,39.1083527,43.177742,37.2809715,29.0216618,16.8223572,147.0449829,165.8651886,70.1079941,3319.980225,3318.409912,86.5930176,55.1505127,27.5063305,34.2557945,19.6874828,19.4775677,20.2498913,20.2343769,20.2136822,20.1460876,20.3704319,20.260191,19.9818478,20.1681232,20.3316536,20.0444202,21.1226673,20.9948387,0,10
18,28.8916657,27.7034242,25.3944168,17.8948008,13.2585782,8.8373508,12.6910982,19.8118617,21.8960993,26.7231507,16.3058706,9.1972903,-661.1752922,584.7108765,624.2832031,589.1936646,313.1060486,303.7303162,252.3964996,194.4794464,151.4968414,127.6559601,108.4418869,101.4887085,76.2904282,20.082489,162.2492523,86.8852158,75.714119,90.5693817,53.5250969,68.7143402,40.2514153,44.4048386,37.8875961,29.4294395,16.8026409,163.2137299,195.8338013,73.679718,3319.98169,3318.411865,93.1524124,57.4707222,27.6617737,34.619278,19.6731262,19.4761238,20.2700806,20.2272396,20.2137585,20.1575584,20.3864479,20.2670994,19.9731903,20.1909866,20.3469181,20.0866585,21.2210083,21.0347462,0,10
19,27.0725848,25.7895536,23.916663,15.2459275,11.9678921,7.7741424,9.7611697,13.0922196,11.4048883,10.2702375,9.3613738,6.8532756,-661.1752922,601.7294312,626.5213013,605.9110107,334.2827454,316.9610291,262.5516052,205.5359039,154.6556549,125.2657013,108.9403839,103.0921478,77.8578568,20.0967731,164.0829163,89.5297852,76.2172852,90.1923447,53.9053688,67.1430588,40.3716316,43.8296013,37.2177773,29.7672501,16.8314362,157.6659546,185.1811829,76.6861191,3319.979981,3318.409668,87.4809952,55.8080597,28.0363846,34.8236465,19.6589413,19.4296513,20.2790546,20.22369,20.2333603,20.1874237,20.4204731,20.2935314,20.0311623,20.1999702,20.3521042,20.0789299,21.2178421,21.1112328,0,10
