 Time (s),HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Water In,TC Water Out,TC Ambient,Event,Event
10,8.8680314,8.1666832,6.5893395,4.074357,3.0212697,1.9767109,4.7934027,4.459281,3.2152723,2.0889984,1.7119449,1.0290209,-661.1752922,240.5594482,236.4758606,199.1671143,82.4549255,82.4667664,67.6985703,58.2470741,45.1739464,42.4314499,42.0188332,39.3163071,34.2690315,56.4156075,60.9190102,37.6889687,41.6711273,43.026516,30.6299782,35.0377388,27.2453823,29.5665665,28.1122684,23.7571125,16.0200691,46.0778198,55.2084427,33.8147469,3319.354492,3317.779785,37.198597,29.2014942,22.7401905,24.801424,23.2497044,23.0842285,23.3030663,21.6131878,20.9609318,20.5452156,20.5729961,20.223587,19.5564995,19.757679,19.7894421,20.2645168,20.1350956,20.7614384,0,10
11,13.5989213,14.3212126,8.786445,5.2592329,3.603937,2.3822873,5.2941633,6.2353606,4.7553114,3.2559381,1.6061925,0.8969995,-661.1752922,232.1378021,219.2148437,180.7814331,80.8811798,79.8445435,65.9487381,55.8614693,47.1434708,44.0109138,40.0155411,37.6078339,32.8644714,19.5704937,65.3865585,39.3988037,42.3401451,43.2582016,31.0179138,34.6632767,27.2092037,28.8885117,27.6848965,24.0132713,15.9915285,47.1072121,55.4094429,34.285408,3319.351563,3317.776856,34.5339813,27.7766819,22.8428612,24.6222363,23.3231831,23.0986443,23.2777348,21.6386242,21.0034351,20.5539722,20.5855427,20.2308216,19.6340237,19.7645416,19.7598324,20.2592258,20.132843,20.823307,0,10
12,25.3855035,26.2657889,16.5517242,12.6271586,5.9170143,3.6803587,11.9495389,10.9080075,6.5676487,4.9146796,3.6409342,2.0882864,-661.1752922,251.3929596,213.405304,167.399353,80.8119354,80.9120026,68.3955917,57.1326332,49.6888199,47.7391319,41.1449089,38.9559059,35.0285988,19.5614853,82.6293335,42.1914368,46.3220634,49.2727547,32.308918,37.2906761,27.6621494,30.2913246,28.6420708,24.3242855,15.9733515,52.4326591,62.1149483,35.0060501,3319.351074,3317.776611,36.6513672,29.8471031,22.9668102,24.6987152,23.3229084,23.1350956,23.2778378,21.6607246,21.0243988,20.57761,20.6228313,20.2681179,19.6702175,19.7882004,19.7804527,20.2635078,20.1842098,21.051775,0,10
13,14.4717293,13.0995066,11.6589327,10.1042661,7.1975428,5.1689867,6.0899339,6.3922805,4.1063856,3.5644035,3.6921621,3.2789386,-661.1752922,269.3161011,211.3887634,164.9102936,79.1072311,79.3284912,69.1860123,53.7825737,50.0498352,46.6193733,42.4401665,40.7037888,35.8088722,19.5600166,86.8285446,45.8820419,51.6054153,53.8878555,34.4793243,40.8649406,28.4893417,31.0042343,29.057457,24.6113396,15.9947281,54.3978539,62.0377846,36.0878754,3319.35083,3317.776123,49.3602295,32.4634209,23.1599827,25.1663609,23.1449909,23.1658134,23.2752361,21.7005959,21.0225506,20.6008148,20.6532364,20.279171,19.6413937,19.7267036,19.8203964,20.2669754,20.2043839,21.2570152,0,10
14,9.0851077,9.0493421,6.7870498,4.4894399,3.7671221,2.4828672,4.7896205,4.6234722,3.1934625,2.2578651,1.8512575,1.3506644,-661.1752922,279.0921631,210.8595886,157.6877594,79.5791397,76.9765167,68.4002151,55.5997391,49.4541473,45.2655373,41.5613899,39.6412582,35.17593,19.5674114,84.9274368,47.3206978,52.1063499,51.493515,34.5892487,39.7419548,29.0306778,31.6304531,29.6444092,24.8871059,16.0131893,54.0524635,59.2059669,36.6747055,3319.352539,3317.777832,43.5420036,32.0345116,23.3899746,25.537981,23.0311813,23.1553917,23.2746601,21.7094975,21.03335,20.6260471,20.7053986,20.2964306,19.6161232,19.7519569,19.8308334,20.2622166,20.2626591,21.2310257,0,10
15,9.262608,9.4752481,7.4204606,5.5475167,4.0885608,2.9800106,4.9340998,4.4419237,3.4452528,3.200855,1.7727251,1.1711184,-661.1752922,285.2960205,205.870285,154.7714539,80.7440262,76.8119354,69.3227921,58.3042221,50.7207832,51.1564369,46.1814003,45.1956825,36.904274,19.5584202,83.951889,48.503006,51.817852,49.81744,34.5436668,38.0070724,29.2344551,31.1649265,29.5068035,25.1362915,16.019783,53.8626251,57.5970993,36.9648514,3319.353027,3317.77832,40.0800972,30.7696304,23.5293961,25.5724773,22.8021488,23.1547527,23.2619114,21.7088566,21.0361233,20.6045284,20.7214527,20.3033791,19.648531,19.7919674,19.8347511,20.2258778,20.3106174,21.2410049,0,10
16,17.2434815,21.2958948,15.9644355,9.8382335,7.3925994,5.0808278,8.2228311,10.9823627,7.6669326,5.8769075,3.2122606,2.2399841,-661.1752922,294.1166992,233.6676788,171.1016235,89.7244949,83.9622879,73.4651031,62.4842987,48.0192146,47.5684929,45.3191605,46.1265984,39.3253937,19.5595131,89.0426636,50.5371704,53.1159744,55.2876472,36.0311432,40.3119469,29.5053978,31.5145073,28.9044743,25.242054,16.0745792,56.0541916,61.714859,37.5909538,3319.354004,3317.779297,41.828701,32.5484886,23.6266251,25.7276897,22.8316498,23.1459999,23.2471046,21.7217045,21.0080128,20.5847454,20.7445526,20.3048515,19.7278786,19.7812843,19.8829536,20.2508945,20.3018398,21.2121372,0,10
17,25.2644052,29.8156361,27.0357505,14.8475329,9.9980409,5.9232602,15.3956089,13.8756461,16.0853896,13.8185762,7.8149024,4.2391881,-661.1752922,287.3388367,226.7499084,170.7409515,91.3255615,89.042717,74.298645,64.8050842,51.3042145,48.9045715,45.6515808,46.6058655,39.7637672,19.5697021,105.0052261,55.6131248,58.3977432,65.1638412,37.6461868,44.3422585,30.3186321,32.5926437,29.5578747,25.4324245,16.1240253,64.6584702,91.0373077,39.4321671,3319.353516,3317.778809,50.7308235,34.5019341,23.7908134,26.3948765,22.9611301,23.1489677,23.2443962,21.7220249,21.0015068,20.595314,20.744873,20.282402,19.7707405,19.7857838,19.9182243,20.2652683,20.3424053,21.1263618,0,10
18,27.6354193,20.5937183,14.3147998,7.5974077,7.8510193,5.7319463,10.6746921,10.2308361,6.521262,4.1780458,4.561936,3.5252093,-661.1752922,277.5259705,212.8244476,163.6317749,88.7045288,86.6358643,72.3025589,58.7433472,48.3814125,47.1212845,46.3190079,45.5951996,39.0502396,19.5508518,118.381073,59.1828766,60.914917,69.6292725,40.061779,51.0702171,31.7181721,35.7434044,31.5997276,25.7808247,16.1907978,68.3936157,97.1380997,41.2761688,3319.35083,3317.776123,58.9054794,39.5121689,23.9873314,27.5016251,23.0491219,23.1699219,23.2399807,21.7028141,20.9898777,20.6110058,20.727169,20.2749405,19.7921429,19.8375797,19.9297523,20.2270432,20.3675957,21.0187683,0,10
19,13.3766313,10.375495,7.1944621,4.6039681,4.4705037,3.4312569,5.4093937,5.471637,4.4769911,3.3069105,2.9775932,2.324719,-661.1752922,268.0910339,201.428833,155.1766052,85.652153,84.8484116,72.1856384,58.7622032,48.1415672,45.5432167,44.4387054,43.4790802,37.1726646,19.5501766,113.6273804,60.4435081,60.4889908,64.1231079,40.0998802,48.7812195,32.0663185,35.7150612,32.1998138,26.2925396,16.3846931,69.0275269,93.1588058,42.1169319,3319.348633,3317.773926,52.940258,38.9549866,24.2382393,27.8263493,23.1382027,23.1737938,23.2207642,21.6900043,20.9998245,20.5423851,20.6718578,20.270853,19.7242355,19.8817348,19.8888092,20.2483959,20.4352589,20.848526,0,10
