Time (s),HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Water In,TC Water Out,TC Ambient,Event,Event
10,5.2196794,5.3425539,4.135641,2.7970405,2.3195074,1.6417223,4.7303664,4.6734332,3.5909234,2.849803,2.253472,1.6819873,-661.1752922,445.4742126,423.5505981,379.9084778,151.7967377,124.9448776,95.8162231,79.7591095,59.4609795,48.927639,41.9088364,37.6617203,32.4907913,38.4717407,37.4866447,28.1839867,28.724535,29.4102688,26.9695988,28.5296822,24.008503,25.1942711,24.6595211,21.9006195,16.3960991,34.3216591,36.6423836,27.4326668,3320.468018,3318.901611,34.2723732,27.7621441,21.1607933,23.2038937,19.4538918,19.2462978,20.374176,19.9578533,20.0335579,20.7735825,19.682621,19.4217262,18.8868084,19.0284939,19.0635948,21.0424709,20.5594311,20.0048523,0,10
11,4.6637175,4.9853773,4.1573184,3.2813311,2.3800854,1.6588391,4.1602658,4.285473,3.4491591,2.6797853,1.9810178,1.3942219,-661.1752922,473.5690308,479.1669922,419.7127075,175.7771759,150.5205078,117.7472687,106.6515579,74.4876785,62.2150459,53.867897,49.1394577,38.179451,39.5375404,38.3013916,28.809721,29.1851158,29.9250164,27.1429348,28.0098572,24.1388035,25.1921921,24.3871155,22.0952225,16.4355049,34.9689636,36.881897,28.0702705,3320.46582,3318.899414,33.0126228,28.1008224,21.3081474,23.2866154,19.4711761,19.2476273,20.3645,19.9603233,20.020462,20.7764263,19.6243267,19.421917,18.8835793,19.0298252,19.0721493,21.0574627,20.567215,19.9370804,0,10
12,4.379575,4.8733538,4.2042093,3.2759319,2.5405471,2.1301559,3.8279383,4.1048627,3.4011447,2.8499674,2.2177985,1.5762274,-661.1752922,506.145874,525.8088989,457.8965454,198.2299652,174.147171,132.3880157,117.9618912,79.0939331,63.3559723,57.3634605,53.0151329,43.4306068,40.2816696,39.1874886,29.473053,29.7429523,30.4375801,27.5948544,29.6264668,24.8508797,25.9867535,25.1980324,22.2764778,16.4596252,35.6375237,37.2876396,28.6592312,3320.467773,3318.901367,32.5923195,28.309351,21.5392284,23.791275,19.4975243,19.2367439,20.3695679,19.9775486,20.0228748,20.7674541,19.5815468,19.4338264,18.9300861,19.0048695,19.0376873,21.0678444,20.5658302,19.955061,0,10
13,4.8852966,5.9557068,5.553436,4.1484731,2.989619,2.2288423,4.2752441,4.8507597,4.3182997,3.7092639,2.3553359,1.5851135,-661.1752922,531.6835327,522.444519,453.5625,199.5354614,179.6282043,137.3045197,112.5190048,76.4608536,64.0977478,58.6367645,51.7473831,42.9554825,41.0529556,40.4907837,30.3023586,30.502634,30.8567505,27.939642,29.4426537,25.3181801,26.9365788,26.1605854,22.7536221,16.4179821,36.5259857,37.9836044,29.3270054,3320.465576,3318.898682,31.99893,28.3223953,21.75103,24.1550961,19.5365067,19.2290001,20.3845997,19.992218,20.0223522,20.7487125,19.6125431,19.4416542,18.9523678,18.9762135,18.9740543,21.0434132,20.5710011,20.2696152,0,10
14,5.9673606,6.8218595,5.9170322,4.3618228,3.2466521,2.4974846,5.0775705,5.5560781,4.591249,3.6900259,2.6143491,1.8486802,-661.1752922,549.5760498,541.593811,463.8070984,189.1548615,172.4148254,137.5052948,110.9540024,79.6584244,65.074234,61.6254921,55.3993835,46.3135414,42.1581116,42.0706635,31.2310448,31.4475079,31.4971561,28.5006237,30.2898769,25.5836487,27.7201977,26.7722569,23.0129223,16.4022751,37.7928505,38.952034,30.0177288,3320.466309,3318.899658,32.2667923,29.5461979,21.8991604,24.3895092,19.5155201,19.2270069,20.3822289,19.9985809,20.0112476,20.7596226,19.6618195,19.4590302,18.98382,19.0057716,19.0142574,21.0592575,20.5872288,20.2194176,0,10
15,5.9811056,6.7571889,6.9246475,5.6833145,4.0901065,2.8895038,4.9560364,5.4735134,5.253521,4.8794922,3.4154811,2.8021065,-661.1752922,563.5917358,524.5240479,473.9979248,196.5556793,172.5837097,138.9121399,109.5290146,84.5342865,72.243782,63.8340416,54.0256004,46.4568291,43.7836342,43.7475853,32.1539459,32.7061005,33.0447426,28.8978043,30.710844,25.8546295,27.8221302,26.8890285,23.2459545,16.3769646,39.0294609,41.5974503,30.7436199,3320.464844,3318.897949,36.8957138,30.3296967,22.0566578,24.7595196,19.506979,19.2127666,20.3649712,19.9835835,19.9920845,20.7564049,19.6563187,19.4649239,18.9669132,19.0348606,19.0304241,21.0355434,20.5984325,20.0157623,0,10
16,7.1513272,7.4212125,6.7578391,5.5321373,4.7519741,3.8237305,5.6970915,6.3599113,5.0601617,4.4215624,3.6591091,2.9531695,-661.1752922,559.039856,492.980011,433.8696594,184.1666107,166.5855713,127.3481445,96.6023178,77.162323,66.0243073,60.9488602,51.5944633,44.9857941,45.4550362,45.3526421,33.2923203,34.4784698,35.6590462,29.8636494,32.5832977,26.2378426,28.6808662,27.4717236,23.456789,16.3769646,40.2757034,44.1527863,31.7106934,3320.464844,3318.897949,43.7895012,33.4856071,22.2192459,25.6408176,19.5179958,19.2036495,20.3687649,19.969532,20.0167599,20.7442589,19.640749,19.4850502,18.9615917,19.077816,19.0730019,21.0321274,20.6037464,19.9041424,0,10
17,7.2302425,7.6815184,6.163632,4.3448071,3.7650611,3.1912435,5.7709701,6.233015,4.5752985,3.9527805,2.8235716,2.2784639,-661.1752922,548.762207,475.3363342,425.8100586,179.5154572,160.3915863,125.0869675,91.2304077,70.7635193,60.6101227,56.5858192,49.8638916,41.4453506,47.2264442,46.9256248,34.3301239,35.5572853,37.0594826,31.0078468,35.1208992,27.1188488,30.7795258,29.0732841,23.8491554,16.3038101,42.7704544,46.4551125,32.5376282,3320.465332,3318.898438,42.8267555,33.5455551,22.5461903,26.2910824,19.5388393,19.2058792,20.3706131,19.9808788,19.9798908,20.7639465,19.5970268,19.4986725,18.9991741,19.0819473,19.0676308,21.0742073,20.6185036,19.8330898,0,10
18,6.7408728,7.115989,5.7302375,4.0175837,3.3859888,2.7544632,5.9189794,6.44834,4.4034234,3.4032649,2.9053163,2.1125644,-661.1752922,534.4127197,453.5297241,394.3580017,182.7129517,159.5284119,129.0983429,91.564209,71.1502686,62.3624535,57.124588,51.7510071,43.2475471,48.5433884,48.1196899,35.2316704,36.1829987,37.4936409,31.3759537,35.1155281,27.8015518,31.6574993,29.949976,24.3615646,16.2309475,44.3869553,47.9729576,33.2010918,3320.463135,3318.896729,42.9399834,33.230793,22.7684212,26.6570911,19.4870415,19.1962452,20.3568192,20.0027714,19.9425526,20.7858257,19.6006889,19.5030937,19.0397072,19.0624275,19.0789032,21.0323257,20.6396255,19.8435879,0,10
19,7.9269722,8.7351891,7.1052926,4.4032165,3.5792053,2.7721858,6.5997717,6.8346585,4.4729221,3.6660195,2.6825683,2.1202603,-661.1752922,533.7961426,432.5240173,356.5251465,178.3024902,156.6594391,124.7141266,89.9442368,71.112175,64.346199,58.0396805,52.9037933,44.0467339,50.4084892,49.5593452,36.3316574,36.9397926,38.3957405,31.7711506,34.5182457,27.9308739,30.8327885,29.234314,24.7820549,16.0870476,45.674427,51.2232666,33.7166443,3320.462891,3318.89624,42.3281097,32.9900284,22.9574585,26.5465488,19.4532776,19.1989517,20.3728008,20.0267429,19.8829994,20.8135757,19.6387119,19.4944038,19.1017036,19.0925045,19.1245651,21.046793,20.6465015,19.8641357,0,10
