Position,0.2 m,0.4 m,0.6 m,0.8 m,1.0 m,1.2 m
0,40.54586918,35.77352884,37.02512689,22.37603255,17.27198266,10.97933655
0.15,15.97085958,22.94209055,15.76383999,14.36691265,10.85773276,6.882737917
0.305,10.2068532,11.12094145,9.648883149,8.090767882,6.785682914,4.58893722
