Position,0.2 m,0.4 m,0.6 m,0.8 m,1.0 m,1.2 m
0,55.43536027,42.81499376,37.30595185,40.03198048,24.77357788,12.15996764
0.15,19.31345959,20.65655499,21.30641288,17.73537431,11.01101655,6.1032183
0.305,9.377793936,8.142842708,6.720079259,6.298149848,4.935781638,3.478806142
0.61,4.287332918,4.374894229,3.78237522,3.205663519,2.536920716,2.054967496
