Position,0.2 m,0.4 m,0.6 m,0.8 m,1.0 m,1.2 m,1.4 m,1.8 m,2.0 m,2.2 m
0,NaN,324.443515,452.9808329,261.1691727,3320.100212,3318.530933,144.9528005,81.92183151,57.89766147,57.39571266
0.15,NaN,245.303893,250.8563878,165.3981333,3319.485921,3317.912231,122.4955322,84.57060395,62.91611049,63.24878477
0.305,NaN,140.9935637,145.4300129,112.9425845,3320.712031,3319.147209,83.16441133,64.23980849,51.75249443,53.21180373
