Position,0.2 m,0.4 m,0.6 m,0.8 m,1.0 m,1.2 m
0,6.772112798,8.817796664,12.44902354,12.30648794,10.42738151,7.250795465
0.15,5.064011874,6.703833657,6.710551046,5.296416006,4.016731214,2.686018204
0.305,3.853405841,4.98682058,5.031487663,4.075216016,3.107938534,1.958128577
0.61,2.032021141,2.461538641,2.434519434,2.17789547,1.833820662,1.327930644
