Position,0.2 m,0.4 m,0.6 m,0.8 m,1.0 m,1.2 m,1.4 m,1.6 m,1.8 m,2.0 m,2.2 m
0,539.1902232,367.1720388,249.0544688,190.8490804,153.1082565,112.7364344,109.6362821,81.5305753,73.02329533,62.29141439,52.89417101
0.15,NaN,244.9078379,192.0830877,172.741659,147.3909017,115.3895915,110.4844917,85.4578748,79.06986796,69.81851527,60.43039094
0.305,154.7732167,160.5350875,132.9392257,125.0337692,113.9321014,89.09087991,84.35013064,69.66323013,65.98371345,60.20638895,53.44949994
0.61,128.7098129,132.0547527,124.6596015,110.4605421,96.82760465,86.77160248,73.6832074,64.17188324,58.5466696,54.96252881,52.35946027
