Position,0.2 m,0.4 m,0.6 m,0.8 m,1.0 m,1.2 m
0,16.13189595,32.22569486,35.1726356,27.43193728,19.92527343,11.55107262
0.15,7.913905376,11.80037505,11.7190135,8.849947693,6.383337232,3.892402007
0.305,5.075746174,7.06384235,7.065073124,5.483603898,3.990140272,2.358586453
0.61,1.857824602,2.406542834,2.378727518,2.035785671,1.625774216,1.081661291
