Time (s),Mass_Loss_1,Mass_Loss_2,Mass_Loss_3,Mass_Loss_4,Mass_Loss_5
119,,0.2610496,0.2648469,,0.2481412
120,,0.2642582,0.2676053,,0.2478989
121,,0.2651585,0.2699252,,0.2492373
122,,0.2671321,0.2728914,,0.2494566
123,,0.2695443,0.2735608,,0.2520527
124,,0.2712063,0.2742302,,0.2543026
125,,0.2747034,0.2751536,,0.2550065
126,,0.2752343,0.2789355,,0.2620909
127,,0.2767232,0.2791201,,0.2627717
128,,0.2766194,0.2813854,,0.2622063
129,,0.2796086,0.2822625,,0.2625755
130,,0.2837521,0.2826133,,0.2658178
131,,0.2852179,0.2821874,,0.2668908
132,,0.2875032,0.2812888,,0.2670524
133,,0.2895922,0.2802449,,0.2689908
134,,0.2896614,,,0.2686562
135,,0.2904924,,,0.2741368
136,,0.2942897,,,0.274333
137,,0.2971058,,,0.2760637
138,,0.3006722,,,0.2785214
139,,0.3004529,,,0.2811752
140,,0.3018379,,,0.2822021
141,,0.3004414,,,0.2836213
142,,0.3023919,,,0.284002
143,,0.307551,,,0.2863789
144,,0.3076665,,,0.2880866
145,,0.3076203,,,0.2887904
146,,0.3097901,,,0.289125
147,,0.3098709,,,0.2910865
148,,0.3126986,,,0.2932903
149,,0.3134719,,,0.2955633
150,,0.316138,,,0.2984017
151,,0.3167267,,,0.2994056
152,,0.3201199,,,0.2994517
153,,0.3208124,,,0.3031786
154,,0.3213549,,,0.3040901
155,,0.3211125,,,0.3059477
156,,0.3238248,,,0.3059939
157,,0.3251059,,,0.3061093
158,,0.3291455,,,0.3086708
159,,0.3289608,,,0.30949
160,,0.3294341,,,0.3103669
161,,0.3296187,,,0.3129976
162,,0.3302304,,,0.3146014
163,,0.3303574,,,0.3149822
164,,0.3336814,,,0.3163437
165,,0.3351934,,,0.3167591
166,,0.3364745,,,0.3169898
167,,0.3364976,,,0.3189859
168,,0.3409873,,,0.3202898
169,,0.3416913,,,0.3215243
170,,0.3414028,,,0.3247666
171,,0.3415066,,,0.3276396
172,,0.3424184,,,0.3284357
173,,0.3434572,,,0.3285742
174,,0.3436649,,,0.3283896
175,,0.3437227,,,0.3304319
176,,0.3476814,,,0.3300973
177,,0.3486971,,,0.3322088
178,,0.3487779,,,0.3339856
179,,0.3461002,,,0.3339626
180,,0.3493204,,,0.3342626
181,,0.3488125,,,0.3354164
182,,0.3529329,,,0.3357971
183,,0.3504053,,,0.3364779
184,,0.3500475,,,0.3363048
185,,0.3477392,,,0.3359125
186,,0.3475891,,,0.336524
187,,0.3493896,,,0.3363164
188,,0.3502552,,,0.3410124
189,,0.3501629,,,0.3410009
190,,0.3504053,,,0.3429739
191,,0.35089,,,0.342847
192,,0.3510542,,,0.3431701
193,,0.3509593,,,0.3433316
194,,0.3524623,,,0.3437239
195,,0.3542743,,,0.3470354
196,,0.354055,,,0.3468392
197,,0.3539717,,,0.3483392
198,,0.356981,,,0.3480738
199,,0.3581403,,,0.3482007
200,,0.3577041,,,0.3483277
201,,0.3580967,,,0.3488469
202,,0.3578299,,,0.3497699
203,,0.3577208,,,0.3499315
204,,0.358772,,,0.3497815
205,,0.3581255,,,0.3522737
206,,0.3575811,,,0.3531045
207,,0.3577583,,,0.3531391
208,,0.3567202,,,0.3533699
209,,0.3554363,,,0.3535083
210,,0.3572975,,,0.3530814
211,,0.3545655,,,0.3529545
212,,0.354332,,,0.3533122
213,,0.3547155,,,0.355816
214,,0.354886,,,0.3575467
215,,0.3549002,,,0.3572006
216,,0.3545193,,,0.3574429
217,,0.3549002,,,0.3573736
218,,0.3528856,,,0.3575236
219,,0.3523007,,,0.3578813
220,,0.3539165,,,0.3592659
221,,0.3545283,,,0.3579275
222,,0.3515133,,,0.3575006
223,,0.3509477,,,0.3574544
224,,0.350336,,,0.3574544
225,,0.3507977,,,0.3574082
226,,0.3506707,,,0.357639
227,,0.350186,,,0.3573621
228,,0.3487894,,,0.3575006
229,,0.3481316,,,0.3566352
230,,0.3488587,,,0.3539468
231,,0.3489395,,,0.353866
232,,0.3498859,,,0.3539699
233,,0.3504168,,,0.3536352
234,,0.3507284,,,0.3540506
235,,0.3508554,,,0.3536814
236,,0.3505438,,,0.3539352
237,,0.3505784,,,0.3543275
238,,0.350463,,,0.3539468
239,,0.3505207,,,0.354316
240,,0.3500821,,,0.3540968
241,,0.3503014,,,0.3536583
242,,0.354214,,,0.3546275
243,,0.3552208,,,0.3509699
244,,0.3551284,,,0.3498161
245,,0.3550245,,,0.3495738
246,,0.3553234,,,0.3493661
247,,0.3550528,,,0.3494815
248,,0.3503129,,,0.3495738
249,,0.3499436,,,0.3496892
250,,0.3502552,,,0.3501392
251,,0.3500129,,,0.3496084
252,,0.3503129,,,0.3496315
253,,0.3500937,,,0.3497122
254,,0.3501398,,,0.3497007
255,,0.3500359,,,0.3492276
256,,0.3502206,,,0.3481546
257,,0.3499436,,,0.3479007
258,,,,,0.3477623
259,,,,,0.3477623
260,,,,,0.3478661
261,,,,,0.3482007
262,,,,,0.3478315
263,,,,,0.3485123
264,,,,,0.34842
265,,,,,0.3484315
266,,,,,0.3486507
267,,,,,0.3485584
268,,,,,0.3479931
269,,,,,0.3480854
270,,,,,0.3478546
271,,,,,0.3476931
272,,,,,0.3480161
273,,,,,0.3482584
274,,,,,0.3482469
275,,,,,0.34812
276,,,,,0.34812
277,,,,,0.3479931
278,,,,,0.3479007
279,,,,,0.34797
