Time (s),Center TC 01,Center TC 02,Center TC 03,Center TC 04,Center TC 05,Center TC 06,Center TC 07,Center TC 08,Center TC 09,Center TC 10,Center TC 11,Center TC 12,North TC 01,North TC 02,North TC 03,North TC 04,North TC 05,North TC 06,North TC 07,North TC 08,North TC 09,North TC 10,North TC 11,North TC 12,East TC 01,East TC 02,East TC 03,East TC 04,East TC 05,East TC 06,East TC 07,East TC 08,East TC 09,East TC 10,East TC 11,East TC 12,South TC 01,South TC 02,South TC 03,South TC 04,South TC 05,South TC 06,South TC 07,South TC 08,South TC 09,South TC 10,South TC 11,South TC 12,West TC 01,West TC 02,West TC 03,West TC 04,West TC 05,West TC 06,West TC 07,West TC 08,West TC 09,West TC 10,West TC 11,West TC 12,North Heat Flux,South Heat Flux,Lcell (kg),Mass Loss
0,54.6423097,51.2857612,33.15788,27.6602997,23.0966223,22.5184225,23.1040017,21.7571284,21.8409139,21.053396,20.7898986,19.9242864,31.6741618,24.2066356,22.7512771,21.3927674,19.9871574,19.7804629,20.8090044,20.2195658,20.1902571,20.5525667,19.9129991,19.6716842,29.443418,25.7974889,24.3899432,21.6982824,21.9042695,21.1167982,19.8146463,20.6303382,20.1287752,20.0698059,20.3016058,19.4102957,72.2523103,74.4751653,43.7895758,36.5070248,35.1471201,30.2083369,24.9113338,22.9374427,22.477132,21.0663485,20.7307813,20.2564597,28.3849899,30.8785227,35.2084984,34.5102781,31.120112,26.2913469,24.3924802,23.1358108,21.6407195,20.6957169,20.1627221,20.0549384,0.9680814,0.7296701,0.3516214,0.010096
1,141.1570551,121.4615243,67.7684258,42.4115002,36.1365993,31.1522605,30.7033426,28.6491328,27.9581065,26.1759455,26.1979021,24.6786771,40.2833339,32.8845897,31.7131274,28.081175,25.1721484,25.6406172,23.7118912,21.9746548,22.8269152,23.734656,22.4986081,22.5888028,49.8442837,48.7097154,48.4258792,41.7591588,39.8724717,34.8610678,29.198336,27.0077297,27.3978274,26.3141196,24.5805532,22.584315,76.1114351,86.0470023,58.1177339,49.1252367,46.9291363,38.7783669,31.9201781,28.9838388,28.1560217,26.4626476,25.7669911,24.7742701,33.8826732,36.0810109,38.5050591,38.2476111,35.202568,30.6238681,28.4958913,26.5422259,24.6478037,23.3801842,22.4574749,22.261379,1.1315479,1.0096844,0.3588559,0.0028615
2,228.6961907,198.6283643,108.3116267,70.0982198,53.9434426,44.0061842,39.612161,38.0429143,35.9774354,33.1345424,32.2753655,30.270434,60.9384947,44.321544,42.0091618,44.7448102,36.4826584,35.3823997,35.9704128,32.7347293,33.4165121,32.4390022,29.3812185,25.9446458,65.8229996,73.9255906,74.6859588,64.7766894,58.6687972,57.8284899,52.4144095,38.6038383,38.6384904,35.5730877,29.8329704,28.1900783,79.4189072,88.5342899,61.1857528,51.8100675,51.9959521,42.4445114,38.1042229,33.0918277,31.5969397,28.8339008,27.7938024,26.3348357,39.4891082,40.6520793,40.1913497,39.0300436,35.721318,31.1396749,29.0672802,27.1404089,24.7302455,23.4908776,22.8155735,22.6496554,1.4174086,1.217528,0.3582675,0.0034499
3,287.4591465,250.2617242,131.0561743,88.6049853,70.7452584,55.5218085,48.6928647,43.7986232,40.1267888,37.2884216,35.5270229,33.5549345,77.7157098,54.9161266,55.8650233,65.3800196,46.5513358,44.0426064,45.7211782,40.4328507,40.0775781,38.4265542,35.7220365,30.448628,75.0672229,92.9342957,93.0058057,77.3153543,69.9621365,73.9539848,69.7533916,47.9573271,50.9267391,41.7835914,34.037639,33.3286335,79.600404,95.2707193,68.1383404,57.4659029,56.7919232,46.7547525,44.2561872,38.7929117,37.84403,32.4607343,30.2527979,28.3457266,45.1727698,48.1467546,47.5348675,40.894955,38.1333477,34.4426599,33.9495055,32.191964,29.6940669,26.9373329,25.5350348,25.3318704,1.5510605,1.3668498,0.3548983,0.0068191
4,325.5057451,280.9058653,156.4133033,107.5612097,87.4010151,67.7932225,57.4470087,49.4961407,44.7429272,41.456628,39.6651142,37.1195758,87.2382199,67.2302678,72.6456565,92.664639,61.8555727,55.9745212,53.0862248,45.1706387,45.6266746,41.4290882,38.0851961,33.4411728,78.0583888,106.583718,110.5099996,91.921581,78.5510427,86.2756152,85.4193441,56.8299886,64.6547335,50.6494807,38.9529891,38.9002022,79.456658,97.70231,75.3631011,66.1974038,63.2204658,52.1708009,45.7696502,40.2077997,39.258022,34.693916,32.2966605,30.2043938,50.3366236,55.6812295,61.3258833,46.4838788,40.833215,36.467834,33.5679192,31.6113816,30.1652732,27.8725417,26.5090078,26.2078355,1.6140825,1.4517592,0.3548175,0.0068999
5,377.6318763,325.4136675,189.777716,138.8468347,113.1223495,87.1783065,73.8702953,62.5835134,55.5467085,48.7863496,45.1947401,40.707469,85.3421642,71.4169944,87.4356011,115.6427391,83.3758305,76.8931391,61.9260334,54.2043642,56.4189526,51.2681543,46.2769902,39.7498121,77.7813855,108.4448451,122.3350097,100.8553869,84.6117927,93.6798959,91.9133554,61.3033973,73.2109888,59.3904711,44.6947796,44.7837247,79.2905222,92.1486486,74.2677239,65.6661871,62.5443758,52.111851,45.7336514,41.3474918,40.1484605,35.8007842,33.2432486,32.2410111,55.213956,59.149229,62.6865673,49.0152442,43.3942414,38.4435259,33.6605273,31.712043,32.7421469,29.6620838,28.2074278,27.4478606,1.6529957,1.4510409,0.3521522,0.0095652
6,413.2782117,358.1656411,221.844664,170.4974744,136.0719789,105.460759,89.065984,78.3255479,68.8180623,60.7988546,52.0771292,46.0446635,85.1797627,73.1458669,102.8384402,133.1509785,99.60341,93.3108426,74.4401172,67.6063069,66.7681574,62.2472899,56.7067582,47.9973828,86.2755554,130.4899989,142.7550573,113.1978793,95.7328526,104.2547809,100.4499828,66.6506208,80.7272613,64.5374839,48.7396129,49.4864905,79.6988586,89.2268775,73.0651693,65.6315337,63.112878,51.8144783,46.7676095,42.5702492,42.4270259,36.7327895,34.75489,34.4902495,59.4153733,64.5197994,62.8960565,50.5735719,46.3026791,40.9244497,34.1019332,31.8170513,32.8903513,30.8804547,29.158472,28.4264559,1.775904,1.5555134,0.349533,0.0121844
7,450.0073969,385.0776532,237.7074089,191.8045454,151.9652922,118.7967678,98.0389737,86.1699003,77.1094036,68.1448697,57.0015703,49.8866228,87.1108136,81.2936194,112.6208937,133.1831815,104.5259428,110.0054027,92.5205173,75.3464913,69.0623075,68.2875262,59.5982878,51.4876933,103.7786236,147.7784345,167.1203641,137.3885904,122.5160352,137.1804456,123.2700564,75.7474875,91.2540669,73.8765424,55.2040945,55.3560161,81.5084205,88.6242367,74.5925026,66.7209413,64.7996254,52.6028878,47.9887295,43.9081106,45.4188916,38.9181016,35.679793,35.0217473,62.5067798,73.5527383,67.473028,52.4483738,47.5507334,42.1618849,34.8412275,32.4281273,32.4410831,30.4606994,28.5281556,27.5505798,1.8199063,1.7017942,0.3476061,0.0141113
8,472.3517135,404.5045042,248.9986557,201.1125902,163.3732412,131.7072867,108.1468145,94.6171499,82.8241649,70.2934139,59.7905756,53.5537824,95.1146597,95.526921,123.87551,138.3925498,111.077182,113.8692604,96.8984563,74.0652203,68.6419173,69.8808932,62.8381606,54.3112328,123.0811918,160.903388,185.8165983,156.0508322,138.508181,148.2406765,135.177047,82.4831732,97.6567941,78.6357633,58.3935834,59.5730605,84.6849855,89.3459339,78.5945459,69.2581924,65.8630538,54.348635,49.8964342,46.3777874,49.544723,41.8198167,38.3665452,36.6858108,66.17702,76.7765106,72.020223,56.4441074,50.1376184,46.7658439,38.4828498,34.5351712,33.2882625,31.1553462,29.8360662,28.4278825,1.9146449,1.8792515,0.3461754,0.015542
9,501.0204457,425.9905402,260.1892717,214.4538209,181.911937,144.453876,117.673711,102.1059486,90.0359617,74.1482555,64.1904976,57.0762559,95.0467629,92.0409208,128.9067376,141.0972069,107.2595611,101.4800421,91.2566502,71.0185596,66.6944367,72.0266643,64.2705872,55.601171,135.6127784,180.5658462,206.768995,166.3193283,145.2073465,154.6634788,146.0108905,89.4488772,109.107727,88.4706307,62.560457,63.9308642,89.0223171,90.9370938,82.3801716,73.3546986,71.0492643,59.5408868,55.8133155,50.5700445,53.2142853,45.8532759,42.7973352,39.5866856,69.7334,77.9795093,74.6480968,59.2585762,51.0365035,47.8888898,40.3378192,35.5910038,34.0266821,31.5424852,30.1918772,30.0708195,1.7560104,1.8557374,0.344537,0.0171804
