Time (s),North_Heat_Flux_1,South_Heat_Flux_1,North_Heat_Flux_2,South_Heat_Flux_2,North_Heat_Flux_3,South_Heat_Flux_3,North_Heat_Flux_4,South_Heat_Flux_4,North_Heat_Flux_5,South_Heat_Flux_5
43,2.642855388,2.89725961,2.961925257,3.392005512,2.866237989,3.383691773,2.6940407,3.4099913,2.5346352,3.0883604
44,2.585577798,2.99451467,3.074458875,3.288162206,2.745281196,3.513417474,2.3943008,3.2910798,2.4586079,2.8885384
45,2.464284078,2.57725909,3.386790204,3.481260559,2.998313373,3.776790451,2.5327333,3.4748107,2.4070491,2.6356779
46,2.576480769,2.573337515,3.197774157,3.493495873,2.739890364,3.514044926,2.3895716,3.7439779,2.504615,2.6708293
47,3.203501916,2.776004511,3.230456076,3.566437168,2.757073641,3.744006084,2.2498026,3.6036594,2.347574,2.717235
48,3.483488253,2.85176934,3.32883876,3.690202075,2.715968547,3.814123845,2.2798228,3.5219347,2.4979838,3.0068273
49,3.550536726,2.820867329,2.779984677,3.291613192,2.663071008,3.855065088,2.3214091,3.4015147,2.5608515,3.2890924
50,3.770550057,3.165965929,3.236857689,3.398123169,3.03908154,4.116398846,2.4293587,3.7771419,2.5861426,3.5735604
51,3.613542075,3.422907523,3.425873736,3.712476621,2.787060144,3.78510419,2.3097917,3.7400988,2.3878752,3.3116008
52,3.69271992,3.550750868,3.394876452,3.916398521,2.915766258,3.476868395,2.3789308,3.615656,2.5888156,3.71862
53,3.773245473,3.667143214,3.447773991,3.703849156,2.736858021,3.269338646,2.4927919,3.6949622,2.4667812,3.7618649
54,3.508420851,3.34745642,3.300536892,3.863692553,2.667114132,3.113259961,2.4479671,3.8392555,2.5284153,3.6144108
55,3.735509649,3.623221574,3.083892831,3.673888323,2.848380858,3.144318835,2.4218022,3.8155738,2.6594455,3.9135572
56,3.25134555,3.512633159,3.330860322,3.698358951,2.882747412,3.084397169,2.3329752,3.7643073,2.4973155,4.0932654
57,2.981467023,3.215534637,2.988879417,3.604398014,3.293461425,3.067455965,2.4514112,4.0705654,2.5647069,3.927182
58,3.07951278,3.452084041,3.052895547,3.410515346,3.090631371,3.354201529,2.2922627,3.8191895,2.5694361,3.8037209
59,2.911386207,3.259456277,2.734499532,3.260240592,3.384094788,2.997181341,2.4318775,3.5860598,2.712495,4.0137436
60,3.365563803,3.27216218,2.699796051,3.271221002,2.960240622,3.463064451,2.3807814,3.3838193,2.6182704,4.0672131
61,3.498986895,3.298515164,2.907006156,3.696476595,2.806938837,3.356554474,2.4067407,3.3855433,2.4678607,3.7544179
62,3.37263927,3.269966098,2.621628987,3.755457083,3.045483153,3.514672378,2.4405649,3.7059051,2.7467818,4.0651298
63,3.465631122,3.421025167,2.739553437,4.115928257,3.525941055,3.819143461,2.4032966,3.6348839,2.5962693,3.9942523
64,2.829176019,3.156867875,2.818731282,3.789339491,3.938002776,4.488007293,2.2865054,3.042314,2.7203085,4.110434
65,2.731130262,2.989495054,2.810308107,3.525495925,3.852086391,4.565340752,2.4965958,3.0149447,2.5288779,3.7919639
66,2.746628904,2.951691071,2.789081706,3.620084314,3.795819582,4.060085029,2.2730374,2.7150081,2.44185,3.7628945
67,2.78301702,3.13255411,2.960240622,3.294907315,4.027625358,3.861496471,2.5385934,3.1010274,2.679339,3.9329049
68,2.885105901,3.537574376,2.818731282,2.889730186,4.387126467,4.082830164,2.4105446,2.9064733,2.6752781,4.1562171
69,3.016170504,4.201732318,2.996291811,3.259770003,4.019876037,4.102438039,2.6150833,2.9443784,2.547435,3.8996451
70,2.652626271,3.903692618,3.104782305,3.42902518,4.403972817,4.733968477,2.6108682,3.2153414,2.4748517,3.5516746
71,2.491238238,3.590437207,2.971022286,3.55765284,3.895886901,4.880949108,2.4160963,3.32331,2.5774038,3.4464837
72,2.943394272,3.723300168,2.837936121,3.436554604,3.949795221,4.789184253,2.1927435,2.944139,2.6964054,3.7670131
73,2.775267699,3.457417383,3.094000641,3.77569241,3.610846659,4.6745174,2.6402202,3.1180524,2.682886,3.8868584
74,3.148582815,3.320319121,2.864216427,3.445338932,3.759431466,4.679066427,2.7024197,2.9949984,2.9169823,4.0749713
75,3.754040634,3.259456277,2.671494183,3.293966137,3.79042875,4.566595656,2.7633341,2.7776964,2.5804881,3.489106
76,3.273919659,3.008161751,2.584567017,3.4196134,3.720684861,4.434673873,2.5768898,2.5706669,3.0260628,3.6492988
77,3.948447513,3.455848753,3.080523561,3.734594304,3.565024587,4.358281592,2.8468665,2.6402035,2.9231508,3.7963219
78,3.604108119,3.413966332,2.741238072,3.318907354,3.480118983,4.350438442,3.0008745,2.739911,2.868662,3.9905887
79,4.300873155,3.515613556,2.895213711,3.008475477,3.955859907,4.343379607,2.5146903,2.6797609,2.5910774,4.028829
80,4.43395932,3.999535911,2.980793169,2.843141875,3.890496069,4.36863455,2.568665,2.930155,2.6971764,4.3384155
81,4.207881303,4.02981047,3.265159557,2.901494911,3.82075218,4.079379178,3.1477373,3.1886426,2.6027463,4.2636349
82,3.79716729,4.079379178,2.915766258,2.958749906,3.942719754,4.03608499,2.9927526,3.2012138,2.8217811,4.3897778
83,3.809296662,3.877182771,3.17385234,3.253024894,3.420145977,3.638280422,2.714911,3.1028472,2.8263561,4.3822111
84,3.986183337,3.637339244,3.181264734,3.779143396,2.917450893,3.355770159,2.6115364,3.1675709,2.7260144,4.4821341
85,3.438340035,3.530672404,2.978771607,3.70039817,2.916777039,3.240946443,2.8190052,3.0338134,2.8510817,4.5517187
86,3.510105486,3.75843748,3.051547839,3.622907848,3.296156841,3.37726039,2.7476043,2.9555608,2.6953773,4.4567284
87,3.13679037,3.495221366,3.236520762,4.153575377,3.899593098,3.501495886,2.5224523,3.030054,2.748581,4.4085747
88,2.815025085,3.44157422,2.930591046,4.162830294,3.622302177,3.23608369,2.861157,3.3331275,2.7797835,4.3686343
89,3.125671779,3.708711909,3.238879251,4.040320291,3.401278065,3.03686768,2.8408522,3.051892,2.636262,4.1878007
90,3.518191734,3.83530035,3.131399538,3.952006422,3.656331804,3.244554292,2.8854713,3.0162138,2.8679938,4.5201111
91,3.148919742,3.612398027,3.128367195,3.876398456,3.38948562,3.316240683,2.6531741,2.9303945,2.7257574,4.5981483
92,3.605792754,3.705260923,2.826480603,3.522829254,2.902963032,3.325966189,2.6707545,3.0680071,2.7311034,4.0913737
93,3.779647086,3.904633796,3.303232308,3.223377787,2.972706921,3.479848792,2.7183551,3.2854527,2.8658862,4.1060281
94,3.887800653,3.586045043,3.163407603,3.059612815,3.019876701,3.431378125,2.6269064,2.9687066,2.9586714,4.3016598
95,3.938339703,3.813966982,2.938677294,2.994044081,3.104445378,4.005026116,2.6508609,2.7506863,2.8043035,4.2919141
96,4.031668482,3.700868759,2.776615407,2.926436128,3.24460701,4.466046473,2.6388837,2.6215024,2.9031545,4.1367976
97,3.861857274,3.578986208,2.701143759,2.759847622,3.040092321,3.956712312,2.9880234,2.7635688,2.7237012,4.2077709
98,3.848717121,3.502123338,2.82344826,3.036397091,2.994607176,3.744790399,2.5838808,2.5974136,2.5880446,3.9151136
99,4.277625192,3.825574844,3.224054463,3.085338347,2.848717785,3.709182498,2.5411122,2.5997842,2.4299755,3.4791688
100,3.546830529,3.608319589,3.176547756,3.020710791,2.757747495,3.954359367,2.6750211,2.5101576,2.8672227,3.7729993
101,3.290766009,3.230750348,2.631062943,2.647219988,2.93463417,4.697105672,2.9778453,2.4760118,2.5751934,3.6988653
102,3.15026745,3.052710843,2.646224658,2.620239552,2.699796051,4.562046629,3.0770561,2.5028064,2.6332806,3.9358501
103,2.861184084,2.803769262,2.511116931,2.666984726,2.755389006,4.415850313,3.0800375,2.7085668,2.5364858,3.6540879
104,3.067383408,2.871534078,2.482478136,2.769729991,2.760105984,4.317183486,2.7759282,2.6829216,2.5050776,3.294935
105,2.854108617,2.671847479,3.185644785,2.840945793,2.694068292,3.990437857,2.7129576,2.7251129,2.5345324,3.2446742
106,2.784027801,2.590121856,3.349728234,3.109181523,2.882410485,4.167379321,2.7124436,2.659623,2.8202389,3.5134103
107,3.407679678,2.940396935,2.705860737,2.960945988,2.880051996,4.35922277,2.8772466,2.7980258,2.6034659,3.3382517
108,3.567383076,4.050516386,2.941709637,3.112005057,2.914755477,4.592321188,2.5740625,2.7469269,2.5365372,3.0063723
109,3.380388591,4.623066336,2.754378225,3.042985337,2.863205646,4.608478077,2.7961302,3.1620396,2.7178925,3.2428065
110,3.046830861,4.258046135,2.749998174,3.245181744,2.785038582,4.217418618,2.5308827,3.270487,2.676152,3.266153
111,2.920483236,3.740084509,2.942383491,3.258515099,2.815698939,3.565809716,2.6255699,3.2972577,2.583521,3.4110928
112,3.130725684,3.734123715,3.961587666,3.66275105,2.578165404,3.019455887,2.7745917,3.2883022,2.4907871,3.2864824
113,3.324795636,4.023379087,3.865226544,3.471691916,2.488879749,3.03373042,3.09623,3.188882,2.5451217,3.3615982
114,3.289755228,4.093339985,3.474391224,3.463848766,2.794809465,2.946671455,3.0370633,3.0199971,2.4576312,3.3226874
115,3.472706589,3.965653503,3.155321355,3.134750192,2.530658697,2.629965058,3.0843041,2.6935772,2.516181,2.8953627
116,3.276952002,3.817574831,3.259094871,3.119377618,2.441709969,2.407376461,3.0423066,2.5353239,2.6972278,2.8454372
117,3.32210022,3.705731512,3.192383325,3.382593732,2.597033316,2.423690213,2.826099,2.8026712,2.8818216,2.7583248
118,3.387800985,3.633103943,3.503030019,3.868084717,2.519877033,2.485494235,2.8356089,3.1928809,2.5982227,2.8295376
119,3.200469573,3.528005733,3.051547839,3.976947639,2.963609892,2.65725922,2.7939712,3.4639875,2.6786194,2.6447531
120,3.095348349,3.358593693,3.336251154,4.230281384,3.1671138,2.847847765,2.7309492,4.1225981,2.63143,2.6688898
121,3.086588247,3.211926788,3.454849458,4.089575273,3.048515496,2.758749581,2.97692,5.1321245,2.5721605,2.5785927
122,3.453838677,3.437338919,2.923178652,3.836712117,3.13679037,3.135063918,2.6283971,4.7558269,2.6489075,2.6108707
