Time (s),Center TC 01,Center TC 02,Center TC 03,Center TC 04,Center TC 05,Center TC 06,Center TC 07,Center TC 08,Center TC 09,Center TC 10,Center TC 11,Center TC 12,North TC 01,North TC 02,North TC 03,North TC 04,North TC 05,North TC 06,North TC 07,North TC 08,North TC 09,North TC 10,North TC 11,North TC 12,East TC 01,East TC 02,East TC 03,East TC 04,East TC 05,East TC 06,East TC 07,East TC 08,East TC 09,East TC 10,East TC 11,East TC 12,South TC 01,South TC 02,South TC 03,South TC 04,South TC 05,South TC 06,South TC 07,South TC 08,South TC 09,South TC 10,South TC 11,South TC 12,West TC 01,West TC 02,West TC 03,West TC 04,West TC 05,West TC 06,West TC 07,West TC 08,West TC 09,West TC 10,West TC 11,West TC 12,North Heat Flux,South Heat Flux,Lcell (kg),Mass Loss
0,20.7700617,19.1255422,18.3767707,18.3148761,18.3534078,18.1862006,18.1897286,18.136319,18.1400541,18.1113848,18.1002962,18.1000193,18.6221713,17.8674,17.968993,17.8789863,17.9497567,17.9130208,18.1326403,17.859434,17.797503,18.0356853,17.9925632,17.927518,19.1009512,18.6561714,18.4945971,18.3356077,18.2355689,18.3205091,17.7022383,18.3486309,17.9861647,17.8710915,18.2826582,17.9664818,23.5678839,20.3657174,18.975479,18.9398966,18.5651657,18.5173121,18.3925512,18.5525344,18.2396991,18.2338605,18.2949833,18.1598175,19.6317672,18.6583232,18.5046835,18.2606362,18.4028959,18.4210739,18.4063536,18.4507462,18.2282486,18.2593668,17.9755392,18.2875367,0.3051683,0.106211,0.3581057,4.61E-05
1,77.4059653,66.463289,46.9502662,36.8637851,31.9422228,28.9324289,25.8071907,24.7260593,25.4241687,23.6527114,25.5515271,24.562457,35.0765834,33.5751109,28.3769764,26.565117,23.2824029,22.2774146,20.7276522,19.906528,19.1401435,19.0586517,19.6384919,19.527424,30.2135508,27.437107,25.3050276,24.0591789,21.8745158,21.9869534,22.5094064,21.6146324,21.0917315,19.7596774,21.8812106,20.3275074,62.7019027,45.835091,37.0699735,36.0676539,36.9908497,34.6691463,31.9952655,26.8816245,28.2427957,25.3702199,26.3265506,23.3268286,42.4066405,32.6539422,29.5334493,30.9325836,30.3505187,27.0715197,23.3747564,22.6538791,22.4493324,20.7654183,21.7227179,19.3264022,1.1379221,0.7083111,0.3464442,0.0117076
2,173.6097708,130.9944656,93.0863491,80.3584055,56.4480886,48.3504668,42.706209,41.6669698,42.3173436,37.0286492,37.3263702,34.1902154,45.3777705,48.33037,48.3885078,60.9617081,46.8155307,47.2242382,38.3678561,36.4637405,33.9013986,29.7663824,30.6647399,27.7968506,35.0982347,37.7707142,33.156519,34.3701271,31.2675908,32.0877071,35.5000188,27.6840966,28.9429912,25.60716,26.0364678,25.1774863,59.4492532,45.8111044,38.2831457,37.9571479,38.6815288,36.5837938,34.3388873,30.3304704,31.7395258,30.2264426,31.6952135,28.5010282,47.332969,39.6043241,34.3986322,38.6324986,44.0484971,39.5904138,32.3902131,31.4012723,30.2465324,27.1879544,28.9430587,24.8993758,1.2292166,0.9010454,0.3573783,0.0007735
3,242.9134573,191.5569943,133.1760764,123.4966386,89.2368332,75.4600219,69.0874941,64.6906723,61.6103817,53.4313307,52.821344,45.8250269,61.4951514,56.7679535,55.7876551,80.3010103,70.1850258,70.4350572,53.2584012,50.3660276,50.1147799,45.6798959,45.1988947,37.3847551,40.0308444,47.1121924,52.1930585,55.8732505,44.649324,46.8927176,50.1635376,38.3315536,47.5185961,38.8328662,33.5283777,32.4611918,58.5757853,46.9900618,39.5987178,38.6766327,39.0125153,36.8381258,35.4993725,31.5506205,33.8897143,31.9143054,32.2670591,29.4078216,57.3242047,46.9179345,41.3276452,41.9876818,44.6949744,39.4738067,32.6581813,31.3359646,29.8218113,26.8335525,27.7940759,24.6973894,1.5046422,1.1661658,0.3536605,0.0044913
4,300.3874857,243.3550883,163.6071897,148.808576,111.3564241,90.1882252,81.3784746,74.2190899,68.9525891,58.0922964,57.2876797,48.318522,66.7414775,59.7994679,74.4692012,94.6949534,76.4608627,74.4409489,58.0591084,56.001622,54.2705219,50.573255,49.2919638,42.6083102,45.3615346,56.6720256,72.0809893,76.2935229,61.4741384,66.5707626,64.9857505,47.2820815,60.3524791,46.2482261,39.5154702,38.65471,59.7345198,52.4891266,46.0445186,42.9244357,44.7692878,40.169837,39.2911016,35.3568965,37.7696864,34.1789432,33.0136275,30.2425756,60.0735607,54.1566231,49.9822231,55.4952448,58.1920647,43.5091145,34.7704227,32.5845401,30.3892,27.4660248,28.1068796,24.9251447,1.5098854,1.2851251,0.3519401,0.0062117
5,347.7878155,281.5208007,181.1562833,159.9631066,119.2938449,97.8867768,87.6413872,80.0114048,71.3873644,60.3303573,56.8024135,48.3185767,70.3681834,63.9352512,85.2307698,108.9564232,81.9699122,74.8992086,61.6371412,60.112238,58.9207777,52.5410524,51.8545848,46.042248,51.474862,79.3222153,92.9552405,101.034463,86.0272954,101.2158625,98.5334253,66.3860169,84.7809402,64.0782047,51.1347718,50.241494,62.039232,57.0219167,52.9136722,47.3795411,49.1561842,43.1705913,41.0205732,36.3407675,37.8383218,34.6059179,33.1218429,30.493198,62.4673473,56.9414138,51.4724917,57.3351468,56.9267683,42.748796,34.5804001,32.0762477,29.8544492,26.9869617,27.196311,24.7622902,1.6611176,1.464953,0.3516746,0.0064772
6,375.9271175,308.9471081,204.7797157,181.9889347,137.4510527,112.8990057,100.8019629,90.907193,79.4795268,66.2086174,60.2575926,51.1922845,74.8920129,69.3457513,85.6294903,111.04468,86.1720767,79.6718424,72.5641708,62.492794,58.7446343,53.159301,53.1161404,48.0614408,60.4656942,99.3294899,112.8236686,117.8638118,98.0832284,117.1956742,114.6140066,72.5442934,92.6861886,70.2671114,55.3513593,56.0975467,65.46612,60.9269113,60.7693426,54.1518136,54.6641792,46.6202785,46.0146765,39.1110368,40.8273471,37.003479,35.9846543,33.0477932,65.2613135,60.2558815,53.4939361,59.9414921,56.9828998,42.7219738,35.1268387,33.0823727,30.3451585,28.8984068,29.3760367,27.4546834,1.6298637,1.5486891,0.3485802,0.0095716
7,390.7095143,314.9380071,208.8637522,182.6384152,143.8728218,117.5795835,101.6127592,91.7858601,79.491657,65.4767037,60.1482079,50.8385658,80.4231669,82.3928413,104.6998386,128.5416728,90.7464669,78.7974597,74.3744419,61.8916914,58.4278278,54.4506326,55.5932646,49.0906508,84.9018992,134.09538,145.0025403,136.8182469,112.195707,135.1181395,129.3859484,79.5662563,96.4245282,73.7454371,59.4792003,59.564879,67.2999725,62.2741502,62.264808,56.8940399,57.6191115,48.8228005,47.9242214,40.9477752,44.2747063,39.6235435,37.7473242,34.8490256,66.8794818,61.9793877,53.800576,58.4207963,54.672596,42.3595925,34.8482516,33.7068324,31.3772439,29.6159859,29.446121,27.209217,1.5984041,1.5885817,0.3462941,0.0118577
8,413.0508463,340.2516529,226.2884936,195.1534147,148.7741296,124.8219719,106.4218678,99.2615809,85.8945295,70.1627364,63.7392643,55.1589151,83.4279797,83.9727532,111.97513,141.5593886,98.7223779,86.618629,79.1842423,67.5748804,64.767848,61.864964,60.0082259,54.1510418,92.3331649,155.0884265,165.2640637,148.4794371,124.6580533,150.1453697,142.6949379,85.7212594,103.0709487,78.2975516,62.3944914,63.8123245,69.6935336,63.7125426,62.3879625,56.9357615,57.9729565,51.2013013,52.8531041,45.3715237,47.959643,44.0258297,41.2217548,39.058986,68.6064184,64.0571773,54.6817444,57.4683252,54.0506458,43.3854727,35.5288426,34.3991458,32.6904723,29.4031649,28.7455124,26.5982871,1.6653328,1.6059179,0.344135,0.0140168
9,442.8808812,360.5925094,246.638685,218.5571464,165.9629516,138.6628353,118.3169962,110.2124802,98.0602083,78.9828009,68.9385356,59.6378254,96.1623635,89.350602,112.2347578,142.1601868,103.9839464,91.0561691,84.2033616,74.8685373,73.6184585,70.1670354,66.0628507,59.4486213,91.0715183,155.9735539,176.6739354,157.8904053,137.593869,162.3688316,157.1914483,94.5101562,115.4956113,86.3146209,65.2674367,69.04811,71.8103933,65.4222436,62.7963697,57.2528263,56.914862,51.2129991,53.1655153,47.205728,50.1665013,45.4397181,41.142603,39.1252693,70.757294,66.1665154,56.4283012,57.5982351,54.3656895,45.2789038,37.7077254,36.2214436,34.6034986,31.5899664,30.5464239,31.2870084,1.7647492,1.6285221,0.3441581,0.0139937
10,470.7309072,385.2774955,274.2181416,248.8159647,193.809172,166.4465996,143.7251823,131.8155895,116.797594,94.2348626,78.9221968,65.4459285,97.2465638,93.4487035,122.7167223,157.4298635,113.6710387,106.6170983,98.0050328,81.1477092,77.1058044,74.9832304,69.5261149,64.3302836,89.6813731,155.4685878,180.9523418,162.8163319,143.8565697,162.3042383,153.0146763,94.065334,114.9915232,87.757382,68.8248781,73.4516688,73.8328037,67.7656195,64.3657032,59.1597697,58.3166186,52.0489832,54.6491979,49.0669628,53.2413875,48.9072711,44.1303974,40.4316457,73.0878579,69.1081304,65.084803,59.0846575,55.9118346,45.9107043,39.402299,37.1384915,36.8395372,32.6325399,32.1572244,30.4727422,1.7442388,1.6278517,0.3447008,0.013451
11,496.5889387,409.0501536,294.9243189,265.8163009,209.7507885,184.0373969,164.8676535,150.8814743,131.3516667,110.034199,88.1757144,71.9814492,96.5802915,94.9494814,123.7047557,158.8886542,126.317099,113.2102719,101.7494053,85.6384288,84.1225144,77.9578494,70.7633593,64.2539604,99.9905775,161.9824343,185.063433,165.1966083,145.6803299,161.1587328,157.6087294,94.4497223,120.3755271,93.2531863,72.9591184,77.5719625,76.4742449,70.5136517,67.2616276,62.384825,63.6358734,58.9573045,61.0131731,52.1806333,57.548647,52.8123172,48.5187423,44.1301997,75.4914013,71.8059981,65.4476617,60.4188818,58.9231581,49.128314,40.4662239,37.4700645,36.7933135,32.6213831,32.8948231,30.6141865,1.8111161,1.6693007,0.3400247,0.0181271
