Time (s),Center TC 01,Center TC 02,Center TC 03,Center TC 04,Center TC 05,Center TC 06,Center TC 07,Center TC 08,Center TC 09,Center TC 10,Center TC 11,Center TC 12,North TC 01,North TC 02,North TC 03,North TC 04,North TC 05,North TC 06,North TC 07,North TC 08,North TC 09,North TC 10,North TC 11,North TC 12,East TC 01,East TC 02,East TC 03,East TC 04,East TC 05,East TC 06,East TC 07,East TC 08,East TC 09,East TC 10,East TC 11,East TC 12,South TC 01,South TC 02,South TC 03,South TC 04,South TC 05,South TC 06,South TC 07,South TC 08,South TC 09,South TC 10,South TC 11,South TC 12,West TC 01,West TC 02,West TC 03,West TC 04,West TC 05,West TC 06,West TC 07,West TC 08,West TC 09,West TC 10,West TC 11,West TC 12,North Heat Flux,South Heat Flux,Lcell (kg),Mass Loss
10,505.3762017,483.2474572,376.3738899,296.9556734,264.5862372,200.5755464,148.1010774,111.7969627,94.7115025,74.4473473,75.5204562,66.3212907,69.5577985,60.3396746,65.234705,55.3160732,46.260132,41.1369363,38.3255576,35.5371249,33.3677159,33.0689329,29.962152,29.2150739,281.0447708,285.4722447,245.7966565,173.6657388,117.5744887,119.6644011,119.0913325,80.8601124,88.2251268,77.0288543,71.7035188,63.6983032,300.030064,302.6182873,242.6697309,200.0105835,207.2104333,175.1022945,152.5431585,117.0638577,113.6132442,96.2333001,85.0375084,77.1569164,74.5539872,90.2124179,84.1688641,93.5575141,78.776025,75.7697857,67.4519137,51.5020796,48.3154467,39.5453559,40.028288,35.4898392,1.916777703,2.230278134,0.3401435,0.0197132
11,519.0403779,504.1077914,393.8633773,307.9319417,277.0612499,210.7871313,152.5871814,115.8520352,100.5333505,82.5458777,81.8218751,73.5338453,73.0993187,66.0822255,69.2900719,58.2576899,47.215208,41.939724,38.875743,35.1827776,33.0024721,34.8776893,30.2343029,29.9643021,263.3040179,271.188549,234.7711651,167.7646409,119.5772724,118.8187906,114.6534021,76.8340695,82.4842729,76.6957634,70.797179,63.2601591,330.6044417,323.4401823,268.5917118,223.2394431,228.0797527,192.9659262,172.1959432,132.5140686,123.7764693,104.6626612,90.8018939,81.03062,79.8007189,101.2700927,94.4685941,109.6480977,87.2404966,80.90481,69.8439775,53.3178476,50.2230839,41.1288954,41.0308185,37.5606154,1.848381522,2.174278043,0.338193,0.0216637
12,545.4296112,528.6508175,401.8611011,312.2285622,277.804754,211.5190206,155.8856905,121.7120434,102.3367744,85.6596424,84.1674297,76.2676122,74.3884918,66.6426994,70.1164162,59.5550031,48.1166693,42.7918561,39.1519005,35.2373201,32.7659182,34.7289953,29.9118392,29.6505803,243.8805396,256.6122083,227.268431,167.0529396,120.0841988,120.5435849,112.2384296,76.4245537,79.7573665,73.8641476,69.2948259,62.0015872,335.994696,325.6681288,286.7953633,249.5252011,266.8041428,232.8060292,210.9453379,159.126348,151.8649564,127.7848834,112.8385246,101.0658849,82.4292351,104.4201976,96.6986474,114.3615865,93.6501349,85.239425,71.9171347,57.3160705,52.4038962,45.1853954,43.9822529,39.5323107,1.958556651,2.234513435,0.3355038,0.0243529
13,556.9699028,544.359627,411.519926,325.7673984,293.5212222,229.5055865,167.5089312,130.7448931,109.1336979,88.2140813,86.7728121,78.8652081,76.1737242,67.877167,71.7900876,61.6200427,49.7155656,44.1521643,40.1783658,35.5253118,32.9999356,34.3327316,30.1699835,30.0031738,246.9050337,259.8551657,237.6276748,167.5710337,121.7440765,123.4717744,110.0911647,76.1271263,79.6804169,74.8065985,69.0097997,61.3229675,356.5312298,329.1218986,302.7229685,277.5712966,299.6619154,257.8560514,241.9269028,184.7959102,180.9783941,147.8736656,125.8956147,107.1374138,84.4845942,104.3145046,106.8962665,113.2928234,91.6454939,85.5614945,72.8343763,58.2043567,53.3552325,46.4774324,44.3645415,39.2242934,2.112869217,2.354984219,0.3333339,0.0265228
14,566.2608413,559.8616683,430.2990778,336.0355066,302.8810883,238.0182335,166.0124608,128.6056511,109.0560162,88.7429932,88.8123425,79.6916792,77.8449028,69.015555,72.8385124,62.8776494,50.6752042,44.8741149,41.2767478,36.5493697,34.1071007,36.7190076,31.6033157,31.2381038,257.2564869,272.6431979,250.3911548,171.3717223,125.6808581,129.828921,113.0282826,77.8330201,78.5257722,74.4974236,70.5906476,63.1186882,362.6599922,336.2875538,309.5698505,289.452934,318.2620054,278.3339398,262.1926609,205.2699371,198.3920556,154.9427178,131.6474605,107.7658763,86.1079852,104.5537285,107.9962898,113.058058,88.9623791,85.0772441,75.4497419,60.9602003,54.7870988,46.261484,42.9262166,39.5404341,1.938341031,2.317023373,0.3318335,0.0280232
15,571.6491021,573.8295078,437.2817391,340.3409442,307.6062786,237.2515801,166.0328335,125.3771639,108.3048407,89.4665059,90.9078527,80.4659015,79.3549046,70.0609365,73.8077386,64.1244291,51.7125452,45.7326488,41.39606,36.7814163,33.7900079,36.0324202,30.8127968,32.4312517,261.020098,268.3789087,250.2238219,176.2684757,132.3073978,142.4424743,118.2519295,86.4896451,79.934657,78.2004211,75.1053761,66.8374909,356.5702728,345.5544294,322.6259759,287.9318156,315.3836504,275.3200416,252.8868054,204.328502,187.3578504,148.5523571,125.0209568,101.4688303,87.2898001,104.4246217,104.4459442,107.4538555,85.8810054,81.7623438,72.7291268,60.9785753,55.5342778,46.8683394,43.0742677,40.1299983,1.99460784,2.416317652,0.3314988,0.0283579
16,577.569601,580.4413077,462.7937846,359.8342173,328.4346742,247.0381893,172.9306066,127.2343905,107.5208998,88.9338075,89.3720337,79.5424466,81.0197574,71.9679574,75.6182554,67.2518669,52.939477,46.4980323,41.6912961,36.7641002,33.894892,35.3949763,30.2636911,31.0597093,306.4209095,301.8819033,269.2176269,187.2221996,138.4804894,149.2967455,126.2402631,92.1764437,84.0200611,80.1617927,75.5667271,66.6983612,351.9131183,362.7727006,330.3766846,288.0709765,305.7292414,266.0582159,250.8335801,205.1904807,191.1402306,152.5482356,128.3590182,105.2106769,89.4332322,105.42241,102.7964619,104.2413594,85.1623513,79.6858567,71.9080767,60.3707297,54.6896351,46.8313502,43.542654,38.9804434,2.063677875,2.430435322,0.3296521,0.0302046
17,590.7878788,594.0641026,475.1677822,378.2102612,349.7349701,259.2893612,185.8398997,136.1589693,114.4957502,94.2533198,95.0225627,83.3929559,83.1847933,74.2023982,78.3784127,75.3329328,56.0558011,49.7453301,45.9778069,40.1920999,38.2061373,38.6036225,32.3268173,30.6745925,349.4942783,337.5427119,301.9681075,204.7091954,146.1254265,154.5508515,135.317179,94.8854096,92.4801212,84.8198331,79.6667165,68.3386606,347.1079106,368.2973565,332.23248,290.2715237,295.7385116,253.7671903,244.7193912,202.2336961,184.4343689,149.176663,126.5890008,105.704634,91.701321,107.3542715,102.7101361,103.3265481,86.3780219,81.3671988,74.6397975,59.4509491,54.0059573,46.0722552,44.3056198,41.4317633,2.116912341,2.551219832,0.3280709,0.0317858
18,614.6970921,608.3795559,487.1700234,388.6499839,357.2923342,264.4874834,192.4130917,144.9987627,119.9738774,97.2322609,98.0493502,85.602668,85.532884,76.2574273,80.3699474,78.5211076,61.5770713,56.3827181,51.0263188,47.0943954,43.4572141,43.2960119,38.10147,34.9524588,379.4951552,364.4402266,331.7904083,231.9139429,168.7921093,176.4035153,156.9235782,109.6952693,106.7600671,96.5683672,86.7383724,75.5923494,366.2564097,374.0051205,332.8330932,283.9244598,281.1919692,236.5316727,234.1595611,191.6887446,170.8818645,142.1883389,123.8017592,104.1311603,93.5626951,108.5636021,102.0071525,101.9102668,85.3115382,78.9170556,71.9335923,57.3230123,52.9786701,44.5457677,42.7246878,40.3608672,2.09568594,2.628553291,0.3276785,0.0321782
19,629.696007,619.8623074,504.8902095,403.3372036,364.7529401,272.5479774,195.1519613,151.5354879,125.3073906,99.0615242,98.1624626,86.2006585,87.4717868,78.0018249,82.8032112,81.869092,66.890348,64.9160473,57.6308206,58.6210431,49.7736932,48.998312,45.1226254,41.0777133,408.9631794,398.9219521,360.5260674,247.3384717,176.318327,193.887799,172.4193727,123.3226369,121.3745968,106.5763265,90.1287106,79.172096,388.5633298,396.0490615,348.8573402,283.2192216,273.1151264,227.4126354,221.0837097,184.1809664,160.8726078,136.505904,117.6647643,100.0706907,95.0719342,109.3867687,102.5714216,114.4806935,92.6113016,83.6588145,73.3534531,58.6070801,53.48782,45.2873438,42.1308282,39.6124101,2.148583479,2.707769106,0.3253586,0.0344981
