Time (s),Center TC 01,Center TC 02,Center TC 03,Center TC 04,Center TC 05,Center TC 06,Center TC 07,Center TC 08,Center TC 09,Center TC 10,Center TC 11,Center TC 12,North TC 01,North TC 02,North TC 03,North TC 04,North TC 05,North TC 06,North TC 07,North TC 08,North TC 09,North TC 10,North TC 11,North TC 12,East TC 01,East TC 02,East TC 03,East TC 04,East TC 05,East TC 06,East TC 07,East TC 08,East TC 09,East TC 10,East TC 11,East TC 12,South TC 01,South TC 02,South TC 03,South TC 04,South TC 05,South TC 06,South TC 07,South TC 08,South TC 09,South TC 10,South TC 11,South TC 12,West TC 01,West TC 02,West TC 03,West TC 04,West TC 05,West TC 06,West TC 07,West TC 08,West TC 09,West TC 10,West TC 11,West TC 12,North Heat Flux,South Heat Flux,Lcell (kg),Mass Loss
0,79.6942856,68.3459422,68.8623305,58.3773656,52.1912804,45.4329221,39.6226703,34.4924085,31.6277792,29.6108491,28.7099771,27.319077,42.0136955,36.2575742,36.7752512,34.378162,32.5487717,30.1080641,28.8505599,26.5254012,25.3427145,24.7535206,23.7218911,22.7860197,60.9772018,88.8551664,67.3296614,71.2704595,52.9297993,36.2626709,30.9911823,45.9291397,27.1104548,29.6550595,38.5833972,24.8889239,93.8059206,85.4952982,75.9863656,66.8906657,58.0608088,50.2523731,45.6276385,41.2255312,36.552351,33.3782032,31.9651884,30.2042579,64.4285833,62.6428504,56.6353738,49.8004122,43.1836156,39.6542959,35.3766822,32.9193209,30.5096013,29.1226854,27.8157819,27.1396123,0.012803226,0.035294175,0.2850436,0
1,90.4273377,72.7605595,70.7888919,58.7571238,52.3244089,45.3963961,39.5788967,34.4900323,31.6757463,29.6355747,28.7200247,27.3215942,49.7921068,41.7147847,38.7724062,34.5678731,32.5534763,30.194464,28.8613545,26.6320995,25.3758528,24.8063319,23.7066327,22.7779455,62.546299,89.45686,67.3438277,71.4749119,52.2540448,36.1533211,30.8989408,45.6521518,27.1044664,29.676568,38.6009879,24.8931322,117.4504966,94.8408376,84.7048483,71.6827986,60.9593033,51.3104893,46.1318266,41.2913809,36.5826171,33.3234802,31.8953734,30.215587,71.486542,64.5905448,58.0449129,50.1668993,43.5267323,39.8195076,35.5140685,33.0652909,30.6156343,29.1664022,27.8516368,27.1340022,0.639487446,0.402510458,0.2874096,-0.002366
2,150.8533902,114.2423084,86.7200747,67.3154643,58.5820218,49.7849029,41.8697997,35.7710511,32.1381182,29.9769624,29.0232233,27.5104212,58.6454436,51.9488765,49.1304854,37.0513445,33.9578521,31.1573378,29.505824,27.2332088,25.7397149,25.1952608,23.908241,22.9812107,68.9143302,93.9847036,70.2173786,74.4887434,54.1340562,38.4354092,32.6904224,46.096683,27.4501705,29.9426064,38.751288,25.021189,152.0671129,119.6719529,110.913663,93.4860824,79.2289591,65.3822578,53.670657,46.163962,41.0654122,36.5468893,34.0869032,32.7005583,113.2944693,87.6257467,74.4682658,57.6769627,47.6424577,42.4850262,37.2015936,34.767867,31.4918918,29.6928128,28.8374279,27.6121975,1.114217589,0.918432865,0.2721169,0.0129267
3,191.4617008,147.9798531,104.2409165,75.8400333,65.4936733,54.6102779,45.1370264,36.8682627,33.2102737,31.2953962,30.2001351,28.2895957,60.644718,52.4747823,49.6703708,38.9811192,35.3543877,32.2041774,30.1577663,27.7668168,26.0365569,25.5228066,24.1143171,23.1613131,73.0403818,100.1009092,73.5253079,76.2317282,53.8917669,38.9301153,34.3245655,46.4386412,27.6894928,30.1721061,38.854951,25.1088115,167.0658331,136.1924207,124.8544187,102.7070202,89.7170855,74.2219688,60.9672774,52.261901,46.4564641,41.441967,37.7857896,35.9194798,149.1748301,111.4100515,96.4495058,73.3050176,59.716702,53.1217506,44.1384073,39.4499057,35.2396101,31.8929146,31.8348922,29.6365058,1.279985673,1.142433229,0.2746907,0.0103529
4,208.5657721,162.7469653,108.9136023,78.8100318,66.7940435,55.7381702,45.7441009,37.3400238,35.0095141,33.8422051,33.6902541,30.3693776,62.5210396,53.396632,50.3497863,40.6199875,36.5207308,33.112689,30.7311039,28.2851129,26.3794193,25.8223272,24.3037469,23.3664007,80.9388709,111.4335808,80.4149209,78.2527162,53.6811432,39.1609829,34.8439836,46.4686191,27.8941772,30.2940384,38.9098155,25.2154199,187.7575833,167.8274704,151.8851919,118.1611625,101.4852535,81.6606387,64.5511089,55.3106737,50.2217391,45.6966963,41.4338639,38.9056258,174.6528432,121.0655126,97.7068532,75.7450614,62.1509923,54.9714425,46.8033065,42.8627799,39.728957,34.8464796,35.2279249,33.1097644,1.346697219,1.403610124,0.273952,0.0110916
5,232.3115757,176.5547558,113.7038029,81.4005833,70.4887783,59.9814027,47.2838439,39.2318838,36.4844424,34.0557708,33.0515432,30.0637983,64.8088659,54.8349359,51.7197364,42.4318518,37.8711532,34.3249433,31.5640124,29.0473898,26.8612472,26.2722233,24.5598601,23.6113524,85.4288455,116.3610852,84.0289689,80.7013649,53.8298366,39.6407071,35.2399208,46.6026155,28.337794,30.6767007,39.2568602,25.4154628,211.0796328,204.1511778,190.5051097,150.3011953,127.3849737,98.3443037,73.1242962,60.1232814,54.0979204,48.0263623,42.867347,39.3220386,189.2554549,136.0596644,102.0778035,79.8781303,62.7224978,54.9452934,47.8846444,42.4507641,39.3569318,34.6436242,34.4116911,32.6994852,1.672168701,1.765649928,0.2720938,0.0129498
6,262.7202747,198.9606269,121.4309132,86.8757471,76.2395197,64.3765057,50.2128834,43.4556734,40.1688427,37.229235,34.544422,31.8742623,67.288312,56.6627324,53.464845,44.5612477,39.3870687,35.6208749,32.5235779,29.8937887,27.3994238,26.823806,24.9224861,23.9587334,87.4124846,119.1007914,86.1036949,83.0539443,54.1071495,40.2122733,35.8886916,47.0710333,28.8424558,32.2324041,42.0819999,27.7672306,223.1467473,220.2942702,208.9624189,172.5759764,142.0471318,113.6073927,84.5959242,68.8972994,60.5364252,53.1971538,47.0819745,42.5503897,196.1070836,154.8658948,110.4964156,84.5714162,64.6319077,55.9236317,51.684579,43.6562216,40.4522598,35.0562298,35.590719,33.1862342,1.845686106,2.106199501,0.2732249,0.0118187
7,282.3430846,202.0247033,129.9237629,91.1037207,82.5505813,68.2586612,54.8690427,45.8900291,40.3282735,37.2582649,34.6094673,32.3122797,69.6418635,58.4731729,55.1939826,46.699569,40.8207469,36.7120531,33.3962201,30.6318184,27.9088964,27.2972404,25.2780335,24.2933701,88.4459055,120.1727377,87.1150212,84.6604618,54.3403993,42.6155443,40.0944199,49.4368799,32.9011397,33.6000106,43.0773573,28.93375,223.3513126,224.5922902,212.1949483,183.2567614,150.5802517,123.2263294,98.9199301,82.8181382,70.2913018,60.5121403,53.0535852,46.412079,212.9608601,160.2265913,116.322941,89.7364622,68.1230506,58.4749185,51.7995978,43.6508685,40.0617183,35.0894316,34.9018187,32.9690051,1.997303256,2.202827109,0.2708588,0.0141848
8,294.9613414,205.0922675,132.355146,91.8514702,81.7596642,66.8661478,54.1560116,44.8883928,39.8662772,36.6775008,34.3123016,32.5142168,71.5940903,60.2450508,56.8998473,48.4775548,42.0398825,37.3921771,33.8212223,30.9957692,28.2074842,27.5714303,25.4858203,24.460485,89.625828,120.7169033,88.6976185,85.3595601,54.2740188,42.5229247,39.856384,49.303465,33.1854483,33.811394,43.3150413,28.9713941,240.4085575,234.0050304,214.5758692,180.0555184,143.4564494,119.1012449,95.9369606,81.9081218,70.8994502,62.182835,54.8496437,48.0463346,235.2198829,170.8716201,128.6425691,98.397481,74.1415038,63.4872863,53.3496481,45.6629965,40.0205564,36.7391918,37.6490864,35.3563203,1.99797711,2.170042742,0.2627566,0.022287
9,299.4751999,215.605759,136.0115061,92.6865975,83.1648044,66.2566471,52.8437019,45.1129949,40.1193291,36.2568867,33.7382153,32.6882635,73.7431738,61.8813654,58.2406576,49.4318338,42.8997037,38.0157434,34.2208304,31.1708208,28.3483454,27.6689818,25.5589935,25.3248359,91.9213996,122.8355703,89.9057056,86.2929015,54.0751913,42.3914875,39.2501791,48.6490663,32.3257283,33.3006196,42.5580761,28.4256264,255.9488108,252.1170302,225.497252,183.4474092,139.2052889,115.3881971,93.0644837,79.862585,69.2402437,61.5980631,53.8342399,46.6109302,239.533434,184.6318558,135.9485533,105.3931568,76.873865,65.0543659,54.8431468,46.6429982,41.3578078,38.6105342,39.3890666,36.4897479,1.953839673,2.1019642,0.2631144,0.0219292
