Panel,Channel,Device Name,Type,X,Y,Z,Serial Number,Calibration Slope,Calibration Intercept,Test Specific Name
SC1Mod3,5,TC_A5_6,TC,,,1.52 m BC,,1,0,TC A5 1.52 m BC
SC1Mod3,6,TC_A5_7,TC,,,1.83 m BC,,1,0,TC A5 1.83 m BC
SC1Mod3,7,TC_A5_8,TC,,,2.13 m BC,,1,0,TC A5 2.13 m BC
SC1Mod3,8,TC_A6_1,TC,,,,,1,0,
SC1Mod3,9,TC_A6_2,TC,,,,,1,0,
SC1Mod3,10,TC_A6_3,TC,,,,,1,0,
SC1Mod3,11,TC_A6_4,TC,,,,,1,0,
SC1Mod3,12,TC_A6_5,TC,,,,,1,0,
SC1Mod3,13,TC_A6_6,TC,,,,,1,0,
SC1Mod3,14,TC_A6_7,TC,,,,,1,0,
SC1Mod3,15,TC_A6_8,TC,,,,,1,0,
SC1Mod3,16,TC_A7_1,TC,,,,,1,0,
SC1Mod3,17,TC_A7_2,TC,,,,,1,0,
SC1Mod3,18,TC_A7_3,TC,,,,,1,0,
SC1Mod3,19,TC_A7_4,TC,,,,,1,0,
SC1Mod3,20,TC_A7_5,TC,,,,,1,0,
SC1Mod3,21,TC_A7_6,TC,,,,,1,0,
SC1Mod3,22,TC_A7_7,TC,,,,,1,0,
SC1Mod3,23,TC_A7_8,TC,,,,,1,0,
SC1Mod3,24,TC_A8_1,TC,,,,,1,0,
SC1Mod3,25,TC_A8_2,TC,,,,,1,0,
SC1Mod3,26,TC_A8_3,TC,,,,,1,0,
SC1Mod3,27,TC_A8_4,TC,,,,,1,0,
SC1Mod3,28,TC_A8_5,TC,,,,,1,0,
SC1Mod3,29,TC_A8_6,TC,,,,,1,0,
SC1Mod3,30,TC_A8_7,TC,,,,,1,0,
SC1Mod3,31,TC_A8_8,TC,,,,,1,0,
SC1Mod4,0,TC_S_1,TC,,,,,1,0,TC A4 Door Out
SC1Mod4,1,TC_S_2,TC,,,,,1,0,TC A4 Door In
SC1Mod4,2,TC_S_3,TC,,,,,1,0,
SC1Mod4,3,TC_S_4,TC,,,,,1,0,
SC1Mod4,4,TC_S_5,TC,,,,,1,0,
