s,C,C,C,m/s,m/s,m/s,C,C,C,m/s,m/s,m/s,m/s,m/s,C,m/s,m/s,C,m/s,m/s,C,m/s,m/s,C,m/s,m/s,C,m/s,m/s,C,m/s,m/s,C,m/s,m/s,C
Time,"FF1_0p3_m_TEMP","FF1_1_m_TEMP","FF1_2_m_TEMP","FF1_0p3_m_VEL","FF1_1_m_VEL","FF1_2_m_VEL","FF2_0p3_m_TEMP","FF2_1_m_TEMP","FF2_2_m_TEMP","FF2_0p3_m_VEL","FF2_1_m_VEL","FF2_2_m_VEL","FRONT_DOOR_V_1","FRONT_DOOR_W_1","FRONT_DOOR_TEMP_1","FRONT_DOOR_V_2","FRONT_DOOR_W_2","FRONT_DOOR_TEMP_2","FRONT_DOOR_V_3","FRONT_DOOR_W_3","FRONT_DOOR_TEMP_3","FRONT_DOOR_V_4","FRONT_DOOR_W_4","FRONT_DOOR_TEMP_4","FRONT_DOOR_V_5","FRONT_DOOR_W_5","FRONT_DOOR_TEMP_5","FRONT_DOOR_V_6","FRONT_DOOR_W_6","FRONT_DOOR_TEMP_6","FRONT_DOOR_V_7","FRONT_DOOR_W_7","FRONT_DOOR_TEMP_7","FRONT_DOOR_V_8","FRONT_DOOR_W_8","FRONT_DOOR_TEMP_8"
 9.0036757E+000, 1.9985020E+001, 1.9972422E+001, 1.9986124E+001, 6.3400934E-003, 8.2697971E-003, 5.0283582E-003, 1.9984646E+001, 1.9972822E+001, 1.9983870E+001, 4.8500802E-003, 5.7144444E-003, 2.7646539E-003, 2.8414233E-003,-1.8863898E-002, 1.9909697E+001, 3.1547151E-003,-2.1690328E-002, 1.9907448E+001, 2.8465888E-003,-2.2148356E-002, 1.9909559E+001, 4.0832106E-003,-2.1827342E-002, 1.9913712E+001, 2.2606128E-003,-1.9890491E-002, 1.9918903E+001, 3.7918899E-003,-1.8593416E-002, 1.9926191E+001, 3.5274557E-003,-1.6581373E-002, 1.9932375E+001, 4.3866378E-003,-1.4422050E-002, 1.9938251E+001
 1.0032667E+001, 1.9984980E+001, 1.9972376E+001, 1.9986113E+001, 6.4109797E-003, 7.4999221E-003, 5.2528549E-003, 1.9984619E+001, 1.9972794E+001, 1.9983791E+001, 4.9855621E-003, 5.5179442E-003, 2.5683208E-003, 3.7087109E-003,-1.9647064E-002, 1.9917990E+001, 3.8949752E-003,-2.3287360E-002, 1.9912735E+001, 3.5342302E-003,-2.4224030E-002, 1.9913725E+001, 4.8527759E-003,-2.4188168E-002, 1.9916809E+001, 2.9842339E-003,-2.1964742E-002, 1.9922401E+001, 4.5929956E-003,-2.0639304E-002, 1.9928982E+001, 4.2981179E-003,-1.8512437E-002, 1.9934650E+001, 5.2242498E-003,-1.6078308E-002, 1.9940441E+001
 1.1018784E+001, 1.9984941E+001, 1.9972342E+001, 1.9986105E+001, 6.4069475E-003, 6.6422229E-003, 5.6197462E-003, 1.9984596E+001, 1.9972757E+001, 1.9983719E+001, 5.0437083E-003, 5.2953078E-003, 2.4449159E-003, 4.0574903E-003,-1.9925090E-002, 1.9926867E+001, 4.1462178E-003,-2.4459781E-002, 1.9918217E+001, 3.7999251E-003,-2.5988743E-002, 1.9918140E+001, 5.1974170E-003,-2.6339352E-002, 1.9920113E+001, 3.3786169E-003,-2.3851952E-002, 1.9926085E+001, 5.0227293E-003,-2.2535319E-002, 1.9931953E+001, 4.7059818E-003,-2.0349503E-002, 1.9937048E+001, 5.6910580E-003,-1.7652044E-002, 1.9942709E+001
 1.2004901E+001, 1.9984911E+001, 1.9972317E+001, 1.9986097E+001, 6.0766675E-003, 6.1885039E-003, 5.6690271E-003, 1.9984575E+001, 1.9972721E+001, 1.9983650E+001, 4.8849424E-003, 4.9619228E-003, 2.3831374E-003, 3.5782619E-003,-1.9795854E-002, 1.9935337E+001, 3.6341506E-003,-2.5234774E-002, 1.9923527E+001, 3.3906291E-003,-2.7445322E-002, 1.9922272E+001, 4.8473957E-003,-2.8251654E-002, 1.9923243E+001, 3.2020716E-003,-2.5533453E-002, 1.9929413E+001, 4.8139035E-003,-2.4226218E-002, 1.9934727E+001, 4.5000762E-003,-2.2051979E-002, 1.9939266E+001, 5.5325795E-003,-1.9090427E-002, 1.9944756E+001
 1.3033892E+001, 1.9984882E+001, 1.9972305E+001, 1.9986090E+001, 5.5689849E-003, 5.8739902E-003, 5.6049037E-003, 1.9984556E+001, 1.9972689E+001, 1.9983587E+001, 4.6489127E-003, 4.5963214E-003, 2.3932122E-003, 2.4751495E-003,-1.9334976E-002, 1.9943279E+001, 2.5193251E-003,-2.5667502E-002, 1.9928654E+001, 2.4553554E-003,-2.8682185E-002, 1.9925991E+001, 3.9276816E-003,-3.0010199E-002, 1.9926079E+001, 2.6078701E-003,-2.7129799E-002, 1.9932238E+001, 4.0951916E-003,-2.5812134E-002, 1.9937147E+001, 3.8265979E-003,-2.3743706E-002, 1.9941181E+001, 4.8963446E-003,-2.0501597E-002, 1.9946466E+001
 1.4020009E+001, 1.9984859E+001, 1.9972305E+001, 1.9986080E+001, 5.3102924E-003, 5.2582007E-003, 5.8422866E-003, 1.9984539E+001, 1.9972658E+001, 1.9983528E+001, 4.4925013E-003, 4.3050935E-003, 2.4074817E-003, 1.5189808E-003,-1.8650632E-002, 1.9950338E+001, 1.4557190E-003,-2.5794346E-002, 1.9933449E+001, 1.5838123E-003,-2.9714894E-002, 1.9929148E+001, 2.9944042E-003,-3.1580828E-002, 1.9928465E+001, 2.1427667E-003,-2.8664887E-002, 1.9934469E+001, 3.3977167E-003,-2.7298992E-002, 1.9939077E+001, 3.2250367E-003,-2.5429586E-002, 1.9942699E+001, 4.3227803E-003,-2.1904698E-002, 1.9947769E+001
 1.5006126E+001, 1.9984842E+001, 1.9972307E+001, 1.9986073E+001, 5.4559857E-003, 4.4009760E-003, 6.3371174E-003, 1.9984524E+001, 1.9972631E+001, 1.9983473E+001, 4.4780397E-003, 4.0962296E-003, 2.3203706E-003, 1.1481680E-003,-1.7812055E-002, 1.9956308E+001, 8.0792984E-004,-2.5636490E-002, 1.9938059E+001, 1.0856583E-003,-3.0536087E-002, 1.9931875E+001, 2.3450304E-003,-3.2903470E-002, 1.9930582E+001, 2.0651401E-003,-3.0113850E-002, 1.9936264E+001, 2.9820902E-003,-2.8665852E-002, 1.9940603E+001, 2.9480513E-003,-2.7052166E-002, 1.9944002E+001, 4.0661860E-003,-2.3275016E-002, 1.9948788E+001
 1.6035118E+001, 1.9984829E+001, 1.9972313E+001, 1.9986063E+001, 5.7234787E-003, 3.6955348E-003, 6.7789969E-003, 1.9984510E+001, 1.9972603E+001, 1.9983419E+001, 4.5011463E-003, 3.9054372E-003, 2.2062976E-003, 7.5005187E-004,-1.6868435E-002, 1.9961458E+001, 7.3924253E-005,-2.5245294E-002, 1.9942621E+001, 5.3687330E-004,-3.1215861E-002, 1.9934387E+001, 1.5862865E-003,-3.4031145E-002, 1.9932707E+001, 2.0045962E-003,-3.1552318E-002, 1.9937813E+001, 2.4966234E-003,-2.9989284E-002, 1.9941927E+001, 2.6604759E-003,-2.8662013E-002, 1.9945236E+001, 3.8012702E-003,-2.4673317E-002, 1.9949654E+001
 1.7021235E+001, 1.9984821E+001, 1.9972322E+001, 1.9986050E+001, 5.8652041E-003, 3.1835798E-003, 7.0733083E-003, 1.9984499E+001, 1.9972574E+001, 1.9983372E+001, 4.4632601E-003, 3.7001714E-003, 2.1471004E-003, 2.9004132E-004,-1.5920861E-002, 1.9965649E+001,-7.6014054E-004,-2.4697209E-002, 1.9946823E+001,-9.2117174E-005,-3.1773426E-002, 1.9936609E+001, 6.9696637E-004,-3.4943860E-002, 1.9934809E+001, 1.8918286E-003,-3.2961860E-002, 1.9939119E+001, 1.8913153E-003,-3.1258639E-002, 1.9943045E+001, 2.3116455E-003,-3.0214407E-002, 1.9946348E+001, 3.4787096E-003,-2.6078517E-002, 1.9950363E+001
 1.8007351E+001, 1.9984819E+001, 1.9972340E+001, 1.9986032E+001, 6.0733058E-003, 2.7873314E-003, 7.4032224E-003, 1.9984488E+001, 1.9972549E+001, 1.9983328E+001, 4.4132574E-003, 3.5004797E-003, 2.1074882E-003,-9.8462253E-005,-1.5012655E-002, 1.9968914E+001,-1.5562443E-003,-2.4038687E-002, 1.9950579E+001,-6.8658928E-004,-3.2197855E-002, 1.9938585E+001,-1.8679841E-004,-3.5623584E-002, 1.9936815E+001, 1.7979504E-003,-3.4305014E-002, 1.9940168E+001, 1.2755367E-003,-3.2471158E-002, 1.9943939E+001, 2.0051687E-003,-3.1678617E-002, 1.9947306E+001, 3.2057492E-003,-2.7485615E-002, 1.9950911E+001
 1.9036343E+001, 1.9984823E+001, 1.9972366E+001, 1.9986010E+001, 6.6550826E-003, 2.6308361E-003, 7.9506850E-003, 1.9984478E+001, 1.9972525E+001, 1.9983288E+001, 4.4034664E-003, 3.3306023E-003, 2.0360658E-003,-1.0534201E-004,-1.4101744E-002, 1.9971605E+001,-2.0693853E-003,-2.3264511E-002, 1.9954084E+001,-1.0413800E-003,-3.2496341E-002, 1.9940584E+001,-8.5980701E-004,-3.6108490E-002, 1.9938744E+001, 1.8921426E-003,-3.5612762E-002, 1.9941162E+001, 8.2543818E-004,-3.3697281E-002, 1.9944830E+001, 1.9203296E-003,-3.3107881E-002, 1.9948187E+001, 3.1659501E-003,-2.8970074E-002, 1.9951408E+001
 2.0022460E+001, 1.9984831E+001, 1.9972403E+001, 1.9985979E+001, 7.2573293E-003, 2.8566823E-003, 8.4582977E-003, 1.9984468E+001, 1.9972500E+001, 1.9983253E+001, 4.4717942E-003, 3.2129074E-003, 1.9007790E-003, 4.0570932E-005,-1.3206519E-002, 1.9973846E+001,-2.4671375E-003,-2.2415623E-002, 1.9957294E+001,-1.3159304E-003,-3.2649085E-002, 1.9942648E+001,-1.4380327E-003,-3.6407672E-002, 1.9940519E+001, 1.9831564E-003,-3.6814611E-002, 1.9942194E+001, 4.1073145E-004,-3.4917071E-002, 1.9945789E+001, 1.9087238E-003,-3.4447119E-002, 1.9949028E+001, 3.2162543E-003,-3.0491754E-002, 1.9951933E+001
 2.1008577E+001, 1.9984842E+001, 1.9972446E+001, 1.9985943E+001, 7.3619592E-003, 3.0307234E-003, 8.6082229E-003, 1.9984461E+001, 1.9972477E+001, 1.9983225E+001, 4.4965278E-003, 3.0887325E-003, 1.8085557E-003,-2.2765744E-004,-1.2403898E-002, 1.9975647E+001,-3.1869733E-003,-2.1584176E-002, 1.9960083E+001,-1.8923824E-003,-3.2682292E-002, 1.9944736E+001,-2.2549536E-003,-3.6567837E-002, 1.9942158E+001, 1.6851829E-003,-3.7875526E-002, 1.9943249E+001,-2.8677122E-004,-3.6116984E-002, 1.9946739E+001, 1.6363682E-003,-3.5671860E-002, 1.9949795E+001, 3.0306908E-003,-3.2010090E-002, 1.9952488E+001
 2.2037568E+001, 1.9984858E+001, 1.9972498E+001, 1.9985901E+001, 7.1255825E-003, 3.1083475E-003, 8.5660508E-003, 1.9984453E+001, 1.9972458E+001, 1.9983200E+001, 4.3760869E-003, 2.8878229E-003, 1.8546991E-003,-8.0769073E-004,-1.1709234E-002, 1.9977083E+001,-4.1543632E-003,-2.0803176E-002, 1.9962530E+001,-2.7062956E-003,-3.2629706E-002, 1.9946899E+001,-3.2456745E-003,-3.6645647E-002, 1.9943792E+001, 1.0330996E-003,-3.8844153E-002, 1.9944307E+001,-1.2072461E-003,-3.7372548E-002, 1.9947729E+001, 1.1637456E-003,-3.6868021E-002, 1.9950546E+001, 2.6825622E-003,-3.3607919E-002, 1.9953070E+001
 2.3023685E+001, 1.9984873E+001, 1.9972555E+001, 1.9985859E+001, 6.9503873E-003, 3.3115747E-003, 8.5991174E-003, 1.9984447E+001, 1.9972443E+001, 1.9983181E+001, 4.2201118E-003, 2.6813683E-003, 1.9747263E-003,-1.3534212E-003,-1.1130772E-002, 1.9978174E+001,-5.0581573E-003,-2.0105975E-002, 1.9964621E+001,-3.4825332E-003,-3.2487731E-002, 1.9949032E+001,-4.1221851E-003,-3.6660589E-002, 1.9945421E+001, 2.6304115E-004,-3.9672595E-002, 1.9945433E+001,-2.0670416E-003,-3.8665812E-002, 1.9948706E+001, 7.3626550E-004,-3.8028643E-002, 1.9951290E+001, 2.4251216E-003,-3.5259139E-002, 1.9953651E+001
 2.4009802E+001, 1.9984892E+001, 1.9972620E+001, 1.9985815E+001, 6.9399620E-003, 3.5852522E-003, 8.7057538E-003, 1.9984440E+001, 1.9972431E+001, 1.9983170E+001, 4.1256039E-003, 2.5277508E-003, 2.0571107E-003,-1.4661009E-003,-1.0647590E-002, 1.9979013E+001,-5.5469354E-003,-1.9499626E-002, 1.9966377E+001,-3.9121723E-003,-3.2252274E-002, 1.9951071E+001,-4.5724162E-003,-3.6636658E-002, 1.9947018E+001,-3.2717569E-004,-4.0312495E-002, 1.9946659E+001,-2.5465859E-003,-3.9957732E-002, 1.9949583E+001, 6.2656397E-004,-3.9123829E-002, 1.9952034E+001, 2.5315788E-003,-3.6902599E-002, 1.9954220E+001
 2.5038793E+001, 1.9984915E+001, 1.9972692E+001, 1.9985764E+001, 6.8858713E-003, 3.7022168E-003, 8.7174242E-003, 1.9984434E+001, 1.9972422E+001, 1.9983162E+001, 4.1754576E-003, 2.4531393E-003, 1.9530406E-003,-1.1100342E-003,-1.0184109E-002, 1.9979759E+001,-5.5973055E-003,-1.8917972E-002, 1.9967955E+001,-3.9769253E-003,-3.1887289E-002, 1.9953106E+001,-4.5731580E-003,-3.6580622E-002, 1.9948639E+001,-6.9686398E-004,-4.0755108E-002, 1.9947998E+001,-2.5926211E-003,-4.1265082E-002, 1.9950354E+001, 8.6791336E-004,-4.0180981E-002, 1.9952818E+001, 3.0427438E-003,-3.8561787E-002, 1.9954805E+001
