s,C,C,C,m/s,m/s,m/s,C,C,C,m/s,m/s,m/s,m/s,m/s,C,m/s,m/s,C,m/s,m/s,C,m/s,m/s,C,m/s,m/s,C,m/s,m/s,C,m/s,m/s,C,m/s,m/s,C
Time,"FF1_0p3_m_TEMP","FF1_1_m_TEMP","FF1_2_m_TEMP","FF1_0p3_m_VEL","FF1_1_m_VEL","FF1_2_m_VEL","FF2_0p3_m_TEMP","FF2_1_m_TEMP","FF2_2_m_TEMP","FF2_0p3_m_VEL","FF2_1_m_VEL","FF2_2_m_VEL","FRONT_DOOR_V_1","FRONT_DOOR_W_1","FRONT_DOOR_TEMP_1","FRONT_DOOR_V_2","FRONT_DOOR_W_2","FRONT_DOOR_TEMP_2","FRONT_DOOR_V_3","FRONT_DOOR_W_3","FRONT_DOOR_TEMP_3","FRONT_DOOR_V_4","FRONT_DOOR_W_4","FRONT_DOOR_TEMP_4","FRONT_DOOR_V_5","FRONT_DOOR_W_5","FRONT_DOOR_TEMP_5","FRONT_DOOR_V_6","FRONT_DOOR_W_6","FRONT_DOOR_TEMP_6","FRONT_DOOR_V_7","FRONT_DOOR_W_7","FRONT_DOOR_TEMP_7","FRONT_DOOR_V_8","FRONT_DOOR_W_8","FRONT_DOOR_TEMP_8"
 1.4600317E+002, 2.0882298E+001, 2.2721928E+001, 3.7262287E+001, 4.9561590E-001, 2.5037533E-001, 1.0422477E+000, 1.9984434E+001, 2.0097210E+001, 2.8944138E+001, 1.5155879E-001, 1.7687464E-001, 7.3285526E-001,-2.4152389E-001,-8.7341420E-002, 1.9979939E+001,-2.2135711E-001,-4.3334965E-002, 1.9963314E+001,-2.1008742E-001,-1.2392277E-002, 1.9952478E+001,-2.1218185E-001,-1.6463973E-002, 1.9954123E+001,-2.0620640E-001,-3.6822062E-002, 1.9958454E+001,-1.7251714E-001,-3.0232627E-002, 1.9965477E+001,-1.5450017E-001, 2.0175407E-002, 1.9979250E+001,-1.5729524E-001,-3.3760156E-002, 1.9978245E+001
 1.4701708E+002, 2.2626057E+001, 2.2608604E+001, 3.3910389E+001, 4.8063877E-001, 1.6915375E-001, 1.0114744E+000, 1.9985205E+001, 2.0162537E+001, 2.9103643E+001, 1.6420890E-001, 1.4545749E-001, 8.3097398E-001,-2.4822645E-001,-9.8822556E-002, 1.9972300E+001,-2.2562289E-001,-3.7919164E-002, 1.9956875E+001,-2.4175288E-001,-3.9979704E-003, 1.9958256E+001,-2.4638845E-001, 7.8883516E-003, 1.9959545E+001,-2.2042602E-001,-1.7448418E-002, 1.9963663E+001,-1.6600719E-001,-2.9011000E-002, 1.9969883E+001,-1.4852786E-001, 1.5948266E-002, 1.9979296E+001,-1.7111091E-001,-4.6175603E-002, 1.9978315E+001
 1.4801021E+002, 2.3317617E+001, 2.2557737E+001, 3.4891632E+001, 3.6863232E-001, 2.8297797E-001, 8.2391548E-001, 1.9985603E+001, 2.0277523E+001, 2.8072306E+001, 1.7664059E-001, 1.1146402E-001, 5.9978622E-001,-2.7506751E-001,-1.1974305E-001, 1.9968325E+001,-2.4331763E-001,-3.7636615E-002, 1.9984921E+001,-2.7438995E-001, 1.3655717E-002, 2.0027411E+001,-2.4118067E-001, 2.2950487E-002, 1.9991604E+001,-2.3131439E-001,-8.1222672E-003, 1.9971489E+001,-1.6254221E-001, 1.2209223E-003, 1.9975286E+001,-1.4317065E-001, 1.5034465E-002, 1.9981829E+001,-1.9281758E-001,-5.0901771E-002, 1.9978853E+001
 1.4902312E+002, 2.1764099E+001, 2.2964773E+001, 3.8545113E+001, 3.9426079E-001, 2.6806188E-001, 1.2474105E+000, 1.9985701E+001, 2.0283981E+001, 2.7257885E+001, 1.7503107E-001, 9.8727040E-002, 6.2985522E-001,-2.8121895E-001, 3.2287106E-002, 2.0542686E+001,-2.7139372E-001, 1.1786496E-001, 2.0514994E+001,-2.3540153E-001, 5.4485992E-002, 2.0347466E+001,-2.3757456E-001, 1.3990279E-003, 2.0253361E+001,-2.1113831E-001, 8.1565604E-003, 2.0043196E+001,-1.7268860E-001, 4.8387922E-002, 1.9974730E+001,-1.6314813E-001, 2.7237203E-002, 1.9983044E+001,-2.2534470E-001,-3.9519485E-002, 1.9976503E+001
 1.5001679E+002, 2.1590263E+001, 2.3051401E+001, 4.0204651E+001, 3.9855722E-001, 2.5041443E-001, 1.1250471E+000, 1.9985739E+001, 2.0174568E+001, 2.5965395E+001, 1.7345491E-001, 1.3804555E-001, 6.0653561E-001,-3.0143321E-001, 2.7919981E-001, 2.0796322E+001,-2.7453044E-001, 1.7691681E-001, 2.0562981E+001,-2.3091261E-001, 2.1756528E-002, 2.0377306E+001,-1.9672590E-001,-4.6716202E-002, 2.0412981E+001,-1.7969234E-001,-1.3522390E-002, 2.0219679E+001,-2.1111545E-001,-9.9613899E-003, 1.9972822E+001,-2.2032954E-001,-1.4834983E-002, 1.9982042E+001,-2.5119686E-001,-5.3600784E-002, 1.9973106E+001
 1.5101588E+002, 2.1622610E+001, 2.3296581E+001, 3.8578568E+001, 3.2532698E-001, 2.5389031E-001, 1.0807496E+000, 1.9985647E+001, 2.0056858E+001, 2.9905697E+001, 1.8279836E-001, 1.7797375E-001, 6.0555816E-001,-2.5761360E-001, 2.4656993E-001, 2.0813217E+001,-2.4905378E-001, 1.1303515E-001, 2.0926966E+001,-2.0046955E-001, 5.7717871E-002, 2.0702223E+001,-1.6403721E-001, 1.2697943E-002, 2.0334129E+001,-1.7420924E-001, 1.4828139E-002, 2.0059855E+001,-1.8227895E-001,-2.4670737E-002, 1.9985680E+001,-2.2642080E-001,-1.3893958E-002, 1.9986702E+001,-2.3766737E-001,-5.5065624E-002, 1.9974047E+001
 1.5201750E+002, 2.1046417E+001, 2.3190775E+001, 3.8750858E+001, 3.1544811E-001, 1.8518449E-001, 1.1474615E+000, 1.9985907E+001, 2.0170876E+001, 2.9948532E+001, 1.7680775E-001, 1.8366455E-001, 7.7130824E-001,-2.3815781E-001, 2.4705027E-001, 2.2048714E+001,-2.0520857E-001, 2.2482841E-001, 2.1691038E+001,-1.5941183E-001, 1.8607424E-001, 2.1171803E+001,-1.6042379E-001, 1.0580114E-001, 2.0790926E+001,-1.6192658E-001, 1.2105217E-001, 2.0193979E+001,-1.9372395E-001, 3.2482676E-002, 1.9981880E+001,-2.0559859E-001,-2.6715118E-002, 1.9987934E+001,-2.3376557E-001,-5.3847779E-002, 1.9985193E+001
 1.5301810E+002, 2.1704878E+001, 2.3101160E+001, 3.9472248E+001, 3.9189836E-001, 2.3759697E-001, 9.1132510E-001, 1.9985731E+001, 2.0639929E+001, 2.9442450E+001, 1.6450791E-001, 1.4848453E-001, 5.9462470E-001,-2.3927794E-001, 3.0694821E-001, 2.1299530E+001,-2.5213778E-001, 2.9037148E-001, 2.1018354E+001,-1.9531584E-001, 1.4780505E-001, 2.0665524E+001,-2.3383108E-001, 8.1424631E-002, 2.0497334E+001,-1.7847566E-001, 1.3177252E-001, 2.0236401E+001,-2.6008323E-001, 2.0662857E-002, 1.9994648E+001,-2.7240917E-001,-5.4392774E-002, 1.9986910E+001,-2.6968223E-001,-5.1911492E-002, 1.9992603E+001
 1.5400445E+002, 2.2074043E+001, 3.3775364E+001, 4.1235069E+001, 3.1868824E-001, 7.0515364E-001, 1.0397371E+000, 1.9984983E+001, 2.1123878E+001, 3.0859505E+001, 1.6493545E-001, 1.2154251E-001, 8.3599597E-001,-1.5852699E-001, 2.8941330E-001, 2.0909534E+001,-1.1920364E-001, 2.2501050E-001, 2.0734497E+001,-2.3930840E-001, 7.2801635E-002, 2.0498535E+001,-2.6789793E-001, 5.3824477E-002, 2.0256105E+001,-2.1324036E-001, 5.7645645E-002, 2.0031998E+001,-2.3326007E-001, 4.2869709E-002, 2.0025969E+001,-2.7030525E-001,-3.6720160E-002, 1.9989349E+001,-2.9333466E-001,-9.7612992E-002, 2.0015657E+001
 1.5500333E+002, 2.1852674E+001, 2.8873878E+001, 4.2971130E+001, 2.9837385E-001, 7.3772281E-001, 1.1395875E+000, 1.9984432E+001, 2.1205904E+001, 2.9808897E+001, 1.7038289E-001, 1.0282660E-001, 7.0027322E-001,-1.1187198E-001, 2.7105621E-001, 2.1588758E+001,-1.4532001E-001, 1.8890645E-001, 2.1412643E+001,-2.3601232E-001, 1.8739296E-001, 2.1037844E+001,-2.2581853E-001, 9.6086659E-002, 2.0703337E+001,-2.0412123E-001, 2.7632060E-002, 1.9995995E+001,-2.7447444E-001, 9.4132795E-004, 1.9983799E+001,-2.7495289E-001,-2.6910348E-002, 1.9991125E+001,-2.9511517E-001,-6.2481001E-002, 2.0056133E+001
 1.5601282E+002, 2.1541378E+001, 2.5360338E+001, 4.4277737E+001, 2.8712881E-001, 4.6465468E-001, 1.1843694E+000, 1.9984089E+001, 2.1177774E+001, 2.5221832E+001, 1.7427485E-001, 1.0086771E-001, 5.7577455E-001,-1.5800713E-001, 3.5972130E-001, 2.1730383E+001,-1.8215688E-001, 2.6734215E-001, 2.1340067E+001,-2.3494570E-001, 1.3758323E-001, 2.0904264E+001,-2.6660100E-001, 4.8543047E-002, 2.0646002E+001,-2.3177487E-001, 2.9878790E-002, 1.9989363E+001,-2.6910287E-001,-5.8220547E-002, 1.9983864E+001,-3.1797218E-001,-7.6686546E-002, 1.9989859E+001,-2.8433609E-001,-5.4902811E-002, 2.0075548E+001
 1.5702145E+002, 2.1352438E+001, 2.5257849E+001, 4.6806873E+001, 3.6052573E-001, 3.5345048E-001, 1.1526804E+000, 1.9983953E+001, 2.1267239E+001, 2.3058779E+001, 1.7819646E-001, 1.4814430E-001, 4.3203706E-001,-1.4317606E-001, 2.2195069E-001, 2.1152716E+001,-1.9537053E-001, 2.3502453E-001, 2.0895575E+001,-2.7087754E-001, 9.9797674E-002, 2.0415405E+001,-2.7409154E-001, 1.4506944E-002, 2.0411261E+001,-2.9469240E-001,-8.3196145E-003, 2.0006659E+001,-2.6446375E-001,-4.3226905E-002, 1.9989748E+001,-2.9577503E-001,-1.0700278E-001, 1.9990822E+001,-2.7319002E-001,-6.5143079E-002, 2.0096903E+001
 1.5800399E+002, 2.1079229E+001, 2.6734024E+001, 4.6035915E+001, 4.1980121E-001, 3.0304444E-001, 1.0623896E+000, 1.9984644E+001, 2.1779869E+001, 2.9514322E+001, 2.0007929E-001, 2.1613599E-001, 5.0268286E-001,-2.1927519E-001, 2.5680462E-001, 2.0910036E+001,-2.8348508E-001, 2.1216616E-001, 2.0665304E+001,-2.4615608E-001, 3.7934672E-002, 2.0344177E+001,-2.6709843E-001,-5.2811090E-002, 2.0239697E+001,-2.9013225E-001,-6.8612568E-002, 2.0066378E+001,-2.7604455E-001,-8.9197308E-002, 1.9989059E+001,-2.9787922E-001,-1.1618615E-001, 1.9991903E+001,-2.3377033E-001,-2.5115209E-002, 2.0120825E+001
 1.5900297E+002, 2.1013294E+001, 2.6454693E+001, 4.6325146E+001, 4.7946647E-001, 2.2127990E-001, 1.0104734E+000, 1.9986210E+001, 2.2132114E+001, 2.8422932E+001, 2.1598648E-001, 1.8743341E-001, 5.5147874E-001,-3.1925353E-001, 1.2749258E-001, 2.1441521E+001,-3.2475707E-001, 1.3602774E-001, 2.1593157E+001,-2.4769925E-001, 1.2305690E-003, 2.1472839E+001,-2.2910334E-001,-8.7749846E-002, 2.0723106E+001,-2.5911388E-001,-1.3512664E-001, 2.0109375E+001,-2.6476070E-001,-8.3035909E-002, 1.9990257E+001,-2.4033447E-001,-7.4879549E-002, 1.9992455E+001,-2.3142019E-001,-2.3481587E-002, 2.0082203E+001
 1.6001910E+002, 2.0968674E+001, 2.3833590E+001, 4.6728107E+001, 4.3229219E-001, 1.8822184E-001, 1.1987888E+000, 1.9986738E+001, 2.1542849E+001, 2.8066011E+001, 2.0696859E-001, 1.9619779E-001, 2.4543765E-001,-3.2073116E-001, 2.5193134E-001, 2.1879913E+001,-4.1223243E-001, 1.8508677E-001, 2.1932274E+001,-3.5326311E-001, 1.3256234E-001, 2.2491768E+001,-2.9040837E-001, 7.2850786E-002, 2.1960203E+001,-2.6159284E-001,-4.2064391E-002, 2.0774319E+001,-2.4646270E-001,-7.0259862E-002, 1.9993542E+001,-2.3482542E-001,-4.0665660E-002, 1.9993006E+001,-2.4883069E-001,-6.8825476E-002, 2.0028784E+001
 1.6102226E+002, 2.1293442E+001, 2.2313950E+001, 4.6393955E+001, 4.9495938E-001, 2.6806188E-001, 1.1690701E+000, 2.0030914E+001, 2.1597586E+001, 2.8367790E+001, 2.0104955E-001, 2.9764563E-001, 2.7882123E-001,-3.8392824E-001, 1.6360815E-001, 2.1365763E+001,-3.5114554E-001, 8.3714545E-002, 2.1592634E+001,-2.6767939E-001, 4.8506230E-002, 2.1753214E+001,-2.8921235E-001, 7.1965776E-002, 2.1899536E+001,-2.4053076E-001, 4.8376780E-002, 2.1258730E+001,-2.0922752E-001,-7.3595531E-002, 2.0099453E+001,-2.3200220E-001,-8.6156018E-002, 1.9994497E+001,-2.3653440E-001,-5.6981597E-002, 2.0017529E+001
 1.6201825E+002, 2.1651442E+001, 2.2223034E+001, 4.6962887E+001, 4.8820594E-001, 2.0060648E-001, 1.0398839E+000, 2.0411867E+001, 2.2317499E+001, 3.3510937E+001, 1.8643904E-001, 3.6944851E-001, 7.2464055E-001,-3.5852739E-001, 2.0883556E-001, 2.2527245E+001,-2.4131028E-001, 1.6138706E-001, 2.1954264E+001,-2.1466966E-001, 1.1303311E-001, 2.2067474E+001,-2.1546623E-001, 1.0686451E-001, 2.1714254E+001,-1.5015422E-001, 2.5873188E-002, 2.1176613E+001,-2.2031765E-001,-2.2319231E-002, 2.0112780E+001,-2.4303046E-001,-7.5605430E-002, 2.0000601E+001,-2.6268774E-001,-2.2697985E-002, 2.0022999E+001
 1.6302188E+002, 2.1204096E+001, 2.4805401E+001, 4.9318733E+001, 5.4155171E-001, 1.9523151E-001, 1.0122035E+000, 2.0489925E+001, 2.2680248E+001, 3.2199898E+001, 1.4490722E-001, 3.0953103E-001, 6.1799955E-001,-2.1670586E-001, 2.6152891E-001, 2.2450708E+001,-1.6216810E-001, 1.7506172E-001, 2.2141979E+001,-1.9277881E-001, 1.0072317E-001, 2.2457111E+001,-1.4841351E-001, 1.0430419E-001, 2.2320604E+001,-3.3369583E-001, 1.8884152E-001, 2.1640654E+001,-3.0402246E-001,-7.4433900E-002, 2.0012463E+001,-2.7968502E-001,-4.7566138E-002, 1.9993189E+001,-2.9405355E-001,-4.5339875E-002, 2.0010872E+001
 1.6400245E+002, 2.0853872E+001, 3.2563854E+001, 4.7348179E+001, 6.5539175E-001, 2.2711723E-001, 1.1748592E+000, 2.0197468E+001, 2.2694817E+001, 2.9444613E+001, 1.0874454E-001, 2.8114334E-001, 3.2840598E-001,-2.8002378E-001, 2.7184576E-001, 2.1870796E+001,-2.7514777E-001, 2.5572628E-001, 2.1999550E+001,-1.2316405E-001, 2.0174848E-002, 2.1525059E+001,-1.1819382E-001,-4.9680257E-003, 2.1589991E+001,-2.2435530E-001,-7.0604600E-002, 2.1882536E+001,-2.9908693E-001,-3.0260380E-002, 2.0132288E+001,-2.7392998E-001,-3.3971161E-002, 1.9995745E+001,-2.9991776E-001,-6.6113487E-002, 2.0002930E+001
 1.6502300E+002, 2.1242762E+001, 3.3410690E+001, 5.0793327E+001, 5.1349711E-001, 3.9156544E-001, 1.1609389E+000, 2.0088160E+001, 2.2786772E+001, 2.8438105E+001, 9.2703983E-002, 2.1392064E-001, 1.4232950E-001,-3.6236876E-001, 7.7982843E-002, 2.1947090E+001,-3.4159267E-001, 2.4255052E-001, 2.2799627E+001,-2.7905157E-001, 2.3532657E-001, 2.3129948E+001,-1.8883856E-001, 1.5271026E-001, 2.2425934E+001,-2.8160238E-001, 4.5846879E-002, 2.0872610E+001,-2.7314126E-001,-3.0108348E-002, 2.0134863E+001,-2.8952554E-001,-4.9707137E-002, 2.0003531E+001,-2.9327598E-001,-3.0068301E-002, 2.0005360E+001
 1.6601702E+002, 2.2170559E+001, 3.0605927E+001, 5.1949711E+001, 4.0159875E-001, 4.6194300E-001, 1.0091054E+000, 2.0071173E+001, 2.2869217E+001, 2.9087242E+001, 8.3019525E-002, 1.5958035E-001, 2.8937742E-001,-5.6680554E-001, 2.1763843E-001, 2.3365774E+001,-5.1358306E-001, 2.2482972E-001, 2.3006849E+001,-4.3903616E-001, 2.1778269E-001, 2.2667376E+001,-3.0480394E-001, 1.3643807E-001, 2.2489763E+001,-2.5698844E-001, 1.3359088E-001, 2.1065069E+001,-2.9440919E-001, 8.6925654E-003, 2.0083740E+001,-3.1395283E-001,-4.2462032E-002, 1.9999279E+001,-3.3682522E-001,-4.1918900E-002, 1.9999067E+001
 1.6701475E+002, 2.1973354E+001, 2.7355869E+001, 5.0370419E+001, 4.0051544E-001, 5.1359338E-001, 1.1340352E+000, 2.0136377E+001, 2.3062365E+001, 2.8616827E+001, 8.9553915E-002, 1.2225553E-001, 6.1394334E-001,-3.9532390E-001, 1.8438813E-001, 2.3063852E+001,-3.2905221E-001, 2.6268983E-001, 2.2514088E+001,-3.1385955E-001, 3.7494884E-003, 2.1659433E+001,-3.3624309E-001,-4.4213116E-002, 2.1523701E+001,-2.7329442E-001,-3.9238095E-002, 2.0805286E+001,-2.6606807E-001,-4.1764230E-002, 2.0080328E+001,-2.2992522E-001,-1.2817306E-002, 2.0002792E+001,-3.4783053E-001,-5.5164177E-002, 1.9997807E+001
 1.6800823E+002, 2.1339628E+001, 3.0155525E+001, 5.2132954E+001, 6.4148945E-001, 4.7001052E-001, 7.3301399E-001, 2.0469702E+001, 2.3361509E+001, 2.9426519E+001, 1.1561988E-001, 1.0462686E-001, 5.2527875E-001,-3.8294646E-001, 1.1949180E-001, 2.3890854E+001,-3.6832130E-001, 3.4902513E-001, 2.4190268E+001,-3.1173223E-001, 3.5398442E-002, 2.3101822E+001,-4.1395226E-001, 3.2601278E-002, 2.2431353E+001,-4.4122916E-001,-9.4577521E-002, 2.0896324E+001,-3.0516103E-001,-8.6663261E-002, 2.0029678E+001,-2.9805544E-001,-7.6655776E-004, 2.0039215E+001,-3.5390973E-001,-5.5581823E-002, 2.0030779E+001
 1.6900612E+002, 2.2247461E+001, 3.0006218E+001, 5.3333473E+001, 4.8583847E-001, 3.5144919E-001, 7.5205159E-001, 2.0953854E+001, 2.3626850E+001, 2.8353624E+001, 1.4347892E-001, 1.8757610E-001, 4.1265607E-001,-4.0981284E-001, 3.3425695E-001, 2.4842348E+001,-3.7422788E-001, 4.3853062E-001, 2.4154648E+001,-3.9762211E-001, 1.9555895E-001, 2.3459852E+001,-3.5779658E-001, 1.4333679E-001, 2.2880466E+001,-4.3801218E-001, 1.4443283E-001, 2.2531639E+001,-4.0582103E-001,-8.2951993E-002, 2.0963709E+001,-3.0652839E-001,-1.5376033E-001, 2.0283930E+001,-3.3769882E-001,-2.4009993E-002, 2.0098970E+001
 1.7001124E+002, 2.1224606E+001, 3.3111340E+001, 5.4280525E+001, 5.7681948E-001, 3.0335113E-001, 1.3428677E+000, 2.1287157E+001, 2.4768282E+001, 2.8595020E+001, 1.5059441E-001, 2.7147067E-001, 3.2243660E-001,-3.5985166E-001, 3.3083814E-001, 2.4534918E+001,-3.9308330E-001, 2.8745115E-001, 2.4337313E+001,-3.5820296E-001, 3.7998065E-002, 2.2525915E+001,-3.3397719E-001,-2.3361319E-001, 2.3122572E+001,-2.0318343E-001,-3.1369820E-001, 2.3098110E+001,-4.0734854E-001,-2.4296297E-001, 2.3380663E+001,-4.5373887E-001,-2.3520675E-001, 2.2739870E+001,-4.5148176E-001,-2.0924814E-001, 2.0699650E+001
 1.7101496E+002, 2.1534468E+001, 3.2567753E+001, 5.4568470E+001, 6.6534936E-001, 2.1948378E-001, 9.8404378E-001, 2.1671059E+001, 2.6686602E+001, 3.5023788E+001, 1.3000236E-001, 2.4013175E-001, 3.7540594E-001,-5.1503837E-001, 5.1981521E-001, 2.6367970E+001,-4.7018024E-001, 4.9054363E-001, 2.6410101E+001,-2.1202925E-001, 2.7641210E-001, 2.4979321E+001,-2.0681699E-001, 1.1533161E-001, 2.3906279E+001,-2.0589235E-001,-9.8732106E-002, 2.3696054E+001,-3.6707339E-001,-1.2719131E-001, 2.3335083E+001,-4.1132826E-001,-3.0035746E-001, 2.2533121E+001,-4.4443643E-001,-3.4182680E-001, 2.2747555E+001
 1.7201238E+002, 2.2185471E+001, 3.2455540E+001, 5.3955353E+001, 6.0840923E-001, 2.8241655E-001, 1.1521202E+000, 2.2538572E+001, 2.6750368E+001, 3.6100552E+001, 1.2479178E-001, 2.5364423E-001, 7.3918420E-001,-4.0631539E-001, 6.6171956E-001, 2.4539169E+001,-4.4711527E-001, 6.3944608E-001, 2.4523140E+001,-4.5800221E-001, 3.7092739E-001, 2.6088427E+001,-5.0774735E-001, 2.6994410E-001, 2.5954018E+001,-3.9409170E-001, 1.4508784E-001, 2.4778692E+001,-2.2463349E-001,-9.7019829E-002, 2.4332615E+001,-2.3768041E-001,-7.1650870E-002, 2.1768261E+001,-2.2712241E-001,-8.2776882E-002, 2.2668276E+001
 1.7300789E+002, 2.1793312E+001, 3.0224926E+001, 5.6614029E+001, 7.2643554E-001, 4.3815470E-001, 1.2571633E+000, 2.3809601E+001, 2.6410290E+001, 3.0216646E+001, 1.4682065E-001, 2.8503582E-001, 5.5115795E-001,-4.5571589E-001, 4.9482793E-001, 2.6042459E+001,-5.8228344E-001, 5.3461587E-001, 2.6970900E+001,-5.7641995E-001, 4.2217720E-001, 2.6163044E+001,-4.6084267E-001, 3.0202833E-001, 2.6103756E+001,-3.8401440E-001, 1.8614966E-001, 2.5356527E+001,-2.7996695E-001, 3.7233319E-002, 2.4261957E+001,-2.2041084E-001,-7.2431922E-002, 2.2763842E+001,-1.9040285E-001,-3.0508127E-002, 2.1934315E+001
 1.7402012E+002, 2.1711140E+001, 3.2086449E+001, 5.4790676E+001, 6.8704450E-001, 3.1870744E-001, 1.3119961E+000, 2.4061411E+001, 2.6294081E+001, 3.0168051E+001, 1.4450327E-001, 2.3161601E-001, 3.5084695E-001,-4.8451862E-001, 3.4249648E-001, 2.5716141E+001,-6.0372281E-001, 3.9606583E-001, 2.6331930E+001,-4.5393392E-001, 1.9273235E-001, 2.4380293E+001,-4.2150435E-001, 2.6829299E-002, 2.2775280E+001,-3.5843632E-001,-6.9521315E-002, 2.2484846E+001,-3.0424455E-001,-1.7845377E-001, 2.1806330E+001,-2.6669008E-001,-2.4408462E-002, 2.1970819E+001,-2.6109183E-001,-5.8354579E-002, 2.1919214E+001
 1.7502151E+002, 2.2054321E+001, 3.2028801E+001, 5.4286377E+001, 6.3451737E-001, 3.6291140E-001, 1.2223471E+000, 2.3465820E+001, 2.6303274E+001, 2.9783094E+001, 1.2681328E-001, 1.8070926E-001, 2.8214714E-001,-4.5810753E-001, 2.8505206E-001, 2.6651766E+001,-4.7834700E-001, 2.2018038E-001, 2.6096258E+001,-5.4499531E-001, 3.8967233E-002, 2.2854836E+001,-4.8034018E-001,-5.2542675E-002, 2.1425995E+001,-3.4545925E-001, 1.1209389E-002, 2.1693001E+001,-3.4620598E-001,-3.2038409E-002, 2.3388739E+001,-2.8079811E-001,-7.2654627E-002, 2.2066139E+001,-2.2620757E-001,-1.3497716E-001, 2.1996422E+001
 1.7600003E+002, 2.1561241E+001, 3.2713722E+001, 5.5968636E+001, 7.9733479E-001, 3.3931324E-001, 1.2618043E+000, 2.2646431E+001, 2.6649075E+001, 3.0756285E+001, 1.1357988E-001, 2.0614323E-001, 2.3298691E-001,-3.3021548E-001, 4.2399192E-001, 2.4858191E+001,-5.2234763E-001, 4.2220852E-001, 2.3994635E+001,-4.1133335E-001, 1.9251394E-001, 2.2791782E+001,-4.4450602E-001, 8.7872088E-002, 2.2105103E+001,-4.4424093E-001, 6.6882916E-002, 2.3696154E+001,-3.7241790E-001, 5.4744845E-003, 2.5118328E+001,-3.6840636E-001, 4.0304899E-002, 2.3416180E+001,-3.1785068E-001, 5.3655956E-002, 2.2765169E+001
 1.7701853E+002, 2.1237972E+001, 3.0399532E+001, 5.2692406E+001, 6.6861367E-001, 3.8188234E-001, 9.3506086E-001, 2.2069862E+001, 2.6800507E+001, 3.0854097E+001, 9.3820632E-002, 2.4424426E-001, 3.5520250E-001,-4.5624852E-001, 2.7654538E-001, 2.3699762E+001,-5.4771638E-001, 3.7939689E-001, 2.3685856E+001,-5.2210361E-001, 2.2766937E-001, 2.2934299E+001,-5.4239845E-001, 5.9789073E-002, 2.2531097E+001,-5.8967334E-001,-5.2352697E-002, 2.2186514E+001,-3.8580075E-001, 5.8667466E-002, 2.3811649E+001,-2.9942855E-001,-9.1424976E-003, 2.3242397E+001,-3.1805426E-001, 1.5155360E-002, 2.2823446E+001
 1.7800913E+002, 2.2494171E+001, 3.0546703E+001, 5.6761303E+001, 6.1482251E-001, 4.4965687E-001, 1.1577414E+000, 2.2975927E+001, 2.7186201E+001, 3.0815866E+001, 9.2128232E-002, 2.7977023E-001, 3.4352067E-001,-5.2811503E-001, 5.0722539E-001, 2.6608225E+001,-4.1183463E-001, 5.4598236E-001, 2.6767513E+001,-6.1739194E-001, 4.3380627E-001, 2.6724474E+001,-4.6863049E-001, 1.4742456E-001, 2.6226667E+001,-5.1324940E-001,-4.3452658E-002, 2.3742620E+001,-2.9094523E-001, 1.0002278E-001, 2.1951008E+001,-3.4758124E-001, 5.4667871E-002, 2.2336988E+001,-3.1433108E-001,-6.9442280E-002, 2.2746132E+001
 1.7901286E+002, 2.4342484E+001, 3.6929863E+001, 5.3703850E+001, 5.5017978E-001, 3.4724337E-001, 1.1966556E+000, 2.4440235E+001, 2.7454170E+001, 3.7383862E+001, 1.0112735E-001, 2.3834559E-001, 7.7584684E-001,-6.1661333E-001, 5.8774126E-001, 2.8264072E+001,-4.3375093E-001, 5.1873738E-001, 2.8396046E+001,-4.6605197E-001, 2.7474943E-001, 2.7467962E+001,-2.8678560E-001, 8.7162949E-002, 2.6241428E+001,-4.8507649E-001, 1.9853836E-001, 2.4001907E+001,-3.8126424E-001, 8.7374777E-002, 2.1788107E+001,-3.8526028E-001,-3.9268881E-002, 2.3138416E+001,-4.9134448E-001,-2.1191210E-002, 2.2198414E+001
 1.8000452E+002, 2.3360434E+001, 3.6513638E+001, 5.7151943E+001, 5.5913883E-001, 3.2229540E-001, 7.5980413E-001, 2.4582684E+001, 2.6908751E+001, 3.5416676E+001, 1.0033831E-001, 2.1748291E-001, 6.7212874E-001,-4.6517912E-001, 4.2862761E-001, 2.7107872E+001,-5.6348634E-001, 5.6165689E-001, 2.9010082E+001,-4.0241650E-001, 1.4290822E-001, 2.8864183E+001,-3.1546235E-001, 7.8759715E-003, 2.7230276E+001,-2.6522297E-001,-1.5286146E-002, 2.5725199E+001,-3.6704275E-001,-8.9530364E-002, 2.1671858E+001,-4.0996560E-001,-2.4265356E-002, 2.0894188E+001,-3.9942613E-001,-1.0288320E-001, 2.0957935E+001
 1.8100972E+002, 2.2608637E+001, 3.4584908E+001, 5.7470215E+001, 7.7125359E-001, 2.5279078E-001, 8.6756653E-001, 2.3442968E+001, 2.6539452E+001, 3.3647789E+001, 1.1556596E-001, 1.6087927E-001, 2.0454332E-001,-3.3352295E-001, 3.0574703E-001, 2.8593327E+001,-3.8260201E-001, 4.8269930E-001, 2.8052237E+001,-4.0267020E-001, 2.7131364E-001, 2.7297102E+001,-3.0964953E-001, 3.2172587E-002, 2.7904551E+001,-2.3886305E-001, 5.3790931E-002, 2.6213284E+001,-3.4125045E-001,-1.1351126E-001, 2.2477697E+001,-2.2412257E-001,-8.1779376E-002, 2.1598026E+001,-5.6120878E-001,-1.1872338E-001, 2.0978071E+001
