s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 2.5038794E+001, 1.2772004E+001,-4.2766419E+000,-7.7673764E+000,-4.8567766E-001, 7.3903674E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4182427E-002, 3.1621158E-001, 5.1422649E-004
 2.6024910E+001, 1.5865833E+001,-5.2590073E+000,-8.1231044E+000,-6.3143357E-001, 8.6563648E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7639136E-002, 1.9388516E+000, 6.0223302E-004
 2.7011026E+001, 1.5572689E+001,-5.0936216E+000,-8.5769963E+000,-6.9498530E-001, 8.4428204E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8737948E-002, 1.2915142E+000, 5.8710656E-004
 2.8040018E+001, 1.5170966E+001,-4.9538109E+000,-7.1488408E+000,-7.5472808E-001, 8.2251798E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9277275E-002, 2.3958379E+000, 5.7190842E-004
 2.9026136E+001, 1.4765455E+001,-4.8281586E+000,-7.6907655E+000,-8.7031865E-001, 8.0035532E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9224736E-002, 1.4562475E+000, 5.5642352E-004
 3.0012253E+001, 1.4369921E+001,-4.7070498E+000,-9.1462569E+000,-9.3568278E-001, 7.7866054E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0054244E-002,-3.4120222E-001, 5.4129707E-004
 3.1041245E+001, 1.3964820E+001,-4.5827553E+000,-1.1481716E+001,-9.8147903E-001, 7.5676495E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8554047E-002,-3.0054540E+000, 5.2608399E-004
 3.2027359E+001, 1.3551520E+001,-4.4568830E+000,-1.2054467E+001,-1.0650942E+000, 7.3445216E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7718375E-002,-3.9514794E+000, 5.1054234E-004
 3.3013477E+001, 1.3151553E+001,-4.3330520E+000,-9.8884762E+000,-1.1102130E+000, 7.1287874E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8347794E-002,-2.1089000E+000, 4.9548758E-004
 3.4042469E+001, 1.2747968E+001,-4.2060211E+000,-7.8682950E+000,-1.1274000E+000, 6.9101849E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6977649E-002,-3.8464627E-001, 4.8025956E-004
 3.5028587E+001, 1.2336623E+001,-4.0776464E+000,-7.8650930E+000,-1.1512679E+000, 6.6873342E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6887288E-002,-6.9051045E-001, 4.6473284E-004
 3.6014702E+001, 1.2105034E+001,-4.0125287E+000,-9.1904358E+000,-1.1852619E+000, 6.5906410E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5789749E-002,-2.2172861E+000, 4.5801529E-004
 3.7000820E+001, 1.2098538E+001,-4.0227083E+000,-1.0358063E+001,-1.2150234E+000, 6.5904331E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6133953E-002,-3.4313520E+000, 4.5801529E-004
 3.8029812E+001, 1.2098835E+001,-4.0316322E+000,-1.2187073E+001,-1.2389217E+000, 6.5903567E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5748801E-002,-5.2928888E+000, 4.5801529E-004
 3.9015926E+001, 1.2097741E+001,-4.0364947E+000,-1.2264812E+001,-1.2585367E+000, 6.5902768E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5670828E-002,-5.3961993E+000, 4.5801529E-004
 4.0002045E+001, 1.2096728E+001,-4.0426351E+000,-1.1143927E+001,-1.2835206E+000, 6.5903737E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4544730E-002,-4.3074510E+000, 4.5801529E-004
 4.1031036E+001, 1.2097122E+001,-4.0496589E+000,-1.0467151E+001,-1.3024250E+000, 6.5906432E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5118948E-002,-3.6562067E+000, 4.5801529E-004
