s,C,C,C,C,m/s,m/s,C,m/s,m/s,C,m/s,m/s,C,m/s,m/s,C,m/s,m/s,C,m/s,m/s,C,m/s,m/s,C,m/s,m/s,C
Time,"FF1_1_m","FF1_2_m","FF2_1_m","FF2_2_m","FRONT_DOOR_V_1","FRONT_DOOR_W_1","FRONT_DOOR_TEMP_1","FRONT_DOOR_V_2","FRONT_DOOR_W_2","FRONT_DOOR_TEMP_2","FRONT_DOOR_V_3","FRONT_DOOR_W_3","FRONT_DOOR_TEMP_3","FRONT_DOOR_V_4","FRONT_DOOR_W_4","FRONT_DOOR_TEMP_4","FRONT_DOOR_V_5","FRONT_DOOR_W_5","FRONT_DOOR_TEMP_5","FRONT_DOOR_V_6","FRONT_DOOR_W_6","FRONT_DOOR_TEMP_6","FRONT_DOOR_V_7","FRONT_DOOR_W_7","FRONT_DOOR_TEMP_7","FRONT_DOOR_V_8","FRONT_DOOR_W_8","FRONT_DOOR_TEMP_8"
 9.0076583E+000, 1.9999626E+001, 1.9999681E+001, 1.9999865E+001, 1.9999653E+001,-1.7919699E-003,-2.1266235E-002, 1.9899214E+001,-3.7971276E-004,-2.5187245E-002, 1.9897860E+001, 9.5748379E-005,-2.5568917E-002, 1.9901569E+001,-7.9353596E-004,-2.4007555E-002, 1.9909309E+001,-1.6726337E-004,-2.2571180E-002, 1.9914619E+001,-5.5828551E-004,-2.0568492E-002, 1.9922451E+001, 2.1483902E-004,-1.8865451E-002, 1.9926546E+001, 6.7512266E-004,-1.6771620E-002, 1.9933342E+001
 1.0017386E+001, 1.9999628E+001, 1.9999683E+001, 1.9999855E+001, 1.9999649E+001,-2.7792759E-003,-2.2294763E-002, 1.9908039E+001,-1.0154202E-003,-2.7508974E-002, 1.9901194E+001,-4.5620516E-004,-2.8251542E-002, 1.9904726E+001,-1.2134075E-003,-2.6863534E-002, 1.9911386E+001,-6.1198621E-004,-2.5157969E-002, 1.9916861E+001,-1.0396808E-003,-2.2956794E-002, 1.9924358E+001,-1.7977825E-004,-2.1219106E-002, 1.9928011E+001, 2.7173248E-004,-1.8922465E-002, 1.9934763E+001
 1.1023720E+001, 1.9999626E+001, 1.9999678E+001, 1.9999842E+001, 1.9999647E+001,-3.7550135E-003,-2.2788223E-002, 1.9918343E+001,-1.6016447E-003,-2.9419474E-002, 1.9905405E+001,-9.8957017E-004,-3.0631175E-002, 1.9908947E+001,-1.5936543E-003,-2.9579561E-002, 1.9914206E+001,-9.9979888E-004,-2.7550682E-002, 1.9919615E+001,-1.4961965E-003,-2.5221955E-002, 1.9926907E+001,-5.3255796E-004,-2.3472421E-002, 1.9929848E+001,-7.6278324E-005,-2.1023545E-002, 1.9936338E+001
 1.2019319E+001, 1.9999603E+001, 1.9999657E+001, 1.9999826E+001, 1.9999647E+001,-4.7917645E-003,-2.2803649E-002, 1.9928217E+001,-2.3374339E-003,-3.0854762E-002, 1.9909817E+001,-1.6592154E-003,-3.2666016E-002, 1.9913061E+001,-2.0763001E-003,-3.2106902E-002, 1.9916706E+001,-1.5050245E-003,-2.9809438E-002, 1.9922052E+001,-2.0630651E-003,-2.7357062E-002, 1.9929171E+001,-1.0173083E-003,-2.5634769E-002, 1.9931578E+001,-5.7896815E-004,-2.3094885E-002, 1.9937815E+001
 1.3020043E+001, 1.9999556E+001, 1.9999622E+001, 1.9999811E+001, 1.9999645E+001,-1.0519505E-002,-2.2458041E-002, 1.9938650E+001,-6.8963682E-003,-3.1875171E-002, 1.9916613E+001,-5.7839081E-003,-3.4417156E-002, 1.9918592E+001,-5.8955862E-003,-3.4470968E-002, 1.9920792E+001,-5.1986598E-003,-3.1822152E-002, 1.9925720E+001,-5.8249612E-003,-2.9395605E-002, 1.9932713E+001,-4.6172873E-003,-2.7697148E-002, 1.9934675E+001,-4.1254987E-003,-2.5123600E-002, 1.9940159E+001
 1.4014542E+001, 1.9999535E+001, 1.9999601E+001, 1.9999796E+001, 1.9999645E+001,-6.5196664E-003,-2.1705614E-002, 1.9948423E+001,-3.1381822E-003,-3.2450374E-002, 1.9924679E+001,-2.2785827E-003,-3.5956800E-002, 1.9924263E+001,-2.2621572E-003,-3.6721233E-002, 1.9925083E+001,-1.4955971E-003,-3.3769473E-002, 1.9929432E+001,-2.2622244E-003,-3.1345956E-002, 1.9936275E+001,-8.9795311E-004,-2.9648153E-002, 1.9938036E+001,-3.3422955E-004,-2.7051682E-002, 1.9942614E+001
 1.5014924E+001, 1.9999529E+001, 1.9999598E+001, 1.9999777E+001, 1.9999647E+001,-5.6878645E-003,-2.0825854E-002, 1.9955431E+001,-2.4631729E-003,-3.2527421E-002, 1.9931648E+001,-1.5707195E-003,-3.7145376E-002, 1.9927610E+001,-1.3615314E-003,-3.8595580E-002, 1.9927202E+001,-5.7306222E-004,-3.5756990E-002, 1.9931269E+001,-1.3625835E-003,-3.3114165E-002, 1.9937782E+001, 2.7695201E-005,-3.1445567E-002, 1.9939983E+001, 5.5957545E-004,-2.8896129E-002, 1.9943890E+001
 1.6014907E+001, 1.9999514E+001, 1.9999584E+001, 1.9999758E+001, 1.9999647E+001,-9.9095125E-003,-1.9592889E-002, 1.9962160E+001,-6.0363444E-003,-3.1968720E-002, 1.9939333E+001,-4.8175678E-003,-3.7854321E-002, 1.9931475E+001,-4.3634502E-003,-3.9962243E-002, 1.9930441E+001,-3.4575551E-003,-3.7368156E-002, 1.9933701E+001,-4.2967638E-003,-3.4696650E-002, 1.9940134E+001,-2.8440841E-003,-3.3072576E-002, 1.9942348E+001,-2.2989372E-003,-3.0665282E-002, 1.9945446E+001
 1.7002646E+001, 1.9999451E+001, 1.9999533E+001, 1.9999739E+001, 1.9999647E+001,-1.2608716E-002,-1.8080391E-002, 1.9968239E+001,-8.2479678E-003,-3.0887049E-002, 1.9946833E+001,-6.8831537E-003,-3.8131680E-002, 1.9935734E+001,-6.2554996E-003,-4.0831018E-002, 1.9934509E+001,-5.2048108E-003,-3.8595222E-002, 1.9936693E+001,-6.1560362E-003,-3.6027003E-002, 1.9943037E+001,-4.6171034E-003,-3.4454875E-002, 1.9945158E+001,-4.0039858E-003,-3.2236565E-002, 1.9947481E+001
 1.8008344E+001, 1.9999403E+001, 1.9999487E+001, 1.9999720E+001, 1.9999647E+001,-1.3104183E-002,-1.6608542E-002, 1.9973618E+001,-8.3748549E-003,-2.9691268E-002, 1.9953920E+001,-6.9321021E-003,-3.8335189E-002, 1.9940514E+001,-6.1111944E-003,-4.1537691E-002, 1.9939058E+001,-4.8262286E-003,-3.9762665E-002, 1.9940096E+001,-5.8369143E-003,-3.7331011E-002, 1.9946186E+001,-4.1521545E-003,-3.5773568E-002, 1.9948198E+001,-3.3823182E-003,-3.3705499E-002, 1.9949871E+001
 1.9010595E+001, 1.9999380E+001, 1.9999464E+001, 1.9999702E+001, 1.9999649E+001,-9.5213735E-003,-1.5258491E-002, 1.9977695E+001,-5.1588514E-003,-2.8387474E-002, 1.9959742E+001,-3.9724815E-003,-3.8405776E-002, 1.9944639E+001,-3.0619171E-003,-4.2006630E-002, 1.9942486E+001,-1.6283458E-003,-4.1031066E-002, 1.9942680E+001,-2.6518684E-003,-3.8595680E-002, 1.9948168E+001,-9.0016139E-004,-3.7036780E-002, 1.9950285E+001, 2.0270231E-006,-3.5117351E-002, 1.9951605E+001
 2.0020356E+001, 1.9999374E+001, 1.9999458E+001, 1.9999683E+001, 1.9999651E+001,-1.0384127E-002,-1.4022586E-002, 1.9980831E+001,-5.8399811E-003,-2.6957862E-002, 1.9964506E+001,-4.6336134E-003,-3.8209569E-002, 1.9948387E+001,-3.5634392E-003,-4.2135127E-002, 1.9945192E+001,-1.9899965E-003,-4.2205308E-002, 1.9944782E+001,-2.9238812E-003,-3.9771024E-002, 1.9949389E+001,-1.1495715E-003,-3.8207132E-002, 1.9951706E+001,-1.2757428E-004,-3.6473319E-002, 1.9952898E+001
 2.1006151E+001, 1.9999319E+001, 1.9999418E+001, 1.9999666E+001, 1.9999653E+001,-1.7716482E-002,-1.2273441E-002, 1.9983814E+001,-1.2061031E-002,-2.4819283E-002, 1.9968971E+001,-1.0538753E-002,-3.7116401E-002, 1.9952965E+001,-9.2555983E-003,-4.1373719E-002, 1.9948683E+001,-7.5198291E-003,-4.2444233E-002, 1.9947647E+001,-8.4238118E-003,-4.0428810E-002, 1.9951418E+001,-6.6032130E-003,-3.9003458E-002, 1.9953688E+001,-5.3850752E-003,-3.7593253E-002, 1.9954599E+001
 2.2018512E+001, 1.9999241E+001, 1.9999367E+001, 1.9999647E+001, 1.9999653E+001,-2.4760110E-002,-1.0093851E-002, 1.9987278E+001,-1.7657282E-002,-2.2221396E-002, 1.9973755E+001,-1.5717112E-002,-3.5351086E-002, 1.9958984E+001,-1.4139451E-002,-3.9837800E-002, 1.9953815E+001,-1.2067839E-002,-4.1615766E-002, 1.9952038E+001,-1.2962184E-002,-4.0376119E-002, 1.9955223E+001,-1.0924121E-002,-3.9227251E-002, 1.9957056E+001,-9.2686964E-003,-3.8143232E-002, 1.9957466E+001
 2.3029459E+001, 1.9999197E+001, 1.9999331E+001, 1.9999630E+001, 1.9999653E+001,-1.7371230E-002,-8.1462907E-003, 1.9990234E+001,-1.0895866E-002,-1.9856725E-002, 1.9978207E+001,-9.5211463E-003,-3.3681933E-002, 1.9964489E+001,-7.9103727E-003,-3.8262207E-002, 1.9958517E+001,-5.6312159E-003,-4.0836319E-002, 1.9956057E+001,-6.5323594E-003,-4.0178657E-002, 1.9958492E+001,-4.2778784E-003,-3.9325140E-002, 1.9960001E+001,-2.1283221E-003,-3.8516082E-002, 1.9960018E+001
 2.4015168E+001, 1.9999187E+001, 1.9999317E+001, 1.9999617E+001, 1.9999655E+001,-1.3070455E-002,-7.1057384E-003, 1.9991838E+001,-7.0053353E-003,-1.8372968E-002, 1.9981131E+001,-5.9723221E-003,-3.2705188E-002, 1.9968021E+001,-4.2918446E-003,-3.7424542E-002, 1.9961409E+001,-1.9162466E-003,-4.0981285E-002, 1.9958342E+001,-2.6576435E-003,-4.0646497E-002, 1.9959700E+001,-2.9685098E-004,-3.9957304E-002, 1.9961172E+001, 2.2346987E-003,-3.9463010E-002, 1.9961321E+001
