s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 2.6300143E+002, 7.5873246E+001,-1.3626367E+001,-5.5116663E+001,-5.6885072E+000,-3.6679964E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5370126E+000, 1.4380406E+000, 1.5996709E-003, 1.5996709E-003
 2.6400116E+002, 8.1084904E+001,-1.4593471E+001,-6.3200026E+001,-4.9862238E+000,-3.6384366E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5906332E+000,-1.6984558E+000, 1.5996709E-003, 1.5996709E-003
 2.6500024E+002, 8.1002296E+001,-1.4616156E+001,-6.1972249E+001,-4.9490170E+000,-3.5962285E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3713157E-001,-5.3872271E-001, 1.5996709E-003, 1.5996709E-003
 2.6600119E+002, 8.1253788E+001,-1.4596332E+001,-5.9253802E+001,-4.5954340E+000,-3.5643306E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9001060E+000, 2.8046555E+000, 1.5996709E-003, 1.5996709E-003
 2.6700067E+002, 7.9184265E+001,-1.4313098E+001,-5.8364655E+001,-5.8707281E+000,-3.6436180E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.6329388E-001, 6.3214028E-001, 1.5996709E-003, 1.5996709E-003
 2.6800165E+002, 7.9904460E+001,-1.4427745E+001,-6.3271388E+001,-5.9804377E+000,-3.5239099E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6822135E+000,-3.7786349E+000, 1.5996709E-003, 1.5996709E-003
 2.6900046E+002, 7.9041389E+001,-1.4201804E+001,-6.3805710E+001,-4.9156127E+000,-3.6399699E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7845313E+000,-3.8853766E+000, 1.5996709E-003, 1.5996709E-003
 2.7000113E+002, 8.2906822E+001,-1.4884883E+001,-6.1907972E+001,-4.4377691E+000,-3.6199131E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7648631E+000, 1.6725778E+000, 1.5996709E-003, 1.5996709E-003
 2.7100098E+002, 7.9207687E+001,-1.4168843E+001,-6.0089771E+001,-5.4337931E+000,-3.6969360E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3936838E-001,-4.8841660E-001, 1.5996709E-003, 1.5996709E-003
 2.7200021E+002, 7.9859696E+001,-1.4236933E+001,-5.9230268E+001,-4.4589846E+000,-3.5561397E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0583526E+000, 1.9299544E+000, 1.5996709E-003, 1.5996709E-003
 2.7300024E+002, 8.2278042E+001,-1.4846862E+001,-6.4066314E+001,-5.4098722E+000,-3.7928109E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9390289E+000,-2.0487993E+000, 1.5996709E-003, 1.5996709E-003
 2.7400076E+002, 8.0603578E+001,-1.4567196E+001,-5.8372650E+001,-4.5875307E+000,-3.7559286E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1102200E+000, 3.0724458E+000, 1.5996709E-003, 1.5996709E-003
