m,kW/m
Height,HRRPUL
 3.6000000E-001, 3.7700227E+002
 4.4333333E-001, 1.9785849E+002
 5.2666667E-001, 1.2504066E+002
 6.1000000E-001, 8.9404141E+001
 6.9333333E-001, 6.4744822E+001
 7.7666667E-001, 4.5505031E+001
 8.6000000E-001, 3.1093450E+001
 9.4333333E-001, 2.1039504E+001
 1.0266667E+000, 1.4205496E+001
 1.1100000E+000, 9.6543701E+000
 1.1933333E+000, 6.5887623E+000
 1.2766667E+000, 4.5235837E+000
 1.3600000E+000, 2.1707956E+000
 1.4433333E+000, 1.5156973E+000
 1.5266667E+000, 1.0698449E+000
 1.6100000E+000, 7.5925858E-001
 1.6933333E+000, 5.4272779E-001
 1.7766667E+000, 3.8776636E-001
 1.8600000E+000, 2.7953477E-001
 1.9433333E+000, 2.0124341E-001
 2.0266667E+000, 1.4665561E-001
 2.1100000E+000, 1.0629130E-001
 2.1933333E+000, 7.7765944E-002
 2.2766667E+000, 5.7566321E-002
 2.3600000E+000, 3.4214757E-002
