Position,0.2 m,0.4 m,0.6 m,0.8 m,1.0 m,1.2 m,1.4 m,1.6 m,1.8 m,2.0 m,2.2 m
0,604.4267766,823.5077604,710.7806737,574.463152,474.70892,357.5422425,285.3094056,233.5240934,197.5371641,169.6602002,147.759986
0.15,519.010941,820.2394186,751.507216,584.5934392,447.8291624,304.5321296,231.880867,186.0701218,155.8246288,132.5695726,116.9648097
0.305,503.84082,821.4434234,759.2451908,589.7446419,452.1667756,304.4866986,227.2184068,177.5489948,146.0959988,124.0191148,108.5853149
0.61,499.9953403,818.4938381,769.2384913,600.2237466,459.0432581,307.0308141,235.5055819,187.7980302,154.1494362,130.0552697,112.45716
