s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"T01","T02","T03","T04","T05","T06","T07","T08","T09","T10","T11","T12","TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10","TC11","TC12","TC01_Wall","TC02_Wall","TC03_Wall","TC04_Wall","TC05_Wall","TC06_Wall","TC07_Wall","TC08_Wall","TC09_Wall","TC10_Wall","GHF1_Wall_CL","GHF2_Wall_CL","GHF3_Wall_CL","GHF4_Wall_CL","GHF5_Wall_CL","GHF6_Wall_CL","GHF1_Wall_R","GHF2_Wall_R","GHF3_Wall_R","GHF4_Wall_R","GHF5_Wall_R","GHF6_Wall_R","HF1","GHF1"
 9.0017526E+000, 5.4577588E+002, 6.5765125E+002, 5.8901160E+002, 6.2723236E+002, 5.4058484E+002, 4.7469833E+002, 4.8037628E+002, 4.1576361E+002, 5.4058484E+002, 4.7469833E+002, 4.8037628E+002, 4.1576361E+002, 4.7346863E+002, 5.9200903E+002, 6.0455078E+002, 6.1711395E+002, 6.1190497E+002, 5.9085565E+002, 5.4582117E+002, 4.8203702E+002, 6.1190497E+002, 5.9085565E+002, 5.4582117E+002, 4.8203702E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.8146425E+001, 1.7291517E+001, 1.7447392E+001, 1.4280165E+001, 7.2987719E+000, 3.5650280E+000, 1.1490691E+001, 1.0962068E+001, 1.0652500E+001, 9.0285625E+000, 4.9939246E+000, 2.8919432E+000, 1.2095189E+000, 1.2084922E+000
 1.0000090E+001, 4.9420041E+002, 6.5025226E+002, 6.6700116E+002, 6.9149463E+002, 5.5273389E+002, 4.7715417E+002, 4.0356097E+002, 3.2316092E+002, 5.5273389E+002, 4.7715417E+002, 4.0356097E+002, 3.2316092E+002, 4.9382770E+002, 6.1851355E+002, 6.2856659E+002, 6.3541144E+002, 6.0408337E+002, 5.5944800E+002, 5.1128470E+002, 4.4692200E+002, 6.0408337E+002, 5.5944800E+002, 5.1128470E+002, 4.4692200E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.9297443E+001, 1.8404720E+001, 1.7582376E+001, 1.3545538E+001, 6.7132158E+000, 3.4695389E+000, 1.1595167E+001, 1.1438325E+001, 1.1336949E+001, 9.4123220E+000, 4.8537264E+000, 2.6573830E+000, 1.2361605E+000, 1.2352483E+000
 1.1000888E+001, 5.1030667E+002, 6.7519720E+002, 6.0429370E+002, 5.6500061E+002, 5.2389221E+002, 4.6399347E+002, 3.7762485E+002, 2.9694711E+002, 5.2389221E+002, 4.6399347E+002, 3.7762485E+002, 2.9694711E+002, 5.1119681E+002, 6.3078406E+002, 6.2569714E+002, 6.1144836E+002, 5.6614685E+002, 5.2062726E+002, 4.6871579E+002, 4.0448364E+002, 5.6614685E+002, 5.2062726E+002, 4.6871579E+002, 4.0448364E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.9983244E+001, 1.8364883E+001, 1.8318209E+001, 1.4425301E+001, 6.9218059E+000, 4.0890584E+000, 1.1656945E+001, 1.0930925E+001, 1.0576139E+001, 8.3221407E+000, 4.5275249E+000, 3.0000954E+000, 1.2889236E+000, 1.2880640E+000
 1.2000864E+001, 6.2883624E+002, 6.6730817E+002, 5.7815326E+002, 5.6832800E+002, 4.9494388E+002, 3.5774200E+002, 3.0955426E+002, 2.6412036E+002, 4.9494388E+002, 3.5774200E+002, 3.0955426E+002, 2.6412036E+002, 5.3417834E+002, 6.3975812E+002, 6.1612921E+002, 5.8008252E+002, 5.3538269E+002, 4.8762994E+002, 4.3441635E+002, 3.7076050E+002, 5.3538269E+002, 4.8762994E+002, 4.3441635E+002, 3.7076050E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.3186256E+001, 2.0815779E+001, 2.1510239E+001, 1.4454087E+001, 6.1994014E+000, 2.9462183E+000, 1.2587563E+001, 1.1622552E+001, 1.0967743E+001, 8.5874348E+000, 4.8492193E+000, 2.6428726E+000, 1.5155054E+000, 1.5144300E+000
 1.3001316E+001, 6.1289911E+002, 7.2251862E+002, 6.6920099E+002, 6.4386835E+002, 5.0740945E+002, 3.7943130E+002, 3.2301080E+002, 2.8210861E+002, 5.0740945E+002, 3.7943130E+002, 3.2301080E+002, 2.8210861E+002, 5.6683392E+002, 6.6247510E+002, 6.2104724E+002, 5.7988116E+002, 5.2562213E+002, 4.5921548E+002, 4.0600577E+002, 3.4797595E+002, 5.2562213E+002, 4.5921548E+002, 4.0600577E+002, 3.4797595E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.6000637E+001, 2.2159533E+001, 1.9412149E+001, 1.3265436E+001, 6.9695716E+000, 4.4976454E+000, 1.3884505E+001, 1.2561911E+001, 1.1956820E+001, 8.4146290E+000, 4.1075072E+000, 2.4474494E+000, 1.4942323E+000, 1.4933221E+000
 1.4000517E+001, 5.6672900E+002, 6.1023651E+002, 5.8071991E+002, 5.7095917E+002, 5.3257355E+002, 4.4446182E+002, 3.7387473E+002, 2.9264926E+002, 5.3257355E+002, 4.4446182E+002, 3.7387473E+002, 2.9264926E+002, 5.7755725E+002, 6.5552332E+002, 6.2067657E+002, 5.8419537E+002, 5.2895343E+002, 4.5157745E+002, 3.8970200E+002, 3.2975070E+002, 5.2895343E+002, 4.5157745E+002, 3.8970200E+002, 3.2975070E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.4956528E+001, 2.3865047E+001, 1.9360218E+001, 1.3500260E+001, 6.6757088E+000, 3.7140265E+000, 1.3378994E+001, 1.1944089E+001, 1.0377426E+001, 7.6761856E+000, 4.2903156E+000, 2.5927620E+000, 1.4131415E+000, 1.4123832E+000
 1.5001264E+001, 6.3786664E+002, 6.7769836E+002, 6.2522974E+002, 6.3525549E+002, 6.6616876E+002, 5.1633270E+002, 4.1275244E+002, 3.3552234E+002, 6.6616876E+002, 5.1633270E+002, 4.1275244E+002, 3.3552234E+002, 5.9088739E+002, 6.5903833E+002, 6.2921838E+002, 5.9503894E+002, 5.5360022E+002, 4.6908783E+002, 3.9998877E+002, 3.3121182E+002, 5.5360022E+002, 4.6908783E+002, 3.9998877E+002, 3.3121182E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.3431366E+001, 2.2300358E+001, 2.1722023E+001, 1.4885787E+001, 6.8889284E+000, 3.5614154E+000, 1.2558320E+001, 1.1630125E+001, 1.0268953E+001, 7.3472595E+000, 3.9828534E+000, 2.5054636E+000, 1.4001580E+000, 1.3992267E+000
 1.6001422E+001, 5.6982373E+002, 6.0170874E+002, 5.9316516E+002, 5.6596674E+002, 4.1308139E+002, 3.6093127E+002, 3.3432095E+002, 3.1871915E+002, 4.1308139E+002, 3.6093127E+002, 3.3432095E+002, 3.1871915E+002, 6.0807831E+002, 6.5999164E+002, 6.2662085E+002, 5.8127545E+002, 5.2975800E+002, 4.4664658E+002, 3.8227701E+002, 3.2212149E+002, 5.2975800E+002, 4.4664658E+002, 3.8227701E+002, 3.2212149E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.1212091E+001, 1.9907303E+001, 1.7728809E+001, 1.4754067E+001, 7.7300072E+000, 4.0489864E+000, 1.1761218E+001, 1.1282097E+001, 1.1565347E+001, 8.8321333E+000, 4.6281872E+000, 2.7169743E+000, 1.3754539E+000, 1.3744880E+000
 1.7001382E+001, 6.6208795E+002, 7.0444086E+002, 6.3143896E+002, 6.9827478E+002, 6.3260181E+002, 5.0100473E+002, 4.3615994E+002, 3.1951437E+002, 6.3260181E+002, 5.0100473E+002, 4.3615994E+002, 3.1951437E+002, 6.0455066E+002, 6.5858380E+002, 6.2782574E+002, 5.9212585E+002, 5.3475806E+002, 4.5077768E+002, 3.9211679E+002, 3.3317239E+002, 5.3475806E+002, 4.5077768E+002, 3.9211679E+002, 3.3317239E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.6561338E+001, 2.6243847E+001, 2.5924971E+001, 1.6765224E+001, 6.2769890E+000, 3.1361039E+000, 1.4156344E+001, 1.2932348E+001, 1.2260747E+001, 9.3466883E+000, 4.9714079E+000, 2.6077046E+000, 1.4004363E+000, 1.3993961E+000
 1.8001930E+001, 5.9407556E+002, 5.9240173E+002, 5.4315363E+002, 5.3601642E+002, 5.1001117E+002, 3.8755975E+002, 3.1578384E+002, 2.5856250E+002, 5.1001117E+002, 3.8755975E+002, 3.1578384E+002, 2.5856250E+002, 6.2062000E+002, 6.5230322E+002, 6.0890039E+002, 5.7669861E+002, 5.3199146E+002, 4.4163467E+002, 3.8210083E+002, 3.1900223E+002, 5.3199146E+002, 4.4163467E+002, 3.8210083E+002, 3.1900223E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.0541473E+001, 2.3471968E+001, 1.9079489E+001, 1.4172913E+001, 6.5580044E+000, 3.5847280E+000, 1.4789169E+001, 1.2665966E+001, 1.0548447E+001, 8.5058327E+000, 4.5331573E+000, 2.7591841E+000, 1.4587661E+000, 1.4576746E+000
