s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"T01","T02","T03","T04","T05","T06","T07","T08","T09","T10","T11","T12","TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10","TC11","TC12","TC01_Wall","TC02_Wall","TC03_Wall","TC04_Wall","TC05_Wall","TC06_Wall","TC07_Wall","TC08_Wall","TC09_Wall","TC10_Wall","GHF1_Wall_CL","GHF2_Wall_CL","GHF3_Wall_CL","GHF4_Wall_CL","GHF5_Wall_CL","GHF6_Wall_CL","GHF1_Wall_R","GHF2_Wall_R","GHF3_Wall_R","GHF4_Wall_R","GHF5_Wall_R","GHF6_Wall_R","HF1","GHF1"
 7.8001759E+001, 7.2757825E+002, 5.2562512E+002, 3.3904364E+002, 2.3886131E+002, 1.8080791E+002, 1.2799516E+002, 1.1243758E+002, 7.5380157E+001, 1.8080791E+002, 1.2799516E+002, 1.1243758E+002, 7.5380157E+001, 6.7341754E+002, 5.7049951E+002, 4.7826007E+002, 3.9175098E+002, 3.2316306E+002, 2.7329929E+002, 2.2038957E+002, 1.8382886E+002, 3.2316306E+002, 2.7329929E+002, 2.2038957E+002, 1.8382886E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 5.3325069E+001, 3.6149750E+001, 2.2553492E+001, 1.2337983E+001, 4.6078672E+000, 2.8697639E+000, 2.3066805E+001, 2.0251459E+001, 1.5160625E+001, 8.3093967E+000, 3.8044729E+000, 2.5093000E+000, 1.6993164E+000, 1.6981161E+000
 7.9000487E+001, 6.6077222E+002, 4.8574539E+002, 3.9527811E+002, 3.2857980E+002, 2.7605234E+002, 2.4333937E+002, 2.2347498E+002, 2.0742680E+002, 2.7605234E+002, 2.4333937E+002, 2.2347498E+002, 2.0742680E+002, 6.7787036E+002, 5.6063763E+002, 4.6387338E+002, 3.7348331E+002, 3.0439893E+002, 2.5796973E+002, 2.1205415E+002, 1.7773540E+002, 3.0439893E+002, 2.5796973E+002, 2.1205415E+002, 1.7773540E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.9045267E+001, 2.5433292E+001, 2.2630226E+001, 1.4348178E+001, 5.6705837E+000, 2.8178678E+000, 1.3035686E+001, 1.1729327E+001, 1.0648546E+001, 7.7837057E+000, 3.3231623E+000, 1.8918602E+000, 1.7816122E+000, 1.7802469E+000
 8.0001510E+001, 7.6140961E+002, 5.6895844E+002, 4.9158945E+002, 4.4968616E+002, 3.7934155E+002, 3.3361447E+002, 2.9352939E+002, 2.4291064E+002, 3.7934155E+002, 3.3361447E+002, 2.9352939E+002, 2.4291064E+002, 6.8171143E+002, 5.7023822E+002, 4.7570703E+002, 3.8540311E+002, 3.1764828E+002, 2.6960519E+002, 2.2708997E+002, 1.9067191E+002, 3.1764828E+002, 2.6960519E+002, 2.2708997E+002, 1.9067191E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.8947569E+001, 2.4530855E+001, 1.9750399E+001, 1.3542729E+001, 6.4909706E+000, 3.2823229E+000, 1.3435632E+001, 1.2050126E+001, 9.8680983E+000, 6.5748105E+000, 3.4528344E+000, 2.1426091E+000, 1.7855117E+000, 1.7841637E+000
 8.1001845E+001, 6.2723645E+002, 4.5909668E+002, 3.2993835E+002, 2.8128329E+002, 2.7474634E+002, 2.1756479E+002, 1.8185011E+002, 1.6065855E+002, 2.7474634E+002, 2.1756479E+002, 1.8185011E+002, 1.6065855E+002, 6.7568024E+002, 5.6919745E+002, 4.7968753E+002, 3.9411115E+002, 3.3741287E+002, 2.8420486E+002, 2.3959430E+002, 2.0223305E+002, 3.3741287E+002, 2.8420486E+002, 2.3959430E+002, 2.0223305E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.5798439E+001, 2.8147594E+001, 2.3317461E+001, 1.5328852E+001, 6.8207483E+000, 4.0960865E+000, 1.5576716E+001, 1.4096514E+001, 1.1378059E+001, 7.4790249E+000, 4.0632396E+000, 2.7411220E+000, 1.7875789E+000, 1.7863165E+000
 8.2001123E+001, 6.0823474E+002, 5.4456989E+002, 3.4847614E+002, 2.5391147E+002, 2.2565921E+002, 1.7084921E+002, 1.2674292E+002, 1.1242286E+002, 2.2565921E+002, 1.7084921E+002, 1.2674292E+002, 1.1242286E+002, 6.6885266E+002, 5.7475146E+002, 4.6241324E+002, 3.7117090E+002, 3.1694461E+002, 2.6613171E+002, 2.2340277E+002, 1.9121712E+002, 3.1694461E+002, 2.6613171E+002, 2.2340277E+002, 1.9121712E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.3412319E+001, 3.0622120E+001, 2.1652767E+001, 1.2719072E+001, 5.2629075E+000, 3.0279148E+000, 1.5007972E+001, 1.4601896E+001, 1.4218099E+001, 9.7771149E+000, 4.7711954E+000, 3.0766346E+000, 1.7297347E+000, 1.7285789E+000
 8.3001433E+001, 6.3101184E+002, 5.6846405E+002, 4.2210532E+002, 3.8354944E+002, 3.5082391E+002, 3.2487512E+002, 2.9681479E+002, 2.8867380E+002, 3.5082391E+002, 3.2487512E+002, 2.9681479E+002, 2.8867380E+002, 6.6220227E+002, 5.7498993E+002, 4.5885321E+002, 3.7173422E+002, 3.2230923E+002, 2.7544034E+002, 2.3480072E+002, 2.0305104E+002, 3.2230923E+002, 2.7544034E+002, 2.3480072E+002, 2.0305104E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.8282841E+001, 2.4251022E+001, 2.3112730E+001, 1.4335380E+001, 6.3277669E+000, 3.3260210E+000, 1.3438096E+001, 1.2202506E+001, 1.2943202E+001, 9.9936314E+000, 4.7521739E+000, 2.7069454E+000, 1.7032539E+000, 1.7021794E+000
 8.4001028E+001, 6.3238885E+002, 5.7665015E+002, 5.0160696E+002, 4.5346609E+002, 3.2288046E+002, 2.4534372E+002, 2.1360249E+002, 1.9523718E+002, 3.2288046E+002, 2.4534372E+002, 2.1360249E+002, 1.9523718E+002, 6.5188257E+002, 5.9481989E+002, 4.7904575E+002, 3.8908643E+002, 3.2849011E+002, 2.7991797E+002, 2.3750238E+002, 2.0934335E+002, 3.2849011E+002, 2.7991797E+002, 2.3750238E+002, 2.0934335E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.2605671E+001, 2.5706266E+001, 2.1238802E+001, 1.3636342E+001, 6.3693485E+000, 3.6637430E+000, 1.4258732E+001, 1.1779934E+001, 9.0693884E+000, 6.0083804E+000, 3.3405836E+000, 2.2173438E+000, 1.7618116E+000, 1.7605759E+000
 8.5000999E+001, 6.6302759E+002, 5.3101929E+002, 4.7551987E+002, 3.6677643E+002, 2.7865140E+002, 2.4811937E+002, 2.3106151E+002, 2.2808482E+002, 2.7865140E+002, 2.4811937E+002, 2.3106151E+002, 2.2808482E+002, 6.5039392E+002, 5.9248108E+002, 4.9251248E+002, 3.9697379E+002, 3.2871030E+002, 2.8070605E+002, 2.4409305E+002, 2.1841838E+002, 3.2871030E+002, 2.8070605E+002, 2.4409305E+002, 2.1841838E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.1103550E+001, 2.6155516E+001, 2.1857317E+001, 1.3297925E+001, 5.6433382E+000, 3.2128918E+000, 1.5678205E+001, 1.3703481E+001, 1.1834649E+001, 7.6822376E+000, 3.7526190E+000, 2.4609990E+000, 1.6707795E+000, 1.6695477E+000
 8.6001295E+001, 6.9783447E+002, 5.9376361E+002, 4.9549185E+002, 4.4655264E+002, 3.7111224E+002, 3.4409079E+002, 2.5761081E+002, 1.8384622E+002, 3.7111224E+002, 3.4409079E+002, 2.5761081E+002, 1.8384622E+002, 6.6464935E+002, 5.8062061E+002, 4.9125183E+002, 4.0243802E+002, 3.3433759E+002, 2.8766425E+002, 2.4485423E+002, 2.1700798E+002, 3.3433759E+002, 2.8766425E+002, 2.4485423E+002, 2.1700798E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.6133972E+001, 2.6977205E+001, 2.0260538E+001, 1.5774207E+001, 8.2768259E+000, 4.4388041E+000, 1.5183712E+001, 1.3431202E+001, 1.1520896E+001, 8.9065151E+000, 5.4747524E+000, 3.3190336E+000, 1.7062337E+000, 1.7050091E+000
 8.7001976E+001, 6.2146179E+002, 4.6345074E+002, 4.4176831E+002, 4.5689517E+002, 4.1280597E+002, 4.0134995E+002, 3.0543591E+002, 2.4645357E+002, 4.1280597E+002, 4.0134995E+002, 3.0543591E+002, 2.4645357E+002, 6.5566052E+002, 5.8950165E+002, 5.1500317E+002, 4.3325940E+002, 3.6668286E+002, 3.2453699E+002, 2.7005878E+002, 2.2891553E+002, 3.6668286E+002, 3.2453699E+002, 2.7005878E+002, 2.2891553E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.6131474E+001, 2.8821012E+001, 2.3890053E+001, 1.4072556E+001, 5.1919131E+000, 3.0410960E+000, 1.4888819E+001, 1.2640285E+001, 1.0414271E+001, 7.3944702E+000, 3.6527598E+000, 2.0779712E+000, 1.8319836E+000, 1.8305687E+000
 8.8001220E+001, 6.8981287E+002, 5.7322882E+002, 4.7071921E+002, 3.7357993E+002, 2.9117612E+002, 2.3413422E+002, 1.8075787E+002, 1.6280095E+002, 2.9117612E+002, 2.3413422E+002, 1.8075787E+002, 1.6280095E+002, 6.5394342E+002, 5.7396930E+002, 4.9727191E+002, 4.1892239E+002, 3.5769788E+002, 3.1845023E+002, 2.6338699E+002, 2.2183330E+002, 3.5769788E+002, 3.1845023E+002, 2.6338699E+002, 2.2183330E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.8811996E+001, 3.1496695E+001, 2.1921152E+001, 1.4243572E+001, 5.1512184E+000, 2.9997983E+000, 1.6360680E+001, 1.4875577E+001, 1.1578231E+001, 7.8662267E+000, 4.2548933E+000, 2.5646627E+000, 1.7220643E+000, 1.7208505E+000
 8.9000675E+001, 7.1449841E+002, 6.2046558E+002, 4.9852499E+002, 4.7584387E+002, 3.4102768E+002, 2.6527374E+002, 2.1689751E+002, 1.6568181E+002, 3.4102768E+002, 2.6527374E+002, 2.1689751E+002, 1.6568181E+002, 6.6915454E+002, 5.9381177E+002, 5.0503745E+002, 4.2146292E+002, 3.4876953E+002, 3.0555670E+002, 2.5166664E+002, 2.1136382E+002, 3.4876953E+002, 3.0555670E+002, 2.5166664E+002, 2.1136382E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.0973885E+001, 3.2434109E+001, 2.3200771E+001, 1.5313549E+001, 6.7326102E+000, 4.0860620E+000, 1.7074183E+001, 1.7357737E+001, 1.5907593E+001, 8.6550484E+000, 3.9013286E+000, 2.4599545E+000, 1.7120427E+000, 1.7108383E+000
 9.0001902E+001, 6.8855780E+002, 7.4105786E+002, 6.8914703E+002, 6.4777966E+002, 5.0173489E+002, 4.5914651E+002, 4.0784586E+002, 3.4435217E+002, 5.0173489E+002, 4.5914651E+002, 4.0784586E+002, 3.4435217E+002, 6.7564893E+002, 6.3103668E+002, 5.4903583E+002, 4.6981262E+002, 3.7952225E+002, 3.2879987E+002, 2.7834589E+002, 2.2950040E+002, 3.7952225E+002, 3.2879987E+002, 2.7834589E+002, 2.2950040E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.5895866E+001, 2.8338312E+001, 2.4526003E+001, 1.7317320E+001, 8.0835991E+000, 4.4986668E+000, 1.4369068E+001, 1.3795763E+001, 1.3038974E+001, 7.6133280E+000, 4.1570077E+000, 3.0180528E+000, 1.5932491E+000, 1.5919049E+000
 9.1000796E+001, 6.8888409E+002, 5.6110223E+002, 4.4316940E+002, 4.1362494E+002, 3.5878308E+002, 3.2577493E+002, 3.3250546E+002, 2.8956549E+002, 3.5878308E+002, 3.2577493E+002, 3.3250546E+002, 2.8956549E+002, 6.7384198E+002, 6.4178613E+002, 5.7128986E+002, 5.0418408E+002, 4.1003836E+002, 3.5781891E+002, 3.0891974E+002, 2.5630765E+002, 4.1003836E+002, 3.5781891E+002, 3.0891974E+002, 2.5630765E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.8556398E+001, 2.7169653E+001, 2.4412916E+001, 1.5295851E+001, 5.1921840E+000, 2.9285719E+000, 1.3086930E+001, 1.2010588E+001, 1.0591918E+001, 7.0192165E+000, 3.2447321E+000, 2.2108068E+000, 1.6796188E+000, 1.6779116E+000
 9.2000753E+001, 6.4571960E+002, 5.5376233E+002, 4.5010471E+002, 3.6077750E+002, 3.5457712E+002, 2.8816571E+002, 2.5531511E+002, 2.3875294E+002, 3.5457712E+002, 2.8816571E+002, 2.5531511E+002, 2.3875294E+002, 6.6742645E+002, 6.2315826E+002, 5.4396118E+002, 4.7481479E+002, 4.0139401E+002, 3.5052258E+002, 3.0474866E+002, 2.5761237E+002, 4.0139401E+002, 3.5052258E+002, 3.0474866E+002, 2.5761237E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.8881367E+001, 3.2224777E+001, 2.3006134E+001, 1.2596815E+001, 4.9908853E+000, 2.8271172E+000, 1.6029213E+001, 1.4258972E+001, 1.1151890E+001, 7.0959640E+000, 3.6521847E+000, 2.2630994E+000, 1.7581037E+000, 1.7563157E+000
 9.3001105E+001, 7.2733740E+002, 6.3961725E+002, 4.4160086E+002, 3.6400867E+002, 2.9220200E+002, 2.8803726E+002, 2.3480980E+002, 2.0703110E+002, 2.9220200E+002, 2.8803726E+002, 2.3480980E+002, 2.0703110E+002, 6.7075146E+002, 6.2022217E+002, 5.2938129E+002, 4.5170026E+002, 3.8179825E+002, 3.3606973E+002, 2.9094363E+002, 2.5221101E+002, 3.8179825E+002, 3.3606973E+002, 2.9094363E+002, 2.5221101E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.9762104E+001, 2.9571445E+001, 2.5186726E+001, 1.5134144E+001, 5.7450347E+000, 3.1432409E+000, 1.5218930E+001, 1.6184549E+001, 1.6824501E+001, 9.7634821E+000, 4.0017071E+000, 2.2165356E+000, 1.7374952E+000, 1.7358457E+000
 9.4001290E+001, 7.1117517E+002, 7.4775397E+002, 5.9557678E+002, 5.3926086E+002, 4.7081705E+002, 4.4980484E+002, 4.0674173E+002, 3.2356805E+002, 4.7081705E+002, 4.4980484E+002, 4.0674173E+002, 3.2356805E+002, 6.7613678E+002, 6.4996533E+002, 5.3997791E+002, 4.5614850E+002, 3.9457266E+002, 3.5459210E+002, 3.0793423E+002, 2.5834808E+002, 3.9457266E+002, 3.5459210E+002, 3.0793423E+002, 2.5834808E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.7365986E+001, 2.4381001E+001, 2.1232941E+001, 1.5157560E+001, 6.9742126E+000, 3.8971758E+000, 1.3574671E+001, 1.3745028E+001, 1.1309660E+001, 7.5532942E+000, 4.0309997E+000, 2.4162836E+000, 1.6825579E+000, 1.6812592E+000
 9.5001136E+001, 6.4045758E+002, 6.7274023E+002, 6.3845740E+002, 6.3005615E+002, 5.7492682E+002, 5.2651599E+002, 4.8025787E+002, 3.7501535E+002, 5.7492682E+002, 5.2651599E+002, 4.8025787E+002, 3.7501535E+002, 6.6594714E+002, 6.6026276E+002, 5.6547180E+002, 4.9040314E+002, 4.3237631E+002, 3.8918839E+002, 3.3970807E+002, 2.8140753E+002, 4.3237631E+002, 3.8918839E+002, 3.3970807E+002, 2.8140753E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.0153456E+001, 2.5615334E+001, 2.1086651E+001, 1.2747560E+001, 4.9129267E+000, 2.4080029E+000, 1.3594401E+001, 1.2345218E+001, 1.0319072E+001, 7.1724648E+000, 3.4963114E+000, 1.9822524E+000, 1.5881915E+000, 1.5872171E+000
 9.6001267E+001, 6.3471570E+002, 5.8860217E+002, 5.1472485E+002, 5.1569873E+002, 4.0755435E+002, 4.2617426E+002, 4.0137198E+002, 3.3389981E+002, 4.0755435E+002, 4.2617426E+002, 4.0137198E+002, 3.3389981E+002, 6.6135931E+002, 6.5501984E+002, 5.8248700E+002, 5.1069028E+002, 4.5131015E+002, 4.1857605E+002, 3.7135678E+002, 3.0527924E+002, 4.5131015E+002, 4.1857605E+002, 3.7135678E+002, 3.0527924E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.5554647E+001, 2.2188053E+001, 2.1611616E+001, 1.4868510E+001, 5.0163445E+000, 2.5928321E+000, 1.2646446E+001, 1.1200155E+001, 9.7867947E+000, 7.1185184E+000, 3.8734658E+000, 2.4712012E+000, 1.7118430E+000, 1.7105745E+000
 9.7001058E+001, 7.0625134E+002, 7.5788104E+002, 6.7884930E+002, 6.1914929E+002, 5.4647455E+002, 5.1560327E+002, 4.7081866E+002, 4.0759973E+002, 5.4647455E+002, 5.1560327E+002, 4.7081866E+002, 4.0759973E+002, 6.5724316E+002, 6.6703363E+002, 6.0510596E+002, 5.2908820E+002, 4.5721521E+002, 4.2662820E+002, 3.8317233E+002, 3.2092758E+002, 4.5721521E+002, 4.2662820E+002, 3.8317233E+002, 3.2092758E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.5627804E+001, 2.2316689E+001, 2.0305067E+001, 1.3948793E+001, 7.2661872E+000, 4.2189140E+000, 1.3185905E+001, 1.1925263E+001, 1.1124577E+001, 8.9966030E+000, 4.6488910E+000, 2.6402059E+000, 1.5734874E+000, 1.5723230E+000
 9.8001309E+001, 6.7754938E+002, 7.6363861E+002, 7.3143378E+002, 7.0697723E+002, 5.4435114E+002, 4.8333810E+002, 4.0787384E+002, 3.5132498E+002, 5.4435114E+002, 4.8333810E+002, 4.0787384E+002, 3.5132498E+002, 6.6063818E+002, 6.8117114E+002, 6.2065643E+002, 5.4854144E+002, 4.7041727E+002, 4.3829755E+002, 3.9560764E+002, 3.4360477E+002, 4.7041727E+002, 4.3829755E+002, 3.9560764E+002, 3.4360477E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.6758408E+001, 2.3812773E+001, 2.0401005E+001, 1.4340685E+001, 5.8484998E+000, 3.4632056E+000, 1.4087946E+001, 1.3362404E+001, 1.2668720E+001, 9.8824663E+000, 5.5060024E+000, 3.2937305E+000, 1.5449914E+000, 1.5437738E+000
 9.9000299E+001, 6.2550903E+002, 7.4507184E+002, 7.1021527E+002, 6.4704871E+002, 5.0461588E+002, 4.4127914E+002, 4.3910760E+002, 3.4890985E+002, 5.0461588E+002, 4.4127914E+002, 4.3910760E+002, 3.4890985E+002, 6.5462708E+002, 7.0378510E+002, 6.5485510E+002, 5.8124884E+002, 4.8931421E+002, 4.5294812E+002, 4.0941864E+002, 3.4256992E+002, 4.8931421E+002, 4.5294812E+002, 4.0941864E+002, 3.4256992E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.9714420E+001, 2.4578331E+001, 2.2132528E+001, 1.4770250E+001, 6.8826599E+000, 3.4247084E+000, 1.5091844E+001, 1.2848272E+001, 1.0487272E+001, 7.2346654E+000, 4.4524250E+000, 2.5823946E+000, 1.5718074E+000, 1.5704300E+000
 1.0000154E+002, 7.4648962E+002, 6.5915839E+002, 6.0047815E+002, 5.8694824E+002, 5.9373273E+002, 5.3007971E+002, 4.5876581E+002, 4.0472595E+002, 5.9373273E+002, 5.3007971E+002, 4.5876581E+002, 4.0472595E+002, 6.6603491E+002, 6.9646741E+002, 6.5412347E+002, 5.8646277E+002, 5.0864474E+002, 4.6054730E+002, 4.1201001E+002, 3.4715601E+002, 5.0864474E+002, 4.6054730E+002, 4.1201001E+002, 3.4715601E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.9383623E+001, 2.3510864E+001, 1.8059044E+001, 1.1371492E+001, 4.4699969E+000, 2.3181648E+000, 1.4576758E+001, 1.2194179E+001, 9.3534803E+000, 6.3413019E+000, 3.5061893E+000, 2.2864530E+000, 1.4964896E+000, 1.4952409E+000
 1.0100135E+002, 5.9597235E+002, 7.1579395E+002, 6.6427472E+002, 7.0533704E+002, 6.0866565E+002, 4.8739328E+002, 3.7902240E+002, 3.0502728E+002, 6.0866565E+002, 4.8739328E+002, 3.7902240E+002, 3.0502728E+002, 6.6288025E+002, 6.9263190E+002, 6.4450055E+002, 5.8886902E+002, 5.1606433E+002, 4.5968262E+002, 4.0392322E+002, 3.4355972E+002, 5.1606433E+002, 4.5968262E+002, 4.0392322E+002, 3.4355972E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.2812340E+001, 2.3944153E+001, 1.6863554E+001, 1.1134392E+001, 5.0658250E+000, 2.5531132E+000, 1.5109482E+001, 1.2514623E+001, 1.0143466E+001, 7.1922898E+000, 3.8636551E+000, 2.3775606E+000, 1.5635608E+000, 1.5624467E+000
 1.0200192E+002, 4.2446899E+002, 7.0819635E+002, 7.0544519E+002, 6.6764807E+002, 5.5695361E+002, 5.4414490E+002, 4.7130148E+002, 3.8673483E+002, 5.5695361E+002, 5.4414490E+002, 4.7130148E+002, 3.8673483E+002, 6.2365485E+002, 6.9148254E+002, 6.5478131E+002, 6.0655133E+002, 5.4266357E+002, 4.8819254E+002, 4.2238464E+002, 3.5612967E+002, 5.4266357E+002, 4.8819254E+002, 4.2238464E+002, 3.5612967E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.6812296E+001, 2.2943901E+001, 1.8554388E+001, 1.1218897E+001, 5.2355814E+000, 2.8671825E+000, 1.4666449E+001, 1.3506084E+001, 1.1798192E+001, 8.2784395E+000, 4.3579202E+000, 2.4393897E+000, 1.3293420E+000, 1.3286654E+000
 1.0300078E+002, 6.9124408E+002, 5.8987061E+002, 5.2704999E+002, 5.6257294E+002, 4.9478061E+002, 3.8074115E+002, 3.3397845E+002, 3.2591190E+002, 4.9478061E+002, 3.8074115E+002, 3.3397845E+002, 3.2591190E+002, 6.1741064E+002, 6.7033167E+002, 6.4002209E+002, 5.9677966E+002, 5.3402692E+002, 4.7595309E+002, 4.0479193E+002, 3.4549033E+002, 5.3402692E+002, 4.7595309E+002, 4.0479193E+002, 3.4549033E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.4375227E+001, 2.0714981E+001, 1.7842714E+001, 1.1345613E+001, 4.4541802E+000, 2.0802433E+000, 1.4060956E+001, 1.3296096E+001, 1.2801691E+001, 1.0396056E+001, 5.0171604E+000, 2.5197313E+000, 1.3843658E+000, 1.3834858E+000
 1.0400179E+002, 5.6667688E+002, 6.6567157E+002, 6.6858551E+002, 6.4987677E+002, 5.3558582E+002, 3.8803986E+002, 3.1268478E+002, 3.3069849E+002, 5.3558582E+002, 3.8803986E+002, 3.1268478E+002, 3.3069849E+002, 6.2428400E+002, 6.7059338E+002, 6.3750006E+002, 5.9238440E+002, 5.1787634E+002, 4.4577063E+002, 3.8601059E+002, 3.4405096E+002, 5.1787634E+002, 4.4577063E+002, 3.8601059E+002, 3.4405096E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.3275471E+001, 2.1219992E+001, 2.0438719E+001, 1.5114962E+001, 8.6605225E+000, 4.2072873E+000, 1.3643494E+001, 1.2402038E+001, 1.1406583E+001, 9.1284723E+000, 5.9406710E+000, 4.5253029E+000, 1.5715685E+000, 1.5704038E+000
